 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C015, C016, C017, C018, C019, C023, C024, C026, C027, C028, C030, C032, C034, C035, C036, C037, C039, C040, C043, C045, C048, C049, C052, C055, C059, C061, C062, C063, C065, C071, C073, C074, C077, C079, C080, C082, C083, C084, C088, C089, C093, C095, C096, C099, C100, C102, C103, C106, C108, C109, C111, C112, C114, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 27.11545, 44.63373, 75.4364, 0, 47.25739, 22.99036, 56.20758, 0, 79.64685, 64.77911, 67.95023, 0, 0, 21.33548, 0, 0, 50.86142, 0, 125.968, 0, 2.672302, 0, 0, 0, 31.22266, 0, 24.07056, 122.4788, 0, 0, 42.48645, 0, 23.06073, 26.63721, 0, 105.9744, 0, 0, 68.02789, 40.07275, 0, 116.4756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.49702, 48.15771, 70.23236, 0, 30.00244, 95.10193, 80.1488, 35.65594, 78.29032, 205.761
0.2, 0, 0, 101.5456, 42.65607, 127.6606, 0, 44.75702, 108.6415, 53.84601, -7.629395e-06, 92.03894, 67.20459, 64.93478, 0, 0, 20.24788, 0, -3.051758e-05, 48.53027, 1.525879e-05, 233.0552, 0, 8.283997, -7.629395e-06, 0, 6.103516e-05, 29.67206, 3.051758e-05, 46.76294, 154.4402, 0, 0, 97.69189, 0, 70.10077, 97.32141, 0, 100.6038, 82.8461, 0, 65.04382, 89.83813, 112.5502, 143.5657, -6.103516e-05, 0, 0, 84.37573, 87.78247, 68.22321, 0, 0, 3.051758e-05, 118.6659, 207.2507, 67.3132, 0, 28.73511, 124.8623, 116.3439, 83.49625, 112.5898, 281.3857
0.3, 38.34875, 0, 97.18237, 76.63559, 121.6002, 0, 42.38892, 103.8679, 67.3642, -7.629395e-06, 170.9258, 64.33237, 62.05319, 112.6493, 0, 45.55186, 0, -3.051758e-05, 115.9117, 3.051758e-05, 315.7239, 0, 7.943115, 74.69029, 0, 6.103516e-05, 79.14615, 3.051758e-05, 83.98706, 169.8676, 6.103516e-05, 42.34607, 209.2774, 3.051758e-05, 66.61835, 106.0282, 0, 123.1501, 78.7027, 84.23486, 62.19067, 151.6368, 107.1091, 178.0115, 29.85913, 127.8219, 0, 80.70874, 84.09204, 61.87274, 0, 85.68573, 3.051758e-05, 113.5952, 197.9023, 104.8498, 0, 27.52124, 165.0189, 153.48, 79.75183, 106.9316, 449.4968
0.4, 36.67529, 0, 93.00659, 73.23999, 159.6025, 0, 40.14606, 193.7399, 107.0687, -7.629395e-06, 188.4086, 140.5379, 106.3929, 106.8631, -3.814697e-06, 43.22978, 0, -3.051758e-05, 110.599, 3.051758e-05, 319.4166, 0, 63.48767, 70.9719, 60.25601, 6.103516e-05, 75.21555, 3.051758e-05, 79.8266, 240.9054, 14.95825, 92.00208, 329.8693, 3.051758e-05, 89.74579, 155.9043, 0, 116.909, 104.4879, 80.5112, 59.46271, 144.793, 101.9309, 250.9706, 28.54504, 122.3112, 0, 77.20111, 144.7446, 56.1134, 0, 139.8894, 6.103516e-05, 108.7411, 188.9756, 143.9815, 0, 26.3587, 158.134, 197.7316, 143.3132, 244.0014, 579.1699
0.5, 74.37909, 45.43341, 89.01028, 69.99481, 152.0258, 0, 53.59558, 208.8046, 102.5702, -7.629395e-06, 259.1255, 134.5315, 101.6715, 101.374, -3.814697e-06, 41.02609, 0, -3.051758e-05, 105.5299, 3.051758e-05, 362.5939, 0, 60.87524, 83.85226, 113.1376, 6.103516e-05, 71.48013, 3.051758e-05, 75.87225, 250.979, 31.30731, 87.92926, 356.8604, 0, 126.2268, 149.5476, 0, 183.8898, 99.26215, 76.95215, 112.5215, 138.2579, 205.415, 334.9441, 27.28876, 117.038, 0, 73.84601, 232.3156, 190.6219, -6.103516e-05, 133.3425, 6.103516e-05, 126.7617, 180.4516, 172.7639, 0, 25.2453, 206.9987, 189.1638, 136.8863, 231.7393, 553.998
0.6, 77.75793, 43.43359, 85.18567, 66.89346, 178.7451, -3.814697e-06, 91.82086, 257.3351, 98.26074, -7.629395e-06, 274.7308, 128.7818, 168.3502, 171.9734, 0, 38.93472, 0, -6.103516e-05, 100.6931, 3.051758e-05, 413.8615, 0, 58.37036, 79.67774, 108.1824, 6.103516e-05, 67.93025, 3.051758e-05, 159.4969, 289.8336, 97.49628, 211.8384, 457.3674, 3.051758e-05, 119.9562, 230.2802, 0, 237.7233, 166.6278, 73.55042, 134.0746, 229.9855, 215.7379, 374.075, 26.08777, 111.9922, 0, 70.63666, 299.7479, 262.0042, 0, 196.2903, 6.103516e-05, 121.345, 317.8196, 199.1612, 6.103516e-05, 24.17889, 259.3236, 218.9006, 130.7477, 364.0249, 630.3789
0.7, 102.0829, 41.52179, 81.52541, 63.92953, 230.5589, -3.814697e-06, 86.96265, 278.2877, 94.13226, -7.629395e-06, 383.2035, 123.2778, 188.9289, 163.1399, 0, 36.94996, 0, -6.103516e-05, 96.07805, 3.051758e-05, 499.871, -1.525879e-05, 94.80298, 89.25097, 103.4442, 6.103516e-05, 64.55667, 6.103516e-05, 193.0703, 330.5021, 142.8897, 261.4615, 593.0522, 3.051758e-05, 145.4807, 234.8293, 0, 267.8785, 222.0136, 70.29909, 185.3029, 262.4414, 353.2562, 396.0917, 54.07971, 107.1639, -4.768372e-07, 67.56677, 300.6205, 266.9833, 0, 326.9843, 6.103516e-05, 165.0866, 383.2471, 266.3504, 6.103516e-05, 23.15747, 288.9745, 280.8517, 124.8842, 378.1245, 739.1033
0.8, 146.6401, 88.18341, 107.5469, 134.864, 257.7584, -3.814697e-06, 82.36148, 353.8666, 90.17731, -7.629395e-06, 409.8152, 266.3466, 192.8989, 223.0461, 0, 35.06639, 0, 83.61188, 91.67448, 3.051758e-05, 615.9868, -1.525879e-05, 134.4885, 84.80768, 146.1418, 6.103516e-05, 61.35062, 6.103516e-05, 231.4324, 314.8862, 148.9072, 249.887, 633.0726, 0, 138.2537, 251.8217, 0, 254.3027, 210.91, 67.19145, 224.1009, 305.9214, 336.1783, 445.0018, 108.1428, 102.5438, 166.908, 64.63031, 376.3905, 365.0674, -6.103516e-05, 311.6813, 6.103516e-05, 158.0322, 365.9603, 255.2797, 6.103516e-05, 22.17926, 295.3506, 315.9242, 182.0726, 405.894, 859.9053
