 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09992311891991862, 0, 0, 6.562323, 0, 0, 0, 0, 0, 0
0.1998462378398372, 0, 0, 6.265316, 0, 0, 0, 0, 0, 0
0.2997693567597559, 0, 0, 5.981751, -9.536743e-07, 0, 0, 0, 0, 0
0.3996924756796745, 0, 0, 5.71102, -9.536743e-07, 0, 0, 0, 0, 0
0.4996155945995931, 0, 0, 5.452543, -1.907349e-06, 0, 0, 0, 0, 0
0.5995387135195117, 0, 0, 5.205764, -1.907349e-06, 0, 0, 0, 0, 0
0.6994618324394304, 0, 0, 4.970154, -2.861023e-06, 0, 0, 0, 0, 0
0.7993849513593489, 0, 0, 4.745208, -1.907349e-06, 0, 0, 0, 0, 0
0.8993080702792676, 0, 0, 4.530443, -1.907349e-06, 0, 0, 0, 0, 0
0.9992311891991862, 0, 0, 4.325397, -1.907349e-06, 0, 0, 0, 0, 0
1.099154308119105, 0, 0, 31.72065, -2.861023e-06, 0, 0, 0, 0, 0
1.199077427039023, 0, 0, 30.28499, -2.384186e-06, 0, 0, 0, 0, 0
1.299000545958942, 0, 0, 28.91431, -2.861023e-06, 0, 0, 0, 0, 0
1.398923664878861, 0, 0, 27.60567, -2.861023e-06, 0, 0, 0, 0, 0
1.498846783798779, 0, 0, 26.35625, -2.384186e-06, 0, 0, 0, 0, 0
1.598769902718698, 0, 0, 25.16338, -2.384186e-06, 0, 0, 0, 0, 0
1.698693021638617, 0, 0, 24.0245, -2.384186e-06, 0, 0, 0, 0, 0
1.798616140558535, 0, 0, 22.93717, -1.907349e-06, 0, 0, 0, 0, 0
1.898539259478454, 0, 0, 21.89905, -1.907349e-06, 0, 0, 0, 0, 0
1.998462378398372, 0, 0, 20.90791, -1.907349e-06, 0, 0, 0, 0, 0
2.098385497318291, 0, 0, 19.96163, -1.907349e-06, 0, 0, 0, 0, 0
2.19830861623821, 0, 0, 19.05818, -1.430511e-06, 0, 0, 0, 0, 0
2.298231735158129, 0, 0, 18.19562, -1.430511e-06, 0, 0, 0, 0, 0
2.398154854078047, 0, 0, 17.37209, -1.430511e-06, 0, 0, 0, 0, 0
2.498077972997966, 0, 0, 16.58584, -1.430511e-06, 0, 0, 0, 0, 0
2.598001091917884, 0, 0, 15.83518, -1.430511e-06, 0, 0, 0, 0, 0
2.697924210837803, 0, 0, 15.11849, -1.192093e-06, 0, 0, 0, 0, 0
2.797847329757722, 0, 0, 14.43423, -1.430511e-06, 0, 0, 0, 0, 0
2.89777044867764, 0, 0, 13.78095, -1.192093e-06, 0, 0, 0, 0, 0
2.997693567597559, 0, 0, 13.15723, -1.192093e-06, 0, 0, 0, 0, 0
3.097616686517477, 0, 0, 12.56174, -1.192093e-06, 0, 0, 0, 0, 0
3.197539805437396, 0, 0, 11.9932, -1.192093e-06, 0, 0, 0, 0, 0
3.297462924357315, 0, 0, 11.4504, -9.536743e-07, 0, 0, 0, 0, 0
3.397386043277233, 0, 0, 10.93216, -9.536743e-07, 0, 0, 0, 0, 0
3.497309162197152, 0, 0, 10.43738, -9.536743e-07, 0, 0, 0, 0, 0
3.59723228111707, 0, 0, 9.964987, -9.536743e-07, 0, 0, 0, 0, 0
3.697155400036989, 0, 0, 9.513978, -9.536743e-07, 0, 0, 0, 0, 0
3.797078518956908, 0, 0, 9.083381, -8.34465e-07, 0, 0, 0, 0, 0
3.897001637876826, 0, 0, 8.672272, -7.152557e-07, 0, 0, 0, 0, 0
3.996924756796745, 0, 0, 8.27977, -7.152557e-07, 0, 0, 0, 0, 0
4.096847875716664, 0, 0, 7.905033, -7.152557e-07, 0, 0, 0, 0, 0
4.196770994636582, 0, 0, 7.547256, -7.152557e-07, 0, 0, 0, 0, 0
4.296694113556501, 0, 0, 7.205671, -5.960464e-07, 0, 0, 0, 0, 0
4.396617232476419, 0, 0, 6.879547, -5.960464e-07, 0, 0, 0, 0, 0
4.496540351396338, 0, 0, 6.568182, -5.960464e-07, 0, 0, 0, 0, 0
4.596463470316257, 0, 0, 6.270911, -5.960464e-07, 0, 0, 0, 0, 0
4.696386589236175, 0, 0, 5.987093, -4.768372e-07, 0, 0, 0, 0, 0
4.796309708156094, 0, 0, 5.716121, -4.768372e-07, 0, 0, 0, 0, 0
4.896232827076012, 0, 0, 5.457412, -4.768372e-07, 0, 0, 0, 0, 0
4.996155945995931, 0, 0, 5.210413, -4.768372e-07, 0, 0, 0, 0, 0
5.09607906491585, 0, 0, 4.974593, -5.364418e-07, 0, 0, 0, 0, 0
5.196002183835769, 0, 0, 4.749445, -4.768372e-07, 0, 0, 0, 0, 0
5.295925302755687, 0, 0, 4.534489, -4.768372e-07, 0, 0, 0, 0, 0
5.395848421675606, 0, 0, 4.32926, -4.172325e-07, 0, 0, 0, 0, 0
5.495771540595524, 0, 0, 4.133321, -4.172325e-07, 0, 0, 0, 0, 0
5.595694659515443, 0, 0, 3.946249, -4.172325e-07, 0, 0, 0, 0, 0
