 , C03, C06, C08, C09, C11, C12, C14, C18
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0
0.09992332725302511, 0, 0, 15.81236, 0, 0, 38.93152, 0, 0
0.1998466545060502, 0, 0, 40.24574, 0, 0, 48.73149, 0, 0
0.2997699817590753, 0, 0, 43.80367, -1.907349e-06, 4.886201, 79.21182, 0, 0
0.3996933090121004, 0, 0, 46.66618, -9.536743e-07, 4.670521, 124.0979, 0, 0
0.4996166362651255, 0, 0, 70.46361, -9.536743e-07, 4.464362, 119.0366, 0, 0
0.5995399635181506, 0, 0, 80.46015, -1.907349e-06, 4.267303, 137.7394, 0, 0
0.6994632907711757, 0, 0, 90.7757, 7.77867, 4.078942, 145.707, 0, 0
0.7993866180242009, 0, 0, 89.59745, 8.55463, 3.898895, 145.7259, 0, 0
0.899309945277226, 0, 0, 115.7298, 22.48055, 3.726796, 139.7826, 0, 0
0.9992332725302511, 0, 0, 124.0772, 21.57561, 22.41763, 141.3336, 0, 0
1.099156599783276, 0, 0, 140.2361, 20.7071, 21.4281, 147.4037, 15.1158, 0
1.199079927036301, 0, 0, 146.3731, 29.82388, 23.56196, 152.0213, 14.45978, 0
1.299003254289326, 0, 0, 181.2225, 28.62334, 22.52192, 178.9688, 13.83223, 0
1.398926581542351, 0, 0, 201.2185, 33.76302, 21.52779, 192.9775, 13.23192, 0
1.498849908795377, 0, 0, 238.3434, 32.40392, 20.57754, 205.4097, 12.65766, 0
1.598773236048402, 0, 0, 297.4233, 31.09952, 19.66924, 249.8716, 12.10833, 0
1.698696563301427, 0, 0, 334.0121, 29.84763, 18.80103, 272.3594, 11.58283, 0
1.798619890554452, 11.82672, 0, 379.8611, 28.64614, 17.97114, 300.4235, 11.08014, 0
1.898543217807477, 47.34425, 9.60933, 438.0817, 46.95049, 17.17789, 309.148, 10.59927, 0
1.998466545060502, 73.58192, 9.219888, 457.7966, 58.49368, 16.41964, 341.0481, 10.13927, 0
2.098389872313527, 75.26688, 8.846228, 528.3756, 56.13906, 15.69487, 405.45, 9.699225, 0
2.198313199566552, 71.8792, 8.487711, 566.553, 53.87923, 15.00209, 441.0645, 34.48425, 0
2.298236526819577, 68.644, 8.143724, 576.0158, 51.71036, 35.47055, 469.9533, 60.64034, 0
2.398159854072603, 103.9637, 7.813679, 604.8892, 51.64365, 33.90486, 483.1176, 58.00858, 0
2.498083181325628, 99.28444, 7.49701, 622.3164, 56.01289, 32.40828, 535.6681, 56.72127, 0
2.598006508578653, 98.04353, 7.193174, 626.5129, 53.75814, 47.12567, 536.3683, 54.25959, 0
2.697929835831678, 93.63071, 7.900146, 634.441, 51.59415, 45.04552, 542.4598, 51.90475, 0
2.797853163084703, 89.41651, 7.579973, 622.2912, 59.53439, 43.05719, 532.847, 49.65211, 0
2.897776490337728, 85.39198, 7.272775, 662.0905, 57.13788, 41.15662, 550.3148, 47.49724, 0
2.997699817590753, 81.54859, 6.978027, 663.4944, 54.83784, 39.33995, 557.4534, 45.43588, 0
3.097623144843778, 77.87819, 6.695224, 673.7211, 52.63038, 37.60346, 544.5625, 43.46399, 0
3.197546472096803, 77.85545, 6.423883, 674.9312, 50.51178, 44.32344, 572.5997, 41.57767, 0
3.297469799349829, 74.35126, 6.163538, 682.6057, 48.47847, 42.36698, 567.9086, 39.77322, 0
3.397393126602854, 71.00481, 5.913745, 706.1375, 51.77507, 40.49688, 590.1252, 38.04708, 0
3.497316453855879, 80.25488, 12.62485, 691.1859, 49.6909, 43.8954, 585.1405, 36.39586, 0
3.597239781108904, 76.6427, 12.1132, 728.133, 57.80264, 41.95784, 571.0101, 34.8163, 0
3.697163108361929, 73.626, 11.62228, 724.6113, 55.47584, 40.1058, 601.856, 33.30529, 0
3.797086435614954, 84.41506, 11.15126, 734.1724, 57.0114, 38.33551, 608.8251, 31.85985, 0
3.897009762867979, 80.61565, 21.79699, 732.2744, 54.71645, 63.05984, 607.4415, 30.47715, 0
3.996933090121004, 76.98724, 20.91361, 733.2914, 52.51388, 60.27634, 623.2478, 29.15446, 0
4.096856417374029, 73.52213, 24.36052, 755.8341, 50.39997, 57.61572, 619.0055, 27.88917, 10.95055
4.196779744627054, 70.21299, 23.37324, 765.422, 48.37116, 55.07253, 627.6962, 26.67879, 16.52514
4.29670307188008, 67.05279, 28.49059, 771.1522, 46.42402, 52.6416, 648.2642, 25.52095, 15.85226
4.396626399133105, 64.03482, 28.22565, 789.8897, 53.76583, 50.31797, 661.5533, 24.41335, 15.20679
4.49654972638613, 61.15269, 27.08173, 805.0782, 51.60153, 48.09691, 645.108, 23.35382, 31.92849
4.596473053639155, 58.40028, 25.98418, 794.0414, 49.52435, 45.97388, 674.8684, 22.34028, 33.92609
4.69639638089218, 55.77176, 37.67203, 779.7349, 47.53079, 43.94457, 670.0066, 21.37072, 32.54467
4.796319708145205, 53.26154, 36.14527, 791.2812, 45.61747, 42.00484, 670.4447, 20.44324, 47.29203
4.89624303539823, 50.8643, 34.68039, 786.2095, 43.78118, 40.15072, 662.9655, 19.55602, 48.41827
4.996166362651255, 48.57496, 37.70793, 798.8848, 42.0188, 38.37845, 666.4648, 18.70729, 52.8307
5.09608968990428, 46.38866, 36.17972, 789.7209, 40.32736, 36.6844, 647.2503, 19.37518, 50.67952
5.196013017157306, 44.30077, 37.43151, 788.9336, 38.70402, 35.06513, 651.2543, 18.5343, 56.5981
5.295936344410331, 42.30684, 35.9145, 788.3809, 37.14602, 33.51734, 672.2455, 17.72992, 54.29353
5.395859671663356, 40.40266, 35.04509, 776.8648, 35.65073, 32.03786, 647.1497, 16.96045, 52.08279
5.495782998916381, 38.58419, 33.62479, 777.9454, 34.21564, 30.6237, 643.4908, 28.32397, 60.13707
5.595706326169406, 36.84756, 32.26206, 788.4525, 32.83831, 34.48614, 650.563, 27.09472, 57.6884
5.695629653422431, 35.1891, 35.43549, 786.4719, 31.51643, 32.9639, 636.1955, 25.91883, 55.33942
5.795552980675456, 33.60528, 33.99937, 777.3919, 39.71846, 31.50886, 630.3627, 24.79396, 53.0861
5.895476307928481, 32.09275, 32.62146, 772.7854, 38.11962, 30.11804, 624.4991, 23.71792, 50.92453
5.995399635181506, 30.64829, 34.22352, 759.9371, 36.58514, 28.78861, 631.0097, 22.68857, 48.85097
6.095322962434532, 29.26885, 32.83652, 765.9233, 49.16964, 27.51787, 610.4033, 21.7039, 46.86184
6.195246289687557, 27.9515, 31.50574, 750.4722, 47.19035, 26.30322, 615.8787, 20.76196, 44.95371
6.295169616940582, 26.69343, 30.22889, 767.6708, 53.51141, 25.14218, 614.3745, 19.8609, 43.12327
6.395092944193607, 25.49199, 32.76205, 752.2636, 51.35735, 39.86538, 589.3177, 18.99895, 41.36737
6.495016271446632, 24.34463, 44.62814, 731.3617, 49.29, 38.1057, 580.8776, 27.14799, 39.68296
6.594939598699657, 23.24891, 42.81947, 741.7944, 47.30587, 36.42369, 557.187, 25.96978, 38.06714
6.694862925952682, 22.2025, 41.0841, 735.6758, 45.742, 34.81593, 585.853, 24.84271, 36.51711
6.794786253205707, 21.2032, 39.41906, 743.6722, 43.90069, 33.27914, 575.2712, 35.14916, 52.11281
6.894709580458732, 20.24887, 37.8215, 737.1475, 42.1335, 31.81018, 551.8092, 41.98899, 49.99087
6.994632907711757, 19.33749, 36.28869, 721.5081, 40.43744, 30.40606, 545.8005, 46.30533, 47.95533
7.094556234964783, 18.46713, 34.818, 733.4957, 38.80966, 29.06392, 523.5405, 44.2957, 46.959
7.194479562217808, 17.63595, 33.40691, 721.2807, 37.24741, 27.78102, 547.8699, 42.37329, 45.04691
7.294402889470833, 16.84218, 32.05301, 718.473, 35.74805, 26.55476, 545.6355, 45.10784, 47.71795
7.394326216723858, 16.08413, 30.75397, 723.5745, 39.30403, 26.82067, 538.7009, 43.15018, 45.77496
7.494249543976883, 15.3602, 29.50759, 703.0085, 37.72187, 25.63679, 522.8676, 41.27748, 63.66539
7.594172871229908, 14.66886, 31.13343, 697.47, 36.20341, 24.50517, 515.0055, 39.48606, 61.07305
7.694096198482933, 14.00863, 29.87167, 701.3757, 36.2154, 23.4235, 511.9593, 37.77238, 58.58626
