 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C021, C022, C023, C026, C028, C029, C033, C036, C040, C046, C050, C051, C052, C054, C057, C058, C060, C061, C066, C067, C068, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 76.10815, 96.93787, 47.83582, 0, 0, 0, 0, 94.00909, 0, 0, 0, 0, 40.18567, 0, 0, 23.44269, 0, 81.70361, 0, 0, 0, 66.47534, 0, 0, 56.30829, 169.2395, 36.05396, 0, 0, 77.35638, 0, 0, 0, 0, 185.8944, 40.11945, 0, 111.84, 20.03599
0.2, 0, 145.6287, 164.9213, 92.46161, 89.40826, 0, 0, 0, 29.69342, 89.37469, 78.7406, 16.25043, 0, 0, 51.46167, 0, 17.17972, 22.38043, 0, 78.10419, 103.9095, 31.23334, 0, 63.36407, 0, 0, 153.0727, 211.1985, 53.84808, 0, 0, 149.058, 0, 33.71121, 0, 0, 177.1713, 105.4261, 0, 111.0569, 91.54795
0.3, 0, 139.4849, 196.0958, 88.19208, 85.29269, 0, 0, 0, 44.04293, 177.9274, 144.808, 92.48422, 24.81206, 3.051758e-05, 120.5381, 73.2251, 16.29132, 21.36627, 0, 74.66333, 98.53375, 29.53918, 57.70929, 171.0167, 0, 0, 143.7878, 199.7491, 51.59583, 0, 141.7289, 142.2945, 0, 69.44397, 0, 46.22644, 205.4677, 174.7485, 83.784, 184.0544, 86.51381
0.4, 0, 133.6002, 217.0674, 84.11969, 100.7126, 8.019215, -3.051758e-05, 6.103516e-05, 41.39883, 181.4454, 138.1688, 88.57074, 35.96831, 3.051758e-05, 114.9219, 69.9444, 15.44888, 20.39807, 0, 78.75317, 139.2503, 27.93695, 199.9745, 250.0171, -3.051758e-05, 0, 135.0662, 188.9203, 49.43781, 0, 135.9935, 135.8379, 0, 122.8888, 13.18651, 77.06018, 195.826, 210.4706, 80.05722, 213.4196, 81.75648
0.5, 0, 176.0115, 205.281, 80.23535, 126.6294, 7.659554, 25.81482, 6.103516e-05, 38.91346, 187.2578, 172.8485, 84.82285, 34.22497, 99.80518, 168.8755, 160.0201, 14.65002, 127.9988, 0, 75.28369, 418.7534, 38.56982, 190.616, 238.3154, -3.051758e-05, 60.47268, 154.9016, 219.5739, 196.5212, 0, 130.4903, 129.6743, 0, 176.8574, 12.5501, 201.5253, 202.1846, 255.4739, 76.49622, 199.5286, 77.26075
0.6, 0, 225.5491, 236.4752, 168.2569, 133.2422, 7.316021, 24.50949, 70.46265, 36.5773, 238.1696, 164.9236, 81.23355, 32.56612, 95.28464, 225.329, 152.8508, 13.89246, 122.1988, 0, 71.96704, 473.2472, 90.46948, 210.7579, 271.3892, -6.103516e-05, 56.93857, 145.5058, 207.6705, 188.3017, 0, 125.2098, 225.3487, -1.525879e-05, 166.6827, 11.94441, 289.4377, 192.697, 376.7244, 73.09361, 205.8169, 73.01225
0.7, 0, 216.0335, 332.3482, 160.4874, 127.1089, 11.3926, 69.97763, 216.1459, 39.98278, 287.7671, 173.3512, 77.79611, 30.98768, 90.96887, 439.8062, 211.2308, 13.17406, 150.0262, 0, 68.79651, 651.973, 85.56232, 217.3548, 258.6872, 75.3551, 65.47918, 136.6799, 248.8559, 180.4258, 0, 154.2748, 215.1235, 0, 157.0933, 11.36795, 309.2489, 183.6546, 356.5265, 69.84236, 198.5717, 68.99738
0.8, 0, 269.8515, 328.3069, 269.369, 121.258, 10.88165, 66.43912, 249.8253, 37.58242, 362.5076, 171.8308, 74.50412, 78.42142, 86.84857, 467.4171, 231.5706, 12.4928, 215.9796, 3.051758e-05, 76.50574, 618.2434, 170.7567, 207.1829, 355.1802, 107.868, 113.0541, 178.3246, 279.4875, 172.8795, 0, 148.0317, 205.3622, -1.525879e-05, 148.0556, 10.81932, 360.5413, 251.0142, 337.4115, 66.73572, 258.3851, 65.20326
