 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 114.4119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.81726, 0, 0, 0, 48.72521, 0, 86.67609, 0, 0
0.2, 0, 52.66947, 0, 106.0467, 0.0001220703, 83.53507, 35.72437, 11.42532, 0, 0, 82.67197, 0, 0, 0, 81.70679, 85.81653, 58.79334, 0, 73.66248, 0, 102.3189, 0, 0
0.3, 0, 50.34697, 38.59055, 98.29317, 127.4175, 77.67431, 33.32777, 106.7418, 0, 1.525879e-05, 147.3633, 0, 79.23232, 0, 88.21118, 417.0361, 53.96345, 3.051758e-05, 69.41512, 0, 151.7584, 0, 0
0.4, 0, 48.12688, 102.825, 91.10651, 121.0563, 72.22473, 31.09198, 99.84482, 0, 0, 170.9407, 0, 158.2653, 0, 222.6816, 426.9537, 386.0193, 206.0994, 65.41267, 0, 182.8898, 0, 0
0.5, 0, 46.00468, 107.2939, 84.4453, 191.8607, 67.15749, 29.00616, 93.39345, 0, 0, 162.1339, 0, 151.3112, 0, 447.0286, 447.394, 354.3077, 541.5355, 61.64101, 0, 173.505, 0, 0
0.6, 0, 43.97607, 99.85709, 78.27112, 262.1594, 62.44577, 41.90959, 87.35895, 9.536743e-07, 6.325127, 153.7809, 47.85937, 144.6626, 0, 768.5533, 604.4006, 325.2012, 655.0925, 58.08682, 0, 176.0106, 0, 0
0.7, 0, 42.0369, 94.39445, 72.54838, 438.1608, 58.06462, 39.09805, 145.1242, 0, 20.18991, 145.8582, 83.60347, 138.3062, 0, 1068.55, 1300.868, 298.4859, 624.3881, 54.73756, 0, 255.9126, 0, 0
0.8, 0, 40.18325, 87.85175, 67.24404, 419.5908, 53.99084, 45.80312, 154.1222, 0, 19.28142, 138.3437, 77.60194, 132.2291, 0, 1177.505, 1591.152, 273.9652, 595.1229, 51.58142, 0, 267.9516, 0, 0
0.9, 0, 38.41134, 81.76253, 140.2183, 399.8396, 50.20288, 79.48218, 144.1637, 0, 18.41381, 131.2163, 72.03124, 126.419, 0, 1121.104, 1766.472, 262.8342, 605.4098, 48.60725, 0, 254.202, 0, 0
1, 0, 36.71757, 76.09538, 129.9663, 379.8778, 46.68068, 103.2881, 134.8488, 9.536743e-07, 17.58524, 124.4561, 66.86044, 120.8642, 0, 1203.098, 1656.71, 241.2423, 577.0341, 45.80458, 0, 241.158, 0, 0
1.1, 0, 35.09847, 70.82103, 124.5204, 415.5701, 43.4056, 96.35898, 126.1357, 9.536743e-07, 16.79395, 118.0442, 62.06082, 115.5535, 0, 1245.029, 1723.817, 221.4241, 549.9883, 43.16351, 0, 228.7832, 0, 0
1.2, 0, 33.55078, 65.91226, 115.4162, 394.823, 40.36029, 89.89468, 117.9855, 4.768372e-07, 16.03827, 111.9626, 57.60574, 110.4761, 0, 1298.611, 1708.074, 203.2341, 524.2102, 83.89102, 0, 217.0435, 0, 0
1.3, 0, 32.07132, 61.34372, 106.9776, 421.0563, 37.52864, 83.86407, 110.362, 0, 15.31659, 106.1944, 53.47048, 105.6218, 0, 1236.409, 1601.941, 186.5383, 499.6403, 79.0539, 0, 205.9062, 0, 0
1.4, 0, 30.65711, 57.09183, 99.15598, 400.0353, 34.89566, 78.23801, 103.2311, -4.768372e-07, 14.62739, 100.7233, 49.63206, 100.9809, 0, 1299.883, 1552.881, 171.2142, 588.3221, 74.49569, 0, 195.3404, 0, 0
1.5, 0, 29.30526, 53.13466, 91.90623, 516.2807, 32.4474, 193.4328, 96.56095, 0, 13.96919, 95.53412, 46.06919, 96.5438, 0, 1237.62, 1558.424, 157.1489, 560.7473, 75.7096, 0, 185.3168, 0, 0
1.6, 0, 28.01302, 49.45177, 85.18655, 490.5057, 30.17092, 233.1194, 90.32178, 0, 13.34061, 90.61226, 42.76209, 92.3017, 0, 1178.339, 1461.59, 144.2391, 534.4648, 71.34422, 0, 194.0464, 0, 216.0867
1.7, 0, 26.77776, 46.02415, 83.35205, 466.0175, 28.05414, 217.4805, 84.48573, 0, 12.74032, 85.94398, 39.69239, 88.246, 0, 1180.817, 1370.772, 132.3898, 522.7523, 123.1273, 0, 184.0891, 0, 205.3585
1.8, 0, 25.59698, 42.83412, 77.2578, 442.7518, 26.08588, 202.8907, 79.02679, 0, 12.16704, 81.51619, 36.84304, 84.36851, 0, 1124.257, 1326.838, 121.5139, 498.2507, 133.1616, 0, 174.6428, 0, 195.163
