 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 149.4538, 181.6914, 0, 0, 0, 0, 0, 0, 379.4153, 0, 293.264, 0, 39.33289, 0, 0, 0, 90.22239, 0, 0
0.2, 1.907349e-06, -3.051758e-05, 0, 0, 0, 0, 0, 142.1968, 204.1645, 56.689, 1.525879e-05, 1.525879e-05, 0, 1.525879e-05, 0, 446.2534, 0, 544.3657, 0, 37.49127, 0, 0, 1.525879e-05, 85.72809, 210.7562, 43.04053
0.3, 0, 167.9378, 0, 0, 0, 0, 0, 246.6081, 192.7865, 55.73969, 0, 0, 0, 65.33049, 0, 496.6165, 0, 530.8572, 0, 67.28522, 16.36798, -1.525879e-05, 0, 81.45766, 201.8256, 125.4548
0.4, 7.128598, 159.6578, 0, 0, 0, 0, 0, 297.1804, 182.0426, 71.74393, 1.525879e-05, 0, 0, 101.6723, 0, 611.0921, 0, 761.1383, 0, 64.13489, 15.2576, -1.525879e-05, 7.629395e-06, 77.39997, 193.2733, 119.9212
0.5, 81.205, 151.7859, 0, 0, 0, 0, 0, 376.3952, 293.242, 68.22035, 1.525879e-05, -1.525879e-05, 0, 96.46657, 0, 605.3461, 0, 721.0483, 0, 61.13208, 14.2225, -1.525879e-05, 7.629395e-06, 73.5444, 185.0835, 114.6317
0.6, 77.6664, 206.5146, 0, 0, 0, 0, 0, 356.6484, 276.8998, 64.8698, 44.12335, 140.3674, 0, 91.52733, 0, 615.0494, 0, 808.9004, 0, 58.2699, 13.25769, -1.525879e-05, 7.629395e-06, 69.8809, 177.2407, 123.4898
0.7, 74.282, 196.3326, 0, 0, 0, 0, 59.86716, 337.9376, 261.4683, 61.68382, 41.99911, 134.1006, 0, 86.84097, 0, 634.3627, -9.536743e-07, 800.2063, 0, 55.54163, 12.35831, -1.525879e-05, 7.629395e-06, 66.39988, 169.7303, 118.0428
0.8, 71.04507, 202.8723, 0, 0, 0, 0, 56.6793, 320.2084, 246.8969, 58.65431, 39.97714, 128.1135, 0, 82.39458, 0, 615.7602, -9.536743e-07, 808.2912, 0, 207.1097, 11.51996, -3.051758e-05, 0, 63.09227, 162.5381, 112.8362
0.9, 67.9492, 272.9729, 0, 0, 0, 0, 53.66119, 303.4093, 233.1375, 59.84514, 39.0448, 122.3938, 0, 78.17584, 0, 647.5994, 0, 760.027, 0, 197.4127, 10.73846, -3.051758e-05, 0, 59.94941, 155.6507, 123.4761
1, 64.98825, 259.5142, 0, 0, 0, 0, 107.6515, 287.4916, 220.1448, 56.90593, 46.28784, 116.9294, 0, 74.1731, 0, 639.8257, 0, 846.4077, 0, 188.1697, 26.0947, -3.051758e-05, 0, 56.96312, 149.0551, 279.9435
1.1, 62.15631, 246.7191, 0, 0, 0, 0, 101.9191, 300.8593, 207.8763, 54.11107, 44.05942, 111.709, 0, 70.37532, 0, 605.0406, -9.536743e-07, 795.8675, 0, 251.7003, 51.01758, -3.051758e-05, 0, 54.12558, 142.7391, 267.5956
1.2, 59.44778, 234.5548, 0, 0, 0, 0, 96.49205, 308.4977, 196.2915, 109.3553, 41.93826, 106.7216, 0, 66.77199, 0, 572.1466, 0, 748.3452, 0, 239.9155, 47.55664, -3.051758e-05, 7.629395e-06, 51.42939, 302.8489, 255.7923
1.3, 56.85728, 222.9903, 0, 0, 0, 0, 91.35395, 350.8384, 185.3523, 124.0816, 39.91922, 101.9569, 0, 63.35316, 0, 541.041, 0, 797.8612, 0, 233.8228, 48.11427, 116.9614, 7.629395e-06, 48.86751, 290.0159, 276.2415
1.4, 54.37966, 211.9959, 0, 0, 0, 0, 86.48945, 332.4324, 175.0227, 117.9876, 37.99739, 97.40498, 0, 60.10936, 0, 511.6265, 0, 819.822, 0, 222.8751, 48.69768, 110.5012, 7.629395e-06, 46.43325, 405.372, 264.0569
1.5, 52.01001, 201.5437, 0, 0, 0, 0, 81.88398, 323.3198, 165.2688, 112.1928, 40.96555, 103.5304, 0, 74.65599, 0, 483.8111, 0, 792.8491, 0, 212.4399, 45.3941, 368.7366, 7.629395e-06, 44.12024, 388.1947, 252.4097
1.6, 49.74361, 191.6067, 0, 0, 0, 0, 77.52374, 393.1481, 156.0585, 106.6826, 38.99335, 151.4884, 0, 70.83348, 0, 492.4575, -9.536743e-07, 754.9458, 0, 249.8351, 86.97296, 348.37, 7.629395e-06, 41.92245, 521.2328, 277.6895
1.7, 47.57598, 182.1597, 0, 0, 0, 0, 73.39568, 372.5224, 147.3614, 101.4431, 37.1161, 179.7579, 0, 67.20669, 0, 486.4075, -9.536743e-07, 863.1439, 0, 238.1376, 81.07286, 329.1283, 0, 39.83414, 499.1459, 285.612
1.8, 45.5028, 173.1785, 0, 0, 0, 0, 69.48744, 392.3651, 166.0785, 96.46083, 35.32922, 171.7325, 0, 63.76559, 0, 469.8096, -9.536743e-07, 811.6044, 0, 294.7816, 259.7242, 310.9493, 0, 37.84986, 477.995, 404.8933
1.9, 43.51997, 164.6401, 0, 0, 0, 0, 65.78731, 453.3864, 156.823, 91.7233, 33.62836, 164.0653, 0, 126.6039, 0, 444.2677, -9.536743e-07, 763.1424, 0, 280.9798, 249.7449, 293.7745, 0, 35.96443, 457.7404, 444.8055
2, 41.62354, 221.6969, 0, 0, 0, 0, 62.2842, 429.6003, 148.0834, 87.21844, 32.00939, 156.7405, 0, 120.1216, 0, 420.1144, -9.536743e-07, 761.0731, 0, 267.8242, 247.8295, 277.5483, 0, 34.17291, 539.4613, 425.1857
2.1, 39.80975, 210.7664, 0, 0, 0, 0, 58.96764, 407.0623, 207.6399, 82.93484, 30.46836, 149.7427, 0, 128.7183, 0, 397.2743, -9.536743e-07, 715.6284, 0, 322.7303, 247.5407, 262.2183, -3.814697e-06, 32.47064, 516.6021, 430.2471
