 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C016, C018, C022, C023, C024, C038, C072, C083, C128, C130
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 145.7292, 0, 46.89172, 0, 0, 0, 371.7119, 95.53931, 0, 0, 14.1143, 98.31915, 66.22125, 0, 140.2438, 5.131836, 0, 144.255
0.2, 0, 0, 26.79385, 227.9011, 0, 44.06274, -1.525879e-05, 0, 218.4306, 443.3396, 91.36157, 0, 0, 114.8527, 93.90378, 62.55487, 0, 132.9949, 179.2412, -0.0001220703, 138.001
0.3, 0, 0, 25.62122, 216.6703, 0, 41.40466, -1.525879e-05, 0, 242.6396, 611.3623, 118.429, 0, 0, 170.4074, 177.3866, 58.823, 0, 126.1206, 170.1381, 147.4923, 132.0182
0.4, 0, 0, 59.88257, 257.9634, 0, 74.83203, 0, 0, 278.871, 594.807, 113.2504, 1.772782, 0, 160.8788, 169.4204, 55.31366, 0, 119.6017, 161.4973, 169.9021, 126.2947
0.5, 0, 0, 57.26178, 392.1664, 0, 257.8033, 4.378677, 0, 266.2309, 651.6481, 108.2982, 1.681879, 174.2751, 151.883, 161.8119, 52.01379, 0, 113.4197, 230.4908, 162.3029, 283.4822
0.6, 0, 0, 54.75571, 372.8407, 0, 242.2505, 4.13092, 0, 430.4351, 785.2008, 103.5625, 1.595636, 214.8975, 143.3902, 154.5451, 88.21945, 0, 238.1332, 339.7361, 325.5576, 315.8575
0.7, 0, 0, 52.3593, 459.6157, 0, 227.6359, 3.897186, 0, 410.9252, 777.8241, 99.03394, 1.513817, 340.8892, 135.3723, 147.6047, 82.95648, 0, 241.716, 322.482, 432.5858, 302.1638
0.8, 0, 0, 102.1797, 446.3707, 0, 213.903, 52.45633, 0, 392.2996, 734.634, 94.70337, 30.21602, 326.7317, 127.8027, 140.9759, 351.5528, 0, 229.2221, 306.1041, 584.326, 543.36
0.9, 6.052679, 0, 292.8262, 424.3739, 0, 200.9986, 49.48824, 0, 374.5182, 846.1986, 90.56223, 28.66663, 444.5295, 307.4573, 301.3773, 526.0505, -1.525879e-05, 217.3741, 290.558, 685.3132, 694.2447
1, 48.30067, 0, 280.0106, 412.8891, 0, 188.8727, 46.68808, 0, 357.5427, 801.8727, 86.60214, 27.19668, 601.1134, 348.8095, 365.9267, 494.6676, -1.525879e-05, 329.9728, 297.5457, 974.0361, 723.1945
1.1, 180.5913, 0, 345.1307, 510.5493, 0, 312.1448, 44.04639, 0, 433.1655, 909.3993, 82.81519, 25.80211, 727.8187, 338.6838, 349.4933, 566.896, -1.525879e-05, 312.9171, 282.4342, 1064.721, 815.4045
1.2, 171.7733, 0, 353.2198, 485.3898, 0, 293.3136, 41.55415, 5.131925, 471.2809, 1089.951, 128.734, 24.47905, 823.7065, 319.7457, 333.798, 570.4863, 0, 421.4174, 268.0903, 1337.721, 933.7945
1.3, 163.3859, 0, 498.5107, 461.4702, 0, 275.6184, 39.20292, 42.80683, 469.3232, 1029.429, 123.1048, 23.22383, 795.3009, 388.1895, 350.6748, 675.8988, 1.525879e-05, 533.7603, 310.37, 1501.684, 1066.613
1.4, 251.3258, 8.717784, 581.4363, 507.7157, 0, 258.9908, 36.98473, 40.64049, 448.0507, 972.2679, 117.7216, 22.03297, 817.9095, 413.8486, 442.6915, 635.5762, 1.525879e-05, 584.536, 468.45, 2020.199, 1020.371
1.5, 239.054, 8.251715, 555.9896, 482.696, 0, 388.6053, 34.89205, 38.58379, 427.7423, 918.2809, 137.2259, 20.90318, 796.8938, 390.7076, 422.8107, 597.6591, 1.525879e-05, 614.3682, 447.715, 1975.616, 976.1343
1.6, 232.3507, 7.810563, 531.6566, 574.6382, 0, 434.1598, 32.91778, 36.63116, 519.6866, 867.2916, 131.2253, 19.83132, 839.3181, 368.8605, 403.8228, 575.5629, 1.525879e-05, 584.3546, 492.7649, 1887.251, 1132.99
1.7, 221.0054, 7.392995, 508.3885, 546.3205, 0, 485.7198, 31.05522, 42.0737, 496.1312, 937.0837, 257.5973, 18.81443, 804.4603, 388.1438, 385.6876, 541.2261, 3.051758e-05, 554.1503, 732.7812, 1933.81, 1197.923
1.8, 210.2141, 6.997752, 509.1694, 549.6566, 0, 456.4171, 29.29805, 39.94447, 473.6436, 885.0502, 246.3331, 17.84967, 811.4733, 366.4401, 437.8194, 508.9378, 2.288818e-05, 610.7664, 695.5654, 2026.779, 1246.839
1.9, 199.9497, 6.62364, 486.8855, 549.0469, 0, 428.8822, 27.6403, 37.92299, 670.3411, 835.9062, 283.5922, 16.93439, 777.772, 345.95, 418.1575, 731.783, 2.288818e-05, 668.4647, 765.2732, 1959.956, 1192.784
2, 190.1865, 6.269527, 498.4296, 521.9904, 0, 403.0084, 26.07635, 36.00381, 639.9572, 887.6473, 271.1913, 36.51389, 745.4702, 326.6057, 462.2892, 688.1265, 2.288818e-05, 829.2126, 804.3196, 1981.384, 1192.303
2.1, 271.9168, 5.934347, 476.6157, 650.0616, 0, 456.8077, 72.86765, 34.18175, 686.0834, 864.8208, 259.3326, 34.64155, 714.51, 308.343, 441.5284, 792.9009, 2.288818e-05, 808.5051, 818.8115, 2054.716, 1329.436
2.2, 262.7177, 5.617085, 455.7565, 681.2957, 0, 467.0283, 103.144, 32.45191, 654.9858, 842.0539, 247.9926, 32.86523, 706.1306, 291.1014, 472.3564, 745.5981, 2.288818e-05, 904.0023, 803.775, 1962.813, 1271.8
2.3, 249.8896, 5.316786, 520.9957, 903.3444, 0, 547.8708, 97.30794, 30.80961, 625.298, 795.2972, 237.1484, 38.44158, 701.9368, 274.824, 451.1435, 775.5435, 3.051758e-05, 939.4523, 931.85, 2216.842, 1426.531
2.4, 237.6879, 5.032541, 498.1942, 858.8282, 0, 528.0828, 91.80204, 29.25042, 714.8403, 978.3017, 226.7784, 36.4704, 720.9357, 259.4568, 486.2954, 729.2763, 3.051758e-05, 890.8938, 995.0172, 2117.688, 1364.686
2.5, 226.082, 4.763492, 525.1376, 816.5059, 0, 496.2244, 86.60768, 27.77013, 682.4395, 923.9796, 216.8618, 34.6003, 752.2589, 244.9488, 480.1274, 771.0333, 3.051758e-05, 988.2175, 986.6628, 2022.969, 1348.853
2.6, 215.0428, 4.508827, 502.1548, 776.2692, 0, 466.288, 81.70722, 26.36476, 684.4457, 872.6739, 263.0022, 32.82609, 721.0167, 361.5905, 480.1905, 799.6409, 3.051758e-05, 982.7437, 1009.721, 2118.825, 1478.61
2.7, 204.5426, 4.267776, 552.0732, 1010.26, 0, 530.9462, 77.08405, 25.03051, 653.4224, 886.0309, 251.5017, 31.14286, 691.0721, 341.3716, 458.6257, 751.9362, 2.288818e-05, 997.0657, 964.2826, 2077.75, 1462.074
2.8, 254.3625, 4.039613, 527.9116, 971.3998, 0, 731.0034, 72.72247, 23.76379, 775.3871, 977.0226, 240.504, 29.54594, 780.6143, 322.2832, 438.0294, 707.0773, 1.525879e-05, 945.5292, 921.053, 2158.824, 1398.688
2.9, 241.9425, 3.823648, 504.8073, 923.5302, 0, 686.9031, 68.60768, 22.56117, 740.2418, 983.488, 229.9873, 28.0309, 798.8894, 304.2622, 418.358, 664.8947, 1.525879e-05, 988.273, 972.1093, 2091.856, 1338.049
3, 230.1288, 3.619229, 482.7143, 878.0194, 0, 645.4633, 64.72571, 21.41941, 706.6896, 946.3427, 219.9304, 26.59355, 765.7623, 395.1594, 399.57, 788.3668, 1.525879e-05, 937.1911, 922.7388, 2214.56, 1364.372
3.1, 218.892, 3.425738, 479.4543, 834.7514, 0, 606.5235, 61.06339, 20.33543, 873.137, 1082.992, 210.3133, 25.22991, 763.2203, 373.0634, 381.6258, 1049.259, 7.629395e-06, 941.4943, 875.8757, 2136.503, 1305.221
3.2, 208.2039, 3.242592, 458.4708, 864.1785, 0, 666.3608, 57.60829, 19.30631, 833.5612, 1022.857, 318.1436, 23.93619, 731.5229, 352.2029, 364.4874, 986.6624, 1.525879e-05, 1112.594, 831.3927, 2067.422, 1479.232
3.3, 198.0376, 3.069237, 453.5877, 841.7202, 0, 626.1604, 54.34869, 18.32927, 970.9058, 966.0608, 304.2319, 22.70881, 701.9971, 413.575, 348.1187, 927.8002, 1.144409e-05, 1284.381, 789.1688, 2125.271, 1480.302
3.4, 188.3678, 2.90515, 545.4111, 935.7703, 0, 588.3851, 51.27352, 17.40168, 965.2081, 912.4185, 390.6663, 21.54436, 727.908, 420.3326, 332.4851, 911.3907, 1.144409e-05, 1336.713, 858.3508, 2153.032, 1529.779
3.5, 243.6045, 2.749835, 595.1613, 937.2164, 0, 552.8887, 48.37235, 16.52102, 921.459, 926.9594, 373.5833, 20.43962, 716.8989, 467.1349, 317.5536, 857.0193, 1.525879e-05, 1267.621, 814.7577, 2056.732, 1463.458
3.6, 231.7097, 2.602824, 569.1139, 891.0312, 0, 519.5338, 45.63535, 15.68494, 879.6929, 910.6226, 357.2472, 87.01244, 687.1252, 441.0143, 303.2926, 805.8914, 1.525879e-05, 1202.1, 868.3029, 2090.823, 1400.011
3.7, 220.3957, 2.463672, 648.379, 991.3256, 0, 657.5364, 43.0532, 14.89117, 960.9128, 1071.624, 341.6255, 82.55067, 694.4883, 416.3542, 289.6721, 949.2742, 1.144409e-05, 1257.036, 999.4321, 1997.306, 1691.838
3.8, 209.6341, 2.331959, 620.0026, 942.4739, 0, 617.8683, 40.61716, 34.43426, 917.3583, 1012.12, 326.687, 78.3177, 757.0916, 393.0731, 319.1769, 909.3346, 1.144409e-05, 1192.062, 997.4222, 1907.971, 1791.519
3.9, 199.398, 2.207289, 592.868, 954.0883, 0, 697.9308, 38.31895, 57.18086, 912.849, 955.9197, 392.3243, 196.5865, 725.6487, 371.0938, 331.8211, 957.9789, 1.144409e-05, 1130.446, 952.5181, 2042.436, 1746.134
4, 189.6618, 2.089283, 566.9209, 1044.057, 0, 768.7825, 36.15078, 54.28709, 871.4731, 902.8405, 385.67, 186.5061, 719.527, 402.0876, 316.9194, 900.8281, 7.629395e-06, 1072.016, 904.1426, 1951.083, 1747.959
4.1, 180.4009, 1.977586, 542.1094, 1095.783, 0, 722.4031, 34.10529, 63.34079, 889.1591, 852.7084, 387.0353, 176.9426, 689.6443, 379.6042, 302.687, 886.4609, 7.629395e-06, 1016.605, 858.2239, 2105.958, 1672.178
4.2, 171.5922, 1.87186, 518.3839, 1041.784, 0, 678.8216, 32.17554, 60.13529, 848.8571, 909.2521, 370.111, 167.8694, 661.0027, 358.378, 289.0937, 833.5767, 7.629395e-06, 964.0588, 868.6779, 2011.764, 1599.683
