 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 134.4716, 0, 31.48901, 0, 128.7337, 222.0836, 103.9134
0.2, 109.2064, 97.40926, 0, 130.7098, 0, 136.2434, -3.814697e-06, 142.2255, 125.9395, 0, 29.35834, -6.103516e-05, 121.9795, 249.386, 99.28229
0.3, 103.0092, 92.58719, 0, 132.1421, 0, 225.7976, 0, 133.2006, 147.089, 0, 33.64633, -6.103516e-05, 115.5797, 264.7687, 210.6445
0.4, 97.16364, 88.00382, 0, 135.0846, 0, 215.5979, -3.814697e-06, 124.7482, 174.8506, 0, 31.36963, -0.0001220703, 109.5156, 394.0712, 201.2567
0.5, 109.8816, 83.64735, 3.814697e-06, 141.4415, 0, 205.8589, -3.814697e-06, 116.8323, 320.7933, 64.24536, 29.24701, -0.0001220703, 103.7697, 377.0365, 192.2871
0.6, 103.6461, 220.1324, 20.18394, 134.4664, 0, 196.5598, -7.629395e-06, 109.4187, 300.4393, 177.9439, 27.26801, -0.0001220703, 98.32526, 444.2969, 183.7173
0.7, 172.7028, 209.2351, 19.05802, 147.2019, 0, 213.6868, -7.629395e-06, 102.4755, 281.3767, 168.0635, 26.2265, -9.155273e-05, 93.1665, 544.7817, 175.5295
0.8, 162.9023, 198.8773, 54.30967, 139.9427, 0, 317.217, -3.814697e-06, 95.9729, 349.1981, 379.8547, 71.41898, -9.155273e-05, 88.27838, 521.2323, 167.7065
0.9, 153.6579, 189.0323, 51.2801, 133.0415, 0, 302.8877, 0, 89.88293, 395.2958, 358.7632, 66.5864, -9.155273e-05, 83.64673, 498.7008, 160.2322
1, 244.3615, 179.6746, 48.41953, 274.8559, 0, 314.5076, -3.814697e-06, 166.1772, 474.7283, 519.885, 62.08081, -6.103516e-05, 79.25809, 606.956, 153.091
1.1, 230.4945, 170.7801, 45.71854, 348.3187, 11.73807, 300.3007, -7.629395e-06, 155.6323, 502.3867, 491.0183, 57.8801, -6.103516e-05, 75.0997, 580.7189, 185.6683
1.2, 217.4145, 162.326, 43.16821, 331.1414, 11.03447, 309.0062, -3.814697e-06, 145.7566, 604.3085, 500.6714, 53.96362, -6.103516e-05, 71.15948, 628.5789, 207.987
1.3, 205.0767, 154.2903, 40.76015, 314.8113, 10.37305, 295.0478, -5.722046e-06, 215.8593, 565.9656, 472.8716, 50.31216, -3.051758e-05, 67.42603, 611.5536, 198.7175
1.4, 193.4391, 146.6525, 38.48641, 299.2864, 9.751278, 281.7199, -5.722046e-06, 202.1619, 530.0557, 594.9265, 102.8083, -3.051758e-05, 63.88843, 718.2464, 189.8611
1.5, 182.4619, 139.3927, 36.33952, 284.5272, 9.166775, 381.1966, -5.722046e-06, 189.3337, 496.4242, 561.8931, 95.85175, 321.6042, 60.53644, 703.8849, 181.3995
1.6, 172.1076, 132.4923, 34.31238, 270.4958, 18.80455, 363.9772, -5.722046e-06, 177.3194, 635.9231, 530.6938, 89.36589, 1392.524, 57.36032, 673.4578, 173.315
1.7, 218.6878, 203.7367, 32.39833, 257.1564, 17.67738, 347.5356, -5.722046e-06, 255.8458, 595.5744, 501.227, 130.8085, 2330.878, 54.3508, 732.8159, 165.5907
1.8, 206.2778, 220.5093, 30.59104, 244.4748, 16.61778, 331.8368, -5.722046e-06, 239.611, 557.7858, 473.3964, 121.9573, 2549.64, 51.49924, 786.1539, 249.2641
1.9, 194.572, 258.5137, 28.88458, 232.4186, 15.62169, 387.8052, -5.722046e-06, 224.4064, 657.0607, 447.111, 113.705, 2443.286, 48.79724, 833.6313, 356.7629
2, 183.5305, 245.7165, 27.2733, 220.9569, 14.6853, 370.2873, -5.722046e-06, 308.9689, 615.3707, 422.285, 106.0111, 2416.458, 46.23701, 805.6167, 340.8628
2.1, 320.9147, 233.5527, 25.75191, 210.0605, 13.80505, 353.5607, -5.722046e-06, 431.9319, 576.326, 398.8376, 98.8378, 2295.301, 43.81114, 860.4435, 339.3452
2.2, 302.7035, 221.9911, 24.31538, 199.7014, 12.97756, 380.9731, 54.00881, 404.5235, 539.7587, 510.2068, 92.14992, 2364.668, 41.51253, 865.2189, 514.7417
2.3, 394.7184, 211.0019, 22.95899, 189.8531, 12.19967, 460.4044, 237.7742, 378.8543, 505.5115, 587.8446, 85.91455, 2213.892, 39.33453, 827.8178, 516.1267
2.4, 372.3191, 200.5566, 21.67827, 180.4906, 11.4684, 451.0658, 520.9394, 354.814, 473.4373, 555.2045, 80.1011, 2227.46, 37.2708, 904.7051, 493.1241
2.5, 351.1908, 190.6284, 20.46898, 171.5898, 10.78097, 498.1008, 714.691, 332.2991, 443.3981, 524.3766, 74.68102, 2103.291, 35.31534, 865.5972, 471.1468
2.6, 331.2616, 219.5633, 19.32716, 163.1278, 10.13475, 475.6006, 697.2097, 311.2129, 415.2649, 495.2606, 69.62769, 2073.31, 33.46246, 960.3896, 579.5972
2.7, 312.4632, 208.6942, 18.24903, 155.0832, 9.527258, 454.1168, 661.0256, 291.4647, 388.9167, 467.7612, 160.6834, 2038.633, 31.7068, 966.1086, 618.0052
2.8, 327.2126, 198.3632, 40.26567, 147.4354, 8.956182, 433.6035, 652.6823, 272.9697, 364.2403, 441.7886, 149.8107, 1892.46, 30.04326, 976.6924, 613.882
2.9, 308.6441, 188.5436, 75.30861, 140.1646, 8.419338, 414.0168, 618.809, 255.6483, 341.1296, 588.9286, 139.6737, 1756.767, 28.46701, 1040.323, 586.5227
