 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 37.79272, 0, 0, 0, 15.13464, 0, 0, 14.65125, 147.1882, 218.1704
0.2, 0, 192.4813, 0, 0, 0, 80.95563, 36.05554, 17.45248, 126.7028, 295.489, 206.778
0.3, 1.68056, 347.1367, 0, 0, 204.445, 181.1193, 125.4854, 16.53296, 199.1262, 458.771, 253.4836
0.4, 21.2693, 532.3245, 24.84249, 0, 237.0275, 170.7048, 205.1143, 96.59839, 214.1472, 428.8308, 388.0317
0.5, 52.40537, 604.3292, 712.6935, 0, 320.6206, 300.5977, 364.3099, 91.50894, 888.8033, 457.9927, 367.7694
0.6, 49.5269, 1269.617, 889.353, 0, 433.7892, 283.3131, 440.3162, 86.68765, 1136.488, 649.1165, 348.5652
0.7, 46.80654, 1206.365, 837.6736, 323.4982, 451.7837, 280.0701, 417.7471, 144.3517, 1109.985, 606.7539, 443.7456
0.8, 44.2356, 1146.264, 843.2903, 1224.926, 485.0661, 315.8649, 396.3348, 162.643, 1337.76, 567.1562, 420.5741
0.9, 41.80587, 1207.327, 794.2876, 1401.505, 463.4817, 309.7299, 746.1732, 299.1883, 1270.902, 820.3564, 398.6124
1, 269.6187, 1179.174, 811.6467, 1532.374, 721.5578, 291.9203, 707.927, 346.9933, 1207.385, 766.8187, 541.9393
1.1, 254.8094, 1343.075, 901.0869, 1506.3, 689.4501, 275.1346, 1084.468, 328.7114, 1279.643, 860.9392, 830.3701
1.2, 240.8135, 1435.813, 848.7257, 1678.025, 678.9189, 371.5973, 1642.166, 358.2717, 1358.633, 1120.346, 787.0096
1.3, 227.5863, 1411.785, 799.4072, 1649.505, 648.7085, 350.2302, 1792.341, 339.3955, 1554.558, 1227.218, 1036.062
1.4, 215.0857, 1522.075, 768.4307, 1566.261, 844.2606, 330.0917, 1763.696, 321.5139, 1610.744, 1399.029, 981.9602
1.5, 206.3299, 1518.184, 723.778, 1493.309, 834.6832, 311.1113, 1673.295, 337.4269, 1692.562, 1307.726, 1111.668
1.6, 194.9968, 1442.548, 681.72, 1404.149, 798.7957, 293.2222, 1587.528, 331.4005, 1607.972, 1310.398, 1053.618
1.7, 184.2863, 1511.906, 1020.283, 1399.082, 763.251, 276.3618, 1506.157, 313.9401, 1527.609, 1274.902, 1064.809
1.8, 174.164, 1456.474, 1445.979, 1362.198, 729.2881, 260.4708, 1428.957, 383.2897, 1546.629, 1423.115, 1310.971
1.9, 164.5977, 1383.912, 1361.955, 1280.866, 696.8364, 245.4936, 1566.112, 363.0955, 1469.333, 1428.334, 1242.514
2, 155.5568, 1314.966, 1342.333, 1204.389, 665.8289, 231.3775, 1485.838, 713.8464, 1395.899, 1494.88, 1177.632
2.1, 147.0126, 1249.455, 1318.828, 1238.096, 636.2009, 218.0732, 1409.679, 808.8309, 1326.135, 1464.885, 1227.468
2.2, 138.9376, 1187.207, 1242.192, 1164.173, 607.8915, 211.404, 1457.453, 766.2162, 1259.858, 1427.769, 1163.372
2.3, 131.3062, 1128.061, 1305.625, 1117.863, 580.8417, 374.1046, 1382.749, 725.8469, 1196.893, 1731.327, 1281.096
2.4, 124.0939, 1146.975, 1229.756, 1072.522, 554.9955, 1801.66, 1311.874, 687.6044, 1189.332, 1681.676, 1214.199
2.5, 117.2778, 1103.05, 1158.296, 1008.485, 530.2994, 2351.536, 1480.095, 651.3768, 1282.026, 1571.927, 1150.796
2.6, 110.8361, 1135.079, 1166.491, 981.7565, 506.7023, 2216.321, 1404.231, 636.7173, 1261.181, 1469.34, 1289.865
2.7, 104.7482, 1143.559, 1495.25, 988.829, 484.1552, 2260.5, 1489.276, 623.2633, 1198.15, 1652.455, 1268.561
2.8, 98.99471, 1113.529, 2212.533, 929.7891, 462.6115, 2130.52, 1412.941, 1081.512, 1138.269, 1544.613, 1349.173
2.9, 93.55722, 1131.554, 2296.597, 874.2743, 442.0263, 2077.507, 1386.153, 1197.486, 1134.667, 1443.808, 1342.458
3, 88.4184, 1075.18, 2267.161, 822.074, 422.3571, 2062.233, 1533.719, 1312.524, 1265.977, 1349.583, 1272.357
3.1, 83.56184, 1095.851, 2200.002, 772.9905, 403.5632, 2022.292, 1455.106, 1281.865, 1202.706, 1344.198, 1205.917
3.2, 78.97205, 1182.586, 2309.657, 726.8376, 385.6055, 1932.594, 1380.522, 1287.257, 1142.598, 1295.4, 1142.946
3.3, 74.63435, 1123.67, 2208.626, 683.4404, 368.447, 2001.961, 1346.954, 1302.661, 1085.494, 1397.801, 1083.263
