 , C00, C01, C02, C03, C05, C07, C10, C11, C12, C15, C18, C22, C25, C47
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 78.59914, 0, 1.182266, 40.73763, 0, 19.92044, 92.43472, 0, 0, 0, 0, 39.46783, 0
0.2, 0, 74.22246, 0, 1.112282, 38.57159, 7.629395e-06, 68.24803, 87.03693, 0, 69.96948, 0, 0, 37.24011, 0
0.3, 0, 70.08948, 3.814697e-06, 131.8893, 36.52074, 107.2124, 191.4476, 81.95435, 0, 65.47815, 0, 0, 35.13812, 0
0.4, 0, 66.18666, 0, 124.0824, 36.61018, 100.8194, 251.1809, 77.16856, 0, 61.27513, 0, 0, 382.3004, 0
0.5, 0, 125.8002, 3.814697e-06, 116.7377, 34.6636, 94.80759, 271.804, 199.7915, 0, 57.34189, 0, 0, 707.5427, 0
0.6, 0, 118.7952, 0, 133.6721, 32.82053, 89.15427, 260.0176, 188.1245, 0, 53.66112, 0, 0, 796.6042, 0
0.7, 0, 117.4778, 0, 125.7597, 31.07545, 83.83807, 264.7149, 177.1388, 0, 50.21663, 0, 0, 751.6401, 0
0.8, 0, 110.9363, 0, 118.3157, 29.42316, 78.83887, 253.236, 346.546, 0, 46.99324, 0, 0, 709.2141, 0
0.9, 0, 104.7589, -3.814697e-06, 134.6085, 27.85873, 74.13776, 242.2548, 326.3092, 0, 273.9902, 0, 0, 669.1827, 0
1, 0, 113.9027, -3.814697e-06, 126.6407, 26.37747, 69.71697, 231.7498, 307.2542, 0, 256.4029, 0, 0, 696.0463, 0
1.1, 0, 107.5602, -3.814697e-06, 119.1445, 24.97498, 65.55981, 221.7003, 289.3118, 0, 239.9445, 0, 0, 723.5073, 0
1.2, 0, 101.5708, -3.814697e-06, 112.0921, 23.64705, 61.65053, 212.0866, 272.4172, 0, 224.5425, 0, 0, 761.978, 0
1.3, 0, 95.91502, -3.814697e-06, 105.457, 22.38972, 57.97435, 202.8898, 256.5092, 0, 210.1292, 0, 0, 718.9684, 0
1.4, 0, 90.57413, -3.814697e-06, 99.21479, 21.19926, 54.51738, 194.0918, 241.5302, 0, 196.6411, 0, 0, 1073.328, 0
1.5, 0, 88.12231, 27.62991, 93.34203, 20.07209, 51.26655, 185.6753, 227.4258, 0, 184.0187, 0, 0, 1138.407, 0
1.6, 0, 83.21535, 26.28373, 87.81689, 19.00486, 48.20957, 177.6238, 214.1451, 0, 172.2066, 0, 0, 1077.298, 0
1.7, 0, 78.58164, 25.00315, 82.61879, 17.99436, 45.33487, 169.9214, 201.64, 0, 161.1527, 1057.875, 0, 1016.49, 0
1.8, 0, 74.20594, 23.78495, 77.72838, 17.03759, 42.63158, 162.553, 189.8651, 0, 150.8083, 2090.013, 0, 1132.371, 0
1.9, 0, 70.0739, 22.62611, 73.12744, 16.1317, 40.0895, 155.5042, 178.7777, 0, 141.128, 2493.967, 0, 1068.455, 0
2, 0, 66.17194, 21.52373, 68.79885, 15.27397, 37.699, 148.761, 168.3379, 0, 132.069, 2439.481, 0, 1170.063, 0
2.1, 0, 62.48725, 20.47505, 64.72648, 14.46185, 35.45103, 142.3102, 158.5077, 0, 123.5915, 2537.722, 0, 1142.554, 0
2.2, 0, 59.00775, 19.47747, 60.89516, 13.69291, 33.33711, 136.1391, 149.2515, 0, 115.6582, 2418.418, 0, 1110.552, 0
2.3, 0, 55.72199, 18.5285, 107.3408, 12.96486, 31.34924, 130.2357, 140.5358, 0, 108.2342, 2251.886, 0, 1047.867, 0
2.4, 0, 52.61919, 17.62576, 100.9871, 12.27551, 29.47991, 124.5882, 132.3291, 0, 101.2866, 2274.6, 0, 1082.898, 0
2.5, 0, 49.68917, 16.767, 95.00939, 11.62282, 27.72204, 119.1856, 124.6017, 0, 94.78508, 2123.962, 0, 1030.327, 0
2.6, 68.60539, 46.92231, 15.95008, 89.38556, 30.73905, 26.069, 114.0173, 117.3255, 0, 88.70085, 1977.706, 294.9683, 972.1707, 0
2.7, 65.14414, 44.30951, 15.17297, 84.09461, 29.10464, 24.51452, 109.0731, 110.4742, 0, 83.00717, 1986.805, 1228.274, 1010.081, 0
2.8, 61.85752, 41.8422, 14.43372, 79.11685, 27.55714, 23.05274, 104.3434, 104.0229, 0, 77.67896, 1918.365, 1444.646, 1031.056, 0
2.9, 58.73671, 39.51228, 13.73048, 191.4897, 51.4819, 21.67812, 99.81866, 97.94846, 0, 72.69277, 1825.625, 1347.804, 972.8586, 134.799
3, 55.77335, 37.31209, 13.06151, 180.1549, 48.74459, 20.38547, 95.49018, 92.22868, 0, 68.02664, 1805.331, 1257.454, 917.9459, 267.3434
3.1, 52.9595, 35.23442, 12.42513, 169.4911, 46.15282, 19.1699, 91.3494, 86.84293, 0, 63.66003, 1701.026, 1484.935, 866.1327, 251.2323
3.2, 50.28761, 33.27245, 11.81976, 159.4585, 43.69886, 18.02682, 87.38817, 81.77167, 0, 59.5737, 1583.894, 1547.172, 855.6376, 236.0921
3.3, 47.75051, 31.41973, 11.24388, 150.0198, 41.37537, 16.95189, 83.59872, 76.99655, 0, 55.74968, 1474.827, 1494.566, 807.3414, 221.8643
3.4, 45.34143, 29.67016, 10.69606, 141.1397, 39.17544, 15.94106, 79.97359, 72.50028, 0, 52.17112, 1459.153, 1394.378, 761.7713, 208.4939
3.5, 43.05388, 28.01802, 10.17493, 132.7853, 37.09246, 14.99051, 76.50566, 68.26658, 0, 48.82227, 1526.881, 1300.905, 740.9808, 195.9293
3.6, 40.88174, 26.45788, 9.679189, 124.9254, 35.12025, 14.09664, 99.44505, 64.28011, 0, 45.68839, 1465.069, 1213.699, 810.3345, 184.1218
3.7, 38.81919, 24.98462, 9.207602, 117.5308, 33.25289, 13.25606, 95.13277, 60.52642, 0, 42.75565, 1423.982, 1132.339, 764.5954, 173.0259
3.8, 36.86071, 23.59338, 8.758992, 110.5739, 31.48482, 39.24611, 91.00749, 56.99193, 0, 40.01118, 1325.926, 1191.3, 721.438, 162.5987
3.9, 35.00103, 22.27962, 8.332239, 104.0287, 29.81077, 36.9059, 105.0967, 53.66384, 0, 37.44287, 1234.623, 1111.441, 680.7167, 152.7999
4, 33.23517, 21.03901, 7.926277, 97.87103, 28.22572, 34.70522, 100.5393, 50.5301, 0, 35.03942, 1155.624, 1091.633, 727.6956, 143.5916
4.1, 31.5584, 19.86749, 7.540096, 92.07781, 53.37232, 32.63578, 96.17958, 47.57935, 0, 32.79025, 1152.469, 1018.455, 686.621, 134.9382
4.2, 29.96623, 20.70821, 7.172729, 86.6275, 50.5345, 30.68973, 92.00891, 44.80092, 0, 30.68545, 1073.11, 950.1829, 667.3188, 126.8063
4.3, 28.45439, 19.55511, 6.823262, 81.49981, 47.84756, 28.85972, 88.01909, 42.18474, 0, 28.71576, 999.2155, 886.4873, 684.9607, 119.1645
4.4, 27.01882, 18.46621, 6.490821, 76.67564, 45.30349, 27.13884, 84.20228, 39.72134, 0, 26.87251, 934.105, 987.7399, 736.5786, 111.9832
4.5, 25.65568, 17.43795, 13.41156, 72.13702, 42.89469, 25.52057, 80.55097, 37.40178, 0, 25.14757, 1062.512, 921.5267, 695.0027, 105.2347
4.6, 24.36131, 16.46694, 12.75813, 67.86706, 40.61397, 23.99879, 77.05801, 35.21767, 0, 23.53335, 989.3478, 878.4618, 683.5125, 98.89283
4.7, 23.13224, 15.55, 12.13653, 63.84984, 41.86108, 22.56776, 73.71651, 33.16111, 0, 22.02275, 921.2214, 828.0364, 665.9013, 92.93317
4.8, 21.96518, 14.68413, 11.54522, 60.07042, 39.63531, 21.22206, 70.51991, 31.22465, 0, 20.60912, 857.8777, 863.8594, 667.4136, 87.33266
4.9, 20.85701, 13.86646, 10.98271, 56.51471, 37.52789, 19.95661, 67.46191, 29.40126, 0, 19.28622, 856.6997, 805.9505, 672.7449, 82.06966
5, 19.80474, 13.09433, 10.44762, 53.16946, 35.53252, 18.76661, 64.53654, 27.68435, 0, 18.04824, 797.7075, 751.9235, 634.772, 77.12383
5.1, 18.80556, 12.36519, 9.938591, 50.02224, 33.64324, 17.64757, 61.73801, 168.1781, 0, 16.88973, 742.7774, 701.5182, 674.8504, 72.47606
5.2, 17.85679, 11.67665, 34.83201, 47.0613, 31.85442, 16.59526, 59.06084, 158.3572, 0, 15.80558, 733.231, 654.4919, 636.7587, 68.10838
5.3, 16.95588, 17.71378, 33.13494, 44.27562, 30.16071, 15.6057, 56.49976, 458.4438, 0, 14.79103, 1245.431, 610.618, 625.0962, 64.00391
5.4, 16.10043, 16.72741, 31.52055, 41.65484, 28.55706, 14.67514, 54.04974, 1025.78, 0, 13.84159, 2386.863, 569.6852, 589.8128, 60.14679
5.5, 15.28814, 54.75781, 29.98481, 39.18919, 27.03867, 13.80008, 51.70595, 965.8785, 0, 12.95311, 2590.431, 531.4963, 793.8307, 56.52211
5.6, 14.51683, 51.7087, 28.5239, 36.86949, 25.60102, 12.97719, 49.4638, 1038.649, 0, 12.12165, 2629.858, 673.2203, 1012.763, 53.11587
5.7, 13.78443, 89.31831, 27.13417, 34.6871, 24.2398, 12.20337, 47.31888, 1069.337, 0, 11.34356, 2478.801, 628.0909, 955.598, 49.91491
5.8, 13.08899, 93.74921, 25.81215, 32.63388, 22.95097, 11.47569, 45.26697, 1028.036, 0, 10.61543, 2382.594, 585.9868, 962.5838, 46.90684
5.9, 12.42863, 88.52893, 24.55453, 30.7022, 21.73066, 10.7914, 43.30404, 968.0035, 0, 9.934025, 2275.644, 546.7051, 977.8624, 44.08006
6, 11.80158, 83.59933, 23.3582, 28.88486, 20.57523, 10.14792, 41.42623, 911.4763, 0, 9.296362, 2166.12, 510.0567, 964.0081, 41.42362
