 , C00, C01, C03, C05, C06, C10, C17, C23, C27, C51
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 21.46991, 175.7166, 50.58691, 0, 0, 0, 0, 66.59529, 0, 0
0.2, 20.24481, 166.4877, 214.0737, 0, 0, 0, 77.73407, 63.02977, 0, 0
0.3, 121.5905, 168.2638, 221.9729, 0, 0, 0, 100.7892, 59.65514, 0, 0
0.4, 114.6524, 159.4264, 352.6018, 0, 0, 0, 137.5947, 56.46118, 0, 0
0.5, 248.8542, 151.0531, 336.4285, 0, 0, 0, 243.8388, 53.43823, 0, 0
0.6, 234.6544, 220.7993, 434.2112, 0, 0, 0, 228.9714, 50.57714, 0, 0
0.7, 221.2648, 236.4196, 554.9055, 0, 0, 0, 286.8094, 47.86922, 0, 0
0.8, 274.2817, 224.0026, 578.162, 0, 0, 0, 285.3561, 45.3063, 0, 0
0.9, 957.309, 212.2376, 682.3905, 0, 0, 0, 267.9573, 42.88059, 0, 0
1, 1035.553, 201.0906, 765.1945, 0, 0, 0, 387.7429, 40.58475, 0, 0
1.1, 1000.964, 223.8684, 862.7228, 0, 0, 0, 364.1014, 38.41183, 0, 0
1.2, 1030.439, 212.1105, 984.826, 0, 0, 0, 411.2669, 36.35526, 0, 0
1.3, 971.6417, 200.9701, 939.6533, 0, 0, 0, 386.1911, 34.40879, 0, 0
1.4, 1008.425, 243.1595, 896.553, 0, 0, 0, 384.8786, 32.56654, 0, 0
1.5, 1040.543, 268.2971, 1136.379, 0, 0, 0, 380.2372, 30.82291, 0, 0
1.6, 1003.417, 254.2057, 1175.644, 0, 0, 0, 357.0533, 29.17265, 0, 0
1.7, 946.1612, 337.5503, 1121.719, 0, 0, 0, 335.283, 27.61074, 0, 0
1.8, 904.5929, 319.8217, 1109.396, 0, 0, 0, 367.8388, 26.13245, 0, 0
1.9, 889.6168, 303.0243, 1112.376, 0, 0, 0, 345.4109, 24.73332, 0, 0
2, 838.8545, 287.109, 1095.572, 0, 0, 0, 383.4106, 23.40909, 0, 0
2.1, 790.9888, 272.0297, 1114.976, 0, 0, 0, 420.1099, 22.15576, 0, 0
2.2, 800.2654, 257.7423, 1221.904, 0, 0, 0, 397.9053, 20.96954, 0, 0
2.3, 898.6285, 248.1466, 1289.784, 0, 0, 0, 373.6442, 19.84682, 0, 0
2.4, 847.3521, 235.1136, 1379.877, 0, 0, 0, 389.6759, 18.78422, 0, 0
2.5, 855.4679, 222.7651, 1316.584, 0, 0, 0, 372.9802, 17.77851, 0, 0
2.6, 806.6542, 211.0652, 1256.195, 0, 0, 0, 350.2388, 16.82664, 0, 0
