 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 143.0149, 184.9637, 0, 204.6876, 0, 0, 0, 0, 0, 0, 0, 111.7804, 0, 0, 83.10333
0.2, 0, 306.3474, 176.1018, 22.82999, 280.8726, 7.629395e-06, 0, 0, 0, 0, 0, 128.9243, 105.7318, 3.051758e-05, 0, 230.5963
0.3, 0, 458.5159, 243.4534, 21.40887, 262.985, 1.525879e-05, 0, 0, 0, 0, 0, 207.8315, 128.688, 3.051758e-05, 0, 218.9042
0.4, 0, 516.491, 246.7494, 20.0762, 380.7985, 7.629395e-06, 0, 0, 0, 0, 39.03589, 315.0808, 121.7245, 3.051758e-05, 0, 207.8051
0.5, 0, 488.427, 234.9271, 18.82654, 356.547, 1.525879e-05, 0, 0, 0, 0, 37.23978, 488.3326, 115.1378, 3.051758e-05, 0, 197.2687
0.6, 0, 632.4436, 305.09, 17.65463, 333.84, 1.525879e-05, 0, 0, 0, 0, 35.52632, 607.1047, 511.3372, 3.051758e-05, 0, 187.2665
0.7, 0, 732.156, 493.5225, 16.55566, 312.5791, 1.525879e-05, 0, 0, 0, 0, 33.8917, 608.8678, 483.6681, 17.62292, 0, 177.7715
0.8, 0, 692.3735, 530.8374, 15.5251, 343.161, 1.525879e-05, 0, 0, 0, 0, 32.3323, 570.6472, 610.8251, 96.17734, 0, 375.3629
0.9, 0, 654.7529, 1479.383, 14.5587, 321.3065, 1.525879e-05, 0, 0, 0, 0, 30.84464, 587.1619, 577.7725, 91.28668, 0, 356.3307
1, 0, 714.0928, 1767.221, 13.65247, 410.6391, 1.525879e-05, 0, 0, 0, 0, 29.42543, 723.8596, 645.8862, 86.64468, -6.103516e-05, 688.9482
1.1, 0, 709.8065, 1682.55, 12.80263, 384.4872, 1.525879e-05, 0, 0, 0, 0, 28.07152, 718.6741, 654.7612, 82.23874, 0, 654.0163
1.2, 0, 736.4482, 1677.925, 12.00571, 360.0008, 1.525879e-05, 0, 0, 0, 0, 26.77991, 673.5607, 763.7358, 78.05685, 6.103516e-05, 620.8555
1.3, 0, 796.447, 1597.532, 11.25838, 337.0739, 70.42749, 0, 0, 0, 0, 25.54773, 769.931, 1004.194, 74.08762, 6.103516e-05, 589.3762
1.4, 0, 764.548, 1520.991, 10.55757, 315.6071, 67.04642, 8.785126, 0, 0, 246.4483, 141.7905, 721.6001, 1530.798, 70.32019, 6.103516e-05, 559.4928
1.5, 0, 887.3645, 1448.117, 9.900391, 295.5074, 74.42731, 8.252795, 0, 0, 231.6864, 135.2665, 676.3029, 1662.594, 66.74437, 6.103516e-05, 531.1246
1.6, 0, 869.4801, 1378.734, 9.284119, 276.6877, 70.85422, 19.72021, 0, 0, 217.8087, 141.2081, 633.8492, 1633.54, 63.35037, 6.103516e-05, 504.1949
1.7, 0, 823.257, 1312.676, 8.706207, 259.0666, 67.45267, 18.52527, 0, 0, 204.7623, 134.7109, 594.0604, 1652.434, 60.12897, 6.103516e-05, 478.6305
1.8, 0, 908.9727, 1423.118, 8.164276, 242.5678, 99.18048, 110.4642, 0, 0, 473.9081, 163.5231, 681.3438, 1881.214, 57.07137, 0.0001220703, 454.3624
1.9, 0, 1009.605, 1577.066, 7.656067, 227.1196, 197.5171, 578.8472, 0, 506.6514, 728.4913, 479.7755, 803.5331, 2210.606, 54.16925, 0.0001220703, 431.3247
2, 0, 1104.117, 1501.506, 7.179504, 212.6553, 188.0347, 657.7919, 0, 790.8307, 777.909, 546.9387, 753.0928, 2141.594, 51.4147, 0.0001831055, 409.4551
2.1, 0, 1058.972, 1440.113, 6.732597, 199.1122, 179.0076, 638.8916, 0, 739.15, 884.5502, 549.3079, 705.8187, 2488.917, 48.80023, 0.0001220703, 388.6944
2.2, 0, 1001.467, 1371.114, 6.313515, 186.4316, 170.4138, 600.1782, 0, 875.2018, 848.7332, 605.962, 762.6659, 2496.304, 46.31871, 9.155273e-05, 368.9863
2.3, 0, 947.0512, 1305.421, 5.920517, 174.5586, 297.4303, 1152.706, 0, 1336.059, 1083.522, 798.455, 890.7932, 2632.753, 43.96338, 9.155273e-05, 350.2775
2.4, 0, 1036.971, 1242.875, 5.551979, 163.4417, 359.316, 1524.508, 0, 1488.316, 1045.76, 761.7169, 834.8752, 2490.291, 41.7278, 0.0001220703, 332.5173
2.5, 0, 1053.352, 1247.031, 5.206383, 153.0327, 342.0661, 1481.072, 0, 1391.055, 1202.725, 869.7892, 782.4674, 2572.608, 39.60593, 0.0001220703, 315.6575
2.6, 0, 1011.447, 1187.283, 4.882301, 143.2867, 325.6442, 1543.585, 0, 1600.725, 1242.904, 982.0571, 867.806, 2433.401, 37.59195, 0.0001220703, 299.6527
2.7, 0, 956.4887, 1130.398, 4.578392, 134.1614, 375.571, 1538.66, 0, 1496.118, 1168.456, 936.8712, 1417.072, 2371.528, 35.68037, 0.0001220703, 284.4593
2.8, 0, 1127.15, 1133.137, 4.293404, 125.6172, 357.5406, 1585.168, 0, 1398.347, 1387.283, 893.7644, 1693.693, 2300.545, 33.86601, 9.155273e-05, 270.0363
2.9, 0, 1065.906, 1373.121, 4.026146, 117.6171, 477.65, 1899.211, 0, 1306.966, 1304.187, 944.716, 1761.17, 2301.969, 32.1439, 9.155273e-05, 256.3445
3, 0, 1007.989, 1317.834, 3.775528, 110.1266, 454.7191, 1784.129, 0, 1730.029, 1407.864, 901.2483, 1864.578, 2322.775, 30.50937, 9.155273e-05, 243.3471
3.1, 0, 1030.648, 1439.244, 3.540516, 103.1131, 557.4736, 1785.925, 0, 1616.972, 1822.194, 957.7974, 2120.414, 2381.641, 28.95795, 9.155273e-05, 231.0086
3.2, 0, 974.6466, 1370.287, 3.320126, 96.54626, 681.7953, 1778.259, 0, 1511.303, 2099.923, 987.4372, 2109.262, 2400.678, 27.48542, 9.155273e-05, 219.2957
3.3, 0, 921.6884, 1414.772, 3.113461, 90.39763, 784.9814, 1670.506, 0, 1804.853, 2302.392, 942.0038, 2101.432, 2344.255, 26.08777, 9.155273e-05, 208.1767
3.4, 0, 999.1829, 1362.267, 2.919655, 84.64057, 747.2962, 1755.382, 0, 2100.225, 2584.765, 1156.111, 2132.333, 2643.597, 24.76119, 7.629395e-05, 197.6214
3.5, 0, 987.5551, 1296.998, 2.737915, 79.25018, 1069.146, 1974.098, 0, 2107.092, 3092.914, 1396.435, 1998.48, 2846.376, 23.50207, 9.155273e-05, 187.6014
3.6, 0, 964.7583, 1234.856, 2.567486, 74.20307, 1222.16, 1896.686, 0, 2277.54, 3197.148, 1430.366, 2092.01, 2827.549, 22.30698, 7.629395e-05, 178.0894
3.7, 0, 985.5061, 1175.692, 2.407669, 69.47738, 1163.487, 1888.007, 0, 2128.703, 3050.081, 1386.559, 2037.05, 2719.635, 21.17265, 7.629395e-05, 169.0596
3.8, 0, 936.7056, 1210.636, 2.257801, 65.05265, 1107.63, 1773.604, 0, 2107.613, 3065.22, 1560.279, 1956.304, 2572.472, 20.09601, 6.103516e-05, 160.4878
3.9, 0, 885.8088, 1152.632, 2.117256, 60.90972, 1073.025, 1745.56, 0, 1969.88, 2881.617, 1559.663, 1934.217, 2555.61, 19.07412, 6.103516e-05, 152.3505
4, 0, 894.8391, 1208.385, 1.985462, 57.03064, 1021.511, 1666.018, 0, 1919.014, 2709.012, 1487.901, 1812.8, 2417.323, 18.10419, 4.577637e-05, 144.6259
4.1, 0, 877.9044, 1150.488, 1.861874, 53.39859, 972.4708, 1641.929, 0, 1793.606, 2546.746, 1419.44, 2410.281, 2547.892, 17.18358, 6.103516e-05, 137.2928
4.2, 0, 875.4901, 1344.298, 1.745977, 49.99786, 925.7847, 1669.036, 0, 2349.153, 2394.2, 1354.13, 3429.41, 2410.022, 16.30978, 6.103516e-05, 130.3316
