 , C000, C002, C003, C004, C005, C010, C015, C017, C018, C019, C021, C022, C024, C027, C030, C060, C075
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 113.1638, 0, 0, 0, 0, 0, 97.06354, 13.73779, 80.0083, 118.4855, 0, 451.7651, 17.5675, 38.85504, 0, 127.0637
0.2, 0, 130.2249, 86.54617, 0, 73.26266, 127.7341, 0, 176.836, 55.11157, 76.20044, 232.8029, 157.099, 454.8426, 16.60028, 249.0297, 0, 120.5515
0.3, 0, 505.9575, 155.6443, 0, 68.7341, 120.575, -3.051758e-05, 167.2239, 195.0122, 72.57385, 219.4457, 182.6038, 451.2203, 282.3035, 280.2582, 7.629395e-06, 140.3932
0.4, 0, 482.4027, 276.3874, 0, 138.9532, 113.8172, -3.051758e-05, 223.2775, 354.7644, 156.7922, 206.855, 218.1849, 434.627, 352.0108, 296.6138, 152.5669, 312.0566
0.5, 0, 459.9445, 256.5714, 0, 130.364, 175.3275, -3.051758e-05, 211.1411, 339.353, 360.3737, 251.5836, 252.8674, 463.7006, 424.8397, 280.9273, 144.1149, 296.063
0.6, 0, 438.5319, 249.9661, 0, 122.3058, 165.5009, -3.051758e-05, 340.0528, 324.6113, 343.2222, 300.0454, 251.4675, 433.0185, 530.7376, 363.074, 136.131, 356.7419
0.7, 0, 418.116, 232.0444, 0, 114.7457, 156.2251, -3.051758e-05, 402.8434, 518.8574, 326.8868, 282.8302, 269.6093, 471.6384, 501.5144, 503.1497, 128.5895, 542.4524
0.8, 0, 398.6506, 215.4076, 0, 107.653, 147.4691, 114.8646, 380.9465, 496.318, 416.6646, 416.1231, 256.7638, 518.3228, 473.9003, 602.0512, 121.4658, 514.6505
0.9, 0, 380.0916, 207.5113, 0, 100.9986, 139.2039, 108.5953, 360.2399, 474.7576, 396.8339, 392.2479, 301.4004, 573.0526, 447.8066, 570.2116, 114.7367, 488.2734
1, 0, 470.6985, 192.6335, 0, 94.75558, 131.402, 102.6681, 340.6588, 454.1339, 377.9473, 369.7426, 429.567, 550.6057, 652.8476, 540.0558, 108.3805, 463.2482
1.1, 0, 448.7852, 178.8223, 0, 88.89845, 124.0373, 97.06445, 322.1421, 449.4025, 725.4613, 348.5285, 446.3286, 544.2109, 616.9009, 511.495, 102.3763, 491.0515
1.2, 0, 570.8013, 166.0014, 0, 83.40337, 117.0854, 91.76666, 304.6318, 695.9775, 690.934, 328.5316, 472.7931, 508.2016, 582.9334, 552.9564, 96.70476, 613.3486
1.3, 0, 544.2276, 154.0997, 0, 78.24794, 110.5231, 86.75803, 288.0734, 777.6583, 658.0499, 309.682, 595.9365, 474.575, 550.8362, 523.7133, 91.34742, 581.913
1.4, 0, 518.8911, 143.0513, 0, 73.41121, 104.3286, 82.02275, 272.4149, 743.8765, 878.6807, 381.0658, 628.2174, 498.4041, 520.5063, 550.2853, 86.28687, 552.0886
1.5, 0, 527.627, 132.795, 0, 68.87343, 116.3057, 77.54593, 257.6076, 855.063, 975.7496, 359.2021, 739.9343, 465.4257, 558.5068, 597.1781, 81.50666, 607.7532
1.6, 0, 792.6284, 123.2741, 0, 64.61617, 109.7872, 73.31346, 557.22, 817.9186, 976.2294, 338.5928, 789.3302, 434.6295, 708.1478, 565.5962, 76.99127, 774.9313
1.7, 0, 755.7275, 114.4358, 0, 60.62203, 217.6533, 505.2611, 526.9318, 843.4191, 929.767, 319.166, 751.7231, 405.871, 750.5333, 589.4169, 72.72604, 735.2142
1.8, 0, 729.3599, 106.2311, 0, 56.87479, 266.9666, 477.6839, 498.2901, 1024.198, 1069.216, 300.8537, 715.9077, 407.0878, 709.2079, 728.7726, 68.6971, 697.5327
1.9, 0, 775.0002, 184.0742, 0, 136.9584, 322.5111, 809.3121, 471.2051, 1028.834, 1045.011, 283.5922, 681.7988, 380.1517, 694.8304, 724.1459, 64.89135, 661.7825
2, 0, 873.9056, 170.8767, 0, 128.4926, 304.4353, 765.1396, 445.5924, 1003.203, 995.2756, 267.321, 722.8088, 383.0107, 656.572, 685.8494, 61.29644, 627.8646
2.1, 0, 875.951, 163.2777, 0, 216.4951, 287.3727, 723.3782, 421.3719, 1125.896, 1146.873, 251.9834, 728.0318, 357.6677, 620.4203, 649.5781, 57.90068, 863.1298
2.2, 0, 1000.507, 151.5713, 0, 203.1129, 325.0157, 683.8962, 398.4679, 1076.986, 1092.289, 237.5258, 764.4194, 368.0684, 586.259, 615.2251, 54.69305, 818.8925
2.3, 0, 953.9285, 140.7042, 0, 190.5579, 306.7995, 646.569, 376.8089, 1030.201, 1173.137, 274.7964, 727.9993, 343.7141, 553.9788, 582.6888, 51.66311, 776.9223
2.4, 94.01662, 909.5184, 153.6996, 0, 178.7789, 465.113, 611.2791, 356.3271, 998.3106, 1117.304, 325.4028, 693.3143, 373.618, 523.476, 586.0989, 48.80103, 737.1032
2.5, 140.1224, 893.2928, 142.6798, 0, 167.7281, 439.0449, 577.9154, 336.9587, 1158.982, 1064.127, 306.7327, 804.8624, 417.9024, 494.6526, 651.6234, 46.0975, 699.325
2.6, 143.1381, 851.7056, 132.4502, 0, 157.3603, 414.4378, 546.3727, 318.6431, 1240.573, 1013.481, 289.1339, 785.9975, 546.9102, 467.4164, 617.1622, 43.54375, 663.4828
2.7, 133.9766, 856.6514, 181.8701, 0, 147.6334, 466.0323, 516.5516, 301.323, 1194.799, 965.2461, 323.7357, 984.9684, 645.8988, 441.6797, 584.5236, 41.13147, 629.4778
2.8, 157.8157, 816.77, 185.1319, 0, 138.5077, 439.9126, 488.3581, 284.9443, 1244.122, 919.3065, 368.9619, 1046.869, 603.1611, 499.1196, 553.611, 228.843, 597.2155
2.9, 280.7756, 778.7452, 171.8586, 0, 129.9461, 415.2568, 461.7034, 269.456, 1208.525, 875.5534, 347.7926, 1038.834, 563.2512, 471.6374, 524.3331, 216.1653, 566.6068
3, 262.8047, 742.4907, 199.3546, 22.61127, 121.9137, 391.9829, 436.5036, 254.8095, 1156.026, 833.8826, 327.838, 989.3391, 625.5513, 445.6684, 496.6037, 264.7271, 537.5669
3.1, 329.5824, 738.623, 185.0616, 21.43278, 114.3779, 370.0135, 412.6791, 240.9592, 1191.676, 794.195, 330.7526, 942.2028, 634.8575, 421.1292, 470.3408, 250.0615, 510.0153
3.2, 356.4023, 704.2365, 250.0019, 20.31571, 107.3078, 488.8406, 390.1551, 227.8616, 1145.309, 756.3964, 311.7755, 974.2278, 592.8504, 397.9413, 497.1778, 236.2083, 483.8758
3.3, 467.2712, 775.9235, 329.2795, 19.25686, 100.6748, 461.4426, 501.1482, 215.4761, 1234.456, 720.3966, 368.5135, 978.9619, 553.6227, 376.03, 500.0782, 223.1226, 459.076
3.4, 437.3637, 739.8004, 305.6714, 18.2532, 94.4518, 456.2727, 1402.783, 203.7637, 1206.345, 686.1104, 347.3699, 932.3201, 516.9907, 355.3253, 473.6315, 210.7619, 435.5473
3.5, 409.3704, 721.5656, 310.3274, 17.30185, 88.61344, 430.7, 1516.875, 192.688, 1172.978, 653.4558, 327.4395, 887.9004, 482.7825, 335.7606, 770.2769, 279.6823, 413.2245
3.6, 394.2871, 728.0724, 388.8225, 91.30399, 101.864, 406.5605, 1601.918, 593.9122, 1176.356, 622.3555, 308.6526, 874.5759, 450.8378, 317.2731, 869.3824, 264.1883, 392.0457
3.7, 433.6602, 726.6296, 360.9453, 86.54527, 105.3389, 468.2105, 1514.485, 561.6296, 1207.911, 831.9351, 290.9435, 832.9075, 421.0068, 299.8036, 1112.791, 387.5026, 371.9525
3.8, 405.9039, 734.9504, 335.0668, 82.03456, 203.3174, 568.7446, 1452.781, 531.1018, 1272.339, 792.3403, 274.2505, 878.0695, 393.1497, 283.296, 1071.899, 366.0353, 352.889
3.9, 379.9242, 746.2797, 311.0437, 77.75895, 190.7497, 536.8681, 1514.122, 502.2334, 1217.068, 800.2565, 258.5154, 885.8928, 367.1358, 267.6974, 1173.933, 345.7574, 334.8026
4, 370.787, 711.5366, 288.7429, 73.70618, 178.9589, 657.943, 1551.505, 474.9341, 1207.362, 762.1693, 243.683, 881.698, 342.8432, 306.1266, 1111.85, 326.6028, 317.6432
4.1, 347.0549, 678.411, 268.0411, 88.03026, 167.8969, 621.0673, 1614.47, 449.1187, 1165.252, 850.0911, 229.7016, 877.0666, 320.158, 337.947, 1053.049, 308.5093, 301.3632
4.2, 398.8495, 673.0015, 248.8235, 215.3979, 276.3298, 643.0428, 1591.331, 424.7065, 1114.632, 809.6322, 216.5224, 835.2794, 298.9738, 319.3391, 997.3588, 370.3147, 285.9176
4.3, 373.3213, 712.6447, 230.9837, 204.1714, 259.2491, 790.5873, 1636.504, 401.6213, 1257.004, 805.322, 204.0994, 795.4832, 279.1913, 301.7559, 991.8176, 386.9096, 271.2637
4.4, 349.427, 679.4675, 223.3876, 193.5301, 243.2241, 922.8219, 1626.536, 379.7909, 1412.269, 766.9938, 192.3891, 757.5829, 320.9894, 285.1408, 939.3652, 384.6577, 547.6518
4.5, 327.0621, 734.6296, 328.1487, 195.0296, 228.1897, 947.3062, 1640.835, 359.1471, 1366.645, 866.5613, 181.3508, 721.4885, 468.8999, 269.4405, 889.6868, 443.9734, 519.5834
4.6, 306.1286, 700.429, 304.6216, 184.8647, 214.0845, 894.2126, 1551.278, 339.6254, 1370.464, 825.3184, 170.9457, 742.8191, 437.8738, 254.6047, 1043.026, 419.3778, 492.9535
4.7, 286.535, 753.2571, 282.7813, 175.2297, 252.1069, 844.0947, 1562.886, 321.1648, 1357.884, 786.0385, 219.9935, 887.3765, 408.9006, 240.5858, 987.866, 396.1447, 467.6885
4.8, 268.1954, 718.1893, 264.9862, 269.204, 236.5235, 796.7857, 1611.304, 303.7076, 1357.813, 952.6232, 347.0422, 904.0891, 381.8445, 227.3389, 935.6226, 374.1988, 443.7183
4.9, 293.558, 684.7539, 258.6376, 263.9817, 373.2303, 752.1283, 1523.358, 287.1994, 1400.201, 907.2843, 343.7358, 904.1894, 356.5786, 214.8212, 999.6102, 353.4685, 420.9767
5, 274.769, 681.6364, 331.2483, 250.2231, 350.1599, 709.9738, 1462.351, 271.5884, 1356.04, 1005.443, 411.6174, 861.1099, 332.9846, 298.0281, 1058.615, 441.3364, 528.9321
5.1, 257.1825, 744.808, 319.9899, 237.1816, 343.6861, 670.1819, 1533.205, 256.826, 1305.946, 957.5905, 388.0007, 820.083, 310.9517, 281.6183, 1002.63, 533.6701, 634.7621
5.2, 240.7216, 774.5258, 297.0477, 266.8022, 373.6463, 632.6202, 1494.958, 242.8661, 1378.604, 970.2306, 365.7391, 924.6483, 290.3767, 266.112, 949.606, 504.1054, 662.0735
5.3, 280.2748, 738.4678, 275.7505, 252.8966, 350.5501, 597.1638, 1413.363, 229.6649, 1329.25, 1135.878, 460.1883, 940.6556, 271.1631, 251.4595, 899.3859, 476.1785, 628.1407
5.4, 334.1795, 784.3361, 342.6909, 326.2952, 341.8841, 563.6946, 1336.221, 217.1813, 1335.183, 1081.818, 433.7849, 895.8387, 253.2208, 237.6138, 983.1591, 449.7987, 675.9843
5.5, 330.4246, 810.2686, 318.1212, 349.8477, 320.7512, 667.2369, 1518.518, 205.3763, 1359.243, 1030.33, 586.4656, 901.3658, 236.4657, 224.5304, 931.1647, 500.6031, 839.4112
5.6, 309.2759, 818.4399, 295.313, 401.3074, 300.9246, 741.9299, 1435.637, 377.76, 1300.197, 981.2926, 552.817, 1198.975, 220.8193, 212.1675, 936.4839, 472.8702, 796.3894
5.7, 299.4326, 1088.763, 294.5632, 380.3914, 282.3235, 700.3469, 1357.279, 629.09, 1450.615, 1301.699, 620.3629, 1280.35, 206.2081, 260.7081, 953.2119, 446.6737, 755.5726
5.8, 280.2675, 1373.885, 273.4441, 360.5655, 399.5724, 661.0946, 1283.199, 797.4926, 1440.849, 1262.325, 584.7695, 1245.977, 192.5638, 246.3532, 902.8011, 421.9285, 1224.271
5.9, 355.0365, 1508.752, 253.8391, 341.773, 377.2311, 624.0423, 1213.162, 994.779, 1475.058, 1591.513, 900.1876, 1283.071, 179.8222, 232.7886, 1087.78, 456.0698, 1363.556
6, 350.8126, 1547.29, 235.6397, 419.0847, 353.9133, 589.0666, 1221.534, 1372.323, 1504.949, 1515.767, 1057.833, 1221.94, 167.9238, 219.9709, 1143.432, 430.804, 1293.67
6.1, 328.3589, 1674.834, 218.7452, 397.2422, 431.5828, 556.0511, 1256.636, 1479.149, 1654.287, 1663.126, 1136.896, 1269.1, 156.8126, 454.7162, 1269.073, 611.2287, 1344.341
6.2, 323.4232, 1774.683, 203.0619, 376.5381, 404.9054, 577.9299, 1188.049, 1472.073, 1605.155, 1583.971, 1087.761, 1208.634, 146.4367, 517.519, 1321.975, 577.3672, 1470.222
6.3, 302.7226, 1692.063, 188.5031, 411.9914, 639.34, 580.9669, 1123.205, 1392.057, 1535.426, 1508.584, 1025.351, 1151.05, 136.7473, 489.0237, 1252.062, 545.3817, 1557.34
6.4, 283.347, 1655.259, 174.9881, 390.5186, 682.051, 624.0785, 1061.9, 1414.92, 1468.726, 1436.785, 983.1678, 1096.209, 127.699, 462.0974, 1185.846, 515.1682, 1477.523
6.5, 324.0342, 1632.625, 162.4421, 370.1649, 639.8914, 747.8104, 1003.942, 1338.011, 1509.266, 1459.618, 1112.214, 1043.981, 119.2494, 436.6537, 1210.032, 486.6284, 1558.884
6.6, 406.0801, 1556.618, 150.7956, 549.0234, 600.3377, 723.9474, 1014.455, 1427.981, 1512.648, 1596.814, 1048.401, 1281.359, 111.3589, 503.5814, 1468.21, 459.6696, 1514.527
6.7, 380.0891, 1689.358, 139.9841, 573.9601, 563.229, 780.4038, 959.0856, 1443.297, 1446.938, 1520.816, 988.2484, 2044.122, 103.9905, 475.8535, 1641.622, 434.2044, 1436.904
6.8, 355.7617, 1610.71, 129.9477, 544.0456, 528.4141, 736.6646, 1078.091, 1364.845, 1439.297, 1448.435, 931.5474, 2538.59, 97.10971, 449.6524, 1731.508, 410.15, 1363.26
6.9, 332.9913, 1535.724, 120.6309, 521.6451, 495.7512, 695.3768, 1019.248, 1290.658, 1424.645, 1379.499, 1037.874, 2748.913, 90.68417, 424.8939, 1639.937, 387.4281, 1293.389
7, 311.6783, 1640.087, 111.9821, 494.4572, 465.1073, 656.403, 963.6174, 1502.474, 1442.081, 1535.32, 978.3257, 2806.412, 84.68379, 401.4986, 1553.209, 365.965, 1446.573
7.1, 291.7295, 1563.733, 103.9534, 468.6863, 455.5718, 619.6136, 911.023, 1420.806, 1570.094, 1532.441, 922.194, 2795.852, 79.08044, 379.3915, 1525.319, 345.6909, 1445.058
7.2, 273.0574, 1637.282, 96.5003, 444.2585, 427.4115, 584.8862, 861.2993, 1343.577, 1567.307, 1459.506, 869.2829, 2662.646, 73.84785, 358.5017, 1444.652, 326.54, 1370.995
7.3, 255.5805, 1561.059, 89.58157, 421.104, 400.9919, 552.1051, 814.2894, 1270.546, 1642.562, 1428.75, 819.4075, 2685.563, 68.9615, 338.7621, 1402.972, 308.45, 1348.053
7.4, 239.2222, 1663.805, 83.15888, 399.1562, 376.2053, 580.7676, 769.8453, 1201.484, 1571.208, 1593.61, 855.241, 2635.046, 64.39847, 320.1094, 1403.367, 291.3622, 1298.704
7.5, 223.9109, 1703.111, 77.19669, 378.3523, 352.9509, 548.2173, 727.8271, 1136.177, 1512.983, 1517.765, 806.1713, 2509.502, 60.13736, 302.4837, 1386.979, 275.2211, 1232.143
7.6, 209.5795, 1623.822, 71.66195, 358.6328, 331.1339, 517.4915, 688.1022, 1074.419, 1622.239, 1445.529, 759.917, 2536.998, 56.1582, 285.8286, 1313.629, 259.9741, 1239.504
