 , C000, C001, C002, C003, C004, C005, C006, C007, C010, C012, C014, C015, C018, C019, C020, C023, C024, C026, C035, C050, C058, C085, C089, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 47.80936, 0, 0, 0, 0, 0, 0, 120.1759, 219.3244, 0, 119.6162, 0, 160.5538, 0, 0, 16.42459, 0, 0, 41.70239, 0, 118.6183, 0
0.2, -1.525879e-05, 0, 128.8086, 0, 1.525879e-05, 0, 0, 85.702, 27.76266, 162.0098, 208.2577, 0, 113.9982, 1.525879e-05, 150.9232, 94.72099, 44.22766, 15.52496, 0, 0, 60.05817, 0, 231.1778, 55.13068
0.3, 0, 13.26339, 121.6222, 245.9184, 1.525879e-05, -1.525879e-05, 285.6121, 80.76421, 46.73282, 154.8397, 197.7494, 0, 156.9221, 69.73219, 141.8702, 89.41991, 103.2818, 50.71194, 0, 103.5146, 56.93973, 62.13513, 286.5797, 86.75482
0.4, 0, 78.11067, 114.8367, 262.9722, 113.6949, 0, 271.3625, 76.11092, 92.43353, 272.4089, 252.5412, 0, 215.5063, 65.99977, 133.3603, 152.0021, 98.77393, 57.31036, 0, 98.90771, 357.459, 58.91248, 270.4036, 166.562
0.5, 0, 73.41461, 154.6134, 261.8185, 129.3226, 0, 257.8239, 71.72572, 88.39487, 392.8445, 239.7984, 0, 374.0676, 62.46715, 125.3608, 143.4952, 184.421, 97.8492, 0, 94.50574, 338.8984, 55.85687, 522.2766, 159.278
0.6, 0, 69.00089, 145.9873, 427.0238, 123.4842, 0, 244.9607, 67.5932, 351.9722, 452.8708, 227.6986, 0, 385.299, 172.244, 117.8412, 135.4644, 176.3716, 152.9901, 0, 127.1401, 321.3017, 52.9599, 492.7965, 271.7631
0.7, -1.525879e-05, 184.1106, 158.881, 397.5003, 117.9094, 0, 232.7393, 63.69877, 422.5754, 432.8284, 216.2093, 0, 367.2026, 163.0246, 110.7726, 127.8831, 285.8782, 144.6107, 0, 121.4817, 304.6186, 50.21307, 464.9805, 259.8785
0.8, 0, 173.0418, 150.0168, 583.5744, 369.973, 0, 272.1787, 60.02872, 404.112, 459.5464, 205.2998, 0, 349.9563, 154.2987, 104.128, 182.5403, 273.4005, 136.6903, 0, 244.0015, 288.8017, 47.6087, 438.7345, 248.5136
0.9, 0, 162.6384, 156.5456, 543.2273, 353.2703, 19.54236, 258.5994, 56.57011, 386.4553, 439.2085, 194.9407, 0, 361.2956, 146.0399, 97.88202, 172.3243, 261.4674, 129.2037, 0, 233.1422, 273.8061, 143.2101, 413.9699, 273.8055
1, 0, 152.8605, 147.8117, 615.1049, 337.3217, 19.85281, 245.6975, 53.31078, 369.5701, 545.1907, 185.1043, 0, 344.3266, 171.7076, 92.01068, 162.6801, 250.0552, 122.1271, 0, 255.6458, 259.5891, 135.7823, 390.6033, 261.8315
1.1, 0, 143.6705, 164.1528, 572.5779, 322.093, 57.20425, 348.8998, 50.23924, 353.4226, 521.0624, 175.7643, 0, 328.1547, 197.5213, 86.49152, 153.5756, 239.1411, 115.4381, 0, 244.2681, 246.1104, 128.7399, 368.5555, 250.3812
1.2, 7.629395e-06, 135.0329, 284.6517, 569.9157, 351.9404, 53.70838, 358.8411, 47.34467, 337.9807, 498.002, 166.8955, 0, 391.9596, 186.949, 81.30344, 144.9807, 228.7033, 109.1154, 0, 322.1383, 233.3315, 241.9303, 347.7523, 401.2916
1.3, 7.629395e-06, 126.9146, 268.7706, 530.5129, 349.8759, 50.42615, 340.938, 159.6118, 511.3062, 637.1612, 158.4743, 202.2037, 373.5505, 176.9426, 76.42653, 136.8668, 321.7928, 103.1391, 0, 307.8015, 221.2161, 273.9622, 328.1233, 832.7745
1.4, 7.629395e-06, 119.2845, 292.9636, 675.783, 376.8217, 47.34451, 323.9282, 435.0331, 506.7686, 812.7604, 150.4779, 191.3259, 356.006, 240.9099, 71.84218, 129.207, 664.5516, 97.49011, 0, 392.8832, 209.7298, 259.7529, 309.6023, 904.1644
1.5, 0, 112.113, 276.6188, 641.6526, 359.8098, 44.45119, 400.798, 409.9683, 484.6265, 776.7904, 142.8851, 263.9845, 596.3724, 228.0152, 67.53281, 121.9758, 635.546, 92.15051, 0, 485.4531, 198.8399, 404.5805, 292.1266, 864.6238
1.6, 0, 105.3727, 342.4092, 597.2901, 343.5659, 41.73469, 396.1119, 386.3476, 463.4519, 800.556, 135.6754, 323.0419, 568.3627, 255.8054, 63.4819, 154.5382, 607.8065, 87.10335, 0, 463.8479, 188.5154, 483.9723, 275.6375, 850.1356
1.7, 7.629395e-06, 99.03764, 376.5252, 568.9079, 367.9742, 102.7012, 432.4074, 364.088, 443.2025, 765.1261, 128.8294, 305.6635, 541.6685, 242.1134, 59.67403, 188.5696, 581.2776, 82.33263, 0, 443.2042, 178.7271, 458.8708, 260.079, 826.7817
1.8, 7.629395e-06, 93.08344, 355.5184, 529.5748, 351.3618, 96.42488, 410.834, 343.1107, 423.8378, 731.2643, 122.3289, 289.22, 516.228, 325.6943, 56.09454, 178.0163, 555.9068, 77.8232, 0, 491.0272, 169.4469, 435.0711, 245.3988, 856.3228
1.9, 7.629395e-06, 224.5692, 348.0742, 492.9611, 335.4992, 90.53217, 390.337, 323.3421, 405.3193, 742.7368, 116.1564, 273.661, 491.9824, 382.0682, 52.72978, 168.0535, 531.6432, 73.56078, 0, 469.174, 160.6487, 412.5059, 231.5471, 830.3633
2, 7.629395e-06, 211.068, 369.0306, 558.6158, 320.3529, 84.99956, 414.8983, 304.7125, 387.6099, 903.9763, 110.2954, 258.9391, 468.8755, 361.618, 49.56685, 158.6483, 508.4387, 69.53179, 0, 448.2932, 152.3072, 391.1109, 218.4774, 906.9625
2.1, 7.629395e-06, 218.5458, 348.4419, 519.9943, 305.8903, 79.80505, 394.1985, 287.1563, 527.692, 863.9695, 104.7301, 245.0092, 446.8539, 342.2624, 46.59364, 149.7695, 486.247, 65.72347, 0, 428.3417, 144.3989, 370.8257, 206.1454, 882.3111
2.2, 7.629395e-06, 369.1854, 329.0019, 484.0431, 332.0938, 74.928, 374.5314, 270.6115, 616.83, 897.4849, 99.44556, 231.8287, 425.8666, 323.9428, 216.2732, 184.0616, 465.0238, 62.12375, 0, 409.2783, 136.9012, 351.5926, 194.5094, 857.7465
2.3, 7.629395e-06, 346.9897, 310.6465, 576.4284, 339.0042, 70.349, 355.8455, 255.0201, 589.8791, 857.7653, 94.4277, 219.3572, 405.865, 367.6527, 275.0543, 173.7605, 444.7271, 58.72117, 0, 462.6176, 129.7929, 333.357, 183.5302, 919.6011
2.4, 1.144409e-05, 326.1285, 308.3554, 536.5754, 406.1462, 66.04982, 338.0919, 240.3269, 609.4787, 819.8036, 89.66305, 376.3423, 386.8028, 347.9741, 258.5554, 198.1917, 425.3161, 55.50497, 0, 442.0287, 123.0536, 316.0672, 173.1708, 887.7334
2.5, 7.629395e-06, 306.5215, 291.1518, 499.4777, 387.8104, 62.01338, 410.2363, 226.4803, 582.849, 813.4145, 85.13881, 356.0966, 368.6359, 329.3488, 273.4246, 187.0998, 406.7525, 52.46493, 0, 422.356, 116.6642, 299.6742, 163.3961, 848.9114
2.6, 7.629395e-06, 312.3633, 291.8199, 464.9449, 370.3023, 105.4421, 389.7691, 213.4314, 557.3828, 831.3627, 80.84286, 336.94, 351.3222, 311.7205, 333.6358, 196.404, 388.999, 49.59138, 0, 523.7188, 110.6066, 284.1314, 154.1732, 811.787
2.7, 7.629395e-06, 470.1385, 379.4781, 537.2054, 353.5847, 98.99834, 370.3231, 201.1344, 533.0294, 794.5696, 76.76367, 318.814, 334.8217, 534.0523, 313.623, 185.4121, 372.0204, 46.87522, 0, 500.4106, 104.8635, 269.3948, 519.5967, 808.7592
2.8, 7.629395e-06, 441.8736, 358.3066, 573.9319, 337.6219, 408.2884, 351.8472, 189.5459, 509.74, 845.0566, 72.89032, 301.663, 319.0962, 1529.475, 294.8107, 175.0355, 355.783, 44.30783, 0, 601.4262, 99.41864, 255.4225, 575.3758, 773.3909
