 , C000, C001, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C015, C024, C025, C029, C037, C039, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 41.48926, 0, 89.97087, 27.3123, 69.29913, 56.77881, 0, 0, 62.76831, 225.1533, 0, 0, 0, 126.7031, 206.6796, 201.6654, 124.2307
0.2, 0, 3.051758e-05, 122.7418, 0, 84.95274, 27.02919, 187.6063, 53.48749, 185.8368, 0, 59.65723, 212.2964, 91.38635, 0, 0, 357.0713, 260.5654, 265.2251, 410.1099
0.3, 0, 0, 225.3237, 0, 80.21451, 49.20346, 261.7596, 50.3869, 173.9142, 0, 216.9493, 200.1738, 87.11517, 0, 182.5428, 503.0657, 244.1449, 400.1497, 389.2224
0.4, 0, 0, 351.8544, 0, 364.3585, 45.08609, 244.7957, 47.46613, 162.7566, 81.35425, 360.3654, 188.7433, 83.04364, 0, 172.6584, 492.5959, 263.4517, 481.1909, 369.3986
0.5, -7.629395e-06, -1.525879e-05, 405.2698, 0, 392.5432, 41.31326, 228.9313, 44.7146, 152.3148, 76.79083, 420.3081, 177.9656, 79.16235, 0, 163.3094, 544.9617, 328.144, 454.3567, 398.8254
0.6, -3.814697e-06, 32.81921, 415.5983, 0, 370.6491, 37.85617, 274.326, 42.12256, 142.5428, 72.48343, 399.4761, 167.8033, 75.46252, 0, 192.7805, 514.2217, 458.5425, 429.019, 437.3507
0.7, 0, 30.86476, 397.4424, 0, 421.5543, 34.68835, 256.5478, 39.68082, 133.3978, 68.4176, 379.6764, 158.2212, 71.93561, 0, 373.3763, 645.3242, 429.6456, 405.0942, 415.0757
0.8, 3.814697e-06, 29.0267, 377.0196, 0, 398.0422, 31.78563, 239.9218, 37.38058, 124.8395, 64.57986, 389.7501, 149.1863, 68.57349, 0, 404.3861, 608.9229, 402.5698, 536.4738, 479.6739
0.9, 0, 27.2981, 357.6462, 0, 508.6538, 29.12579, 224.3732, 35.21371, 116.8303, 60.95738, 370.4326, 140.6674, 65.36859, -1.525879e-05, 616.7073, 656.8759, 377.2001, 506.5566, 455.2434
1, 0, 25.67244, 339.2684, 0, 480.2837, 26.68855, 209.8323, 33.17245, 109.3349, 57.53809, 416.4445, 132.6349, 62.31335, -1.525879e-05, 606.7312, 619.823, 353.4294, 478.3079, 432.0571
1.1, 0, 24.1436, 321.8348, 0, 500.5675, 24.45524, 196.2337, 31.24948, 102.3204, 54.31061, 395.804, 125.0611, 59.401, 0, 573.8779, 624.9779, 331.1567, 593.7278, 410.0517
1.2, 0, 64.91013, 305.2971, 0, 472.6484, 22.40881, 183.5165, 29.43802, 95.75589, 51.26418, 376.1863, 117.9197, 56.62476, 0, 542.8036, 657.8287, 310.2875, 599.6318, 389.1671
1.3, 3.814697e-06, 61.0446, 394.9574, 0, 446.2865, 26.04467, 171.6234, 27.73157, 89.61256, 48.3886, 357.541, 111.1862, 53.97827, 0, 513.4119, 645.8892, 370.0123, 566.1926, 369.3462
1.4, 7.629395e-06, 57.4093, 389.8885, 0, 421.3949, 23.86524, 266.4468, 26.12402, 83.86336, 146.4706, 339.8199, 104.8371, 173.3907, 0, 485.6117, 624.9038, 380.0657, 696.4173, 492.2035
1.5, 3.814697e-06, 53.99046, 488.6732, 0, 397.8917, 21.86819, 249.1793, 24.60968, 78.48299, 138.2547, 472.705, 217.3085, 165.2869, 0, 597.0978, 817.2247, 441.9578, 906.6035, 537.1809
1.6, 3.814697e-06, 50.77523, 528.8635, 0, 418.1746, 20.03825, 273.5168, 23.18311, 73.44781, 130.4995, 487.9444, 204.8995, 157.5619, 7.629395e-06, 564.7661, 1074.327, 414.106, 957.8544, 714.5138
1.7, 5.722046e-06, 47.75148, 501.6875, 0, 394.8509, 18.36144, 255.7911, 21.83926, 68.73569, 123.1794, 561.8089, 193.1992, 394.1574, 0, 534.1852, 1111.486, 388.0095, 904.4384, 744.5288
1.8, 5.722046e-06, 44.9078, 475.9079, 0, 372.8281, 22.89067, 239.2141, 20.57326, 64.32587, 142.8119, 533.9634, 343.16, 375.7355, -7.629395e-06, 843.6284, 1366.429, 465.6281, 854.0013, 706.6088
1.9, 5.722046e-06, 42.23346, 451.4531, 0, 352.0337, 20.97517, 223.7114, 19.38066, 60.19896, 134.8011, 507.4981, 535.3494, 358.1747, 0, 797.9476, 1289.352, 436.2847, 828.1976, 670.6201
2, 3.814697e-06, 39.71838, 428.2549, 0, 332.399, 19.21996, 209.2133, 18.2572, 56.33684, 127.2397, 572.6349, 504.7795, 438.4249, 7.629395e-06, 754.7405, 1216.623, 408.7905, 930.5866, 732.0609
2.1, 3.814697e-06, 37.35308, 406.2487, 0, 313.8595, 17.61163, 195.6549, 17.19887, 125.4456, 135.1093, 544.2529, 475.9552, 417.9341, 0, 713.8728, 1236.472, 545.2717, 985.4962, 694.7759
2.2, 3.814697e-06, 35.12864, 385.3734, 0, 296.354, 16.13788, 182.9751, 16.20187, 181.1176, 138.0657, 517.2775, 448.7769, 398.401, 0, 675.218, 1307.375, 616.3873, 998.9686, 947.6682
2.3, 1.907349e-06, 33.03667, 365.5707, 0, 317.818, 14.78745, 265.9261, 15.26268, 250.9902, 130.3211, 491.6392, 423.1505, 379.7808, 0, 752.8899, 1437.88, 577.5432, 943.26, 899.4019
2.4, 1.907349e-06, 31.06927, 425.1433, 0, 300.0917, 13.55003, 248.6922, 14.37794, 234.8876, 175.069, 467.2716, 398.9874, 529.3087, 0, 712.1224, 1442.32, 541.1469, 890.658, 853.5939
2.5, 3.814697e-06, 29.21904, 403.2971, 0, 283.3541, 12.41616, 232.5753, 13.54448, 219.8181, 189.9538, 444.1118, 376.2041, 563.5011, 0, 673.5624, 1360.962, 507.0443, 930.8954, 810.1189
2.6, 3.814697e-06, 27.47899, 394.4722, 0, 273.5317, 11.37718, 217.5028, 12.75935, 205.7155, 179.2987, 477.6821, 354.7219, 537.1646, 0, 637.0904, 1542.286, 736.5721, 878.9828, 768.8583
2.7, 4.768372e-06, 25.84258, 381.1183, 0, 265.96, 10.42513, 203.4071, 12.01971, 322.2305, 169.2413, 543.875, 334.4662, 512.059, -3.814697e-06, 666.1917, 1455.289, 690.154, 829.9652, 729.699
2.8, 4.768372e-06, 24.3036, 361.5344, 0, 251.1261, 9.552755, 190.225, 11.32295, 324.7198, 159.748, 624.5613, 315.3673, 488.1267, -3.814697e-06, 630.1188, 1440.977, 646.6611, 828.9781, 692.5342
2.9, 3.814697e-06, 22.85629, 342.9567, 0, 255.4571, 8.753376, 236.7548, 10.6666, 303.887, 150.7873, 593.6056, 297.3589, 465.313, -3.814697e-06, 595.9991, 1393.801, 605.9091, 855.4425, 657.2623
3, 3.814697e-06, 21.49516, 336.2477, 0, 303.4436, 8.020893, 221.4115, 10.04828, 284.3908, 177.3192, 564.1842, 280.379, 443.5655, -3.814697e-06, 563.7269, 1525.961, 567.7253, 807.7377, 623.7869
3.1, 3.814697e-06, 20.21508, 320.5827, 0, 287.4479, 7.349701, 207.0625, 9.465805, 345.2822, 247.9187, 536.2209, 264.3685, 496.4933, -3.814697e-06, 636.7115, 1571.428, 531.9478, 762.6932, 592.0164
3.2, 3.814697e-06, 19.01124, 304.1094, 0, 300.1118, 6.734676, 193.6435, 8.917084, 323.1302, 234.0122, 509.6437, 341.0784, 523.8469, -7.629395e-06, 667.151, 1546.525, 498.425, 847.1675, 561.864
3.3, 4.768372e-06, 17.87909, 288.4825, 0, 283.3731, 6.171115, 181.0941, 8.400185, 338.5268, 230.0599, 484.3838, 321.6019, 499.3637, -7.629395e-06, 631.0261, 1618.298, 467.0148, 799.9242, 533.2474
3.4, 4.768372e-06, 16.81435, 289.6709, 0, 326.9829, 5.654714, 169.3579, 7.913239, 377.4198, 217.1552, 460.3758, 303.2375, 476.0248, -7.629395e-06, 596.8574, 1661.262, 437.584, 755.3155, 506.0883
3.5, 3.814697e-06, 15.81303, 299.9007, 0, 308.7455, 5.181526, 158.3824, 7.454521, 353.206, 204.9743, 532.0836, 285.9219, 453.7767, -7.629395e-06, 817.0966, 1567.554, 410.0078, 713.1945, 480.3123
3.6, 3.814697e-06, 14.87134, 284.4901, 0, 291.5252, 4.747935, 148.1181, 7.0224, 330.5456, 193.4767, 534.5897, 269.5949, 432.5684, -7.629395e-06, 1185.323, 1479.132, 384.1696, 727.7075, 455.8492
3.7, 3.814697e-06, 13.98573, 269.8714, 0, 336.9079, 4.350627, 138.519, 6.615326, 309.3391, 182.624, 508.0934, 254.2003, 412.3513, -5.722046e-06, 1121.14, 1395.698, 359.9595, 687.126, 432.6321
3.8, 3.33786e-06, 13.15285, 256.0038, 0, 318.1169, 3.986566, 129.5421, 6.231857, 289.4931, 172.3801, 482.9103, 239.6848, 393.0791, -7.629395e-06, 1121.682, 1384.019, 337.2753, 648.8076, 410.5975
3.9, 3.33786e-06, 12.36957, 242.8489, 0, 300.3739, 3.652967, 121.1469, 5.870605, 355.8401, 162.7108, 458.9754, 225.9981, 414.9913, -5.722046e-06, 1073.763, 1339.851, 316.0205, 612.626, 389.6851
4, 3.33786e-06, 11.63294, 230.37, 0, 289.7301, 3.347286, 113.2957, 5.530296, 333.0107, 191.2262, 521.4326, 213.093, 470.8778, -5.722046e-06, 1015.621, 1395.368, 296.1052, 617.5778, 369.8378
