 , C000, C001, C002, C003, C004, C005, C008, C009, C012, C013, C015, C018, C020, C021, C022, C023, C027, C031, C032, C066, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 118.4209, 0, 0, 61.71289, 0, 0, 0, 100.775, 0, 0, 0, 58.04041, 28.51102, 29.78674, 207.239, 0
0.2, 0, 20.57104, 0, 3.051758e-05, 0, 112.1617, 0, -1.907349e-06, 58.27796, 0, 0, 0, 116.2053, 0, 0, 0, 55.49377, 27.09152, 32.43031, 198.4224, 0
0.3, -1.907349e-06, 19.50348, -7.629395e-06, 136.492, 0, 106.2334, 0, 0, 55.03421, 0, 10.22498, 0, 111.4289, 0, 1.907349e-06, 0, 53.05896, 25.74274, 30.91405, 333.562, 115.217
0.4, 0, 117.5247, -3.814697e-06, 130.6493, 0, 100.6183, 3.051758e-05, 0, 51.971, 0, 155.793, 0, 106.8488, 0, 1.907349e-06, 0, 50.7309, 24.46112, 29.46867, 319.371, 221.0542
0.5, 0, 150.1627, -3.814697e-06, 223.0325, 0, 95.30013, 0, 91.73916, 103.2097, 0, 147.1072, 0, 102.457, 0, 1.907349e-06, 0, 48.50507, 23.24329, 28.09087, 319.2335, 210.9298
0.6, 0, 142.37, -3.814697e-06, 213.4854, 31.59218, 105.1473, 0, 87.44924, 97.46504, 0, 138.9057, 0, 98.24573, 0, 1.907349e-06, -1.525879e-05, 46.37689, 22.08606, 26.77749, 493.0143, 201.2692
0.7, -1.907349e-06, 134.9816, 137.3131, 249.9822, 29.54832, 99.58974, 3.051758e-05, 83.35993, 92.04015, 1.525879e-05, 257.7432, 0, 94.20753, 0, 117.5904, 45.77171, 44.3421, 20.98648, 163.3652, 676.5617, 249.105
0.8, 0, 127.9767, 146.2579, 239.2814, 27.63668, 94.32589, 6.103516e-05, 211.4333, 98.48839, 165.9303, 243.3736, 36.29081, 90.33531, 0, 112.43, 43.72414, 141.4016, 19.94162, 155.7271, 647.7781, 418.9266
0.9, 0, 217.3423, 137.9983, 339.9596, 25.84872, 220.2396, 3.051758e-05, 201.5462, 93.00652, 284.756, 229.8051, 34.3579, 157.7692, 0, 107.496, 282.8188, 154.145, 18.94882, 398.5242, 650.0396, 640.3256
1, 0, 206.0632, 130.205, 325.4072, 24.17644, 213.0703, 3.051758e-05, 192.1215, 87.82979, 473.0678, 399.42, 32.52794, 265.9545, 0, 102.7786, 270.1671, 401.9855, 18.00543, 379.8914, 622.3844, 632.4703
1.1, 0, 195.3694, 122.8519, 349.6822, 22.61234, 235.2667, 1.525879e-05, 183.1375, 82.94118, 449.2746, 414.5343, 30.79545, 267.3373, 0, 98.2682, 258.0813, 427.5785, 17.10898, 390.056, 629.8458, 603.5031
1.2, 9.536743e-07, 227.2116, 115.914, 334.7136, 21.14943, 222.8316, 1.525879e-05, 174.5736, 78.32468, 426.678, 391.4232, 29.15523, 256.3489, 0, 240.2015, 246.5361, 408.8181, 16.25719, 371.8192, 689.6285, 712.1991
1.3, 0, 215.4204, 109.3679, 320.3857, 19.78116, 211.0538, 1.525879e-05, 166.4101, 73.96513, 405.218, 405.7217, 27.60237, 245.8123, 0, 229.6603, 235.5075, 390.8809, 44.16388, 365.1167, 660.2891, 679.5803
1.4, 0, 204.241, 103.1916, 306.6711, 18.50142, 199.8984, 1.525879e-05, 158.6284, 69.84824, 384.8373, 383.102, 26.13222, 235.7086, 0, 219.5818, 224.9721, 373.7307, 41.9651, 348.0458, 632.1979, 648.4554
1.5, 9.536743e-07, 193.6418, 97.36397, 293.5437, 17.30446, 189.3327, 0, 151.2106, 65.96048, 365.4816, 361.7433, 24.74038, 226.0203, 0, 209.9455, 214.9081, 357.3329, 99.70772, 331.7731, 659.2509, 618.756
1.6, 0, 183.5927, 91.86548, 280.9781, 16.18495, 179.3255, 0, 144.1397, 62.28913, 390.4903, 417.4443, 23.42266, 216.7302, 0, 200.7321, 205.2943, 341.6547, 141.6224, 316.2612, 631.2038, 590.4169
1.7, 9.536743e-07, 174.0651, 86.67752, 268.9505, 15.13786, 218.6741, 1.525879e-05, 137.3994, 58.82212, 370.8503, 472.1148, 22.17513, 207.822, 0, 207.5541, 196.1106, 326.6643, 134.5715, 301.4746, 714.5903, 626.5319
1.8, 9.536743e-07, 165.0319, 81.78253, 257.4377, 14.15851, 207.116, 1.525879e-05, 130.9743, 55.54808, 352.1982, 556.7659, 20.99405, 199.2799, 0, 198.4456, 187.3376, 354.9517, 196.468, 287.3793, 684.1889, 597.8366
1.9, 0, 156.4675, 77.16399, 246.4178, 13.24253, 235.9719, 1.525879e-05, 124.8497, 52.45628, 334.4841, 558.2588, 19.87587, 191.0889, 0, 189.7369, 178.9572, 362.3379, 186.6865, 273.943, 805.9857, 570.4556
2, 0, 148.3476, 72.80627, 235.8695, 12.3858, 223.4995, 1.525879e-05, 119.0114, 49.53657, 317.661, 527.1349, 18.81725, 183.2346, 0, 181.4104, 170.9516, 346.44, 177.3921, 261.1349, 800.2417, 544.3286
2.1, 0, 140.649, 68.69465, 344.6443, 11.5845, 211.6863, 1.525879e-05, 113.4462, 46.77937, 301.6841, 497.7462, 17.81501, 175.7031, 0, 176.7561, 163.3042, 331.2397, 168.5604, 248.9257, 766.1963, 519.3983
2.2, 9.536743e-07, 133.35, 64.81522, 329.8913, 10.83504, 200.4976, 1.525879e-05, 108.1412, 44.17563, 286.5107, 533.9357, 16.86615, 168.4812, 0, 168.9992, 155.9988, 316.7062, 160.1683, 237.2872, 887.0701, 495.6098
2.3, 9.536743e-07, 126.4297, 61.15488, 315.7699, 10.13406, 189.9002, 1.525879e-05, 103.0843, 41.71682, 272.1004, 504.1678, 15.96783, 161.5561, 0, 161.5827, 149.0203, 415.7376, 152.1941, 226.193, 849.3307, 557.8137
2.4, 0, 119.8686, 57.70125, 302.2529, 9.478436, 179.863, 1.525879e-05, 98.26384, 39.39486, 258.415, 476.0596, 15.11736, 154.9157, 22.68521, 154.4917, 142.3539, 397.4968, 144.6169, 215.6175, 861.05, 619.1693
2.5, 9.536743e-07, 113.6479, 54.44265, 327.1263, 8.865228, 170.3562, 1.525879e-05, 93.66881, 37.20214, 297.1477, 449.5184, 14.31218, 148.5482, 21.66457, 147.7119, 135.9858, 380.0563, 137.4169, 205.5363, 888.6431, 607.4843
2.6, 4.768372e-07, 107.7501, 51.36808, 313.1232, 8.29169, 161.352, 1.525879e-05, 89.28865, 35.13147, 329.6778, 461.4404, 13.54989, 142.4424, 20.68986, 141.2296, 129.9025, 363.381, 165.9177, 195.9266, 850.8368, 579.6614
2.7, 4.768372e-07, 102.1584, 48.46715, 299.7196, 7.755258, 152.8237, 2.288818e-05, 85.11331, 33.17606, 397.1223, 534.0743, 12.8282, 136.5876, 19.759, 135.0318, 124.0914, 548.1076, 157.6573, 186.7661, 814.6389, 710.5053
2.8, 4.768372e-07, 96.85684, 45.73004, 286.8897, 7.25353, 144.7461, 2.288818e-05, 81.13323, 31.32948, 468.6588, 504.2987, 12.14495, 130.9735, 18.87002, 129.106, 118.5402, 524.059, 242.9713, 178.034, 779.981, 677.964
2.9, 4.768372e-07, 91.83043, 43.14751, 326.2041, 6.784262, 137.0955, 2.288818e-05, 77.33926, 29.58569, 518.1004, 476.1832, 11.49809, 125.5901, 18.02104, 123.4402, 113.2374, 501.0654, 355.2826, 169.7101, 746.7975, 646.9131
3, 0, 87.06483, 40.71082, 322.1892, 6.345353, 129.8493, 1.525879e-05, 73.72271, 27.93895, 492.0422, 449.6351, 10.88568, 120.4279, 17.21025, 118.0231, 108.1718, 479.0807, 337.5943, 161.7754, 933.3555, 697.572
3.1, 0, 82.54657, 38.41174, 344.6122, 5.934839, 122.9861, 1.525879e-05, 70.27528, 26.38387, 531.3016, 424.5671, 10.30589, 115.478, 16.43594, 129.458, 103.3328, 526.2171, 320.7867, 154.2116, 893.647, 665.623
3.2, 0, 78.26279, 36.24249, 329.8607, 5.550883, 213.2168, 1.525879e-05, 66.98905, 24.91534, 524.1867, 400.8968, 9.75698, 110.7315, 15.69647, 123.7767, 98.71024, 503.1288, 343.1344, 147.0016, 855.6277, 731.0775
3.3, 4.768372e-07, 74.2013, 34.19575, 348.6211, 5.191768, 201.9472, 1.525879e-05, 63.8565, 23.52856, 497.8224, 378.5461, 9.237307, 106.1801, 14.99027, 118.3448, 94.29448, 481.0537, 326.051, 140.1286, 897.2292, 697.5941
3.4, 0, 70.3506, 32.2646, 394.2126, 4.855886, 191.2732, 7.629395e-06, 60.87043, 22.21896, 480.9485, 357.4414, 8.745312, 101.8158, 14.31584, 113.1513, 90.07626, 459.947, 309.8181, 133.5769, 859.0577, 702.4605
3.5, 0, 66.69973, 30.4425, 557.1406, 4.541733, 181.1634, 7.629395e-06, 58.02399, 20.98225, 513.502, 337.5134, 8.279522, 97.6309, 13.67175, 108.1857, 86.04674, 484.7884, 294.3933, 127.3316, 822.51, 670.2877
3.6, 0, 63.23831, 28.7233, 533.2915, 4.247905, 171.5879, 7.629395e-06, 55.31067, 19.81438, 567.8044, 318.6965, 7.838541, 93.61798, 13.05664, 103.438, 82.19748, 570.3252, 279.7365, 121.3783, 787.5172, 752.3129
3.7, 0, 59.95654, 27.1012, 585.7521, 3.973086, 162.5186, 7.629395e-06, 52.72422, 18.71151, 539.2464, 300.9286, 7.421047, 89.77, 12.46921, 98.8987, 78.52041, 545.3018, 431.1949, 115.7033, 884.8513, 788.0764
3.8, 0, 56.84505, 25.5707, 612.3248, 3.716047, 153.9286, 7.629395e-06, 50.25872, 17.67003, 512.1246, 363.6763, 7.025789, 86.08019, 11.90821, 94.55856, 75.00784, 622.7751, 409.7272, 110.2936, 938.7736, 773.4214
3.9, 0, 53.89507, 24.12664, 629.9881, 3.475636, 197.386, 7.629395e-06, 47.90852, 16.68652, 486.3669, 343.4007, 6.651584, 82.54205, 11.37244, 90.40889, 71.65239, 595.4503, 389.3284, 105.1369, 898.8345, 737.9986
4, 0, 119.3797, 22.76412, 603.0206, 3.25078, 186.9531, 7.629395e-06, 45.66821, 161.0763, 461.9048, 375.8387, 6.297309, 79.14932, 10.86078, 86.44133, 68.44705, 569.3245, 448.3066, 100.2213, 907.5496, 750.4596
4.1, 0, 113.1844, 21.47855, 577.2075, 3.04047, 197.8592, 3.814697e-06, 43.53267, 152.1108, 438.673, 391.3705, 5.961904, 75.89606, 10.37215, 82.64789, 230.1768, 637.4171, 511.7998, 124.4504, 1019.572, 867.4045
