 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.01215, 0, 0, 0, 0, 0
0.2, 0, 13.78901, 0, 0, 0, 0, -7.629395e-06, 0, 0, 0, 0, 22.4736, 0, 0, 0, 0, 0
0.3, 0, 84.5124, 0, 0, 0, 0, -7.629395e-06, 0, 3.051758e-05, 0, 0, 21.03363, 0, 0, 0, 0, 0
0.4, 0, 79.883, 0, 0, 0, 0, 32.32014, 0, 3.051758e-05, 85.19629, 0, 19.68588, 0, 0, 0, 0, 0
0.5, 0, 75.50719, 0, 0, 0, 0, 30.72922, 0, 57.8587, 142.43, 0, 18.4245, 0, 0, 0, 0, 0
0.6, 0, 71.37108, 0, 0, 0, 0, 29.21661, 0, 54.68286, 155.7268, 0, 17.24396, 0, 0, 0, 0, 105.7242
0.7, 0, 67.46152, 0, 0, 0, 0, 27.77846, 0, 51.68134, 145.7372, 0, 16.13907, 0, 0, 0, 0, 99.54291
0.8, 0, 63.76614, 0, 0, 0, 0, 26.41109, 0, 48.84454, 136.3884, 0, 15.10495, 0, 0, 0, 0, 93.72302
0.9, 0, 60.27318, 0, 0, 0, 0, 25.11105, 0, 85.67841, 142.1083, 0, 14.13708, 0, 0, 0, 0, 88.24341
1, 0, 56.97155, 0, 0, 0, 0, 23.87498, 0, 109.8747, 132.9923, 0, 13.23126, 0, 0, 0, 0, 83.08423
1.1, 0, 91.37344, 0, 0, 0, 205.6692, 22.69976, 0, 103.8437, 291.9462, 0, 54.08124, 0, 0, 0, 0, 78.22656
1.2, 0, 138.874, 0, 0, 0, 195.0918, 21.58239, 0, 161.3542, 273.2184, 0, 50.61601, 0, 0, 0, 0, 73.65295
1.3, 0, 131.2668, 0, 0, 0, 185.0585, 20.52002, 0, 152.4975, 255.6919, 0, 47.37282, 0, 0, 0, 0, 69.34677
1.4, 0, 153.1716, 0, 0, 0, 279.9194, 19.50995, 0, 144.1269, 239.2897, 0, 44.33742, 0, 0, 0, 0, 65.29233
1.5, 0, 144.7812, 0, 0, 0, 265.5235, 18.54959, 0, 332.8807, 435.9758, 0, 88.16573, 0, 0, 0, 0, 61.47495
1.6, 0, 136.8504, 0, 0, 0, 390.815, 17.63651, 0, 314.6089, 411.0555, 0, 82.51654, 0, 0, 0, 0, 57.88074
1.7, 0, 179.4937, 0, 0, 0, 370.7158, 16.76837, 0, 297.34, 480.188, 0, 323.6357, 0, 0, 0, 0, 54.49667
1.8, 0, 185.5605, 0, 0, 0, 371.5052, 15.94297, 0, 294.9607, 512.9977, 0, 318.6432, 0, 0, 0, 0, 51.31049
1.9, 0, 175.3959, 0, 0, 0, 602.73, 15.1582, 0, 278.7703, 480.0898, 0, 358.1837, 0, 0, 0, 0, 48.31055
2, 0, 165.7881, 0, 0, 0, 571.7322, 14.41205, 0, 365.8184, 449.2929, 0, 335.2332, 0, 0, 0, 0, 45.48602
2.1, 0, 156.7066, 0, 0, 0, 542.3286, 27.60449, 0, 365.8464, 420.4716, 0, 327.6255, 0, 0, 0, 0, 42.82663
2.2, 0, 148.1226, 356.5453, 0, 0, 514.4372, 26.24569, 0, 345.7651, 393.4991, 0, 306.6331, 0, 0, 0, 0, 40.32272
2.3, 0, 140.0088, 1367.341, 0, 0, 543.1591, 24.95378, 0, 326.786, 368.2568, 0, 286.9857, 0, 0, 0, 0, 37.96523
2.4, 0, 132.3394, 1654.053, 0, 0, 607.0659, 23.72545, 0, 343.8342, 344.6338, 0, 289.3721, 0, 0, 0, 0, 35.74557
2.5, 0, 125.0901, 1706.415, 0, 0, 575.8451, 22.5576, 0, 381.2631, 384.5887, 0, 372.8627, 0, 0, 0, 0, 33.65567
2.6, 0, 118.238, 1575.418, 0, 0, 546.23, 56.03133, 0, 360.3355, 359.918, 0, 348.9716, 0, 0, 0, 0, 31.68796
2.7, 0, 111.7612, 1454.478, 0, 0, 518.1379, 53.27325, 0, 340.5566, 336.8299, 0, 352.5123, 0, 0, 0, 0, 29.8353
2.8, 0, 105.6392, 1419.571, 0, 0, 491.4906, 94.34662, 0, 336.7189, 315.2229, 0, 329.9252, 0, 0, 0, 0, 87.76262
2.9, 0, 99.85249, 1310.594, 0, 0, 466.2138, 89.70251, 0, 318.2364, 295.0019, 0, 308.7853, 0, 0, 0, 0, 270.0842
3, 0, 94.38279, 1209.983, 0, 0, 620.1457, 85.28702, 0, 300.7684, 276.0781, 0, 353.9843, 0, 0, 0, 0, 254.2935
3.1, 0, 89.21271, 1117.096, 0, 0, 588.2523, 81.08887, 0, 284.2592, 339.2179, 0, 331.3028, 0, 0, 0, 0, 348.0997
3.2, 0, 84.32584, 1031.34, 0, 0, 565.0521, 77.09735, 0, 268.6561, 744.2657, 0, 516.7891, 0, 0, 0, 0, 411.0806
3.3, 0, 79.70667, 952.1667, 0, 0, 549.7468, 73.30233, 0, 285.3011, 775.9268, 0, 483.676, 0, 0, 0, 0, 387.0463
3.4, 0, 75.34052, 879.0715, 0, 0, 521.4739, 69.69411, 0, 269.6409, 726.1525, 0, 452.6846, 0, 0, 0, 0, 364.4172
3.5, 0, 71.21353, 811.5876, 0, 0, 532.2852, 66.26349, 0, 254.8403, 743.7746, 0, 490.12, 0, 0, 0, 0, 380.2593
3.6, 0, 67.31262, 749.2842, 0, 0, 504.9103, 63.00175, 0, 294.3419, 696.0628, 0, 558.5731, 0, 0, 0, 0, 358.0271
3.7, 0, 63.62538, 691.7637, 0, 0, 478.9433, 59.90056, 0, 278.1854, 651.4116, 0, 522.7827, 0, 0, 0, 0, 337.0947
3.8, 0, 60.14013, 638.6589, 0, 0, 454.3117, 56.95203, 0, 262.9157, 609.6248, 0, 489.2856, 0, 0, 0, 0, 471.3202
3.9, 0, 56.84579, 589.6309, 0, 0, 430.9469, 54.14863, 0, 248.4843, 819.8515, 0, 457.9348, 0, 0, 0, 0, 893.7502
4, 0, 53.73191, 544.3665, 0, 0, 408.7838, 51.48323, 0, 234.8449, 1011.705, 0, 428.5928, 0, 0, 0, 0, 980.9791
4.1, 0, 50.78859, 502.577, 0, 0, 387.7605, 48.94903, 0, 221.9543, 958.9053, 0, 401.1309, 0, 0, 0, 0, 970.1351
4.2, 0, 48.00651, 463.9955, 0, 0, 404.2103, 46.53957, 0, 209.7711, 897.3932, 0, 375.4285, 0, 0, 0, 0, 913.4152
4.3, 0, 45.37682, 428.3759, 0, 0, 383.4221, 44.24871, 0, 198.2568, 839.8271, 0, 365.6311, 0, 0, 0, 0, 922.0251
4.4, 0, 42.89118, 395.4906, 0, 0, 439.3638, 42.07062, 0, 187.3745, 785.9537, 0, 359.4301, 0, 0, 0, 0, 868.118
4.5, 0, 40.5417, 365.1299, 0, 0, 416.7678, 39.99974, 0, 235.5355, 764.4256, 0, 336.3997, 0, 0, 0, 0, 817.3626
4.6, 0, 38.32092, 337.0999, 0, 0, 395.3339, 38.0308, 0, 222.6069, 715.3891, 0, 314.8451, 0, 0, 0, 0, 866.3923
4.7, 55.17133, 36.22178, 311.2216, 0, 0, 375.0023, 48.29015, 0, 417.6072, 669.4982, 0, 314.708, 0, 0, 0, 0, 815.7378
4.8, 50.87342, 34.23764, 287.33, 0, 0, 355.7163, 56.14864, 0, 548.7871, 626.5511, 0, 294.5432, 0, 0, 0, 0, 819.7236
4.9, 46.91032, 32.36218, 265.2725, 0, 0, 355.2952, 106.8345, 0, 518.6641, 675.1422, 0, 332.0499, 0, 0, 0, 0, 771.7976
5, 43.25595, 30.58945, 244.9082, 0, 0, 337.0227, 101.5757, 0, 686.3221, 631.8331, 0, 376.8354, 0, 0, 0, 0, 764.1429
5.1, 39.88627, 28.91383, 226.1073, 0, 0, 530.6019, 96.57572, 0, 648.6497, 591.3021, 0, 434.0095, 0, 0, 0, 0, 719.4666
5.2, 91.16092, 27.33, 208.7496, 0, 0, 678.0693, 91.82189, 0, 617.0385, 553.3712, 0, 406.2005, 0, 0, 0, 0, 677.4022
5.3, 84.05938, 25.83292, 192.7245, 0, 0, 643.1968, 150.4748, 0, 583.1691, 517.8734, 0, 380.1733, 0, 0, 0, 0, 656.4113
5.4, 77.51106, 24.41785, 177.9296, 0, 0, 610.1179, 143.0679, 0, 641.1625, 574.5087, 0, 355.8139, 0, 0, 0, 0, 618.0336
5.5, 71.47286, 23.0803, 164.2704, 0, 0, 578.7401, 136.0255, 0, 623.1144, 802.9948, 0, 537.7839, 0, 0, 0, 0, 769.9301
5.6, 65.90504, 21.81601, 151.6598, 0, 0, 548.9761, 129.3298, 0, 588.9116, 765.5277, 0, 503.3257, 0, 0, 0, 0, 732.8389
5.7, 60.77097, 20.62098, 140.0173, 0, 0, 520.7428, 122.9637, 0, 570.318, 792.7277, 0, 471.0753, 0, 0, 0, 0, 747.0922
5.8, 56.03684, 19.49141, 129.2686, 0, 0, 493.9615, 116.911, 0, 539.0131, 741.8757, 0, 440.8913, 0, 0, 0, 0, 703.4127
5.9, 51.6715, 18.42371, 119.345, 0, 0, 468.5576, 111.1562, 0, 527.5534, 694.2857, 0, 412.6413, 0, 0, 0, 0, 662.2869
6, 47.64624, 17.41451, 110.1832, 0, 0, 444.4601, 105.6846, 0, 521.4952, 760.8813, 0, 386.2014, 0, 0, 0, 0, 710.092
6.1, 43.93454, 16.46058, 101.7247, 0, 0, 421.602, 100.4824, 0, 572.1463, 712.0721, 0, 432.4501, 0, 0, 0, 0, 668.5758
6.2, 40.51199, 15.5589, 93.91559, 0, 0, 399.9195, 95.5363, 0, 582.3749, 676.1985, 0, 492.8728, 0, 0, 0, 0, 679.9391
6.3, 37.35606, 14.70662, 86.70595, 0, 0, 379.352, 90.83364, 0, 550.4083, 1047.398, 0, 508.2072, 0, 37.64928, 0, 0, 640.1858
6.4, 34.44598, 13.90103, 80.04977, 0, 0, 359.8423, 86.36246, 0, 547.5624, 1123.376, 0, 475.644, 0, 35.36221, 0, 0, 602.7567
6.5, 31.7626, 13.13956, 73.90456, 0, 0, 341.336, 82.11136, 0, 517.5067, 1051.313, 0, 445.1673, 0, 33.21406, 0, 0, 567.5159
6.6, 29.28826, 12.4198, 68.23111, 0, 0, 323.7815, 78.06952, 0, 540.0241, 983.8734, 0, 416.6434, 0, 31.19641, 0, 0, 534.3354
6.7, 27.00667, 11.73948, 62.99319, 0, 0, 307.1297, 74.22664, 0, 510.3821, 954.7334, 0, 389.9471, 0, 29.30133, 0, 0, 503.095
6.8, 24.90282, 11.09641, 58.15738, 0, 0, 291.3344, 70.57291, 0, 482.3672, 893.489, 0, 440.5327, 0, 27.52137, 0, 0, 473.681
6.9, 22.96286, 10.48858, 53.69279, 0, 0, 276.3513, 67.09904, 0, 517.642, 836.1733, 0, 559.2463, 0, 25.84953, 0, 0, 445.9868
7, 21.17403, 9.914037, 49.57095, 0, 0, 262.1389, 63.79617, 0, 499.9865, 782.5343, 0, 559.3828, 0, 24.27925, 0, 0, 419.9117
7.1, 19.52455, 9.370968, 45.76552, 0, 0, 276.6682, 60.65588, 0, 472.5422, 732.3362, 0, 523.5405, 0, 22.80436, 0, 0, 395.3611
7.2, 18.00356, 8.857647, 42.25222, 0, 0, 272.3043, 57.67017, 0, 446.6043, 685.3581, 0, 489.9949, 0, 21.41907, 0, 0, 505.6216
7.3, 16.60106, 8.372445, 39.00864, 0, 0, 258.3, 54.83142, 0, 439.5547, 641.3936, 0, 458.5986, 0, 20.11793, 0, 0, 476.0599
7.4, 15.30782, 7.913821, 36.01405, 0, 0, 245.0159, 52.13241, 0, 415.4275, 600.2494, 0, 467.4951, 0, 18.89583, 0, 0, 448.2266
7.5, 14.11533, 7.480319, 33.24935, 0, 0, 299.1966, 49.56625, 0, 392.6246, 561.7445, 0, 447.9822, 0, 17.74796, 0, 0, 422.0206
7.6, 13.01573, 7.070565, 30.69689, 0, 0, 283.8092, 47.12641, 0, 444.7655, 615.8765, 0, 419.278, 0, 16.66983, 0, 0, 397.3467
7.7, 12.00179, 6.683255, 28.34037, 0, 0, 269.2132, 44.80666, 0, 448.5976, 576.3691, 0, 392.4129, 0, 15.65719, 0, 0, 374.1154
7.8, 11.06683, 6.317161, 26.16476, 0, 0, 255.3679, 42.6011, 0, 423.9741, 539.3961, 0, 367.2692, 0, 14.70607, 0, 0, 352.2424
7.9, 10.20472, 5.971121, 24.15616, 0, 0, 242.2346, 40.50412, 0, 400.7021, 504.7948, 0, 343.7365, 0, 13.81272, 0, 0, 331.6482
8, 9.409757, 5.644037, 22.30176, 0, 0, 229.7767, 38.51035, 0, 378.7075, 472.4131, 0, 321.7117, 0, 23.43355, 0, 0, 312.258
8.1, 8.676726, 5.334869, 20.58971, 0, 0, 217.9595, 36.61472, 0, 423.1916, 442.1087, 0, 301.0982, 0, 22.01003, 0, 0, 294.0016
8.199999999999999, 8.000799, 5.042637, 19.0091, 0, 0, 206.7501, 34.8124, 0, 399.9626, 413.7482, 0, 281.8054, 0, 20.67299, 0, 0, 276.8124
8.300000000000001, 7.377528, 4.766413, 17.54982, 0, 0, 196.1171, 33.0988, 61.14598, 378.0085, 387.207, 0, 263.7488, 0, 19.41717, 0, 0, 260.6283
8.4, 6.80281, 41.18605, 16.20257, 0, 0, 186.031, 31.46955, 69.85434, 375.0708, 362.3684, 0, 246.8492, 0, 18.23764, 0, 0, 245.3904
8.5, 6.272863, 38.92997, 14.95874, 0, 0, 176.4636, 29.9205, 65.39795, 354.4831, 339.1231, 0, 231.0324, 0, 17.12976, 0, 0, 231.0434
8.6, 5.7842, 36.79748, 13.8104, 0, 0, 167.3883, 28.4477, 61.22585, 335.0255, 317.369, 0, 216.2291, 0, 66.93858, 0, 0, 217.5352
8.699999999999999, 5.333604, 34.7818, 12.75021, 0, 0, 158.7797, 27.0474, 57.31992, 517.7037, 297.0103, 0, 202.3743, 0, 185.732, 0, 0, 204.8168
8.800000000000001, 4.91811, 52.03682, 11.77141, 0, 0, 150.6138, 25.71602, 53.66317, 489.2869, 277.9577, 0, 189.4073, 0, 325.4306, 0, 0, 192.842
8.9, 4.534984, 49.18636, 10.86775, 0, 0, 142.8679, 24.45018, 50.2397, 512.7072, 260.1272, 0, 274.1698, 0, 305.6617, 0, 0, 181.5673
9, 4.181704, 46.49204, 10.03347, 0, 0, 268.7937, 23.24665, 47.03463, 484.5646, 243.4405, 0, 303.5913, 0, 287.0938, 0, 0, 170.9518
9.1, 3.855944, 43.94531, 9.263226, 0, 0, 274.1517, 22.10236, 44.03403, 457.9668, 227.8243, 0, 284.1388, 0, 306.2461, 0, 0, 160.9569
9.199999999999999, 3.555562, 41.53809, 8.552114, 0, 0, 260.0524, 21.01439, 41.22486, 432.829, 213.2097, 0, 265.9327, 0, 287.6426, 0, 0, 151.5464
9.300000000000001, 3.278579, 39.26272, 7.895591, 0, 0, 246.6782, 19.97999, 38.5949, 409.0709, 199.5327, 0, 248.8932, 0, 270.1692, 0, 0, 142.6861
9.4, 3.023175, 37.112, 7.289468, 0, 0, 233.9918, 18.99649, 36.13272, 386.6169, 186.7331, 0, 232.9454, 0, 253.7573, 0, 0, 134.3438
9.5, 2.787666, 35.07909, 6.729876, 0, 0, 221.9578, 18.06141, 33.82761, 365.3955, 174.7545, 0, 218.0195, 0, 238.3423, 0, 0, 126.4892
9.6, 2.570503, 33.15754, 6.213242, 0, 0, 210.5428, 17.17236, 31.66956, 345.3389, 163.5443, 0, 204.05, 0, 224.0275, 0, 0, 119.0939
9.699999999999999, 2.370258, 31.34124, 5.736268, 0, 0, 199.7148, 16.32707, 29.64919, 326.3831, 153.0532, 0, 190.9756, 0, 210.4185, 0, 0, 112.131
