 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 134.2018, 0, 105.7955, 0, 0, 39.43744, 0, 0, 79.63489, 0, 0, 0, 0, 0, 27.75027, 203.7841, 104.5397, 62.34979, 122.4206, 71.0293, 126.5692, 73.9187, 138.7389
0.2, 7.629395e-06, 0, 0, 0, 0, 0, 0, 127.3239, 72.66263, 165.9535, 87.50208, 0, 144.9467, -7.629395e-06, 0, 75.61353, 0, 0, 0, 82.42595, 87.72229, 80.46948, 349.1689, 114.555, 301.1586, 116.5912, 221.629, 161.6586, 175.7097, 130.526
0.3, 7.688187, 0, 0, 0, 3.051758e-05, 122.8948, 0, 136.2134, 68.78375, 156.5499, 83.20792, 1.525879e-05, 138.7805, 130.3664, 0, 89.30127, 0, 0, 0, 77.27391, 156.7661, 76.65643, 364.2477, 106.8005, 633.4806, 133.8375, 211.0573, 152.4689, 248.9122, 122.7994
0.4, 7.183678, 0, 0, 17.85162, 3.051758e-05, 116.5587, -3.051758e-05, 142.3831, 155.4797, 153.4568, 96.77048, 1.525879e-05, 240.5283, 123.11, 0, 84.79175, 0, 0, 0, 145.8086, 223.8505, 172.2994, 371.0238, 99.57105, 729.4661, 155.7749, 289.6029, 233.5469, 236.4491, 115.5301
0.5, 6.71228, 0, 0, 16.82423, 3.051758e-05, 110.5493, -3.051758e-05, 135.0859, 147.1799, 251.2648, 92.0215, 1.525879e-05, 230.2958, 116.2576, 0, 80.50995, 0, 0, -3.051758e-05, 261.4572, 212.7174, 164.1349, 347.7332, 186.0175, 677.2311, 196.1593, 327.0829, 220.2706, 314.8145, 108.6911
0.6, 6.271812, 0, 0, 15.85599, 0, 104.8496, -3.051758e-05, 128.1626, 259.4433, 371.5511, 87.50557, 1.525879e-05, 350.3415, 239.0095, 0, 108.5497, 0, 0, -3.051758e-05, 245.1147, 271.5498, 156.3574, 467.8294, 173.4256, 681.2339, 212.8369, 379.5827, 207.749, 299.0517, 102.257
0.7, 5.86026, 0, 0, 14.94347, 0, 99.44385, -3.051758e-05, 121.5943, 299.446, 350.4972, 83.21126, 3.051758e-05, 335.4373, 225.706, 0, 135.2803, 0, 0, -3.051758e-05, 229.7937, 308.0008, 148.9484, 557.1329, 161.6862, 800.9822, 202.7022, 361.4766, 195.9392, 488.3704, 96.20377
0.8, 5.475708, 0, 9.536743e-07, 14.08345, 0, 94.31683, -3.051758e-05, 182.5823, 283.4611, 433.4617, 79.12766, 3.051758e-05, 321.1672, 248.3631, 0, 166.4909, 0, 0, 0, 215.4304, 292.6826, 141.8905, 618.605, 150.7414, 972.7998, 315.365, 364.6221, 253.4747, 688.3188, 90.50885
0.9, 5.116386, 0, 0, 13.27295, 0, 245.4592, -3.051758e-05, 173.2248, 402.6507, 447.7225, 75.24448, 1.525879e-05, 307.5042, 234.539, 0, 216.2274, 0, 0, -3.051758e-05, 201.9649, 358.438, 135.167, 631.0582, 140.5374, 1375.628, 300.3482, 347.2297, 439.2567, 915.8055, 85.15106
