 , C00, C01, C02, C03, C04, C05, C06, C09, C10, C11, C14, C15, C16, C17, C18, C21, C29, C32, C33, C34, C37, C39, C53, C58, C67, C68, C71, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 53.67875, 144.5959, 0, 37.15302, 0, 0, 33.40289, 105.9234, 0, 59.35205, 105.1681, 0, 13.47217, 448.0779, 0, 0, 34.2251, 89.19519, 0, 54.67883, 0, 0, 0, 0, 95.41592, 130.0896, 0
0.2, 78.49085, 50.62319, 137.7075, 62.8075, 87.13434, 3.051758e-05, 82.05127, 118.0489, 143.7177, -1.525879e-05, 56.64667, 100.0986, 0, 74.12286, 1345.112, 0, 6.103516e-05, 123.768, 117.5258, 67.66432, 101.8965, 55.45432, 0, 0, 139.325, 89.72696, 230.9922, 0
0.3, 72.79399, 47.74157, 131.1472, 240.0501, 163.0494, 3.051758e-05, 76.84222, 183.689, 136.1787, 16.86015, 54.06459, 95.27351, 0, 88.15765, 1632.605, 46.15932, 158.566, 118.0262, 111.2572, 64.271, 96.89886, 53.08997, 26.65247, 1.525879e-05, 132.3253, 196.2787, 280.5723, 0
0.4, 82.71435, 45.02399, 124.8995, 229.1113, 202.5298, 0, 71.96387, 175.0776, 129.0352, 77.8821, 51.60022, 90.68096, 0, 83.75616, 1655.497, 43.86958, 149.9315, 112.5506, 377.1909, 61.04785, 92.1463, 50.82645, 171.9918, 0, 125.6775, 232.075, 468.2268, 0
0.5, 88.95142, 42.46109, 269.454, 218.671, 190.3352, 0, 67.39514, 166.87, 122.2665, 104.6371, 49.24815, 86.3098, 0, 79.5744, 1709.434, 41.69344, 141.7671, 107.3292, 357.0725, 57.98633, 273.9551, 48.65942, 162.9259, -1.525879e-05, 119.3636, 376.6448, 447.3958, 0
0.6, 82.49534, 58.52715, 256.6176, 348.2297, 326.0969, 0, 63.11652, 159.0471, 115.8528, 99.21614, 47.00334, 82.14936, 0, 184.6838, 1731.395, 39.62524, 134.0473, 102.3499, 338.0272, 55.07835, 357.3167, 46.58478, 401.7278, -1.525879e-05, 238.4327, 354.1883, 427.4914, 115.2009
0.7, 244.7795, 76.83701, 244.3926, 370.4665, 544.8596, 0, 59.1095, 151.591, 152.9619, 94.07603, 44.86082, 78.18945, 0, 215.6007, 1706.009, 37.65962, 126.7479, 97.60167, 319.9978, 52.31621, 339.7917, 44.59857, 444.1901, -1.525879e-05, 226.4541, 624.6641, 408.4726, 108.7759
0.8, 235.4336, 94.06744, 276.9311, 481.8306, 1718.327, 0, 55.35687, 144.4844, 324.4613, 89.20222, 42.81596, 74.42043, 182.2387, 204.8364, 1598.242, 35.79153, 119.846, 93.0737, 302.93, 49.69258, 323.1263, 76.17595, 471.8245, 0, 215.0773, 587.4199, 390.2999, 102.7092
