 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C010, C011, C012, C015, C016, C017, C018, C019, C021, C023, C024, C025, C032, C033, C034, C038, C039, C040, C042, C045, C047, C049, C056, C068, C083, C086
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 145.6876, 0, 50.40469, 0, 0, 6.92334, 113.2863, 0, 0, 0, 0, 0, 0, 0, 0, 137.9717, 0, 0, 0, 0, 134.0466, 0, 232.7186, 0, 0, 0, 0, 144.4574, 0, 180.3286, 128.8773, 0, 129.495
0.2, 39.5871, 0, 138.2475, 0, 47.59518, 0, 0, 6.529419, 107.9519, 0, 60.72668, 0, 241.5217, 0, 0, 0, 0, 128.4682, 0, 0, 0, 66.94835, 126.8254, 81.9176, 220.0926, 0, 0, 0, 19.13937, 294.7985, 126.2982, 172.2427, 122.6293, 0, 439.5356
0.3, 36.69603, 0, 131.1874, 0, 44.94226, 0, 7.629395e-06, 6.157837, 102.8687, 0, 108.384, 3.051758e-05, 227.334, 0, 0, 0, 0, 119.6193, 0, -1.525879e-05, 0, 62.3204, 119.9932, 77.12988, 208.1517, 0, 0, 0, 65.24951, 505.2086, 119.2562, 216.1084, 116.6843, 174.5193, 410.5202
0.4, 34.01611, 0, 124.4879, -7.629395e-06, 42.43723, 0, 0, 5.807495, 98.02472, 0, 102.1185, 0, 213.9798, 0, 0, 0, 0, 111.3799, 3.051758e-05, -1.525879e-05, 0, 58.01239, 207.9026, 136.4366, 196.8587, 0, 0, -1.907349e-06, 275.5474, 470.9591, 112.6068, 305.2944, 111.0274, 165.139, 383.4201
0.5, 31.53189, 0, 118.1305, -7.629395e-06, 40.07181, 0, 7.629395e-06, 5.476929, 93.40887, 0, 96.21513, 3.051758e-05, 201.41, 0, -3.051758e-05, 0, -7.629395e-06, 103.7081, 3.051758e-05, 0, 0, 54.00217, 196.7028, 248.5142, 186.1783, 0, 0, 19.90151, 579.0902, 489.3247, 106.3281, 452.0956, 105.6448, 156.2628, 358.1091
0.6, 29.2291, 0, 112.0977, -1.525879e-05, 37.83826, 24.45595, 3.814697e-06, 95.42157, 641.9232, 0, 90.65308, 3.051758e-05, 189.5786, 0, 0, 6.103516e-05, 0, 152.83, 3.051758e-05, 0, 0, 50.26917, 186.1064, 371.6609, 176.0774, 0, 0, 41.98729, 611.6032, 477.2178, 100.3995, 453.1072, 200.843, 147.8638, 334.4689
0.7, 27.09449, 0, 106.373, -1.525879e-05, 35.72916, 23.30965, 3.814697e-06, 121.5662, 1865.676, 0, 85.41255, 0, 178.4422, 0, 0, 0, -7.629395e-06, 378.3405, 6.103516e-05, 0, 0, 46.7942, 176.0808, 362.896, 189.9666, 0, 0, 124.3358, 577.2424, 653.9473, 94.80164, 432.7897, 191.1061, 139.9162, 312.3893
0.8, 25.11576, 0, 100.9407, -1.525879e-05, 33.73764, 22.21709, 0, 145.1254, 3233.19, 0, 80.47496, 0, 167.96, 0, 0, 6.103516e-05, -7.629395e-06, 435.3961, 6.103516e-05, -7.629395e-06, 0, 43.55945, 166.5952, 366.5699, 225.3261, -1.525879e-05, 0, 117.7807, 578.1178, 908.1685, 89.51575, 413.3831, 363.1399, 132.3958, 291.7673
0.9, 23.28155, 0, 95.78582, -1.525879e-05, 31.85715, 55.48674, 0, 170.0436, 3595.982, 0, 75.82281, 0, 158.0936, 39.04952, 0, 6.103516e-05, -7.629395e-06, 553.4821, 6.103516e-05, -7.629395e-06, 0, 40.54832, 157.6207, 345.1454, 213.1013, -1.525879e-05, 0, 240.5793, 628.0154, 846.6013, 181.3301, 594.9967, 407.9818, 125.2796, 272.5065
1, 21.58129, 0, 90.89417, -7.629395e-06, 30.08142, 286.3047, 0, 160.3654, 3830.731, 0, 71.43959, 134.9641, 148.8067, 36.61332, 56.74283, 6.103516e-05, -3.814697e-06, 515.3582, 6.103516e-05, -7.629395e-06, 0, 37.74533, 149.1296, 337.8206, 201.5397, 0, 0, 227.8956, 592.7326, 789.2079, 559.3344, 607.5447, 388.2028, 118.5458, 254.5173
