 , C000, C001, C002, C004, C005, C006, C008, C012, C013, C014, C015, C020, C024, C027, C037, C041, C045, C047, C055, C064, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 23.7386, 0, 0, 59.8335, 0, 17.15308, 0, 0, 0, 0, 0, 0, 14.80774, 34.48663, 0, 0, 32.95161, 53.15927, 0
0.2, 0, 0, 22.01353, 0, 1.525879e-05, 178.3864, 0, 16.30804, 6.103516e-05, 0, 0, 40.51028, 0, 0, 129.5546, 32.7225, 6.103516e-05, 1.525879e-05, 64.19602, 50.18036, 0
0.3, 0, 19.84967, 20.41383, 0, 44.23853, 237.3918, 0, 83.81024, 0, 0, 0, 47.50385, 0, 0, 121.6993, 31.04865, 38.84821, 0, 78.58282, 47.36835, 97.08069
0.4, 33.62456, 157.659, 18.93037, 0, 41.38231, 225.1768, -3.814697e-06, 108.3395, 0, 0, 0, 44.90645, 0, 0, 114.3203, 118.9207, 147.0014, 0, 74.53046, 44.7139, 121.2948
0.5, 47.58702, 187.42, 17.55472, 0, 38.71049, 236.0081, -3.814697e-06, 167.4083, 0, 5.960464e-08, 0, 42.45106, 0, 0, 203.7933, 179.354, 241.6368, 0, 198.0905, 42.20822, 138.8782
0.6, 83.8313, 178.5964, 16.27902, 67.56064, 36.2112, 364.5264, -3.814697e-06, 159.161, 207.9751, 0, 0, 131.0551, 0, 0, 314.9376, 235.347, 299.6735, 1.525879e-05, 264.6243, 39.84293, 131.1972
0.7, 78.8826, 215.3942, 15.09604, 121.8477, 50.8326, 409.7855, 0, 151.32, 456.5933, 0, 0, 175.1153, 0, 0, 295.842, 314.4522, 389.2886, 0, 376.0606, 130.593, 209.2341
0.8, 122.9534, 213.6287, 13.99902, 115.4036, 47.55065, 388.6997, 0, 143.8654, 563.6648, 0, 32.08183, 195.4799, 0, 0, 277.9043, 298.3669, 460.8617, 0, 356.6679, 123.2748, 223.8215
0.9, 115.6953, 284.0251, 12.98172, 109.3003, 44.4806, 368.6989, 3.814697e-06, 204.2382, 527.5901, -5.960464e-08, 30.09921, 184.7915, 0, 0, 318.1103, 283.1044, 544.104, 1.525879e-05, 338.2751, 116.3667, 270.819
1, 108.8656, 270.6535, 12.03835, 103.5198, 41.60876, 349.7272, 3.814697e-06, 194.1765, 493.8241, -5.960464e-08, 28.2391, 231.5518, 0, 0, 435.5896, 268.6227, 711.2058, 7.629395e-06, 320.8309, 109.8457, 255.8407
1.1, 102.4391, 309.0739, 11.16353, 109.5772, 38.92233, 331.7318, 3.814697e-06, 226.7549, 462.2192, -5.960464e-08, 37.54415, 321.7698, 0, 0, 409.1785, 297.3705, 674.5686, 1.525879e-05, 304.2863, 329.5718, 241.6908
1.2, 96.39191, 294.523, 10.35228, 412.0778, 36.40935, 314.6622, 3.814697e-06, 215.584, 432.637, -5.960464e-08, 72.6759, 347.5514, 29.34349, 0, 384.3689, 342.9045, 710.3531, 7.629395e-06, 288.5948, 311.1031, 228.3235
1.3, 90.70174, 352.5464, 9.599991, 390.2845, 77.92773, 478.6885, 3.814697e-06, 204.9634, 446.9341, -5.960464e-08, 68.18459, 328.5481, 27.85081, 0, 361.0635, 325.3637, 701.2861, 7.629395e-06, 273.7125, 293.6694, 215.6955
1.4, 85.34747, 387.775, 8.902367, 369.6436, 72.89642, 538.004, 105.0557, 194.866, 418.3302, -1.192093e-07, 113.5658, 310.5839, 26.43407, 0, 339.1712, 353.4833, 732.2693, 7.629395e-06, 259.5977, 277.2127, 203.766
1.5, 90.55881, 369.519, 8.255436, 350.0945, 68.18993, 510.3207, 265.1291, 185.2661, 432.1794, -1.192093e-07, 106.5475, 293.6019, 74.54881, 0, 318.6063, 335.4014, 694.547, 7.629395e-06, 246.2107, 261.6782, 192.4962
1.6, 85.21297, 352.1224, 7.655518, 331.5792, 63.78732, 484.0618, 243.2164, 223.1304, 478.368, -8.940697e-08, 99.96295, 277.5485, 70.75658, 0, 299.2883, 318.2444, 658.7679, 7.629395e-06, 233.5141, 247.0142, 181.8498
1.7, 80.18272, 335.5449, 7.099194, 314.0431, 59.66896, 459.1541, 223.1148, 212.1381, 447.7523, -8.940697e-08, 140.5908, 262.3728, 228.0768, 0, 281.1416, 301.9651, 666.0042, 7.629395e-06, 221.4722, 233.1719, 171.7921
1.8, 75.4494, 319.7478, 6.5833, 297.4345, 55.81649, 435.528, 204.6746, 212.5339, 419.0961, -8.940697e-08, 131.9024, 248.0269, 304.5337, 0, 264.0951, 347.6877, 688.9531, 7.629395e-06, 210.0513, 220.1053, 162.2908
1.9, 70.99551, 382.3552, 6.104897, 281.7042, 52.21276, 488.0822, 187.7585, 232.0574, 392.2738, -8.940697e-08, 123.7509, 234.4654, 289.0424, 0, 379.7025, 329.9023, 653.4622, 1.525879e-05, 199.2193, 207.771, 153.3149
2, 66.80452, 364.3543, 48.25404, 266.8058, 48.8417, 579.8313, 172.2404, 286.9002, 367.1681, -5.960464e-08, 116.1032, 221.6454, 274.3391, 0, 356.6801, 313.0266, 696.9305, 1.525879e-05, 188.946, 196.1279, 144.8354
2.1, 62.86094, 361.7251, 44.74745, 252.6954, 45.68828, 549.9957, 158.0049, 376.0197, 405.3818, -5.960464e-08, 195.3377, 209.5263, 260.3837, 0, 490.9352, 297.0142, 661.0286, 2.288818e-05, 179.2024, 185.1372, 136.825
2.2, 59.15016, 445.8273, 41.49569, 239.3312, 42.73846, 521.6953, 144.946, 357.4953, 379.4373, -5.960464e-08, 183.266, 198.0699, 247.1383, 0, 500.3843, 345.8032, 654.2728, 1.907349e-05, 169.9612, 174.7624, 129.2575
2.3, 55.65843, 479.5314, 207.0754, 226.6738, 39.9791, 604.0306, 132.9664, 339.8835, 412.4112, -8.940697e-08, 171.9403, 187.2399, 234.5666, 0, 470.0446, 328.1141, 674.0005, 1.907349e-05, 161.1966, 164.969, 122.1086
2.4, 52.37282, 456.9556, 192.0274, 214.6858, 37.39789, 733.4758, 121.9768, 323.1394, 386.0167, -5.960464e-08, 197.5542, 177.0021, 222.6344, 0, 573.318, 311.33, 639.2799, 1.525879e-05, 152.884, 155.7244, 115.3551
2.5, 49.28117, 435.4427, 248.0541, 203.3318, 34.98333, 753.553, 111.8956, 418.9859, 361.3115, -8.940697e-08, 185.3455, 167.324, 211.3092, 0, 538.556, 316.0901, 622.369, 1.525879e-05, 145.0001, 146.9979, 231.099
2.6, 46.37202, 414.9425, 288.7051, 192.5783, 128.5948, 714.7783, 102.6475, 398.3448, 338.1875, -5.960464e-08, 173.8913, 158.1752, 200.5601, 0, 505.9018, 326.7558, 689.5839, 1.525879e-05, 137.5227, 138.7604, 317.6094
2.7, 53.16184, 460.9364, 267.7251, 182.3935, 139.5659, 743.8467, 94.1638, 429.1427, 316.5434, -5.960464e-08, 239.9743, 149.5265, 190.3578, 0, 475.2275, 310.0411, 674.9693, 1.525879e-05, 130.4309, 130.9845, 300.0433
2.8, 100.0425, 439.236, 248.2697, 172.7473, 169.122, 910.2449, 86.38125, 473.0629, 296.2845, -5.960464e-08, 337.8599, 141.3508, 180.6745, 0, 446.4131, 304.2794, 640.1987, 1.144409e-05, 123.7048, 123.6443, 283.4487
2.9, 108.468, 418.5572, 230.2281, 163.6113, 160.6375, 973.6988, 79.24193, 449.7578, 277.3222, 65.33345, 407.2366, 335.6104, 171.4837, 0, 573.2487, 288.7145, 607.2193, 1.144409e-05, 117.3256, 116.7155, 267.7719
3, 102.065, 428.1696, 213.4976, 154.9585, 182.8558, 923.5964, 72.69266, 427.6008, 259.5735, 139.7233, 382.0697, 555.5828, 162.7605, 0, 659.0776, 357.1958, 701.4036, 1.144409e-05, 111.2753, 110.175, 252.9621
3.1, 96.0399, 408.0118, 197.9829, 146.7633, 177.0647, 876.0722, 66.68468, 572.7815, 242.9607, 131.7431, 358.4582, 674.4879, 154.481, 122.3111, 619.1158, 338.924, 665.2712, 306.8454, 260.1924, 104.0009, 238.9714
3.2, 101.9366, 388.803, 183.5956, 139.0015, 191.7999, 830.9933, 61.17326, 1128.579, 227.4111, 192.3523, 336.3058, 758.5825, 146.6227, 161.8492, 604.9851, 500.358, 651.8959, 289.3077, 246.7747, 98.1729, 225.7545
3.3, 95.91911, 490.3466, 170.2538, 131.6502, 179.4165, 788.2339, 56.11735, 1321.977, 212.8568, 181.3663, 315.5224, 717.105, 139.1642, 154.5486, 600.1143, 576.6094, 618.314, 365.3073, 234.049, 92.67145, 283.8845
3.4, 90.25685, 467.2615, 157.8816, 124.6876, 185.6951, 747.6748, 130.0128, 1306.941, 199.2338, 329.4472, 296.0234, 861.7565, 132.085, 245.3845, 563.7276, 644.8423, 671.2836, 344.4282, 285.6919, 87.47829, 311.1072
3.5, 84.92885, 445.2634, 146.4084, 118.0933, 173.7059, 709.2027, 155.7133, 1388.753, 186.4828, 874.0914, 277.7294, 1540.435, 125.366, 324.908, 591.1977, 732.8226, 818.5223, 903.6956, 564.6815, 380.1185, 293.9007
3.6, 79.91536, 424.3008, 135.769, 111.8478, 327.74, 672.7102, 194.7327, 1320.337, 174.5479, 1334.905, 260.5659, 1769.559, 118.9887, 636.0901, 603.3921, 695.3362, 837.9246, 1419.745, 635.1841, 414.1296, 277.6458
3.7, 75.19783, 404.3253, 125.9028, 105.9325, 306.5798, 638.0955, 178.6382, 1255.292, 163.3767, 1583.277, 361.7328, 1842.645, 112.9359, 663.018, 650.2892, 751.5147, 794.7596, 1547.056, 602.4288, 390.9225, 262.2899
3.8, 70.75878, 385.29, 116.7535, 100.3301, 286.7858, 605.2618, 203.4375, 1405.616, 152.9206, 1492.851, 354.8122, 1741.893, 107.191, 633.111, 610.8602, 713.0721, 753.8181, 1508.398, 571.3627, 508.217, 345.4128
3.9, 66.58178, 367.151, 108.2691, 95.02402, 268.2698, 574.1177, 215.117, 1355.404, 143.1336, 1595.779, 332.8851, 1704.788, 101.7383, 663.6836, 573.822, 676.596, 845.5547, 1658.566, 730.6742, 515.7631, 326.3089
4, 62.65134, 367.2113, 100.4013, 89.99853, 323.1188, 544.576, 207.0024, 1360.689, 133.973, 1504.639, 312.3131, 1765.901, 96.56293, 633.7466, 539.0295, 641.9858, 801.9966, 1563.771, 692.9947, 562.4638, 454.9112
4.1, 58.95293, 349.9234, 93.10519, 85.23882, 302.257, 516.5545, 189.8938, 1293.656, 125.3987, 1418.703, 293.0124, 1669.346, 91.65086, 605.16, 667.2484, 898.3984, 966.5948, 1573.483, 657.2583, 530.9443, 429.7513
