 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C019, C020, C024, C037, C040, C041, C051, C052, C062, C074, C084, C088, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 3.393005, 0, 0, 0, 0, 22.36029, 3.920074, 0, 66.46887, 0, 0, 3.370148, 73.59045, 0, 60.11841, 39.36566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74.89746, 0, 83.49744
0.2, 3.166687, 68.31934, -7.629395e-06, 0, 106.4725, 21.22388, 76.88982, 4.944328, 168.7543, 3.051758e-05, 0, 57.71106, 70.21375, 0, 93.12744, 37.04111, 1.525879e-05, 75.6129, 41.28601, 27.02673, 123.7653, 6.103516e-05, 0.0001220703, -3.051758e-05, 3.051758e-05, -6.103516e-05, 95.83765, 106.0326, 0, 185.7084
0.3, 2.955444, 64.89105, -3.814697e-06, 1.525879e-05, 99.05328, 20.14517, 105.8583, 85.95934, 173.8765, 3.051758e-05, 92.96362, 54.90195, 183.8205, -3.051758e-05, 112.7872, 34.85379, 0, 71.16994, 39.21021, 116.5444, 118.0006, 341.5057, 32.96155, -3.051758e-05, 47.36102, -6.103516e-05, 90.48181, 212.1473, 0, 243.7144
0.4, 108.8364, 93.21991, 0, 0, 92.15094, 19.12134, 100.3718, 155.9182, 200.6762, 0, 88.06143, 52.22961, 175.3859, -3.051758e-05, 126.9361, 32.79565, 0, 66.98805, 81.12939, 125.6471, 112.5045, 324.2101, 31.47021, 32.99805, 45.09579, -0.0001220703, 85.42535, 203.0853, 0, 251.2142
0.5, 176.0549, 88.54211, 0, 1.525879e-05, 85.72961, 18.14951, 122.4828, 190.9695, 262.2978, 3.051758e-05, 83.41774, 49.68735, 167.3383, -3.051758e-05, 120.1315, 91.64978, 0, 63.0519, 77.05017, 118.6671, 107.2644, 416.4513, 88.97229, 31.46661, 79.74002, -0.0001220703, 80.65149, 309.9355, -0.0001220703, 320.3937
0.6, 164.312, 143.4588, -3.814697e-06, 0, 79.75568, 17.22708, 116.1347, 181.3002, 249.3173, 3.051758e-05, 79.01894, 47.26883, 159.66, -3.051758e-05, 113.6915, 86.23782, 1.525879e-05, 159.8713, 102.1147, 134.5812, 102.2683, 395.3601, 128.587, 164.843, 92.96054, -6.103516e-05, 311.5607, 367.7361, -0.0001220703, 361.4829
0.7, 153.3523, 136.2601, 0, 0, 74.198, 16.35153, 156.6911, 172.1205, 236.9791, 3.051758e-05, 74.85207, 44.96802, 152.334, -3.051758e-05, 229.7393, 138.8732, 260.8942, 150.4774, 135.8691, 205.1852, 97.50497, 375.337, 122.7694, 157.1926, 88.51434, -0.0001220703, 294.1493, 352.0282, -0.0001220703, 455.1112
0.8, 143.1237, 211.374, 3.814697e-06, 0, 73.3623, 133.9724, 167.0003, 220.5523, 225.2515, 3.051758e-05, 70.90494, 42.77924, 283.4734, 72.98959, 223.871, 130.6727, 307.7795, 280.6765, 232.2133, 193.7867, 92.96347, 373.1109, 177.7939, 149.8973, 84.28082, -9.155273e-05, 277.711, 336.9911, -0.0001220703, 436.2015
