 , C000, C001, C003, C004, C005, C006, C008, C009, C010, C011, C013, C014, C015, C016, C017, C019, C020, C023, C024, C025, C031, C032, C033, C034, C040, C043, C051, C056, C063, C107, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 17.4671, 144.291, 40.53491, 79.00873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74.30124, 0, 18.79639, 111.2191, 61.36673, 0, 0, 0, 171.3023, 56.84143, 0, 0, 0, 0, 0, 0
0.2, 16.18439, 219.3442, 38.58859, 74.70874, 0, 0, 0, 0, 0, 0, 66.21727, 7.629395e-06, 0, 0, 72.18341, 154.468, 0, 17.63181, 105.9906, 58.49304, -3.051758e-05, 0, 0, 260.8666, 64.38422, 23.59467, 0, -0.0001220703, 0, 0, 0
0.3, 14.99585, 350.8098, 36.73572, 70.64282, 0, 0, 3.051758e-05, 0, 0, 0, 63.10547, 77.88734, 0, -7.629395e-06, 68.47345, 250.8218, 0, 16.53937, 101.0079, 98.86987, 22.73734, 0, 28.74304, 316.6862, 61.05902, 43.78638, 0, -6.103516e-05, 0, 0, 1.525879e-05
0.4, 159.9057, 488.0569, 34.97186, 66.7981, 0, 0, 3.051758e-05, 0, 0, 0, 60.13992, 73.15488, 6.103516e-05, -7.629395e-06, 64.95419, 271.8266, 0, 55.75491, 96.25958, 186.8402, 61.0585, 65.75488, 62.35681, 361.3773, 57.90556, 137.5941, 6.103516e-05, -6.103516e-05, 0, 0, 3.051758e-05
0.5, 262.1234, 544.4045, 33.29263, 63.16272, 0, 0, 3.051758e-05, 0, 0, 0, 57.31374, 68.70996, 6.103516e-05, 0, 61.61578, 271.7031, 0, 111.2893, 91.73444, 178.0909, 58.32968, 225.0136, 137.427, 389.4811, 111.3559, 130.7831, 64.22778, -0.0001220703, 0, 0, 1.525879e-05
0.6, 242.8741, 531.613, 31.69409, 144.6835, 0, 3.814697e-06, 6.103516e-05, 0, 3.814697e-06, 0, 162.7291, 64.53513, 6.103516e-05, 0, 58.44897, 257.344, 0, 104.3941, 155.1097, 228.1855, 90.10164, 260.9669, 129.9766, 367.3809, 184.3107, 124.3094, 115.8857, -0.0001831055, 0, -6.103516e-05, 1.525879e-05
0.7, 225.0385, 644.2083, 80.38171, 338.4959, 0, 3.814697e-06, 6.103516e-05, 0, 0, 0, 155.0818, 102.1445, 6.103516e-05, 7.629395e-06, 240.9106, 482.4504, 0, 97.92609, 147.8179, 217.5002, 86.0748, 454.9681, 122.9302, 346.5348, 174.7917, 118.156, 165.0216, 157.437, 0, 150.9487, 1.525879e-05
0.8, 208.5127, 682.5059, 76.52213, 418.072, 0, 3.814697e-06, 6.103516e-05, 0, 0, 0, 204.385, 156.2023, 6.103516e-05, 7.629395e-06, 228.5287, 484.0199, 0, 91.85886, 140.869, 207.3152, 214.324, 427.1662, 116.2658, 430.5978, 208.8431, 112.3072, 208.0998, 149.9003, 0, 143.9703, 0
0.9, 198.713, 795.5986, 130.2768, 508.045, 0, 3.814697e-06, 4.577637e-05, 0, 3.814697e-06, 0, 194.7802, 146.7114, 6.103516e-05, 7.629395e-06, 216.7832, 593.3972, 0, 86.16754, 134.2467, 197.6071, 204.7454, 471.3815, 109.9627, 406.1646, 198.0572, 106.748, 197.6793, 182.2639, 0, 137.3145, 1.525879e-05
1, 184.1204, 831.0432, 124.0215, 526.8382, 0, 3.814697e-06, 4.577637e-05, 0, 0, 0, 270.0947, 167.0744, 0, 7.629395e-06, 205.6413, 562.0372, 0, 80.82881, 127.9358, 292.8437, 195.5949, 442.5766, 104.0013, 383.1177, 187.8283, 164.8733, 316.4991, 173.5388, 0, 130.9663, 1.525879e-05
1.1, 170.5994, 844.2917, 118.0665, 498.1653, 0, 3.814697e-06, 3.051758e-05, 0, 3.814697e-06, 0, 257.402, 198.6194, 0, 1.525879e-05, 195.0722, 532.3345, 0, 163.7247, 121.9215, 279.1306, 186.8533, 478.3235, 98.3631, 361.3786, 178.1276, 156.712, 329.4887, 219.5919, 0, 124.9116, 1.525879e-05
1.2, 161.2819, 801.735, 112.3974, 471.053, 0, 100.6374, 3.051758e-05, 0, 0, 0, 285.5994, 239.9744, 0, 1.144409e-05, 185.0462, 504.2015, 0, 153.5808, 164.9745, 266.0595, 178.5025, 449.0943, 220.906, 731.9304, 168.928, 148.9547, 312.9897, 209.0798, 0, 270.2841, 1.525879e-05
1.3, 149.438, 970.215, 150.4664, 445.4162, 0, 93.80739, 4.577637e-05, 0, 0, 0, 272.178, 225.3935, 6.103516e-05, 7.629395e-06, 175.5355, 477.5553, 0, 144.0653, 157.2191, 253.6006, 170.5248, 453.2737, 208.93, 690.3988, 174.5798, 141.5814, 297.317, 307.2795, 0, 400.4943, 1.525879e-05
1.4, 235.8914, 1004.731, 143.2417, 421.1747, 0, 87.44095, 4.577637e-05, 0, 0, 0, 259.3873, 211.6985, 6.103516e-05, 7.629395e-06, 166.5137, 452.3173, 0, 135.1393, 149.8282, 241.7251, 162.9037, 601.9064, 197.6033, 914.8851, 165.5634, 134.573, 357.2206, 292.5698, 0, 381.9792, 1.525879e-05
1.5, 248.695, 946.703, 136.3639, 570.4316, 0, 81.50659, 4.577637e-05, 0, 0, 0, 247.1977, 245.7019, 6.103516e-05, 7.629395e-06, 157.9555, 428.4131, 0, 126.7664, 265.2281, 230.4056, 155.6232, 565.1253, 186.8907, 862.9722, 157.0127, 127.9116, 339.3329, 278.5643, 0, 364.32, 1.525879e-05
1.6, 230.4319, 969.5758, 155.0827, 539.3861, 0, 75.97498, 4.577637e-05, 0, 0, 0, 235.581, 230.773, 6.103516e-05, 1.144409e-05, 149.8372, 446.9348, 0, 118.9123, 252.7596, 219.6163, 148.6681, 530.5919, 176.7588, 814.0049, 207.3481, 198.176, 322.341, 265.2293, 0, 347.4772, 233.3414
1.7, 213.51, 1157.115, 157.4943, 547.6774, 0, 115.9231, 4.577637e-05, 0, 1.907349e-06, 0, 224.5101, 216.7511, 6.103516e-05, 7.629395e-06, 142.1361, 491.2291, 0, 111.5448, 240.8774, 365.9011, 142.0238, 695.1852, 167.1762, 767.8162, 202.2873, 204.2323, 306.2, 252.5327, 0, 331.413, 218.5022
1.8, 203.4767, 1090.286, 150.2577, 517.8704, 0, 108.0558, 4.577637e-05, 0, 3.814697e-06, 0, 213.9596, 203.5813, 6.103516e-05, 7.629395e-06, 134.8308, 465.2686, 0, 104.6338, 229.5537, 348.7668, 135.6764, 683.8385, 287.652, 724.2483, 207.9339, 227.151, 406.2103, 313.8623, 0, 316.0916, 458.9069
1.9, 188.5343, 1125.898, 201.8509, 535.1047, 0, 100.7223, 3.051758e-05, 0, 3.814697e-06, 0, 203.9048, 191.2116, 6.103516e-05, 7.629395e-06, 127.901, 440.6799, 0, 98.15092, 218.7624, 332.4349, 129.6127, 642.0508, 272.0576, 683.1526, 197.1949, 215.907, 440.4145, 346.4255, 0, 445.2656, 580.9918
2, 174.6891, 1060.872, 225.7857, 637.1079, 0, 93.8866, 3.051758e-05, 0, 3.814697e-06, 0, 204.1634, 233.4163, 6.103516e-05, 3.814697e-06, 284.0694, 417.3907, 0, 227.1628, 208.4783, 316.8677, 123.8201, 649.2899, 257.3086, 644.3888, 187.0106, 205.2195, 475.7021, 329.8419, 0, 487.2097, 631.4895
2.1, 199.6687, 1128.733, 214.9445, 621.3805, 0, 87.51479, 1.525879e-05, 0, 1.907349e-06, 0, 239.1415, 301.4752, 9.155273e-05, 3.814697e-06, 269.4693, 395.3323, 0, 213.0884, 232.0768, 389.009, 118.2863, 609.6134, 243.3592, 607.8245, 198.5052, 195.061, 469.7736, 374.562, 0, 632.2183, 591.3303
2.2, 205.8458, 1158.586, 227.5172, 700.6067, 0, 81.57541, 2.288818e-05, 0, 1.907349e-06, 0, 227.9034, 283.1574, 9.155273e-05, 3.814697e-06, 315.4868, 374.4397, 0, 199.886, 249.1898, 370.7926, 112.9998, 1001.259, 230.166, 653.3678, 224.0998, 185.4054, 446.2499, 356.6314, 0, 720.3524, 553.725
2.3, 197.509, 1159.261, 216.5927, 662.4766, 0, 117.1551, 2.288818e-05, 0, 3.814697e-06, 0, 217.1933, 265.9527, 9.155273e-05, 3.814697e-06, 362.3866, 354.6512, 0, 187.5015, 405.4498, 458.7972, 107.9496, 1120.849, 217.688, 661.8058, 253.1228, 399.6978, 423.9041, 584.8185, 0, 744.2137, 571.6719
2.4, 218.4817, 1293.007, 274.1239, 626.4216, 0, 109.2042, 3.051758e-05, 109.465, 3.814697e-06, 0, 260.8287, 249.7933, 6.103516e-05, 3.814697e-06, 343.7614, 335.9085, 184.1414, 175.8844, 418.6412, 803.0204, 257.0066, 1176.277, 205.8865, 624.2532, 245.0618, 511.3127, 439.1418, 634.6426, 0, 923.4006, 600.9705
2.5, 294.2909, 1265.208, 367.9171, 592.329, 0, 101.7928, 2.288818e-05, 150.6452, 3.814697e-06, 0, 248.5714, 234.6158, 9.155273e-05, 3.814697e-06, 326.0933, 420.403, 197.1088, 226.5508, 474.4951, 765.4169, 245.5205, 1192.38, 194.7248, 588.8315, 232.4053, 620.2202, 466.5814, 811.1387, 0, 880.7111, 725.5521
2.6, 276.7731, 1192.136, 350.2512, 653.0436, 0, 94.88441, 2.288818e-05, 172.1945, 3.814697e-06, 0, 236.8901, 220.3605, 6.103516e-05, 1.907349e-06, 309.3334, 570.0723, 252.2406, 438.9196, 452.189, 729.5742, 234.5476, 1119.517, 184.1682, 645.2295, 220.4024, 589.519, 443.2176, 772.309, 0, 899.2561, 679.411
2.7, 290.4153, 1216.343, 333.4337, 680.8161, 0, 88.44488, 2.288818e-05, 162.6212, 3.814697e-06, 0, 225.7577, 257.3261, 9.155273e-05, 1.907349e-06, 293.4348, 539.9449, 239.2486, 577.9789, 430.9315, 695.4099, 309.2796, 1079.352, 174.1839, 608.6176, 209.0195, 588.1745, 508.0196, 980.231, 0, 903.8242, 636.2043
2.8, 269.0885, 1252.342, 317.4236, 643.7631, 0, 82.44238, 2.288818e-05, 153.5802, 1.907349e-06, 0, 277.6628, 241.6909, 9.155273e-05, 3.814697e-06, 372.1061, 511.4098, 226.9258, 649.0811, 410.6734, 722.0863, 295.4572, 1157.476, 256.7622, 574.083, 198.2244, 559.0596, 653.4044, 933.3067, 131.2265, 862.0397, 679.9837
2.9, 249.3278, 1254.836, 331.8404, 797.5519, 0, 76.84726, 1.525879e-05, 204.6863, 1.907349e-06, 0, 269.2201, 272.3154, 9.155273e-05, 1.907349e-06, 352.9813, 484.3826, 215.2376, 608.8657, 530.8811, 688.2727, 282.2527, 1086.745, 367.2968, 541.5081, 187.9868, 683.3508, 777.5861, 888.6288, 164.589, 955.7592, 709.7926
3, 231.0182, 1182.364, 361.483, 754.1455, 0, 122.469, 1.525879e-05, 200.441, 1.907349e-06, 0, 256.5685, 345.0661, 6.103516e-05, 1.907349e-06, 334.8394, 480.9022, 204.1515, 651.3503, 550.6471, 656.0425, 269.6382, 1020.337, 347.3846, 510.7816, 178.278, 649.5247, 751.202, 918.2333, 156.626, 1048.832, 805.3007
3.1, 214.0533, 1114.076, 389.6064, 713.1016, 0, 628.0698, 1.525879e-05, 225.0535, 2.861023e-06, 0, 244.5114, 324.0998, 6.103516e-05, 1.907349e-06, 421.6058, 530.5836, 277.6765, 610.9943, 617.2061, 988.1694, 257.5875, 1109.12, 328.5518, 481.7985, 169.0706, 774.334, 796.7366, 874.2769, 149.0483, 1053.287, 754.0881
3.2, 198.3341, 1049.733, 464.8581, 674.2914, 0, 747.4817, 1.525879e-05, 563.5017, 2.861023e-06, 0, 328.0049, 304.4073, 6.103516e-05, 0, 569.0271, 656.3226, 263.3744, 573.1386, 661.8907, 1397.578, 246.0754, 1129.68, 310.7401, 454.4601, 206.7089, 1238.386, 839.0816, 1033.747, 228.4542, 1333.634, 706.1323
3.3, 183.7693, 1150.65, 509.4724, 637.5934, 0, 724.7505, 1.525879e-05, 622.613, 1.907349e-06, 0, 328.2166, 364.1425, 6.103516e-05, 1.907349e-06, 539.7812, 691.462, 396.9991, 603.1658, 630.7751, 1647.962, 235.0777, 1169.458, 293.894, 428.6729, 229.2748, 1393.803, 812.7832, 1115.1, 217.4014, 1513.375, 661.2262
