 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C021, C024, C025, C026, C030, C034, C040, C043, C047, C055, C060, C062, C065, C066, C069, C070, C072, C073, C074, C078, C080, C082, C083, C090, C094, C098, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 153.0867, 191.2656, 0, 0, 0, 0, 0, 42.24316, 71.02966, 99.36716, 0, 142.9251, 0, 0, 11.80981, 0, 0, 0, 0, 0, 0, 0, 0, 49.46423, 0, 0, 0, 0, 0, 0, 103.0222, 26.01807, 0, 0, 100.4133, 132.3219, 86.86816
0.2, 19.06696, 0, 165.0474, 191.1094, 0, 0, 32.67407, 40.57939, -7.629395e-06, 134.3826, 67.26953, 115.6092, 0, 137.0636, 64.74274, -3.051758e-05, 107.1094, 151.4193, 0, 0, 0, 0, 0, 0, 0, 47.28732, 64.02893, 89.53467, -1.525879e-05, 56.80591, 0, 21.21153, 160.6987, 64.80164, 112.302, 0, 95.39514, 125.799, 125.7112
0.3, 18.1293, 0, 188.5473, 268.1895, 21.26071, 3.051758e-05, 115.0259, 38.19453, 125.7607, 126.7055, 63.70837, 110.9047, 113.0504, 131.4424, 62.08209, -3.051758e-05, 105.3943, 144.2001, 0, 0, 0, 37.08582, -7.629395e-06, 108.6607, 0, 45.20621, 60.89258, 84.59766, -1.525879e-05, 123.6219, 40.5553, 20.05424, 154.0748, 95.08606, 123.8652, 0, 90.62781, 232.8663, 118.7974
0.4, 17.23773, 96.94977, 178.0219, 467.344, 20.02036, 3.051758e-05, 191.1931, 35.94983, 198.3274, 119.467, 188.6245, 121.6852, 108.4271, 126.0518, 59.53073, -3.051758e-05, 196.95, 234.7483, 177.9534, 0, 0, 64.36639, -7.629395e-06, 188.1151, 0, 43.21669, 57.91003, 79.93292, -1.525879e-05, 304.147, 38.61835, 18.9601, 344.8812, 90.48218, 428.3824, 0, 86.09875, 252.6993, 176.9618
0.5, 16.39001, 92.63562, 168.0841, 612.5918, 26.9765, 3.051758e-05, 287.9712, 33.83705, 274.8091, 317.3035, 257.5173, 116.7334, 103.9929, 120.8823, 59.08868, -3.051758e-05, 194.637, 323.4078, 167.9877, 0, -6.103516e-05, 99.7876, -7.629395e-06, 179.2409, -3.814697e-06, 41.31474, 55.07349, 75.52539, -1.525879e-05, 286.8348, 185.9227, 17.92566, 330.6653, 157.8002, 506.0927, 0, 206.4252, 359.7958, 189.3053
0.6, 66.17844, 157.7259, 241.329, 626.9243, 72.0694, 161.4941, 512.541, 183.6609, 258.2631, 319.5443, 243.8848, 118.8144, 113.6398, 115.9247, 56.66037, 177.7863, 269.5389, 307.9888, 509.8694, 0, -6.103516e-05, 128.0748, -7.629395e-06, 170.7854, -3.814697e-06, 39.49649, 126.0043, 71.36084, 52.62154, 270.5079, 191.4168, 16.94765, 317.0353, 216.1371, 482.8555, 0, 379.6069, 342.059, 233.9354
0.7, 138.7757, 150.7073, 290.5094, 769.6418, 155.6633, 152.5532, 634.1263, 247.1099, 314.3276, 549.0392, 424.9852, 113.9795, 217.4207, 111.1705, 54.33185, 201.071, 428.5225, 334.7056, 524.3767, 0, -6.103516e-05, 121.5162, -7.629395e-06, 162.7288, -7.629395e-06, 37.75826, 411.4196, 360.2922, 49.59105, 385.189, 191.9737, 16.023, 389.4817, 270.194, 647.0344, 0, 626.1516, 363.2273, 221.0696
0.8, 146.1632, 144.001, 331.8398, 1802.832, 207.5437, 319.0073, 707.3147, 577.333, 423.0352, 517.6732, 402.4872, 109.3413, 332.6953, 106.6113, 52.09903, 384.8055, 835.8442, 437.9831, 794.04, 0, -6.103516e-05, 300.3247, 0, 155.0522, -7.629395e-06, 36.09652, 391.2676, 357.3786, 156.6677, 665.0063, 182.8049, 15.14879, 409.1161, 613.915, 835.4626, 0, 1107.693, 423.6631, 208.9114
0.9, 138.9752, 137.5932, 481.7326, 2516.837, 222.4362, 321.5838, 854.0603, 543.403, 615.1807, 577.626, 481.0765, 151.5402, 319.0896, 138.9208, 49.95795, 514.446, 1006.111, 710.2803, 777.7953, 0, -6.103516e-05, 568.715, 0, 147.7378, -7.629395e-06, 34.50792, 609.7295, 337.6726, 147.6452, 627.1538, 246.9814, 97.10474, 439.791, 702.4185, 1078.452, 3.051758e-05, 1362.532, 402.778, 305.1013
1, 218.3825, 186.208, 454.8405, 2655.068, 209.4592, 334.1229, 909.4824, 655.6311, 684.6899, 672.3306, 455.6093, 145.3735, 306.0402, 240.6072, 77.35516, 520.9175, 1001.383, 843.0142, 809.1227, 0, -6.103516e-05, 642.145, 3.814697e-06, 140.7684, -1.144409e-05, 32.98923, 666.8216, 407.0066, 139.1423, 748.8976, 235.1855, 91.80679, 618.7692, 773.0883, 1103.94, 3.051758e-05, 1294.44, 507.7181, 416.4976
1.1, 207.6428, 177.922, 429.4496, 2671.884, 197.2392, 428.5289, 868.2109, 705.0137, 654.5687, 680.2175, 624.2917, 175.6504, 313.7876, 230.7396, 74.17618, 495.5936, 995.7545, 889.6807, 796.7033, 0, 88.93176, 609.261, 3.814697e-06, 277.662, -1.144409e-05, 31.53738, 678.8237, 563.6627, 131.1291, 716.3629, 223.9529, 228.5702, 668.9381, 735.6569, 1150.449, 0, 1229.752, 502.1825, 393.5912
1.2, 247.9038, 170.0047, 405.4762, 2720.262, 250.9113, 404.8038, 892.7786, 663.58, 689.1202, 735.1296, 591.2428, 193.7856, 379.8038, 221.2767, 71.12784, 471.501, 947.2328, 1019.889, 752.0867, 0, 84.41177, 677.2409, 7.629395e-06, 333.1224, -1.144409e-05, 30.14943, 645.5739, 532.582, 138.1345, 709.008, 213.2568, 262.6904, 641.3646, 700.038, 1177.387, 1.525879e-05, 1168.296, 521.3477, 452.1956
1.3, 235.7123, 171.0014, 521.8408, 2664.391, 256.7298, 438.6069, 944.4093, 624.5812, 647.6288, 693.1326, 559.9434, 185.8998, 364.2715, 212.2019, 143.0415, 448.5795, 921.1064, 971.2641, 709.9688, 0, 80.12149, 642.5595, 7.629395e-06, 337.7727, -7.629395e-06, 28.82256, 613.9527, 624.9804, 130.1794, 747.801, 203.0716, 297.6927, 732.3202, 666.1436, 1206.748, 3.051758e-05, 1109.911, 535.8146, 511.3048
1.4, 224.1204, 163.3921, 492.7097, 2686.675, 297.7707, 414.3238, 901.5531, 587.8745, 608.6357, 653.5347, 530.301, 251.1038, 447.334, 229.8468, 156.0153, 426.7723, 876.2223, 1096.899, 718.7592, 0, 76.04926, 609.6542, 7.629395e-06, 452.2021, -7.629395e-06, 27.55408, 583.8804, 590.5187, 267.7976, 720.0054, 193.3728, 281.4508, 702.134, 821.2169, 1151.34, 3.051758e-05, 1120.172, 573.3289, 542.4313
1.5, 226.9767, 156.1214, 465.2048, 2638.46, 284.8034, 429.5732, 931.7366, 553.325, 571.9903, 616.199, 502.2277, 240.8856, 429.0401, 220.4205, 149.6037, 406.0253, 833.5253, 1044.603, 678.5074, 0, 72.18399, 578.4339, 7.629395e-06, 496.3824, -7.629395e-06, 26.34143, 705.8046, 557.9572, 252.3751, 887.5695, 329.2705, 266.0951, 817.2994, 781.4553, 1147.885, 1.525879e-05, 1064.192, 603.3522, 512.5989
1.6, 215.8144, 197.1465, 439.2353, 2507.992, 486.4731, 559.765, 947.0089, 520.806, 670.3479, 580.9962, 583.7579, 231.0832, 411.4943, 211.3808, 143.4556, 429.5184, 792.9088, 994.7993, 765.072, 0, 68.5152, 548.8124, 7.629395e-06, 472.966, -9.536743e-06, 80.04568, 671.2333, 527.1912, 237.8408, 848.147, 313.5444, 251.5772, 874.2062, 839.9183, 1120.117, 3.051758e-05, 1120.8, 573.609, 484.4073
1.7, 205.201, 212.0888, 449.3956, 2596.495, 1400.408, 528.774, 904.0348, 490.1981, 697.0007, 547.8046, 552.8548, 222.5561, 394.666, 202.7118, 137.5602, 408.6379, 754.2715, 1091.344, 722.2267, 0, 65.03287, 520.7079, 3.814697e-06, 450.6543, -7.629395e-06, 247.777, 638.3553, 498.1216, 340.4297, 799.87, 298.5693, 237.8513, 838.1717, 799.2512, 1096.82, 3.051758e-05, 1064.789, 600.076, 457.7661
1.8, 195.1096, 202.6511, 424.3086, 2512.96, 1600.855, 508.8613, 958.6577, 461.3891, 655.035, 516.5092, 523.5876, 213.4996, 378.5259, 194.3983, 153.958, 408.8222, 817.2732, 1063.416, 939.2781, 0, 99.76193, 552.5356, 3.814697e-06, 429.3951, -7.629395e-06, 236.8724, 607.0878, 470.655, 444.8667, 825.2711, 284.3095, 247.6321, 837.0067, 760.5532, 1203.452, 3.051758e-05, 1125.307, 570.4943, 432.59
