 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C014, C016, C017, C018, C019, C022, C024, C027, C031, C032, C033, C037, C041, C043, C047, C050, C051, C052, C054, C055, C057, C059, C060, C061, C068, C069, C071, C072, C075, C076, C080, C084, C086, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 72.3531, 24.9567, 0, 0, 136.3185, 0, 0, 0, 0, 199.6433, 0, 0, 7.837311, 0, 0, 31.35284, 56.20023, 120.0937, 0, 0, 162.6851, 0, 0, 0, 54.41882, 0, 258.4632, 66.59766, 154.348, 0, 0, 338.4185, 0, 0, 34.26619, 0, 75.6741, 63.66858, 48.45007, 26.86833, 0, 87.18912, 0, 200.6091, 23.77972
0.2, 0, 23.92096, 0, 67.46699, 37.79108, 0, 76.37759, 206.3223, 6.103516e-05, 46.86273, -1.525879e-05, 0, 233.6916, 0, 0, 7.408997, 18.16214, 51.47662, 29.8316, 99.49483, 112.2745, 0, 1.525879e-05, 155.5558, 7.629395e-06, 0, 0, 51.62329, -6.103516e-05, 245.3806, 63.30469, 279.1075, 212.8945, 0, 318.2602, 0, 108.8598, 32.75748, 0, 217.889, 79.61182, 46.16431, 33.00987, -0.0001220703, 253.6481, 0, 232.7578, 22.65771
0.3, 0, 22.80286, 0, 464.336, 94.11768, 0, 163.3399, 329.5771, 87.13361, 44.32605, 46.24989, 0, 469.6659, 0, 0, 7.004059, 138.6366, 88.30872, 28.38422, 95.03121, 104.9644, -1.525879e-05, 208.2475, 176.4963, 0, 1.525879e-05, 0, 48.97137, -6.103516e-05, 282.064, 60.1745, 454.342, 202.8018, -6.103516e-05, 299.3026, -1.525879e-05, 197.2895, 31.31519, 1.525879e-05, 471.596, 75.88306, 227.4041, 31.47696, -0.0002441406, 255.9221, 32, 220.4338, 31.29968
0.4, 0, 38.73999, 0, 577.1871, 184.3565, 0, 280.8161, 537.674, 323.3459, 41.92664, 51.76523, 0, 500.6041, 0, 211.5793, 6.621277, 525.1578, 82.62823, 71.20477, 90.76784, 98.1302, -1.525879e-05, 256.9448, 168.7618, 0, 1.525879e-05, 0, 46.45575, -9.155273e-05, 421.0009, 106.5256, 668.0574, 193.1874, 137.4344, 412.9916, 71.17686, 329.7933, 29.93639, 0, 662.2252, 175.631, 264.1605, 30.01523, -0.0002441406, 289.2522, 215.4109, 261.7604, 206.2005
0.5, 0, 259.5656, -1.525879e-05, 538.2088, 174.2723, 0, 407.9644, 623.5253, 305.5373, 81.1615, 49.01384, 0, 784.4607, 0, 199.2866, 71.03999, 494.7552, 189.7533, 160.5247, 122.3429, 91.741, -7.629395e-06, 320.8466, 161.3662, 43.72829, 1.525879e-05, 0, 44.06927, -6.103516e-05, 662.1841, 162.1002, 672.6973, 184.0289, 142.6613, 388.3913, 66.90314, 343.1043, 28.6183, 0, 677.6759, 167.4049, 310.6401, 28.62138, -0.0002441406, 274.2878, 204.2644, 247.9008, 196.4713
0.6, 0, 318.5374, -3.051758e-05, 622.8572, 331.1334, 0, 424.4113, 775.7775, 288.7095, 76.76816, 46.40869, 0, 742.8912, 0, 250.1038, 112.4399, 466.1125, 361.2063, 269.0612, 116.8542, 85.76781, -7.629395e-06, 416.8387, 154.2947, 40.91124, 3.051758e-05, 0, 41.80542, -9.155273e-05, 628.6665, 400.961, 875.353, 175.3045, 197.4859, 365.2563, 62.886, 332.447, 27.35825, 0, 747.4849, 366.7371, 523.1032, 27.29227, -0.0002441406, 377.8715, 193.6947, 298.645, 270.5198
0.7, 0, 374.3464, -1.525879e-05, 580.7947, 313.0205, 0, 429.187, 781.0443, 272.8086, 170.6421, 43.942, 0, 703.5245, 0, 377.5552, 270.4155, 844.6118, 337.9716, 307.2004, 408.8147, 80.18353, 194.7102, 396.989, 147.5331, 38.27567, 3.051758e-05, 0, 39.65784, -0.0001220703, 641.9275, 414.5545, 831.1509, 166.9938, 189.072, 343.4994, 166.2529, 619.0382, 26.15369, 0, 704.4876, 388.7195, 759.0124, 69.54253, -0.0001220703, 386.4902, 183.6719, 380.5666, 257.7557
0.8, 0, 481.8008, -3.051758e-05, 880.988, 295.8984, 0, 408.9475, 1879.525, 257.7834, 197.9124, 41.60643, 0, 840.6863, 111.9389, 355.6194, 255.6364, 948.1993, 316.2314, 423.9399, 390.4741, 74.96281, 193.3779, 378.0844, 141.0678, 35.80988, 3.051758e-05, 0, 37.62064, -0.0001220703, 609.4352, 394.0563, 807.3975, 159.077, 181.0166, 323.0385, 156.2705, 684.4928, 25.00214, -1.525879e-05, 663.9636, 624.4054, 873.8756, 66.3131, -0.0002441406, 366.4952, 174.1678, 492.0055, 466.0315
0.9, 29.70436, 459.2809, -1.525879e-05, 821.4937, 279.7129, 0, 389.6625, 2868.637, 243.5857, 254.4773, 39.39497, 0, 885.3408, 142.4535, 391.398, 375.304, 956.6823, 295.8896, 741.821, 372.9563, 70.08202, 221.8406, 360.0801, 202.5399, 33.50294, 3.051758e-05, 0, 259.734, -9.155273e-05, 678.0239, 750.4766, 815.4098, 151.5356, 173.3044, 303.7963, 146.8874, 740.8699, 23.90131, -1.525879e-05, 870.4094, 621.9359, 960.3359, 101.3624, -0.0001220703, 422.2962, 165.1554, 632.6092, 806.0588
1, 133.3818, 437.8137, 0, 766.017, 269.1753, 39.70908, 371.2869, 3217.443, 230.17, 240.7022, 123.5602, 0, 856.015, 134.8135, 368.6579, 354.7923, 901.2975, 276.8564, 941.3562, 356.2244, 65.51904, 208.7696, 342.9332, 193.664, 31.34462, 2.288818e-05, 0, 897.6693, -9.155273e-05, 677.0768, 713.3685, 774.2346, 144.3516, 165.9207, 285.7003, 138.0677, 768.0119, 22.84895, -1.525879e-05, 959.0588, 715.6332, 1254.931, 228.1317, -0.0002441406, 772.0316, 156.6094, 599.114, 888.8163
1.1, 142.3185, 591.2605, 0, 714.2867, 254.4515, 37.59991, 393.4091, 3078.855, 217.4931, 227.6728, 116.9928, 0, 861.7481, 334.5663, 347.239, 335.4017, 958.9135, 259.0475, 1019.707, 340.2431, 61.25313, 266.7737, 326.6028, 185.1772, 29.32535, 2.288818e-05, 0, 1190.151, -6.103516e-05, 642.8054, 678.0952, 735.1387, 137.5083, 158.8516, 268.6822, 129.7776, 720.077, 21.84291, -1.525879e-05, 1261.947, 830.6844, 1195.726, 217.5377, -0.0001831055, 1171.117, 148.5056, 693.3736, 1021.968
1.2, 134.0293, 563.6244, 0, 666.0499, 315.8976, 35.60277, 374.8569, 3215.061, 205.5145, 215.3487, 110.7745, 0, 818.1042, 372.1164, 327.0645, 317.0709, 903.3997, 242.3842, 970.231, 324.9789, 57.26497, 279.8415, 311.0501, 177.0622, 27.43616, 2.288818e-05, 0, 1611.525, -6.103516e-05, 610.2687, 644.566, 698.017, 130.9894, 152.0837, 252.6778, 121.9852, 705.6555, 20.88118, -2.288818e-05, 1189.356, 791.7776, 1139.315, 207.4357, -0.0001220703, 1110.53, 140.8212, 656.6612, 1103.179
1.3, 126.2229, 537.2799, 0, 621.0706, 298.6182, 33.71171, 357.1795, 3040.932, 194.1955, 203.6917, 104.8867, 0, 774.7519, 352.1592, 346.352, 299.7419, 851.0996, 226.7927, 923.1552, 310.3994, 53.53649, 263.353, 296.2379, 169.3028, 25.66867, 2.288818e-05, 0, 2011.404, -3.051758e-05, 579.3789, 612.6947, 662.7698, 124.7795, 183.0912, 237.6268, 114.6608, 661.6125, 19.96178, -3.051758e-05, 1120.941, 838.3525, 1300.302, 197.8027, -0.0001220703, 1125.386, 133.5344, 851.9981, 1265.55
1.4, 118.8712, 512.1669, 1.525879e-05, 579.1288, 282.2839, 31.92109, 340.3358, 2876.234, 183.5, 192.6657, 99.31184, 0, 796.9638, 333.2723, 326.2291, 283.36, 863.301, 212.2041, 878.3636, 296.474, 50.05076, 247.836, 282.1312, 161.8835, 24.01505, 2.288818e-05, 0, 2191.556, 0, 802.3637, 582.3993, 629.3024, 118.864, 175.2906, 223.4723, 107.7761, 620.3185, 19.08287, -3.814697e-05, 1056.462, 963.2168, 1297.66, 188.6171, -0.0001220703, 1067.165, 126.6246, 806.8868, 1629.794
1.5, 111.9476, 488.2277, 0, 540.0193, 266.8431, 79.32175, 324.2863, 2746.107, 173.3936, 182.2365, 94.03329, 0, 754.7318, 315.3984, 411.0334, 267.8734, 813.3223, 198.554, 957.9642, 283.1733, 46.79198, 233.2334, 268.6961, 154.7893, 22.46796, 2.288818e-05, 0, 2166.628, 0, 761.7506, 553.6019, 597.5251, 113.229, 283.418, 273.8667, 101.3048, 581.6019, 18.24266, -3.814697e-05, 995.691, 918.1025, 1600.073, 179.8581, -0.0001220703, 1011.955, 120.0724, 764.1641, 2047.314
1.6, 105.4274, 465.4074, 7.629395e-06, 503.5511, 298.3632, 75.10853, 308.9938, 2848.419, 163.8437, 278.3744, 342.273, 295.0215, 714.7376, 298.483, 511.256, 271.2445, 766.2371, 185.782, 911.4838, 270.4693, 43.74538, 219.4911, 255.9009, 148.006, 21.02053, 2.288818e-05, 0, 2194.006, 0, 790.3931, 526.2284, 691.1285, 107.861, 415.4575, 382.6596, 95.22211, 545.3016, 17.43945, -3.051758e-05, 1054.82, 875.1013, 1524.586, 171.5058, -0.0001220703, 1038.444, 113.8592, 723.7034, 2032.56
1.7, 99.28684, 443.6538, 0, 469.5455, 393.0119, 71.11909, 294.4224, 2763.845, 154.8198, 263.3058, 324.0807, 477.0034, 676.8628, 319.4225, 481.5522, 256.4201, 721.8777, 173.8315, 867.2584, 258.3353, 40.89715, 206.5585, 243.715, 141.52, 19.66635, 2.288818e-05, 0, 2215.253, -3.051758e-05, 750.386, 500.2085, 776.828, 102.7476, 397.7568, 359.8661, 89.5046, 511.2671, 16.67159, -3.051758e-05, 994.1443, 834.1141, 1491.142, 163.5414, -0.0001220703, 984.7198, 107.9675, 789.3797, 1936.656
