 , C001, C003, C004, C006, C007, C008, C011, C013, C016, C022, C025, C026, C027, C029, C035, C038, C039, C054, C055, C058, C060, C065, C069, C083, C084, C090, C102, C105, C107, C117, C118, C119, C120, C121, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 37.32706, 0, 48.32596, 0, 0, 82.96725, 46.46185, 8.771332, 0, 12.76721, 0, 0, 0, 71.55447, 0, 0, 0, 0, 179.4348, 34.75348, 0, 0, 0, 57.94543, 0, 76.44031, 0, 0, 0, 139.1342, 43.50841, 0, 0, 284.4599, 0
0.2, 138.1901, 0, 46.01038, 50.56778, 67.38634, 78.66803, 44.04831, 12.96954, -7.629395e-06, 127.9176, 40.72607, 13.36, 0, 68.17398, 34.94885, 116.3534, 0, 0, 199.7384, 33.27637, 0, 0, 3.814697e-06, 55.42416, 0, 184.0432, 0, 0, 0, 251.8638, 41.66243, 0, -3.051758e-05, 270.7258, -6.103516e-05
0.3, 131.3242, 0, 43.80576, 111.9959, 64.4716, 74.59158, 73.28775, 36.79219, 0, 176.2134, 38.64929, 12.79373, 0, 145.3175, 81.78516, 110.2725, 0, 54.57353, 394.1097, 31.862, 0, 0, 0, 53.0126, -7.629395e-06, 174.3943, 0, 0, 0, 240.3412, 71.19485, 3.051758e-05, -3.051758e-05, 257.6548, 45.02893
0.4, 124.7995, 74.5556, 41.70676, 107.0715, 61.68295, 70.72636, 69.48071, 35.04939, 0, 207.2263, 61.04701, 12.25146, 0, 138.4522, 132.6982, 104.5094, 0, 51.7843, 377.4353, 30.50781, 0, 0, 0, 105.2628, 0, 165.2513, 0, 0, 0, 229.3458, 68.17417, 3.051758e-05, -3.051758e-05, 245.2148, 43.09802
0.5, 118.599, 70.66528, 39.70834, 181.175, 107.0261, 95.31606, 65.8714, 33.38916, 0, 195.8228, 57.93402, 19.78789, 0, 162.955, 177.5436, 99.04749, 0, 49.13763, 361.4664, 88.17068, 0, 0, 3.814697e-06, 175.2894, 0, 156.5877, 0, -1.525879e-05, 0, 218.8534, 65.28166, 3.051758e-05, 42.50839, 233.3755, 41.24994
0.6, 203.0211, 66.97797, 37.80569, 173.2088, 102.3968, 90.37694, 62.44962, 31.80756, 0, 203.5577, 54.97975, 18.94919, 0, 155.2565, 169.8974, 93.87104, 0, 46.62624, 459.9558, 158.0746, 9.536743e-07, 0, 3.814697e-06, 167.6624, 0, 148.3782, 1.525879e-05, -1.525879e-05, 0, 281.5496, 62.51187, 16.29219, 40.71841, 222.1078, 103.4197
0.7, 192.9341, 172.0186, 92.85226, 165.5928, 97.96774, 85.69377, 97.34723, 30.30086, 0, 319.5483, 52.17616, 39.45688, 0, 166.4095, 235.7212, 88.96512, 0, 44.24318, 585.8971, 151.356, 9.536743e-07, 0, 3.814697e-06, 160.3672, 23.48477, 140.5992, 1.525879e-05, 0, 0, 268.6689, 59.8596, 15.59044, 64.25385, 211.3841, 98.98492
0.8, 183.3484, 187.7951, 164.6703, 158.3118, 138.8627, 119.053, 131.4297, 28.86555, 0, 540.6719, 49.51552, 94.47214, 0, 184.0022, 225.5693, 84.31558, 0, 41.98195, 659.5579, 188.0854, 63.96351, 53.96707, 1.907349e-06, 153.3895, 86.63625, 133.228, 1.525879e-05, 94.86958, 0, 256.3775, 118.1, 184.5471, 109.3918, 201.1781, 118.9091
0.9, 174.2389, 365.1214, 264.7304, 151.3508, 132.8563, 112.8839, 136.067, 27.49823, 3.814697e-06, 592.8594, 134.8429, 170.7693, 0, 175.3093, 263.4046, 79.90905, 0, 39.83627, 631.6526, 180.0912, 212.6001, 51.69291, 1.907349e-06, 210.9142, 82.81902, 126.2432, 0, 90.77225, 0, 244.6484, 202.4178, 202.6298, 104.7854, 191.465, 125.1116
1, 218.5184, 997.0582, 744.3478, 144.6959, 127.1098, 154.4453, 128.9988, 26.19569, 3.814697e-06, 720.4291, 157.654, 183.4966, 0, 170.4337, 491.86, 75.73282, 0, 37.80028, 604.9281, 230.3615, 438.5917, 49.51458, 1.907349e-06, 461.597, 79.16998, 119.6246, 0, 86.85184, 0, 327.2939, 203.3324, 410.1853, 100.373, 182.2207, 119.7466
