 , C000, C002, C003, C004, C005, C013, C021, C024, C025, C026, C031, C034, C035, C040, C041, C044, C045, C047, C054, C056, C057, C061, C063, C064, C066, C072, C073, C074, C077, C078, C079
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 20.66164, 0, 0, 0, 154.705, 0, 58.13306, 227.4576, 0, 0, 0, 165.652, 0, 0, 27.47021, 28.09241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165.5881, 100.0672, 91.19788, 0, 0, 0
0.2, 19.67506, 0, 0, 0, 148.0442, 1.525879e-05, 54.5465, 217.7084, 0, 0, 0, 158.3858, 0, 0, 26.32562, 26.64466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169.6198, 95.40973, 87.15356, 0, -6.103516e-05, 1.525879e-05
0.3, 140.2131, 0, 170.2131, 9.536743e-07, 141.6702, 1.525879e-05, 51.18122, 208.3771, 0, 0, 0, 151.4383, 1.525879e-05, 59.08823, 25.2287, 25.27151, 0, 0, 9.105347, 0, 26.18852, -3.814697e-06, 0, 0, 43.14093, 161.9955, 90.96899, 213.8438, 0, -6.103516e-05, 7.629395e-06
0.4, 133.518, 0, 161.3072, 9.536743e-07, 135.5706, 1.525879e-05, 48.30637, 199.4457, 0, 0, 0, 297.3188, 0, 55.59357, 54.34882, 23.96914, 0, 0, 14.8418, 0, 24.87252, 0, 0, 0, 41.24475, 154.714, 86.73499, 204.3607, 6.103516e-05, -6.103516e-05, 73.4395
0.5, 175.1851, 0, 152.8673, 9.536743e-07, 129.7336, 1.525879e-05, 83.98036, 190.8971, 0, 0, 0, 346.8978, 0, 114.1085, 143.9032, 22.73388, 0, 0, 81.97479, -1.907349e-06, 74.28685, 0, 0, 0, 39.4319, 147.7598, 107.0779, 271.7593, 179.3895, 0, 70.11682
0.6, 166.8201, 9.536743e-07, 144.8689, 9.536743e-07, 124.1479, 1.525879e-05, 78.79914, 182.715, 0, 0, 0, 331.6814, 0, 109.7094, 165.8971, 132.0173, 0, 0, 126.096, 0, 70.55385, 0, 0, 0, 149.9684, 141.1182, 102.0941, 259.7079, 169.5364, -6.103516e-05, 109.9366
0.7, 281.6082, 0, 137.289, 9.536743e-07, 165.149, 1.525879e-05, 73.93758, 174.8835, 0, 0, 0, 317.1324, 0, 114.6535, 158.9847, 155.5627, 0, 0, 120.5936, 0, 67.00844, 0, 0, 0, 298.6669, 134.775, 97.34222, 413.5783, 160.2245, 0, 158.2563
0.8, 268.1616, 0, 223.8916, 0, 184.3944, 1.525879e-05, 69.37595, 167.3877, 0, 0, 0, 303.2216, 0, 154.1172, 152.3603, 330.1136, 0, 0, 124.4649, 0, 107.7382, 0, 16.19699, 0, 458.1532, 128.717, 92.81158, 414.4782, 247.8165, 0, 231.0294
0.9, 313.9406, 9.536743e-07, 246.358, 0, 176.4554, 32.37425, 65.09576, 160.2132, 0, 0, 0, 289.921, 79.00948, 202.5591, 249.4034, 313.1011, 0, 0, 558.1084, 0, 102.3243, 3.814697e-06, 25.50282, 0, 498.5508, 122.9313, 369.4443, 517.153, 234.205, 0, 368.8859
1, 298.9502, 9.536743e-07, 233.468, -9.536743e-07, 309.0462, 115.4339, 61.07964, 153.3462, 0, 0, 0, 277.2038, 243.507, 190.5791, 482.4691, 296.9653, 0, 0, 669.4495, 0, 97.18236, 1.907349e-06, 24.21625, 0, 599.4656, 117.4057, 435.3218, 514.4156, 221.3411, 3.051758e-05, 352.1961
1.1, 284.6755, 9.536743e-07, 586.7804, -9.536743e-07, 474.2935, 112.0457, 57.31129, 146.7735, 0, 0, 0, 489.4078, 506.4227, 179.3077, 700.2272, 281.661, 0, 0, 685.8943, -9.536743e-07, 92.29883, 1.907349e-06, 22.99458, 0, 731.7591, 120.4272, 474.0736, 491.6034, 209.1838, 0, 509.8594
1.2, 271.0826, 9.536743e-07, 649.3489, -4.768372e-07, 453.8728, 106.7809, 53.77543, 140.4826, 0, 0, 0, 523.5594, 640.4054, 289.9471, 943.5808, 267.1455, 0, 0, 719.996, 0, 87.6607, 1.907349e-06, 21.83455, 0, 729.2275, 220.9264, 471.6551, 524.3621, 197.6942, 3.051758e-05, 486.7914
1.3, 258.1386, 9.536743e-07, 615.3735, -4.768372e-07, 434.3312, 371.7276, 50.45772, 134.4612, 0, 0, 0, 500.5938, 724.4509, 272.7988, 1171.026, 253.3781, 0, 0, 950.1918, -9.536743e-07, 83.25565, 1.907349e-06, 20.73304, 0, 697.1757, 377.1528, 449.7025, 566.2947, 186.8357, 0, 464.7671
1.4, 245.8127, 9.536743e-07, 583.1758, -4.768372e-07, 585.7813, 366.7411, 47.3447, 128.698, 0, 0, 0, 607.888, 693.61, 256.6646, 1383.015, 240.3201, 0, 0, 982.3434, -9.536743e-07, 79.07195, 1.907349e-06, 19.68709, 0, 781.9586, 360.2003, 428.7716, 541.1818, 327.023, 0, 536.5708
1.5, 234.0753, 9.536743e-07, 552.6628, 0, 656.3632, 352.7844, 44.42374, 123.1818, 0, 0, 0, 581.2234, 664.082, 267.3024, 1590, 227.9351, 0, 0, 1112.494, -1.907349e-06, 75.09849, 1.907349e-06, 18.69392, 0, 835.3804, 344.0096, 408.815, 575.2359, 480.0705, 0, 610.5512
1.6, 222.8984, 0, 523.7463, 0, 628.1034, 336.2079, 41.68299, 117.902, 0, 0, 0, 555.7285, 635.8111, 265.0491, 1523.75, 216.1884, 0, 0, 1063.948, -9.536743e-07, 71.32471, 1.907349e-06, 17.75084, 0, 798.6627, 345.7841, 518.5063, 584.0106, 530.3698, 0, 598.3337
1.7, 212.2552, 0, 594.2825, 0, 601.0604, 320.4103, 39.11133, 112.8486, 0, 0, 0, 620.7794, 683.0535, 292.3862, 1581.931, 205.047, 0, 0, 1086.685, -9.536743e-07, 97.96339, 1.907349e-06, 16.85535, 0, 763.5589, 449.494, 494.3731, 703.8313, 501.2388, 0, 701.6854
1.8, 202.1202, 0, 584.2452, 0, 575.1817, 315.8947, 36.69833, 108.0117, 0, 0, 0, 593.5493, 653.9749, 275.0936, 1516.017, 194.4798, 0, 0, 1184.363, -9.536743e-07, 93.04062, 3.814697e-06, 16.00503, 0, 791.834, 429.2898, 471.3631, 672.6192, 473.7079, 0, 758.0779
1.9, 387.1719, 4.768372e-07, 621.7831, 0, 582.1041, 301.0516, 34.4342, 103.3821, 0, 0, 54.45182, 644.7184, 649.7383, 258.8237, 1455.739, 184.4572, 0, 0, 1201.196, 0, 88.36522, 1.907349e-06, 15.1976, 0, 879.939, 409.9937, 449.4242, 656.2184, 447.6892, 0, 725.5981
2, 368.6848, 4.768372e-07, 589.2501, 4.768372e-07, 608.7886, 286.9059, 32.30976, 98.95102, 0, 0, 51.88131, 626.6343, 680.5263, 243.5161, 1514.263, 174.9511, 0, 0, 1277.658, 0, 83.92476, 1.907349e-06, 14.43091, 0, 969.978, 391.5649, 428.5063, 711.516, 524.5463, 0, 692.7693
2.1, 351.0804, 4.768372e-07, 558.4193, 4.768372e-07, 825.1434, 273.4249, 30.31639, 94.70981, 0, 0, 49.43214, 666.0269, 651.5553, 229.1138, 1548.343, 165.935, 0, 0, 1221.904, 0, 79.70744, 1.907349e-06, 13.7029, 0, 927.3442, 373.9646, 408.562, 679.9631, 495.7352, 0, 922.3508
2.2, 334.3166, 4.768372e-07, 566.1868, 4.768372e-07, 789.6168, 260.5773, 28.446, 90.65039, 0, 0, 47.09859, 636.8121, 709.1063, 215.5633, 1483.828, 157.3834, 0, 0, 1168.583, 0, 75.70205, 9.536743e-07, 13.01161, 0, 980.3289, 357.1552, 389.546, 649.8094, 507.2224, 0, 883.5691
2.3, 318.3532, 4.768372e-07, 536.5627, 4.768372e-07, 802.3143, 280.6115, 26.69101, 86.76497, 0, 0, 44.87521, 608.8788, 678.9186, 202.8142, 1422.002, 149.2726, 0, 0, 1221.702, 4.768372e-07, 71.89793, 34.19711, 12.3552, 0, 937.2403, 341.1016, 371.4151, 620.9929, 540.4122, -1.525879e-05, 843.5931
2.4, 303.1522, 9.536743e-07, 508.4886, 4.768372e-07, 1041.226, 380.5649, 25.04429, 83.04607, 0, 0, 42.75678, 582.1707, 736.2806, 262.1454, 1569.794, 164.6443, 0, 0, 1201.827, 4.768372e-07, 68.28498, 32.26072, 11.73191, 0, 896.0455, 401.3558, 354.1281, 639.9015, 510.7297, 0, 958.2323
2.5, 288.6769, 4.768372e-07, 940.378, 2.384186e-07, 1007.744, 412.9787, 23.49916, 79.48658, 0, 0, 45.25346, 773.9944, 1001.735, 277.6085, 1790.072, 156.1593, 0, 0, 1235.646, 4.768372e-07, 64.85358, 30.43399, 11.14005, 0, 856.6614, 536.5444, 337.6456, 946.0126, 617.3401, 1.525879e-05, 914.8782
2.6, 397.0098, 4.768372e-07, 891.1754, 4.768372e-07, 1028.351, 698.8478, 22.04937, 76.07966, 0, 0, 237.6777, 850.5375, 1168.378, 261.1899, 2059.58, 148.1116, 0, 0, 1526.033, 4.768372e-07, 150.992, 85.40907, 10.57806, 0, 942.7907, 546.346, 321.9304, 904.0607, 583.4323, 1.525879e-05, 907.7007
2.7, 494.4962, 0, 1070.019, 4.768372e-07, 984.0756, 666.0107, 20.68902, 329.4441, 0, 134.9773, 343.2547, 813.2292, 1369.227, 245.7423, 2179.891, 145.8588, 0, 18.27605, 1618.956, 0, 143.4044, 80.57285, 10.04442, 0, 901.3521, 675.974, 306.9465, 863.9692, 551.3868, 3.051758e-05, 866.6329
2.8, 470.8844, 0, 1014.034, 4.768372e-07, 941.7062, 634.7166, 19.4126, 361.6168, 0, 127.8628, 518.3984, 777.5575, 1480.91, 328.8683, 2350.103, 170.9427, 0, 17.32986, 1765.269, 0, 136.1982, 76.01048, 9.537696, 0, 861.7347, 645.5897, 292.6602, 825.6556, 521.1015, 3.051758e-05, 827.4231
2.9, 448.4, 0, 1199.931, 4.768372e-07, 1440.759, 663.3018, 18.21493, 430.8351, 0, 121.1233, 493.9264, 778.6946, 1479.893, 309.4181, 2396.896, 442.5341, 0, 16.43265, 1789.498, 0, 145.9682, 71.70646, 9.056537, 0, 1273.468, 616.5712, 279.0386, 998.8948, 492.4796, 3.051758e-05, 789.9873
3, 611.3784, 112.3294, 1278.577, 4.768372e-07, 1378.727, 632.1349, 17.09114, 412.3688, 0, 114.7391, 470.6096, 853.319, 1416.892, 291.1182, 2493.495, 419.728, 0, 65.85983, 1776.961, 0, 143.174, 67.64614, 8.599651, 0, 1374.987, 588.857, 266.0511, 1214.454, 465.4298, 3.051758e-05, 754.2453
3.1, 582.1855, 151.5554, 1211.679, 2.384186e-07, 1524.88, 602.4324, 16.0367, 394.694, 0, 108.6913, 589.8825, 995.3838, 1778.036, 273.9005, 2755.203, 445.6742, 0, 62.45011, 1746.225, 0, 235.241, 63.81574, 8.165815, 0, 1438.91, 562.3885, 253.6682, 1613.364, 439.8657, 3.051758e-05, 720.1204
3.2, 667.7284, 145.0087, 1632.539, 0, 1459.226, 574.1256, 15.0473, 377.7768, 0, 102.9623, 562.0359, 1051.644, 1702.343, 257.7012, 2782.257, 422.7062, 0, 123.3548, 1921.452, 4.768372e-07, 223.4199, 60.20223, 7.753865, 0, 1553.907, 574.84, 241.8615, 1610.49, 415.7057, 3.051758e-05, 687.5394
3.3, 767.8204, 259.4139, 1547.121, 2.384186e-07, 1704.664, 806.0818, 14.11895, 410.5118, 0, 334.7686, 813.069, 1005.515, 1701.688, 242.46, 2823.975, 400.9218, 0, 147.6181, 1837.605, 0, 225.3576, 56.79333, 7.362697, 0, 1485.607, 789.7701, 230.6044, 1539.071, 392.8728, 3.051758e-05, 656.4325
3.4, 851.863, 322.9615, 1597.432, 2.384186e-07, 1828.64, 768.206, 13.24787, 392.9166, 0, 323.2448, 774.6864, 1405.866, 2082.79, 228.1201, 2951.327, 452.1747, 0, 201.438, 1757.417, -2.384186e-07, 289.4729, 53.57746, 6.991263, 0, 1420.31, 754.2709, 219.8712, 1594.11, 371.294, 3.051758e-05, 626.733
3.5, 1260.173, 309.0106, 1642.033, 136.7373, 2280.24, 826.3333, 12.43054, 376.0755, 213.5203, 665.2552, 839.1384, 1354.28, 2324.647, 214.6284, 3063.42, 428.8716, 0, 235.3687, 1680.728, 0, 381.4863, 50.54369, 6.638567, 0, 1357.883, 1499.898, 209.6376, 1523.417, 350.9004, 3.051758e-05, 598.3773
