 , C003, C006, C008, C012, C013, C014, C017, C019, C023, C025, C028, C031, C037, C039, C042, C060, C076, C077, C088, C089, C094, C099, C100, C107, C109, C114, C115, C136, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 85.28516, 137.6447, 0, 0, 0, 0, 0, 126.9486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.59189, 0, 0
0.2, 168.5657, 131.2907, 0, 0, 0, 0, 0, 120.63, 6.103516e-05, 0, 0, -7.629395e-06, 0, 0, 41.48358, 0, 0, 0, 0, 0, 172.0657, 0, 86.23242, 0, 1.525879e-05, 0, 159.4955, 0, 0
0.3, 282.0762, 168.7749, 155.9704, 0, 0, 0, 0, 114.6259, 6.103516e-05, 0, 0, -7.629395e-06, -3.814697e-06, 0, 39.57843, 0, 114.9276, 0, 0, 0, 163.7574, 0, 81.96362, 0, 1.525879e-05, 1.525879e-05, 152.228, 0, 0
0.4, 544.6069, 235.838, 147.4729, 0, 0, 0, 0, 108.9207, 6.103516e-05, 108.561, 0, 0, -3.814697e-06, 0, 37.76086, 0, 178.7864, 0, 0, 0, 474.4779, 0, 77.90619, 0, 223.6232, 0, 145.2917, 0, 0
0.5, 579.6375, 224.9512, 139.4383, 0, 0, 0, 0, 103.4994, 139.1963, 102.6964, 0, 0, -3.814697e-06, 0, 36.02673, 0, 312.6823, 0, 0, 0, 451.5679, 0, 165.5823, 0, 233.8898, 1.525879e-05, 277.5356, 0, 0
0.6, 710.5259, 214.5669, 131.8415, 0, 0, 0, 0, 98.34794, 227.8267, 97.14855, 0, -7.629395e-06, -3.814697e-06, 0, 34.37219, -7.629395e-06, 420.9734, 0, 0, 0, 568.2474, 0, 157.3855, 0, 243.7302, 0, 264.8895, 0, 0
0.7, 865.9535, 204.662, 124.6586, 0, 0, 0, 0, 93.4529, 287.7665, 91.90044, 0, 0, -3.814697e-06, 0, 174.8615, -7.629395e-06, 458.584, 0, 0, 0, 540.8098, 0, 205.9234, 0, 233.6729, 0, 252.8198, 0, 0
0.8, 826.3524, 195.2143, 117.8671, 0, 0, 0, 0, 88.8015, 274.8855, 123.6196, 0, -7.629395e-06, -3.814697e-06, 0, 166.8311, 0, 436.6358, 0, 0, 0, 547.7979, 0, 195.7295, 0, 245.2945, 1.525879e-05, 241.2999, 0, 0
0.9, 1001.91, 186.2027, 111.4455, 1.525879e-05, 0, 0, 0, 84.38162, 463.1586, 116.9415, 0, -7.629395e-06, -7.629395e-06, 0, 278.5511, 0, 468.4346, 0, 0, 0, 647.8336, 0, 349.338, 0, 267.0236, 0, 230.305, 0, 0
