 , C000, C001, C002, C003, C004, C007, C010, C012, C015, C019, C022, C024, C025, C026, C029, C033, C035, C036, C040, C041, C044, C045, C051, C058, C062, C063, C064, C068, C076, C077, C078, C079, C085, C104, C106, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 208.6497, 117.6808, 35.40509, 0, 43.40552, 15.28085, 0, 0, 65.67892, 113.353, 44.79883, 13.32837, 98.66913, 25.20844, 36.3266, 0, 16.02081, 125.0945, 0, 0, 0, 0, 243.6785, 69.13641, 7.062775, 126.7513, 0, 0, 136.1814, 251.2953, 0, 0, 0, 70.6615, 232.0707, 189.0261
0.2, 360.8313, 112.7446, 33.90515, 46.01767, 169.7039, 40.29376, 6.103516e-05, 196.6599, 62.7243, 108.777, 135.3751, 57.20239, 263.8297, 24.1413, 76.66589, 337.0476, 72.33618, 250.7246, 0, 192.1914, 0, 25.49756, 320.0366, 412.5477, 26.02399, 228.2399, 0, 133.3768, 453.8054, 239.2392, 121.6446, 6.103516e-05, 3.051758e-05, 67.49023, 222.0748, 501.0161
0.3, 446.8295, 403.8634, 32.46872, 44.06699, 295.5945, 38.59793, 16.28778, 188.63, 59.90262, 104.3857, 333.1295, 328.8168, 252.7158, 23.11926, 73.25543, 438.9253, 190.4645, 239.0803, 0, 238.5226, 0, 100.5974, 333.0576, 877.0366, 32.66547, 218.2051, 96.32812, 373.4606, 682.2048, 227.7615, 132.6647, 43.72736, 82.38931, 128.4707, 212.5094, 729.3774
0.4, 579.2815, 386.9236, 31.09317, 42.19899, 330.3225, 36.97351, 102.9783, 180.9279, 127.3032, 162.6863, 319.3693, 314.4637, 242.0701, 165.1113, 69.99677, 447.6682, 196.7072, 227.9768, 0, 381.7418, 0, 96.3432, 441.2926, 1168.71, 31.09787, 208.6114, 92.08716, 406.6779, 727.3174, 216.8345, 201.3109, 55.44833, 166.6419, 122.7051, 203.356, 868.1084
0.5, 568.0576, 579.7462, 29.77588, 40.41019, 451.645, 35.41748, 98.29642, 173.5404, 121.5764, 189.9047, 416.4944, 556.4047, 231.8728, 158.1214, 165.2481, 459.5332, 253.2164, 270.3191, 0, 363.886, 0, 130.2164, 420.4448, 1144.958, 29.60547, 199.4395, 259.1418, 471.2479, 693.896, 206.4317, 192.8644, 81.60037, 159.2681, 270.0582, 194.5968, 1017.381
0.6, 576.8467, 621.0203, 28.51443, 38.6972, 432.9639, 33.92688, 93.82745, 166.4545, 116.1072, 182.2383, 399.2904, 540.8809, 222.105, 151.4274, 157.8972, 666.5435, 242.4552, 257.7648, 0, 346.8655, 0, 124.7098, 505.259, 1202.419, 92.25146, 190.6709, 247.7325, 450.9061, 662.0104, 196.5279, 234.0701, 78.0152, 152.2206, 345.1124, 186.2149, 1204.959
0.7, 548.5475, 708.9387, 96.13586, 37.05682, 415.0554, 32.49902, 89.56165, 159.658, 110.8841, 285.6235, 420.7126, 585.4932, 212.7488, 145.0168, 211.5801, 639.4624, 232.1513, 312.1385, 0, 330.6412, 0, 119.4359, 481.3893, 1297.14, 87.82434, 182.2878, 274.0784, 431.4423, 788.9573, 187.0993, 224.2491, 90.61887, 145.485, 329.624, 277.1247, 1298.068
0.8, 521.6365, 679.2026, 92.06302, 67.47992, 503.6782, 31.13129, 85.48975, 153.1389, 105.8959, 274.093, 403.3346, 559.9359, 304.2806, 151.0826, 202.1682, 718.2634, 222.2852, 363.6466, 0, 315.1757, 0, 230.093, 583.0224, 1235.893, 83.60968, 174.2732, 470.5747, 412.8187, 830.8344, 178.1231, 214.8403, 86.63745, 139.0474, 314.8307, 265.1881, 1297.259
