 , C000, C004, C005, C006, C008, C009, C010, C011, C012, C013, C015, C017, C018, C020, C022, C025, C027, C028, C029, C032, C034, C035, C037, C038, C044, C046, C051, C052, C054, C059, C060, C061, C065, C071, C072, C073, C075, C083, C093, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 184.6663, 0, 0, 0, 0, 0, 0, 53.62216, 0, 0, 0, 0, 0, 39.84552, 0, 86.59802, 71.35986, 13.93396, 51.13977, 0, 117.5869, 198.1703, 129.9853, 7.170868, 0, 74.71436, 32.08524, 42.28192, 117.0834, 53.99072, 0, 0, 0, 0, 0, 58.45667, 124.6115, 31.8833, 97.02454, 0, 225.1787
0.2, 1.525879e-05, 176.6593, 174.3126, 0, 153.5469, 0, 26.57735, 64.88614, 51.41895, 3.051758e-05, 99.57025, 0, 38.69366, 155.4388, 38.18036, 113.8384, 83.06042, 253.8845, 65.26501, 48.92871, 25.23242, 111.8383, 190.103, 142.0391, 103.8191, 0, 103.1355, 80.49918, 58.03156, 146.3666, 202.731, 70.65887, 0, 43.90173, 106.7374, 0, 199.2486, 171.2874, 248.6566, 193.6276, 6.103516e-05, 282.709
0.3, 1.525879e-05, 228.2939, 259.1895, -3.051758e-05, 228.3182, 0, 25.42216, 62.23405, 49.30629, 3.051758e-05, 166.618, 0, 37.11005, 170.4489, 77.40594, 108.5748, 245.3831, 279.0858, 154.3927, 46.81323, 74.74271, 228.6471, 182.3641, 232.879, 247.9823, -6.103516e-05, 219.9632, 102.0257, 111.0455, 140.0105, 193.8909, 257.6821, -3.814697e-06, 42.03198, 102.1123, -3.051758e-05, 240.9728, 241.9446, 468.1694, 337.6265, 50.64905, 418.4619
0.4, 3.051758e-05, 218.3953, 308.5359, -3.051758e-05, 242.6846, 0, 24.31717, 59.69037, 47.28043, 3.051758e-05, 167.1075, 0, 101.1996, 163.28, 74.17114, 108.6711, 260.6418, 319.6375, 167.1263, 162.8116, 105.8291, 255.7565, 257.8682, 223.4066, 237.9792, -6.103516e-05, 210.2728, 97.64426, 129.9163, 259.1006, 185.4363, 245.5632, -3.814697e-06, 78.91907, 220.8282, -3.051758e-05, 257.3875, 301.1425, 729.1964, 409.5576, 137.8738, 531.8386
0.5, 3.051758e-05, 208.9258, 295.8127, 18.3215, 274.664, 0, 23.26022, 57.25067, 45.33781, 3.051758e-05, 159.4987, 0, 120.1323, 156.4126, 80.04205, 103.6464, 249.9944, 339.2492, 202.3024, 155.7723, 101.4189, 243.2532, 323.9531, 264.8956, 228.3797, 58.34424, 201.0093, 93.45093, 137.9461, 265.6407, 309.5753, 234.0142, -3.814697e-06, 214.9839, 328.579, 0, 373.497, 328.7191, 782.8235, 514.963, 131.8368, 696.2817
0.6, 1.525879e-05, 227.6043, 301.4094, 101.0857, 261.9187, 0, 22.24922, 118.5602, 43.47499, 3.051758e-05, 199.6193, 0, 115.2157, 149.834, 149.6023, 154.5307, 331.8737, 356.6508, 359.1492, 149.0374, 97.1925, 303.4236, 310.7655, 309.3327, 234.7013, 114.654, 239.928, 89.43765, 244.6756, 254.1049, 494.6685, 223.0085, -3.814697e-06, 205.8282, 314.3416, -3.051758e-05, 357.4201, 385.8196, 851.1371, 493.3015, 126.0642, 891.1946
0.7, 3.051758e-05, 416.9466, 388.1151, 96.88736, 350.0925, 0, 28.1564, 208.4005, 41.68872, 1.525879e-05, 204.9528, 0, 153.5556, 143.5321, 143.3504, 147.3855, 331.0906, 435.8024, 344.1736, 142.5936, 93.14221, 288.5901, 310.1683, 311.7411, 225.2339, 109.9509, 229.3582, 157.8612, 233.9644, 355.3676, 635.5919, 212.5204, 0, 236.5179, 357.6703, -3.051758e-05, 342.0352, 448.0682, 947.7469, 537.7941, 120.5444, 1037.345
0.8, 1.525879e-05, 398.8682, 372.1104, 92.86337, 333.847, 0, 26.93259, 199.8826, 48.32082, 1.525879e-05, 195.6208, -1.525879e-05, 165.8177, 137.4953, 175.5638, 197.3341, 414.7899, 418.0569, 424.8923, 136.4284, 89.26073, 274.4818, 399.9664, 365.011, 216.1485, 105.4406, 219.2538, 151.0818, 223.722, 386.9832, 829.1527, 202.5255, 0, 226.4451, 342.1722, 0, 327.3126, 538.5807, 955.0276, 655.4713, 215.3153, 1190.821
0.9, 1.525879e-05, 381.5735, 367.1578, 89.00659, 318.3554, 0, 25.76196, 191.7128, 46.33543, 0, 352.3373, -1.525879e-05, 168.1075, 131.7123, 168.2269, 194.2643, 440.9391, 401.0342, 447.1614, 130.5298, 110.502, 261.0632, 383.6843, 444.1782, 207.4296, 101.1154, 342.5152, 185.485, 213.9282, 370.178, 792.9973, 259.5945, 3.814697e-06, 284.2225, 327.3457, 0, 313.2236, 539.5789, 1041.625, 720.0209, 242.1629, 1394.512
1, 2.288818e-05, 365.0288, 352.0172, 85.30994, 303.5827, 0, 24.64221, 183.877, 44.43164, 0, 359.0237, -1.525879e-05, 161.2274, 126.1726, 180.0914, 264.216, 434.4208, 384.7047, 545.4391, 213.0778, 121.7559, 248.3006, 397.5036, 426.1109, 216.862, 170.1533, 356.5773, 192.6022, 204.5629, 470.4262, 855.2408, 247.3857, 3.814697e-06, 272.118, 432.7686, 0, 433.6526, 611.5223, 997.8354, 689.7338, 231.5596, 1337.51
1.1, 1.525879e-05, 349.2015, 337.5011, 81.76685, 347.6396, 0, 23.57114, 176.3614, 42.60606, 0, 342.6765, 0, 154.6289, 120.8659, 257.9255, 251.9993, 416.6744, 369.04, 522.6958, 238.6747, 164.0715, 236.1619, 533.0736, 467.8407, 208.1143, 163.1735, 365.3253, 184.3309, 334.5049, 449.9974, 905.3259, 235.7511, 5.722046e-06, 422.7452, 476.6832, 0, 414.9864, 585.2938, 1058.762, 660.7206, 280.2543, 1602.959
1.2, 2.288818e-05, 334.0604, 410.1706, 78.37088, 331.508, 0, 22.54662, 233.6784, 67.92709, -1.525879e-05, 327.0736, -1.525879e-05, 148.3004, 115.7824, 253.4149, 240.3474, 497.8115, 354.0131, 514.7849, 228.3553, 175.2775, 248.0382, 523.3006, 448.8109, 199.7194, 156.4801, 369.6093, 176.4149, 319.8612, 430.4557, 865.849, 224.6637, 3.814697e-06, 404.7414, 456.0283, -1.525879e-05, 397.1237, 560.1901, 1123.884, 812.9222, 344.0336, 1584.422
1.3, 1.525879e-05, 319.5758, 415.0459, 75.11594, 316.125, 0, 21.56662, 224.1273, 65.13617, 0, 381.0479, 0, 155.1172, 110.9127, 242.8246, 229.2343, 477.4755, 459.3825, 595.1827, 218.4821, 167.9732, 235.9123, 501.9977, 430.5552, 191.6632, 319.5964, 417.2566, 168.8388, 305.8586, 411.7626, 964.7963, 284.3881, 5.722046e-06, 473.5174, 436.2682, -3.051758e-05, 425.7918, 656.2534, 1182.124, 778.7272, 328.9697, 1565.951
1.4, 2.288818e-05, 305.7193, 415.9412, 93.70926, 301.4558, 0, 20.62922, 214.9666, 62.4599, 1.525879e-05, 363.6979, 0, 148.7687, 106.2478, 232.6768, 218.635, 457.9704, 440.6771, 570.3653, 325.6721, 160.9733, 224.3792, 481.562, 426.2115, 183.9319, 318.1329, 398.8746, 221.3261, 388.2849, 393.8813, 985.0735, 271.0133, 5.722046e-06, 479.9036, 573.493, -3.051758e-05, 479.7029, 693.3552, 1132.428, 745.9708, 355.8702, 1733.818
