 , C000, C001, C004, C007, C009, C010, C011, C013, C015, C016, C021, C022, C023, C026, C030, C031, C032, C038, C040, C042, C043, C045, C046, C047, C049, C051, C052, C055, C057, C058, C059, C064, C065, C066, C068, C069, C071, C078, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 25.29803, 59.75699, 0, 0, 0, 27.10437, 0, 0, 21.34235, 0, 44.83539, 220.9098, 15.47156, 0, 0, 0, 0, 0, 24.15723, 0, 0, 0, 91.8963, 34.62238, 121.1924, 103.1037, 123.1854, 36.23486, 37.96454, 0, 98.72559, 210.7504, 2.0466, 0, 0, 40.40375, 71.17992, 62.16406, 126.0435
0.2, 106.9465, 104.8271, 84.51318, 63.91759, 0, 51.16721, 18.00639, 0, 20.35803, -7.629395e-06, 42.95743, 261.1804, 75.70746, 59.03345, 0, 93.20453, 25.552, 0, 23.08679, 0, 131.9264, 0, 115.9961, 33.2171, 115.8686, 179.1891, 118.1534, 34.34036, 60.95374, 0, 94.60205, 224.3126, 1.9534, 0, 0, 38.64497, 68.01933, 103.7147, 330.3369
0.3, 102.3164, 118.2682, 222.1265, 79.86349, 0, 48.89398, 17.21468, 0, 88.30115, -7.629395e-06, 41.32382, 428.4958, 72.46609, 78.73047, 0, 89.38464, 24.4809, 0, 22.06384, -9.536743e-07, 126.3231, 0, 116.4803, 66.64062, 217.2961, 171.8872, 162.0563, 32.54492, 58.26727, 0, 90.65076, 313.6041, 49.69928, 27.53192, 0, 36.96274, 104.5116, 244.392, 431.1987
0.4, 175.5503, 116.1354, 211.5007, 76.51991, -1.907349e-06, 46.72171, 153.913, 0, 84.22882, 79.58985, 39.59296, 456.0275, 69.36353, 90.49811, 0, 121.022, 23.45471, 0, 64.86615, -9.536743e-07, 120.9577, 0, 187.6857, 78.73044, 242.7226, 164.883, 155.4364, 30.84335, 92.8118, -7.629395e-06, 154.1161, 300.2622, 47.43542, 112.6151, 0, 35.35374, 99.87096, 357.0813, 479.7717
0.5, 193.1649, 111.1056, 201.3832, 86.15097, 7.491207, 44.64597, 147.1457, -1.907349e-06, 112.8693, 76.29953, 49.83847, 435.7208, 66.39377, 86.71405, 0, 125.4244, 71.14621, 0, 61.99182, -9.536743e-07, 115.8202, 22.62806, 224.6296, 75.53482, 274.6909, 158.1641, 164.6711, 77.96362, 88.72125, -7.629395e-06, 147.6791, 312.1932, 48.54108, 150.1133, 0, 108.7964, 95.43642, 341.8085, 484.5852
0.6, 223.0245, 106.2936, 191.7497, 208.8228, 28.75254, 42.66248, 140.676, -1.907349e-06, 177.4177, 81.08894, 58.13889, 675.1569, 63.55118, 83.08826, 10.50728, 211.0926, 68.16391, 0, 129.244, -9.536743e-07, 110.901, 21.69156, 263.8841, 72.46896, 335.0906, 196.2923, 172.3154, 93.07632, 84.811, -7.629395e-06, 141.511, 322.2476, 76.87814, 143.7576, 0, 104.0605, 91.19876, 496.2334, 723.093
0.7, 213.369, 101.69, 243.3161, 200.0802, 27.51651, 40.76709, 134.4907, -1.907349e-06, 169.2355, 77.73665, 55.70367, 645.0924, 60.83026, 169.9624, 10.07779, 202.4413, 178.6089, 0, 123.517, -9.536743e-07, 106.1906, 20.79381, 254.3003, 212.8938, 391.4626, 188.2935, 318.7003, 88.20996, 81.07309, 48.75912, 148.5077, 308.538, 85.3938, 240.5828, 0, 114.6398, 87.14929, 475.0089, 819.4724
0.8, 278.019, 146.9097, 231.6767, 191.7037, 62.0575, 38.9559, 128.5774, -1.907349e-06, 161.4306, 74.52294, 53.37048, 693.7255, 58.22586, 162.8557, 9.665863, 197.9665, 171.122, 0, 158.7077, -9.536743e-07, 101.6804, 45.24827, 243.9898, 204.2526, 374.2661, 180.6207, 305.6817, 83.59802, 182.6296, 64.1731, 230.2983, 333.1448, 81.50409, 257.2263, 0, 146.4193, 83.27962, 501.2488, 817.729
0.9, 265.9827, 140.5471, 303.408, 183.6778, 59.38971, 37.22519, 181.9335, -1.907349e-06, 153.9857, 71.44209, 91.97354, 682.3922, 55.73296, 156.0462, 9.270782, 342.6255, 239.7872, 0, 151.675, -9.536743e-07, 97.36166, 98.3336, 263.4936, 210.268, 357.825, 182.1912, 487.4016, 221.9235, 174.5805, 126.3642, 249.2999, 382.8774, 77.79153, 246.3355, 0, 140.0457, 79.58177, 612.6425, 898.1227
1, 254.4674, 175.3217, 310.8906, 259.5517, 56.83662, 75.73395, 173.9342, -1.907349e-06, 146.8841, 153.6045, 175.2941, 883.2246, 82.8454, 149.5214, 8.89183, 328.5836, 229.7359, 0, 144.9541, -9.536743e-07, 93.22638, 94.26388, 252.8103, 201.7335, 342.1062, 184.3011, 659.7816, 304.4879, 243.9382, 256.6279, 238.8873, 500.3234, 74.24811, 275.8426, 0, 133.9495, 119.6884, 712.3557, 968.9924
1.1, 344.1925, 265.3875, 369.711, 261.6104, 54.39328, 72.36926, 166.2866, -1.907349e-06, 140.1101, 147.2543, 167.9517, 843.8951, 106.8248, 143.2694, 8.528381, 328.1054, 353.1101, 0, 138.5309, 0, 89.26675, 90.36259, 242.5603, 290.8079, 379.6356, 176.791, 632.8302, 355.2662, 265.1655, 284.6042, 228.9096, 479.0378, 191.9845, 264.1636, 0, 180.4016, 114.3739, 681.8873, 1101.619
1.2, 329.2913, 253.8936, 352.0252, 272.1699, 52.05498, 69.15405, 158.9753, -1.907349e-06, 133.6484, 141.1667, 160.9169, 806.3168, 102.2512, 137.2788, 8.179794, 321.2231, 338.3086, 0, 207.6464, 0, 85.4753, 86.62276, 418.4067, 279.0042, 426.4483, 169.5869, 608.8281, 336.6916, 278.2607, 288.4834, 219.3487, 458.6578, 183.2395, 280.09, 0, 186.9729, 187.899, 652.7223, 1073.04
1.3, 315.0351, 242.8975, 396.3155, 260.7752, 49.8172, 94.66409, 199.4363, -9.536743e-07, 127.4848, 135.3307, 154.1768, 919.6954, 125.4767, 159.3644, 7.845428, 397.812, 324.1275, 0, 282.4392, 0, 81.84487, 83.03771, 419.929, 267.6797, 471.4921, 255.4453, 655.6329, 376.7629, 265.9968, 399.8806, 210.1871, 482.9809, 174.8929, 268.2312, 0, 266.1382, 179.5558, 624.8046, 1263.152
1.4, 335.5738, 235.0465, 377.3571, 334.6816, 56.19691, 98.20601, 190.6675, -1.907349e-06, 121.6054, 129.736, 147.7189, 936.6935, 120.1045, 190.3522, 24.74681, 381.5084, 416.3224, 0, 269.9239, 0, 78.36865, 79.60104, 474.7455, 283.277, 521.3615, 245.0361, 630.443, 361.3839, 254.2734, 382.0999, 201.5444, 462.4331, 255.6083, 311.157, 0, 254.5532, 217.1907, 598.081, 1263.494
1.5, 448.2552, 252.4445, 388.2081, 320.6698, 53.78107, 93.84294, 182.2842, -9.536743e-07, 115.9971, 124.3726, 146.0527, 894.983, 114.9623, 182.393, 23.73529, 466.9028, 543.3219, 0, 257.9631, -4.768372e-07, 75.04008, 76.30659, 455.4973, 271.779, 513.0371, 235.0511, 648.1678, 370.1678, 243.0668, 365.1098, 210.7363, 562.1044, 255.6004, 319.9298, 0, 359.2327, 246.5072, 792.0947, 1334.93
1.6, 483.171, 317.751, 465.4904, 347.5102, 51.46908, 125.0816, 174.2695, -9.536743e-07, 242.3228, 119.2309, 277.6031, 1053.149, 110.0403, 174.7665, 22.76511, 447.7677, 520.5471, 0, 344.7748, -4.768372e-07, 92.97371, 73.1485, 437.0294, 313.8464, 490.4999, 307.8955, 771.198, 473.0283, 261.632, 470.27, 201.9344, 565.5188, 257.7159, 306.3842, 0, 582.2261, 235.5616, 758.2159, 1300.398
1.7, 472.1842, 303.9892, 467.4379, 332.9613, 93.97821, 120.5611, 244.6877, -9.536743e-07, 252.8158, 114.3018, 282.6489, 1006.252, 147.8354, 167.459, 39.84308, 493.8058, 605.4539, 0, 365.238, -9.536743e-07, 89.02481, 70.12111, 533.0803, 303.9117, 574.9637, 295.349, 846.0479, 631.3462, 364.1103, 806.0215, 193.5001, 541.4595, 352.1056, 293.412, 0, 635.491, 225.102, 931.1243, 1383.742
1.8, 477.78, 290.8235, 526.7511, 319.0215, 127.4445, 181.6992, 338.4277, 0, 241.1564, 109.5765, 270.8099, 961.4445, 175.6649, 175.0902, 143.651, 528.0078, 612.973, 0, 349.0538, -9.536743e-07, 85.24364, 67.21902, 590.4969, 347.103, 632.3911, 325.5157, 1049.993, 750.4817, 401.8166, 1075.63, 185.4181, 518.4238, 336.067, 280.9892, 0, 635.8495, 215.1069, 1119.524, 1350.624
1.9, 645.6562, 278.228, 501.5531, 305.6653, 121.9658, 173.6267, 518.5463, 0, 287.2402, 105.0465, 460.6617, 1073.345, 168.1439, 167.7691, 148.2524, 506.3684, 617.2059, 0, 333.5867, -9.536743e-07, 81.62305, 64.43703, 621.5297, 383.7606, 695.7542, 312.2512, 1395.005, 854.7588, 618.2714, 1367.156, 177.6736, 496.3682, 530.5783, 269.0923, 0, 649.5251, 205.5555, 1160.928, 1468.201
