 , C002, C005, C011, C015, C018, C019, C021, C022, C023, C024, C025, C029, C037, C038, C039, C041, C044, C045, C048, C050, C064, C068, C071, C076, C078, C080, C083, C085, C090, C094, C104, C106, C110, C113, C120, C121, C126, C130, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 124.0151, 0, 0, 0, 45.91995, 41.84177, 0, 0, 0, 0, 67.03503, 0, 0, 0, 0, 64.41101, 16.12219, 0, 0, 59.92285, 0, 191.0891, 0, 217.3477, 112.636, 0, 49.51892, 0, 0, 35.30615, 0, 0, 0, 0, 78.9325, 67.29126, 121.1021
0.2, 34.77087, 0, 117.8656, 45.74457, 0, 43.84302, 43.92209, 115.6298, 118.1525, 3.703491, 0, 98.25751, 63.98999, 0, 40.40759, 86.83179, 0, 60.50128, 33.35107, 62.789, 0, 57.28107, 0, 182.3232, -6.103516e-05, 257.8906, 136.9337, 0, 47.48242, 44.25659, 0, 73.2157, 0, 137.6393, 0, 0, 75.31909, 120.7776, 115.9906
0.3, 33.23999, 0, 140.0875, 60.91742, 92.78192, 103.6742, 102.9651, 126.2798, 164.0175, 37.96747, 0, 93.85727, 61.08328, 3.051758e-05, 90.63855, 114.402, 0, 56.82886, 89.59851, 60.02789, 0, 91.7337, 3.051758e-05, 173.9595, 94.63251, 355.5164, 164.463, 1.525879e-05, 45.52972, 42.42975, 39.93231, 184.4165, 0, 131.6121, 64.00165, 0, 148.0436, 115.4044, 162.8372
0.4, 31.77649, 0, 237.1852, 257.1104, 88.83215, 99.15082, 98.48529, 199.9135, 221.5473, 36.40936, 0, 228.7815, 58.30862, 3.051758e-05, 86.862, 109.6336, -7.629395e-06, 273.1463, 204.9296, 91.41205, 0, 87.68958, 49.57074, 165.9795, 101.4438, 413.4619, 213.8333, 16.13107, 43.65723, 103.3863, 67.45044, 266.8934, 0, 125.8488, 117.8356, 0, 141.2665, 155.5301, 227.6495
0.5, 30.37744, 0, 225.424, 245.7059, 166.4666, 94.82477, 94.20041, 349.0798, 241.1163, 34.91516, 0, 218.5361, 55.66, 3.051758e-05, 83.24286, 181.7589, -7.629395e-06, 292.4227, 196.5291, 138.4626, 0, 185.4136, 47.44095, 158.3655, 148.5394, 482.1938, 230.7856, 15.47736, 121.6111, 125.6049, 84.27771, 440.5579, 0, 120.3378, 113.012, 0, 278.363, 246.9765, 267.377
0.6, 81.84558, 0, 214.2461, 234.8073, 159.3801, 223.1324, 90.10193, 333.3824, 228.9693, 94.70227, 0, 208.7496, 53.13168, 3.051758e-05, 156.0416, 174.183, -7.629395e-06, 360.6392, 295.3269, 132.3739, 0, 279.7341, 45.40262, 151.1008, 140.7707, 590.5201, 220.3883, 14.85014, 116.6097, 120.42, 118.2653, 422.6636, 0, 115.0682, 108.3859, 0, 280.5046, 257.0795, 390.8251
0.7, 288.5664, 0, 346.8624, 224.3921, 242.5753, 213.3968, 189.5899, 465.1896, 364.0083, 115.5611, 0, 199.4012, 50.7182, 225.599, 157.1183, 330.6772, 105.7733, 470.2389, 404.3091, 126.5529, 0, 267.4019, 43.45187, 144.1694, 212.1862, 685.2048, 298.2988, 14.24837, 179.1647, 220.5964, 113.1661, 405.496, 0, 207.5591, 103.949, 0, 353.0797, 313.0629, 441.6127
0.8, 336.9446, 0, 329.6627, 214.4388, 325.2411, 335.2307, 181.3412, 539.0848, 345.6702, 110.8185, 0, 190.4716, 141.0908, 267.1144, 250.5145, 335.3071, 101.3248, 490.8851, 421.2526, 120.9878, 0, 255.6133, 218.6992, 137.5559, 328.821, 823.8043, 347.9178, 13.67094, 171.7964, 220.785, 138.2309, 476.976, 0, 343.6848, 99.69391, 0, 442.6498, 465.2822, 520.6322
0.9, 451.8966, 0, 353.125, 204.9271, 422.2432, 440.777, 173.4514, 636.5898, 345.8975, 184.0979, 0, 181.9419, 316.5361, 303.7649, 240.0766, 321.3312, 97.06344, 489.7225, 581.2186, 115.6675, 1.525879e-05, 379.2664, 209.3028, 131.2458, 494.5015, 920.2416, 346.6743, 13.11693, 211.0354, 267.5974, 186.0412, 492.3597, 117.5734, 407.3087, 174.3088, 0, 422.3862, 500.9803, 643.5743
1, 461.2231, 7.629395e-06, 409.1968, 195.8373, 518.492, 421.5454, 197.253, 607.9636, 368.7863, 206.8148, 0, 173.7941, 473.258, 375.3148, 230.0736, 338.6898, 92.98126, 630.3485, 566.1584, 110.5811, 1.525879e-05, 362.5462, 200.3101, 125.2251, 494.4665, 981.2284, 500.1472, 12.58536, 202.3564, 367.1774, 267.9507, 590.0328, 140.4096, 389.4726, 167.1735, -3.051758e-05, 484.8712, 518.3102, 670.5393
1.1, 440.9161, 0, 388.9062, 187.1507, 496.4196, 527.469, 271.7239, 580.6246, 442.8841, 198.3272, 0, 323.0901, 785.5952, 358.5833, 286.191, 376.4308, 89.07077, 592.0863, 730.5471, 167.6058, 1.525879e-05, 391.702, 191.7038, 119.4807, 517.8454, 1107.258, 477.6146, 12.07535, 259.2848, 352.0206, 403.7507, 566.0671, 168.3229, 411.9663, 160.3302, -3.051758e-05, 518.8709, 631.7638, 729.6597
1.2, 421.5033, 0, 369.6217, 178.8493, 475.2867, 601.201, 259.9018, 554.5151, 434.424, 190.188, 0, 308.6214, 900.6605, 342.5977, 274.2666, 360.7408, 85.32475, 612.7598, 767.4736, 160.2355, 1.525879e-05, 413.1295, 183.4673, 113.9997, 581.5261, 1169.637, 456.0972, 11.586, 271.542, 415.2899, 535.579, 632.1426, 189.7745, 444.2919, 194.2377, -3.051758e-05, 527.8193, 690.5732, 698.8619
1.3, 402.9452, 0, 391.5771, 170.9162, 455.0535, 574.9699, 248.594, 529.5796, 412.5384, 182.3828, 0, 294.8007, 900.5541, 327.3248, 262.839, 345.7047, 81.73626, 740.8481, 859.2242, 153.1893, 1.525879e-05, 503.5849, 175.5846, 108.7702, 633.7542, 1134.829, 562.3822, 11.11647, 260.3747, 398.147, 697.3999, 606.4665, 181.6475, 458.0723, 308.8945, 0, 529.4966, 687.1555, 749.696
1.4, 484.8323, -3.814697e-06, 372.1602, 163.335, 493.6835, 719.3052, 237.7782, 505.7654, 475.3647, 193.6539, 0, 331.5455, 929.0611, 312.7327, 360.5759, 368.7851, 144.971, 695.8787, 842.4982, 146.4529, 1.525879e-05, 481.3841, 168.0406, 103.7806, 697.5608, 1196.358, 537.0459, 43.49078, 249.6666, 406.8325, 754.5959, 653.0492, 229.2825, 537.147, 296.2498, -3.051758e-05, 548.3997, 656.5846, 773.1805
1.5, 463.486, -3.814697e-06, 470.778, 156.09, 633.9644, 777.8683, 298.0049, 483.0222, 451.4165, 185.7064, 0, 316.6982, 973.1199, 298.7911, 381.5993, 448.1298, 394.3192, 815.1553, 807.9622, 140.0128, 1.525879e-05, 522.9965, 160.8208, 99.01988, 742.4049, 1256.19, 681.141, 62.88625, 278.2624, 390.0387, 925.7311, 720.8877, 219.4636, 513.6252, 337.554, -6.103516e-05, 625.852, 677.168, 873.9713
1.6, 443.0795, -3.814697e-06, 447.4338, 149.1665, 606.9763, 743.929, 285.0394, 461.3016, 439.6371, 178.0851, 0, 338.7034, 941.8402, 285.4711, 384.6611, 464.0239, 377.7354, 871.7343, 933.5558, 213.2297, 1.525879e-05, 499.9399, 153.9111, 94.47755, 703.5762, 1364.523, 650.4543, 60.33781, 266.8187, 373.9381, 970.0193, 691.6069, 210.0652, 491.1335, 375.3563, -3.051758e-05, 625.4399, 823.8754, 837.0826
1.7, 423.5714, -7.629395e-06, 425.2471, 142.55, 581.1371, 789.6915, 272.6379, 440.5578, 512.1854, 225.0227, 0, 323.5355, 899.0576, 272.7448, 368.6338, 498.0654, 447.9775, 931.6765, 972.5619, 203.8532, 1.525879e-05, 477.8999, 147.2983, 90.14358, 666.7783, 1392.341, 673.4525, 88.85619, 255.8456, 358.5022, 978.7207, 745.8466, 201.0693, 546.6136, 435.6923, -3.051758e-05, 596.8087, 787.222, 801.7508
1.8, 404.9222, -7.629395e-06, 404.1606, 136.2269, 614.6699, 783.2592, 260.7761, 420.7468, 486.3823, 225.5186, 0, 406.0138, 893.7845, 260.5859, 365.8467, 477.3055, 429.1371, 875.1237, 932.6943, 194.8889, 7.629395e-06, 591.5602, 140.9697, 86.00842, 703.3448, 1404.195, 643.1123, 85.25532, 343.151, 394.6013, 981.6655, 715.5521, 242.8608, 677.0347, 445.7694, -6.103516e-05, 626.8524, 752.1992, 899.6984
1.9, 442.6463, -7.629395e-06, 384.1197, 130.1844, 588.5032, 749.0847, 249.4302, 401.8266, 461.8791, 216.2635, 0, 387.8316, 881.4681, 371.6775, 385.4716, 485.5524, 411.0889, 920.4002, 983.293, 186.3189, 7.629395e-06, 581.5364, 134.9129, 82.06296, 760.6646, 1468.207, 692.119, 81.80037, 329.0387, 431.4506, 1066.735, 686.4881, 232.4604, 647.3872, 509.4041, -3.051758e-05, 635.3467, 718.7346, 861.7237
