 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C016, C017, C019, C020, C026, C028, C029, C032, C035, C041, C043, C046, C052, C054, C057, C082, C084, C087, C088
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 52.86304, 12.71066, 0, 0, 0, 25.39185, 0, 32.73148, 0, 0, 22.69794, 0, 26.11868, 0, 0, 0, 0, 0, 0, 58.67468, 0, 0, 0, 58.90582, 0, 55.24918, 0, 0
0.2, 32.36646, -3.051758e-05, 0, 75.66895, 58.3197, 0, 0, 0, 116.1351, 0, 31.37257, 0, 0, 21.75269, 1.525879e-05, 45.19061, 0, 0, 3.051758e-05, 0, 0, 0, 55.78391, 0, 0, 0, 56.16046, 0, 52.95239, 0, 0
0.3, 30.71341, -3.051758e-05, 0, 72.4549, 55.83542, 0, 0, 0, 137.9113, 0, 30.36453, 0, 0, 20.84686, 9.356445, 48.08466, 0, 0, 0, 0, 0, 0, 96.55133, 0, 7.629395e-06, 0, 53.54303, 0, 50.75107, 0, 0
0.4, 63.83415, -3.051758e-05, 7.629395e-06, 69.37738, 72.90421, 0, 0, 3.051758e-05, 131.8466, 0, 29.10393, 0, 0, 19.97882, 8.957794, 62.49707, 0, 0, 0, 0, 0, 0, 91.7944, 0, 0, 69.71863, 51.04761, 9.536743e-07, 92.50409, 0, 0
0.5, 60.57401, 25.48492, 7.629395e-06, 66.43054, 93.9834, -3.051758e-05, 0, 0, 185.3953, 0, 27.89565, 0, 0, 19.14685, 8.576134, 101.4067, 0, 0, 0, 0, 0, 0, 87.27191, 0, 3.814697e-06, 66.79585, 108.9896, 9.536743e-07, 209.1096, 0, 0
0.6, 57.48039, 24.34183, 1.525879e-05, 102.1212, 89.97989, 0, 0, 0, 229.041, 0, 26.73753, 0, -3.814697e-06, 96.15018, 8.210739, 97.03061, 0, 0, 3.051758e-05, 0, 0, 0, 82.97217, 0, 0, 63.99561, 103.91, 0, 200.4167, 26.09729, 0
0.7, 54.54475, 23.25003, 1.525879e-05, 97.78357, 86.14694, 60.04984, 7.629395e-06, 0, 218.9686, 0, 25.6275, 0, 0, 92.14621, 42.09004, 92.84332, 0, 0, 0, 0, 0, 0, 78.88428, 0, 3.814697e-06, 65.2429, 99.06714, 0, 192.0851, 25.0213, 0
0.8, 106.1524, 22.20718, 1.525879e-05, 93.63019, 82.47726, 57.50574, 0, 0, 209.3394, 0, 24.56355, 0, 0, 88.30896, 40.29673, 88.83673, 0, 0, 0, 0, 3.814697e-06, 0, 74.9978, 0, 3.814697e-06, 62.50776, 94.45001, 0, 184.0998, 23.98975, 0
0.9, 100.731, 28.01166, 1.525879e-05, 89.65326, 78.9639, 55.0694, 7.629395e-06, 3.051758e-05, 274.2938, 0, 23.54376, 0, 0, 84.63153, 38.57983, 85.00305, 0, 0, -3.051758e-05, 0, 3.814697e-06, 0, 154.8175, 0, 7.629395e-06, 59.88727, 90.0481, -9.536743e-07, 176.4466, 23.00067, 0
1, 124.0194, 26.75525, 1.525879e-05, 146.5459, 75.60019, 52.73633, 7.629395e-06, 3.051758e-05, 355.7488, 0, 22.56631, 0, -1.907349e-06, 81.10724, 36.93607, 81.33484, 0, 0, 0, 0, 3.814697e-06, 0, 147.19, 0, 3.814697e-06, 57.37665, 85.85129, -9.536743e-07, 169.1115, 22.05237, 0
1.1, 192.6284, 25.55518, 1.525879e-05, 140.3213, 72.37981, 50.50211, 7.629395e-06, 3.051758e-05, 365.5322, 0, 21.62946, 0, 0, 77.72971, 35.36235, 77.82489, 0, 0, 0, 0, 0, 0, 181.4499, 0, 0, 54.97127, 81.8501, 2.930218, 162.0812, 21.14316, 0
1.2, 272.7954, 24.40894, 1.525879e-05, 152.2815, 69.29659, 48.36249, 7.629395e-06, 3.051758e-05, 440.9462, 0, 24.24214, 0, 1.907349e-06, 79.4465, 42.49233, 74.46643, 0, 0, 3.051758e-05, 0, 0, 0, 172.5102, 0, 0, 52.66673, 78.03537, 32.80655, 155.3433, 20.27148, 0
1.3, 258.8632, 23.31409, 7.629395e-06, 145.8201, 66.34468, 77.90878, 7.629395e-06, 3.051758e-05, 421.5554, 0, 58.19025, 0, 1.907349e-06, 76.13812, 40.68188, 126.2465, 0, 0, 3.051758e-05, 0, 3.814697e-06, 0, 191.8862, 0, -3.814697e-06, 50.45882, 74.39844, 31.42074, 148.8855, 19.4357, 0
1.4, 275.3321, 22.26837, 7.629395e-06, 139.6263, 86.95068, 170.0516, 0, 3.051758e-05, 536.7762, 0, 55.77443, 0, 1.907349e-06, 105.6194, 38.94855, 178.6956, 0, 0.4661233, 3.051758e-05, 0, 0, 0, 190.961, 0, -3.814697e-06, 48.34345, 70.931, 30.09347, 142.6961, 41.55157, 0
1.5, 261.2704, 21.26956, 7.629395e-06, 133.6957, 83.24678, 162.8472, 0, 1.525879e-05, 544.2534, 0, 53.45889, 0, 0, 132.7503, 37.28909, 170.9841, 0, 9.27381, 6.103516e-05, 0, 0, 0, 211.5372, 0, 57.72781, 46.31678, 67.62518, 28.82227, 136.7641, 107.194, 0
1.6, 247.9268, 176.97, 40.00448, 145.067, 79.70065, 155.948, 9.831444, 131.8725, 520.3194, 0, 70.95921, 0, 71.10852, 151.9223, 35.70033, 242.6978, 0, 8.891351, 70.80434, 0, -3.814697e-06, 0, 275.8658, 0, 60.45871, 101.9892, 164.6638, 69.53575, 131.0786, 223.2548, 0
1.7, 335.5617, 260.7106, 38.21372, 138.9052, 252.766, 149.3411, 9.413734, 225.6764, 601.7255, 0, 210.6785, 54.8858, 68.04285, 244.8376, 34.17926, 265.3016, 0, 21.01568, 178.5639, 0, 47.81375, 0, 262.2744, 0, 57.8365, 140.0798, 164.9544, 66.59843, 348.7725, 315.7887, 0
1.8, 413.8455, 444.307, 96.85714, 175.4124, 241.9987, 225.6751, 9.013771, 321.0864, 685.7148, 0, 260.4164, 52.60387, 151.6823, 354.4256, 32.723, 289.8192, 0, 46.36346, 208.713, 0, 63.04409, 0, 287.9196, 0, 55.32801, 134.2073, 296.7476, 63.78518, 445.045, 400.8928, 0
1.9, 392.7096, 500.4545, 99.36978, 167.9617, 380.9774, 216.1142, 8.630798, 352.0558, 655.5599, 0, 312.5972, 50.41681, 145.1429, 367.554, 31.32879, 277.3123, 0, 86.4911, 199.6819, 0, 60.38133, 0, 361.3406, 0, 52.92832, 128.581, 414.0089, 61.09078, 498.9392, 395.4347, 0
2, 387.1493, 494.0362, 169.5984, 266.3087, 364.7486, 280.427, 8.264107, 406.2774, 626.7312, 0, 299.6194, 48.32067, 138.8854, 395.1111, 29.99398, 265.345, 0, 82.92414, 366.5427, 0, 57.83104, 0, 396.946, 0, 50.63271, 123.1905, 602.6274, 67.14627, 545.1215, 379.1314, 0
2.1, 416.415, 471.8771, 176.6558, 335.0407, 382.0001, 326.3571, 7.912991, 387.8668, 599.1702, 0, 287.1805, 46.31169, 132.8977, 401.4967, 28.71603, 253.8943, 0, 79.50428, 350.6822, 0, 55.38847, 0, 408.9106, 0, 48.43666, 118.0261, 574.5413, 64.30988, 522.46, 395.6071, 0
2.2, 395.1479, 450.7119, 168.748, 320.8098, 447.4386, 312.5306, 7.57679, 370.2904, 608.702, 0, 275.2579, 44.38623, 127.1681, 474.3028, 27.49254, 242.9376, 0, 76.22546, 335.508, 0, 53.04906, 0, 388.7644, 0, 46.33586, 113.0781, 547.764, 61.59331, 500.7407, 379.2967, 0
2.3, 374.9669, 430.496, 161.1942, 307.1833, 482.4872, 299.2898, 7.254875, 353.5106, 581.9338, 0, 263.8303, 42.54082, 121.6856, 454.5515, 26.32118, 232.4539, 0, 73.08186, 320.9905, 0, 50.80846, 0, 398.0724, 0, 44.32618, 108.3376, 522.2349, 58.99149, 479.9242, 363.6587, 0
2.4, 355.8166, 411.1869, 153.9785, 383.5869, 461.9343, 286.61, 6.94664, 337.4911, 603.7291, 0, 252.8771, 40.77214, 116.4394, 460.262, 25.19972, 239.9003, 0, 70.0679, 307.1011, 0, 48.66249, 0, 387.7511, 0, 42.40366, 103.7958, 497.8954, 56.49957, 459.9732, 348.6655, 0
2.5, 337.6443, 392.7438, 147.0858, 431.4993, 442.257, 274.4675, 6.651497, 322.1976, 650.0754, 0, 242.3787, 39.077, 111.4194, 441.0953, 24.12605, 236.3343, 0, 67.17825, 293.8127, 0, 46.60716, 0, 452.1768, 0, 40.56453, 99.44444, 474.6904, 54.11292, 440.8515, 355.4139, 0
2.6, 320.4001, 375.128, 140.5017, 413.1714, 423.4178, 262.8393, 6.368893, 307.5971, 621.4878, 0, 232.3161, 37.45233, 106.6158, 422.7268, 23.09812, 230.7787, 0, 64.40776, 281.0994, 0, 44.63865, 0, 429.899, 0, 38.80515, 95.27548, 452.5668, 51.82708, 422.5247, 340.7606, 0
2.7, 304.0367, 358.3023, 134.2123, 395.6218, 405.3811, 251.7038, 6.098293, 293.6582, 622.0361, 0, 222.6713, 35.89521, 102.0193, 405.1232, 22.11399, 220.8197, 0, 61.75153, 268.9361, 0, 42.75327, 0, 419.9562, 0, 37.1221, 91.28129, 431.4744, 49.63781, 404.9598, 326.7114, 0
2.8, 288.5089, 342.2313, 128.2044, 378.8177, 388.1127, 241.0401, 5.839195, 280.351, 666.9731, 0, 213.4269, 34.40283, 97.62101, 398.4009, 52.34938, 226.0696, 0, 59.20485, 257.2991, 0, 40.94753, 0, 446.3305, 0, 35.51204, 87.45454, 411.365, 47.54101, 388.1251, 351.4618, 0
2.9, 273.7742, 326.8811, 122.4655, 362.7274, 371.58, 230.8281, 5.591106, 267.6468, 698.6216, 0, 204.5663, 32.97249, 93.41232, 381.8104, 50.11895, 258.4362, 0, 56.7632, 246.1657, 0, 39.21805, 0, 424.3407, 0, 33.9718, 83.78824, 392.1928, 45.53278, 371.9902, 342.4513, 0
3, 317.2979, 312.2195, 116.9835, 347.3204, 392.6064, 221.0488, 5.353558, 255.5182, 700.2379, 0, 196.0735, 31.60163, 89.38507, 365.9107, 47.98355, 256.2781, 0, 54.42223, 235.514, 0, 37.56162, 0, 403.4342, 0, 32.49837, 80.27562, 373.9142, 43.60939, 356.5261, 392.6033, 0
3.1, 378.5689, 298.2155, 111.7468, 332.5679, 375.8822, 211.6838, 5.126095, 243.9394, 703.1877, 0, 187.9333, 30.28775, 85.53145, 417.0758, 45.93914, 245.2186, 0, 52.17782, 225.3232, 0, 35.97515, 0, 383.5578, 0, 31.08886, 76.91026, 356.4874, 42.7499, 341.7048, 487.1927, 0
3.2, 359.2346, 284.8395, 106.7446, 318.4421, 407.0792, 357.7553, 4.908302, 232.8851, 710.578, 0, 180.1311, 29.02851, 81.84396, 431.3956, 43.98183, 271.6248, 0, 50.02596, 215.5734, 0, 34.45569, 0, 430.6564, 0, 29.74047, 73.68599, 339.8729, 40.94407, 430.2506, 546.7651, 0
3.3, 340.8878, 272.0635, 101.9663, 351.6513, 389.7385, 342.5986, 4.69976, 222.3319, 789.7915, 0, 172.6528, 27.82162, 78.31546, 413.431, 71.17249, 303.1593, 0, 47.96285, 222.2479, 0, 33.00041, 0, 429.9471, 0, 28.45056, 70.59689, 324.0327, 48.45709, 412.3646, 575.4679, 0
3.4, 456.6137, 259.8606, 146.2922, 336.7148, 373.1365, 348.6572, 4.50008, 212.2568, 858.2217, 0, 165.485, 26.6649, 74.93908, 396.4946, 72.22521, 290.0767, 0, 45.98483, 212.6311, 0, 31.60659, 0, 490.4074, 0, 27.2166, 67.6373, 308.9308, 46.41017, 395.222, 551.742, 0
3.5, 490.9322, 248.205, 139.7436, 322.4128, 391.2832, 333.8859, 4.308887, 259.7708, 820.4808, 0, 158.6147, 25.55628, 71.70827, 409.1646, 90.72752, 306.8648, 0, 44.08838, 203.4305, 0, 30.27164, 0, 466.246, 0, 26.03616, 64.80177, 294.5327, 44.44971, 378.7921, 560.2728, 0
3.6, 548.4905, 237.0723, 133.4881, 308.7183, 374.6154, 345.0751, 4.125813, 247.9991, 931.8121, 0, 152.0296, 24.49375, 68.61674, 398.4027, 86.86193, 293.6223, 0, 42.27013, 194.628, 0, 28.99307, 0, 443.275, 0, 24.90691, 62.08512, 280.8056, 70.48804, 363.0452, 537.1734, 0
