 , C000, C001, C002, C003, C006, C009, C011, C016, C019, C021, C022, C025, C027, C032, C033, C034, C035, C039, C042, C043, C044, C046, C047, C056, C063, C065, C067, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 138.2298, 0, 122.6461, 0, 0, 65.78819, 0, 0, 0, 45.41125, 0, 0, 0, 0, 0, 151.9638, 0, 0, 0, 50.94348, 0, 17.65607, 25.03101, 64.8175, 168.4937, 0
0.2, 1.525879e-05, 0, 132.4224, 0, 114.8302, 0, 0, 62.81828, 0, 7.629395e-06, 0, 104.2742, -3.051758e-05, 0, 44.31082, 0, 86.61121, 300.9459, -1.525879e-05, 1.525879e-05, 0, 47.85184, 0, 16.92114, 23.89792, 61.92578, 159.0535, 6.103516e-05
0.3, 47.30054, 0, 126.8591, 0, 190.2856, 0, 0, 59.98245, 9.536743e-07, 7.629395e-06, 80.07068, 292.4961, 0, 0, 42.47656, 0, 82.9234, 288.7587, 0, 1.525879e-05, 1.525879e-05, 44.94783, 0, 89.87402, 22.81607, 87.61639, 220.3384, 44.14954
0.4, 142.1228, 0, 121.5294, 26.31169, 197.0502, 0, 0, 69.10606, 0, 25.15668, 237.9142, 336.8867, 0, -3.051758e-05, 51.16839, 0, 79.39258, 277.0651, 32.7133, 1.525879e-05, 0, 111.3344, 124.6418, 126.5941, 21.7832, 83.70752, 207.9936, 123.0026
0.5, 252.0806, 0, 116.4237, 24.94356, 214.4178, 61.28037, 0, 65.98638, 0, 24.09747, 304.9238, 471.5244, 271.4001, 108.8221, 49.05027, 0, 225.6054, 289.6641, 195.6973, 1.525879e-05, 1.525879e-05, 230.6811, 137.8358, 121.3247, 188.2021, 245.0067, 196.3404, 228.0931
0.6, 391.1796, 0, 111.5324, 23.64656, 200.7535, 112.9526, 0, 109.9157, 0, 55.16232, 291.8649, 642.9498, 363.2392, 256.095, 61.00492, 0, 215.9993, 277.9338, 266.3802, 1.525879e-05, 1.525879e-05, 227.5389, 269.1476, 278.6315, 189.4049, 234.0762, 185.34, 216.8689
0.7, 368.9858, 0, 106.8467, 22.417, 187.9601, 177.0089, 0, 147.9862, -9.536743e-07, 52.83974, 279.3654, 720.5815, 418.8224, 287.7447, 58.47961, 0, 235.9389, 409.8726, 252.226, 1.525879e-05, 1.525879e-05, 284.2198, 257.7097, 307.3901, 249.948, 439.2293, 174.956, 353.4185
0.8, 348.0513, 0, 248.8393, 21.25138, 175.9819, 169.5324, 0, 146.9287, 0, 50.61494, 267.4011, 689.8729, 401.5653, 321.4747, 109.789, 0, 300.0667, 393.2743, 238.8239, 1.525879e-05, 1.525879e-05, 266.9712, 246.7578, 294.5951, 238.6332, 419.634, 165.1538, 409.27
