 , C000, C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C023, C025, C026, C028, C032, C034, C037, C041, C042, C044, C047, C048, C054, C055, C056, C057, C059, C061, C068, C069, C071, C072, C073, C075, C076, C079, C080, C081, C083, C085, C086, C088, C089, C092, C094, C098, C099, C100, C101, C102, C110, C112, C117, C118, C121, C123, C125, C126, C128, C131, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 211.6741, 0, 532.9458, 2.824974, 773.7329, 0, 140.1448, 90.92212, 157.9509, 0, 28.20691, 0, 121.2714, 0, 0, 94.71524, 0, 0, 0, 183.1479, 0, 0, 0, 142.4728, 34.50757, 41.58983, 165.0217, 190.0532, 261.4531, 70.3269, 0, 0, 31.92773, 0, 0, 0, 0, 177.2053, 0, 667.0669, 0, 273.6249, 0, 161.6435, 0, 0, 242.9064, 0, 21.34524, 111.0049, 0, 0, 0, 147.8161, 48.41956, 0, 140.183, 0, 74.23047, 84.0603, 0, 0, 0, 0, 0, 0
0.2, 202.5376, 0, 847.2988, 55.12463, 1154.112, 0, 268.8843, 86.86389, 534.6257, 0, 235.176, 0, 413.292, 0, 0, 90.72156, 142.6663, 185.093, 0, 423.7668, 245.949, 3.051758e-05, 0, 135.9614, 285.1965, 39.67197, 396.855, 181.9729, 420.4834, 222.2837, 0, 0, 149.2046, 0, 0, 46.63904, 0, 170.0419, -6.103516e-05, 634.3076, 87.82349, 261.0604, 0, 351.9481, 350.7507, 0, 232.8816, 77.57196, 20.43389, 105.9257, 0, 96.05298, 0, 189.1488, 89.21069, 0, 134.4803, 0, 183.421, 80.6026, 0, 0, 0, 101.9861, 0, 0
0.3, 471.8118, 0, 1408.667, 52.56041, 1815.793, 170.9904, 257.4086, 82.98706, 865.426, 190.5244, 224.8, 0.0001220703, 682.8662, 0, 0, 86.8963, 281.3999, 367.8411, 0, 548.8135, 279.0645, 0, 0, 129.7476, 528.4243, 75.17024, 567.498, 174.2361, 433.3992, 435.532, 0, 0, 143.0524, 0, 0, 44.20795, 0, 181.0153, 0, 603.1571, 228.6053, 249.073, 0, 336.6971, 336.1056, 0, 321.834, 73.98145, 68.64672, 101.0789, 0, 407.6508, 0, 243.7184, 174.2596, 0, 129.0096, 0, 406.2986, 77.28717, 0, 157.4314, 0, 729.4216, 0, 0
0.4, 451.447, 0, 1577.891, 50.11548, 2017.041, 332.7721, 444.1429, 79.28314, 1014.846, 276.8027, 346.7631, 203.907, 750.3279, 0, 0, 83.23233, 469.8796, 485.8513, 0, 521.3259, 479.7471, 0, 0, 123.8177, 712.2043, 179.5471, 695.051, 166.8281, 567.1538, 494.9546, 0, 0, 325.366, 0, 0, 123.5145, 0, 173.6979, 0, 573.5364, 254.5702, 237.636, 0, 322.1069, 322.072, 0, 308.5518, 70.55707, 65.71583, 155.2497, 0, 390.4949, 0, 277.8728, 277.1677, 0, 123.7614, -0.0001220703, 455.0123, 169.9152, 0, 275.3634, 0, 697.829, 0, 0
0.5, 595.9255, 0, 1655.095, 47.78426, 2445.712, 315.214, 515.5647, 75.74457, 1020.704, 301.428, 345.2047, 447.8408, 943.9685, 1.525879e-05, 0, 79.72281, 550.1489, 637.3082, -6.103516e-05, 528.5911, 607.5938, -3.051758e-05, 0, 118.1589, 745.5898, 171.2676, 733.4104, 159.7352, 675.7368, 715.8853, 0, 0, 407.3749, 0, 89.50293, 117.076, 0, 206.8202, 0, 545.3704, 242.9265, 226.7242, 0, 308.1489, 308.6244, 0, 295.8179, 67.29114, 126.0823, 181.689, 0, 374.0609, 0, 366.2288, 422.625, 0, 118.7269, 0, 562.4236, 162.9261, 0, 308.905, -3.051758e-05, 667.6049, 0, 0
0.6, 667.071, 0, 1933.516, 45.5615, 2709.522, 298.5823, 701.0169, 72.36389, 1137.867, 672.6301, 414.3185, 428.8038, 903.9147, 0, 0, 76.3613, 639.6848, 917.9874, 49.96973, 502.1165, 840.0691, -3.051758e-05, 0, 112.7587, 892.2646, 163.3698, 826.1455, 152.9438, 753.4434, 794.4573, 0, 0, 458.044, 0, 106.7699, 110.9733, 0, 239.6226, 0, 518.5875, 305.1338, 216.3134, 0, 294.7958, 295.7382, 0, 283.6095, 64.17645, 145.7929, 173.3755, 0, 358.3185, 90.89124, 490.6698, 440.692, 0, 254.2673, 0, 641.1638, 212.3234, 0, 456.1898, -3.051758e-05, 638.6897, 0, 0
0.7, 769.5117, 0, 2179.497, 43.44213, 2959.861, 384.8542, 929.4363, 180.3024, 1087.93, 1003.909, 409.3582, 505.912, 1082.69, 0, 0, 73.14154, 612.0703, 1240.465, 47.65283, 696.9514, 798.6755, 279.1428, 0, 204.0795, 1018.368, 155.8363, 881.5498, 146.4412, 834.1199, 759.0176, 0, 0, 500.4236, 0, 209.2619, 105.1887, 0, 280.8629, 311.6169, 493.12, 291.1775, 206.3806, -6.103516e-05, 282.0214, 283.3901, 0, 271.9049, 61.20593, 166.3612, 500.7664, 0, 343.2386, 443.6141, 520.4713, 421.2167, 0, 318.3504, 104.1044, 635.3934, 203.5898, 0, 510.0585, 0, 611.027, 0, 0
0.8, 830.6892, 0, 2192.333, 41.42134, 2979.054, 496.9507, 903.5942, 172.2552, 1202.794, 1111.292, 458.9508, 521.439, 1036.75, 0, 0, 70.05753, 774.9104, 1375.474, 186.8878, 662.0446, 859.6069, 731.1703, 0, 194.7525, 1212.786, 148.6502, 1013.651, 140.2151, 825.6052, 856.843, 0, 605.9437, 595.0863, 0, 236.6667, 263.9069, 0, 373.7792, 309.8303, 468.9031, 478.6403, 196.904, -0.0001220703, 269.8005, 271.5576, 0, 260.6833, 58.37286, 159.2584, 477.8532, -3.051758e-05, 328.7935, 425.3973, 536.2432, 402.6022, 0, 385.8427, 250.8844, 757.1321, 195.2156, 0, 596.3116, 3.051758e-05, 584.5624, 0, 0
