 , C004, C009, C017, C026, C027, C029, C030, C032, C033, C034, C038, C043, C048, C050, C052, C056, C059, C060, C061, C064, C068, C071, C072, C078, C080, C085, C088, C089, C098, C102, C117, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 94.13745, 0, 189.0841, 288.2664, 0, 24.97681, 0, 85.21118, 0, 0, 131.8718, 33.33592, 0, 0, 0, 62.6615, 0, 0, 0, 76.52246, 5.614944, 108.2983, 159.2445, 65.59778, 0, 0, 0, 0, 0, 135.5132, 0, 220.8741
0.2, 90.13629, 0, 176.4753, 700.5835, 3.051758e-05, 128.2938, 0, 81.31702, 0, 99.45117, 173.2834, 31.92461, 0, 241.017, -6.103516e-05, 197.495, 0, 0, 0.0001220703, 122.9443, 49.33911, 176.5417, 226.3798, 96.23804, 145.9193, 0, 0, 0, 0, 260.1216, 0, 211.4014
0.3, 86.30518, 0, 164.7074, 807.3789, 53.67453, 122.3694, 0, 84.46521, 0, 95.1615, 195.6969, 198.6503, 0, 228.9004, 0, 270.4, 0, 0, 34.66467, 198.0511, 149.7083, 272.5415, 322.1373, 92.10815, 138.9254, 81.53071, 0, 0, 0, 307.3091, 74.74915, 202.335
0.4, 82.6369, 0, 153.7241, 929.8447, 51.3912, 116.7187, 0, 180.9294, 0, 183.9135, 273.3312, 190.2402, 0, 217.3929, 0, 256.5286, 0, 0, 33.16821, 312.5696, 166.438, 489.6072, 383.1011, 114.4637, 205.2538, 78.04778, 0, -1.525879e-05, 141.7837, 365.9862, 71.51044, 240.3555
0.5, 79.12451, 0, 143.4732, 1027.548, 49.20502, 111.3289, 0, 172.6611, 0, 245.9672, 311.5321, 260.2234, 99.28119, 206.4639, 0, 302.5233, 0, 0, 151.1338, 432.213, 159.4485, 504.656, 680.9414, 109.5517, 321.4481, 74.71363, 0, -1.525879e-05, 135.0289, 349.9259, 68.41205, 432.358
0.6, 75.76141, 0, 133.906, 1125.355, 47.11182, 106.188, 0, 283.9825, 0, 235.3577, 322.74, 403.3538, 153.6341, 196.0844, 0, 379.6887, 31.13907, 0, 433.6392, 502.5477, 202.7943, 483.3015, 666.4598, 151.7921, 460.377, 71.52191, 7.629395e-06, 0, 174.8457, 334.5704, 65.44794, 597.1567
0.7, 173.3883, 0, 124.9767, 1179.988, 45.1077, 252.2038, 0, 271.0051, 0, 292.5582, 626.2754, 386.2773, 147.2565, 186.2266, 0, 360.2108, 29.67673, 0, 435.8761, 480.4066, 248.0986, 646.5896, 696.0442, 340.1536, 494.9093, 68.46655, 0, -1.525879e-05, 260.4927, 319.8888, 244.0613, 571.5461
0.8, 166.0187, 0, 116.6428, 1317.155, 43.18878, 250.8493, 0, 367.5687, 0, 343.5184, 739.6147, 567.1343, 141.1437, 176.8643, -6.103516e-05, 341.7321, 28.28307, 0, 563.4354, 459.241, 452.3946, 795.3679, 845.0546, 409.5422, 471.1883, 65.5417, 0, -1.525879e-05, 248.0824, 385.8181, 233.4869, 616.6289
0.9, 158.9623, 0, 108.8646, 1434.038, 41.35153, 260.1563, 0, 530.8573, 0, 420.2853, 713.3651, 757.9725, 245.5865, 167.9728, -6.103516e-05, 324.2014, 47.75454, 0, 539.1121, 595.3652, 583.4355, 794.1025, 879.1252, 391.9675, 479.7507, 62.74181, 0, -1.525879e-05, 301.0842, 368.8875, 223.3705, 735.1047
1, 296.2852, 0, 101.6052, 1419.505, 39.59242, 248.1429, 0, 707.649, 0, 444.009, 728.6553, 932.3439, 235.3919, 159.5283, 0, 307.5699, 154.0576, 0, 515.8387, 666.2987, 801.9784, 1093.476, 1113.427, 375.1469, 552.2776, 60.06152, -7.629395e-06, -2.288818e-05, 461.1052, 415.8979, 213.6926, 703.5779
1.1, 283.692, 0, 94.8298, 1666.927, 37.90817, 236.6842, 0, 675.3107, 0, 455.1244, 696.0848, 892.872, 225.6204, 151.5084, 0, 291.7917, 146.8228, 0, 609.9531, 636.943, 801.3388, 1281.228, 1192.008, 359.0482, 525.807, 57.49573, -7.629395e-06, -1.525879e-05, 439.1374, 397.6475, 204.4339, 673.4032
1.2, 271.6341, 0, 88.50622, 1606.751, 36.29553, 266.4306, 0, 660.5319, 0, 435.4932, 697.4232, 897.2277, 216.2546, 143.8916, 6.103516e-05, 276.823, 139.9278, 0, 609.5825, 608.8807, 903.1332, 1358.401, 1189.344, 358.1701, 500.6051, 55.03955, 0, -7.629395e-06, 557.1577, 380.1978, 195.5764, 811.2213
1.3, 260.0887, 0, 82.60432, 1621.666, 34.75151, 254.1275, 0, 680.2108, 75.24194, 470.9246, 923.4044, 1007.957, 207.2775, 136.6578, 0, 262.622, 180.3594, 0, 698.8641, 582.0548, 906.858, 1325.091, 1199.014, 457.6979, 476.6112, 52.68829, 0, -7.629395e-06, 530.6138, 363.5139, 187.1026, 776.43
1.4, 393.9526, 0, 77.09599, 1746.799, 85.89606, 242.3924, 0, 668.9102, 71.34837, 450.6118, 882.129, 1060.746, 198.6732, 129.7875, 6.103516e-05, 249.1496, 171.8895, 0, 699.0491, 579.0376, 912.1194, 1425.167, 1316.404, 438.0567, 517.9536, 50.43749, -7.629395e-06, 0, 505.3345, 397.234, 178.996, 836.0813
1.5, 377.2083, 0, 71.95496, 1893.077, 82.242, 231.1993, 0, 678.7689, 67.65628, 431.1752, 1012.469, 1115.832, 190.4259, 123.2627, 6.103516e-05, 236.3683, 163.8173, 0, 668.8713, 553.5264, 1043.08, 1448.438, 1262.825, 419.2583, 542.0161, 48.28284, 106.2816, 0, 540.1212, 379.8026, 171.2406, 800.2239
1.6, 361.1756, 0, 67.15675, 1940.519, 98.41072, 220.5231, 0, 756.9007, 64.15524, 451.878, 967.2127, 1068.592, 182.521, 117.0659, 6.103516e-05, 224.2427, 156.1242, 0, 733.0621, 621.7674, 999.2764, 1557.684, 1370.005, 401.2666, 516.0373, 46.22022, 100.6521, 0, 574.9996, 363.1359, 163.8212, 849.0383
1.7, 345.8244, 0, 62.67851, 1927.385, 187.7212, 288.8946, 0, 731.7683, 60.83538, 432.3868, 1096.391, 1023.351, 174.9443, 111.1807, 6.103516e-05, 212.7391, 148.7924, 0, 701.4162, 650.8929, 1067.892, 1663.588, 1418.084, 446.3085, 590.4049, 44.24573, 95.32079, 107.1038, 547.6057, 347.2007, 156.7233, 953.1389
1.8, 396.8236, 0, 58.49889, 2094.092, 179.7355, 275.5541, 0, 825.3903, 57.68731, 507.2076, 1069.698, 1065.078, 167.6821, 238.627, 6.103516e-05, 319.9709, 141.8049, 0, 738.4032, 753.8778, 1023.046, 1747.654, 1588.751, 427.1561, 695.5789, 42.35558, 90.27185, 101.9696, 521.5168, 439.0411, 316.3571, 912.261
1.9, 428.7948, 0, 54.59799, 2051.805, 172.0895, 262.8297, 0, 787.6713, 54.70214, 517.5901, 1048.231, 1019.987, 160.7213, 273.3785, 3.051758e-05, 388.8601, 135.1455, 0, 706.5266, 720.6636, 1016.015, 1673.702, 1539.761, 408.8254, 662.2399, 40.54618, 131.9652, 97.08152, 607.4346, 441.9564, 302.6502, 902.0753
2, 437.7126, 0, 50.95721, 2168.328, 164.7688, 250.6928, 0, 922.8171, 51.87144, 495.2646, 1041.92, 976.8046, 154.0496, 259.6349, 3.051758e-05, 368.9117, 128.7989, 0, 758.386, 724.6607, 973.3477, 1808.513, 1622.892, 395.6977, 630.4987, 38.81408, 124.9753, 92.42779, 578.4954, 507.7705, 289.5373, 969.7447
2.1, 419.1082, 0, 47.55921, 2186.104, 157.7595, 239.1163, 0, 880.6459, 49.18723, 473.902, 1030.426, 935.4504, 147.6547, 307.8388, 3.051758e-05, 349.9866, 122.7503, 0, 754.8893, 817.2261, 1005.512, 1832.054, 1700.74, 378.717, 693.3523, 37.15597, 149.0522, 87.99712, 613.0799, 694.4257, 276.9925, 928.1547
2.2, 515.275, 0, 44.3878, 2084.968, 151.0484, 228.0745, 0, 845.9092, 46.64192, 453.4609, 984.3666, 895.847, 141.5253, 292.3628, 3.051758e-05, 332.0325, 116.9858, 0, 722.301, 781.2209, 1051.36, 2008.298, 1740.09, 417.9953, 660.12, 35.56869, 141.1573, 83.77885, 682.3301, 663.9528, 264.9912, 888.3485
2.3, 493.3741, 0, 41.42787, 2282.511, 144.6227, 256.7243, 0, 807.2526, 44.22832, 433.9014, 940.3661, 993.598, 135.6504, 346.347, 3.051758e-05, 314.9994, 111.492, 0, 788.5084, 746.8021, 1155.538, 1923.316, 1801.645, 490.2879, 628.4806, 34.04922, 133.6805, 79.76279, 649.8227, 634.8171, 253.5099, 850.2495
2.4, 508.9565, 0, 38.66532, 2176.915, 138.4704, 255.9046, 0, 851.1559, 41.93962, 415.1856, 898.3324, 972.3578, 130.0193, 375.9635, 3.051758e-05, 298.84, 106.2561, 0, 919.7715, 735.9372, 1107.011, 1841.931, 1736.872, 502.0795, 704.144, 32.59466, 126.5997, 75.93925, 719.3383, 606.96, 375.5902, 978.4835
2.5, 487.3241, 0, 36.08699, 2271.82, 132.5799, 286.4205, 0, 980.2654, 39.76936, 397.2772, 998.2518, 960.3331, 124.622, 357.0627, 216.5994, 283.5096, 101.2662, 0, 880.0652, 802.184, 1060.523, 1907.318, 1666.18, 480.5337, 727.0736, 31.20224, 119.894, 110.7749, 685.0677, 580.3253, 359.317, 999.8172
2.6, 466.6112, 0, 225.8137, 2363.292, 126.9399, 273.1942, 0, 935.4689, 37.7114, 585.3633, 1057.628, 932.5328, 119.4488, 454.3471, 206.3598, 268.9657, 96.51058, 0, 842.0732, 766.8416, 1068.216, 1913.796, 1646.915, 518.085, 692.2251, 29.8693, 113.5435, 105.4648, 689.0903, 554.8594, 343.7488, 956.9376
2.7, 556.4529, 0, 265.5866, 2253.959, 121.5398, 260.5787, 0, 1068.344, 35.75993, 636.0151, 1010.353, 974.1092, 114.4903, 431.5057, 196.6043, 255.1678, 174.883, 0, 805.7211, 896.2196, 1093.208, 1832.813, 1713.092, 689.7067, 659.0468, 28.5933, 188.2813, 100.4092, 777.9119, 530.5109, 435.9977, 1014.485
2.8, 532.8016, 3.924324, 247.8763, 2344.487, 116.3695, 248.5458, 0, 1060.774, 33.90945, 723.3154, 1004.476, 974.2156, 109.7376, 409.8126, 187.31, 362.1227, 166.6703, 0, 770.9384, 856.7342, 1199.003, 1917.861, 1802.397, 660.1092, 782.7197, 27.37181, 178.3085, 95.59592, 740.851, 507.2309, 417.1071, 970.9758
2.9, 576.1017, 24.63584, 459.6962, 2286.968, 192.239, 302.6423, 0, 1048.557, 32.15472, 730.6776, 959.5771, 1130.819, 105.1822, 389.2101, 178.4551, 343.546, 158.8432, 0, 833.3599, 847.673, 1148.651, 1984.828, 2012.938, 640.5767, 776.6003, 26.20251, 168.8638, 91.0134, 705.5556, 603.0143, 467.2728, 987.3575
3, 687.8804, 143.0394, 429.0421, 2293.248, 184.0611, 355.0866, 0, 1017.262, 30.4908, 699.1608, 1022.863, 1154.11, 100.8159, 432.2188, 284.5643, 325.9221, 151.3837, 0, 938.9185, 836.6082, 1129.292, 1951.343, 1935.931, 729.52, 763.8728, 25.08316, 159.9195, 194.1291, 930.4151, 740.822, 447.0273, 1044.54
3.1, 783.0318, 136.0723, 400.4321, 2355.599, 176.231, 493.6838, 0, 970.7745, 28.91298, 669.0034, 977.1418, 1105.25, 96.63086, 520.6936, 326.8215, 309.2025, 144.2745, 0, 975.0117, 992.3267, 1166.151, 1868.771, 2037.986, 855.8629, 841.1939, 24.01162, 151.4489, 184.8233, 907.5699, 708.3131, 475.7206, 999.7422
3.2, 769.6505, 129.4445, 373.7299, 2451.762, 168.7341, 569.4142, 0, 926.4117, 27.41681, 640.1467, 1098.594, 1058.458, 216.0026, 494.5168, 441.4043, 351.3503, 169.8646, 0, 932.9208, 948.6071, 1117.179, 2120.797, 2058.299, 819.1352, 825.542, 66.75244, 143.427, 196.9884, 901.9357, 834.9996, 495.5529, 956.8658
3.3, 736.9377, 123.1396, 348.8083, 2423.662, 161.5562, 543.1199, 0, 904.7866, 25.99806, 797.9213, 1049.488, 1166.154, 207.036, 612.8533, 465.7463, 596.1627, 254.5064, 0, 892.6469, 906.8136, 1070.263, 2031.055, 2076.267, 783.9835, 850.6992, 63.90083, 135.83, 333.3561, 858.9661, 864.5294, 474.082, 1128.903
3.4, 738.8961, 117.1417, 325.5486, 2388.625, 154.6835, 546.7081, 0, 894.8953, 24.65273, 763.5039, 1002.576, 1274.638, 258.829, 600.3824, 494.9104, 565.5798, 242.5545, 0, 976.2559, 985.213, 1047.277, 2244.558, 2077.896, 750.3403, 809.9252, 140.3921, 128.6353, 317.3762, 918.6428, 845.6584, 453.5414, 1080.487
3.5, 707.4905, 111.436, 303.8399, 2278.12, 148.1032, 603.2524, 0, 854, 23.37701, 730.5712, 988.2473, 1220.675, 261.2404, 655.9901, 666.3887, 536.5657, 287.5719, 0, 934.1112, 1028.47, 1003.297, 2149.579, 2140.381, 838.0521, 771.1056, 134.3946, 121.8218, 302.1623, 874.8773, 808.5491, 433.8908, 1104.526
3.6, 854.7586, 106.0083, 283.5788, 2487.868, 190.7858, 609.4207, 0, 871.4864, 22.16731, 759.0692, 991.2736, 1329.693, 391.0333, 666.836, 865.3085, 509.0401, 274.0671, 0, 1046.348, 983.1583, 1076.685, 2266.491, 2053.266, 802.0887, 734.1466, 163.987, 115.3692, 287.6777, 901.3834, 798.5747, 479.9185, 1081.243
3.7, 818.4284, 100.8449, 264.6688, 2442.356, 243.3335, 595.5295, 0, 1018.269, 21.02021, 726.3278, 946.9644, 1273.399, 374.8008, 704.2639, 824.4018, 482.9265, 312.2411, 0, 1054.146, 939.8425, 1031.47, 2170.584, 2195.618, 923.4124, 698.959, 207.607, 198.1554, 273.8875, 939.4424, 850.2623, 459.1251, 1233.381
3.8, 783.6424, 95.93295, 247.0198, 2535.993, 232.982, 618.9258, 0, 1017.573, 19.93247, 749.7635, 1119.696, 1219.489, 359.2423, 760.076, 785.4289, 458.1526, 297.5779, 0, 1031.191, 898.4352, 1083.329, 2222.985, 2196.893, 894.9068, 753.2842, 253.9823, 187.6596, 260.7583, 1003.229, 989.39, 612.8332, 1180.484
3.9, 750.3348, 91.26028, 230.5477, 2418.671, 223.0709, 590.3452, 0, 985.9895, 18.90102, 779.6737, 1299.289, 1298.867, 344.3296, 721.8647, 748.2984, 434.6495, 329.1714, 0, 1034.871, 991.4343, 1132.898, 2213.452, 2197.657, 1047.871, 902.6609, 243.1323, 177.7196, 248.2584, 955.434, 945.9734, 586.2809, 1129.856
4, 718.443, 86.81522, 215.174, 2409.914, 213.5814, 563.0844, 0, 940.9314, 17.92294, 801.634, 1359.444, 1243.878, 330.0359, 685.5745, 712.9232, 412.3521, 313.713, 0, 1385.564, 947.7538, 1085.322, 2211.717, 2281.165, 1002.904, 1073.105, 232.7459, 168.3062, 236.3578, 909.9155, 1075.103, 822.6581, 1124.659
4.1, 687.9067, 82.58665, 200.8255, 2487.013, 204.4956, 576.4055, 0, 942.4061, 16.99547, 791.4568, 1491.616, 1277.329, 316.3356, 651.1086, 679.2203, 391.1987, 298.9806, 0, 1388.933, 1076.556, 1118.348, 2118.128, 2325.297, 959.8663, 1142.687, 222.8031, 159.3914, 225.0277, 909.8268, 1027.925, 787.0148, 1222.786
4.2, 658.6682, 78.56406, 187.4337, 2577.169, 195.7963, 549.7883, 0, 1001.448, 16.116, 780.156, 1436.824, 1355.787, 303.204, 652.3594, 647.1108, 371.1303, 284.9401, 0, 1669.719, 1029.125, 1115.381, 2128.218, 2305.779, 983.5052, 1182.405, 299.8286, 150.9488, 214.2406, 866.4811, 1111.66, 752.9157, 1283.162
4.3, 630.6725, 74.73739, 174.935, 2457.942, 187.467, 524.4004, 0, 1036.885, 121.4375, 746.5049, 1593.687, 1364.427, 290.6175, 659.892, 616.5192, 352.0914, 271.5589, 0, 1806.745, 983.7843, 1308.207, 2265.378, 2337.304, 958.3536, 1125.732, 287.0201, 142.9534, 203.9707, 849.8501, 1102.798, 720.2941, 1228.131
4.4, 603.8668, 71.09711, 163.2697, 2497.885, 179.4921, 605.4854, 0, 994.6388, 115.1534, 714.3054, 1585.866, 1306.662, 278.5535, 626.7172, 587.3737, 334.0293, 258.8061, 0, 1728.749, 1067.982, 1253.269, 2169.518, 2242.174, 917.2277, 1303.343, 274.7588, 135.3814, 194.1931, 923.973, 1054.405, 689.0858, 1175.459
