 , C002, C003, C005, C006, C008, C011, C014, C017, C022, C024, C037, C046, C049, C051, C053, C055, C057, C062, C071, C072, C084, C101, C113, C117, C119, C121, C122, C123, C128, C132
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 42.58493, 18.12904, 0, 0, 0, 126.1041, 49.18164, 0, 0, 26.44312, 0, 0, 0, 201.795, 34.90469, 0, 54.40909, 280.898, 0, 59.25984, 135.6671, 78.47137, 0, 0, 113.054, 0, 0, 45.22949, 183.2896, 0
0.2, 40.71841, 17.32066, 0, 0, 133.0171, 120.603, 120.4858, -1.525879e-05, -3.051758e-05, 333.9447, 68.13391, 0, 0, 190.1594, 92.72377, 23.6694, 127.2552, 268.6988, 268.7413, 56.79695, 194.3563, 74.81522, 0, 116.7587, 324.3666, 93.94055, 93.27344, 128.178, 174.8276, 174.4918
0.3, 38.93369, 16.54834, 0, 83.57257, 268.0232, 221.2537, 170.2017, -1.525879e-05, -3.051758e-05, 361.7899, 65.14673, 0, 0, 179.1946, 88.6767, 22.57004, 172.153, 257.0294, 257.2594, 198.4864, 185.5458, 71.32941, 49.37329, 186.1215, 307.4517, 89.72113, 88.05634, 121.2849, 363.9719, 166.6848
0.4, 37.2272, 15.81046, 0, 79.46869, 256.6381, 383.7355, 199.6145, -1.525879e-05, -3.051758e-05, 342.4364, 62.29047, 0, 68.31094, 168.8621, 84.80626, 21.5217, 337.4957, 310.3943, 364.1864, 190.2371, 177.1348, 68.00601, 174.5144, 324.7281, 384.3802, 85.69122, 312.7317, 235.9916, 478.9563, 345.8523
0.5, 35.5955, 15.10547, 0, 220.827, 245.7366, 372.9453, 291.4718, 0, -3.051758e-05, 324.1183, 118.3623, 7.629395e-06, 124.3708, 159.1254, 92.34015, 55.64896, 486.366, 296.914, 405.6877, 310.8504, 169.105, 156.9951, 167.2177, 433.7047, 523.3409, 81.84235, 295.2395, 334.504, 847.7112, 330.3784
0.6, 34.03532, 14.43193, 0, 209.9832, 248.9481, 421.3375, 278.9211, 0, -3.051758e-05, 306.78, 201.6479, 0, 145.1561, 149.95, 88.30981, 53.06421, 565.4187, 284.0193, 452.0914, 520.9669, 161.4392, 149.6804, 160.2258, 407.9247, 700.1517, 215.3239, 278.7258, 383.9506, 808.575, 315.5969
0.7, 32.54352, 13.78842, 0, 199.672, 480.5116, 402.9569, 368.3856, 0, -3.051758e-05, 341.4367, 192.8071, 3.814697e-06, 163.0121, 141.3038, 84.45538, 50.59955, 626.8929, 375.5773, 570.126, 499.3151, 154.1209, 142.7064, 153.5266, 383.677, 663.6407, 260.9392, 263.1357, 439.7891, 1045.031, 399.9725
0.8, 31.11711, 13.17358, 0, 189.8671, 460.1005, 436.264, 450.0875, 1.525879e-05, -3.051758e-05, 374.692, 184.3538, 3.814697e-06, 155.6836, 321.5608, 161.1841, 48.24933, 732.4966, 359.2663, 649.9084, 478.5631, 259.2411, 136.0574, 147.1073, 360.8707, 808.1797, 249.2189, 248.4176, 629.3931, 996.7856, 382.0773
