 , C000, C001, C002, C003, C006, C008, C011, C012, C015, C016, C018, C020, C021, C022, C023, C024, C025, C033, C034, C035, C036, C038, C040, C042, C045, C046, C047, C051, C052, C053, C056, C059, C061, C066, C067, C070, C072, C073, C076, C077, C079, C081, C083, C089, C092, C093, C098, C099, C100, C103
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 48.16138, 0, 0, 0, 0, 0, 133.4078, 0, 0, 0, 0, 91.31909, 0, 0, 227.4829, 55.37964, 49.23468, 108.299, 0, 0, 134.8921, 0, 26.75717, 87.84344, 0, 41.71046, 0, 0, 0, 164.1509, 7.926025, 53.23633, 6.922852, 0, 179.0396, 0, 0, 20.78531, 0, 0, 0, 67.55518, 202.1839, 130.5894, 230.3984, 0, 72.47195, 0, 47.2157
0.2, -1.525879e-05, 46.13928, 11.51372, 0, 0, 260.3936, 31.74689, 127.4394, 0, 0, -3.051758e-05, 0, 87.2153, 0, 33.48691, 266.8326, 52.96222, 107.7652, 103.839, 7.629395e-06, 6.103516e-05, 128.4781, 33.32806, 25.56531, 169.2015, 71.16129, 97.79145, 0, 0, 0, 277.4468, 127.7629, 184.111, 138.9491, 0, 171.0442, 0, 0, 132.2185, -6.103516e-05, 0, -3.051758e-05, 64.67285, 238.9643, 336.7278, 220.6412, 0, 154.006, 0, 45.18958
0.3, -1.525879e-05, 105.0413, 18.0355, 0, 68.27861, 248.8514, 30.34571, 121.738, -3.051758e-05, 0, -3.051758e-05, 0, 83.2959, 0, 32.03049, 388.8798, 142.3982, 102.8516, 99.56262, 0, 57.26984, 122.369, 31.71811, 24.42651, 161.6862, 68.03232, 170.3716, 0, -1.525879e-05, 0, 378.3123, 261.9012, 173.5626, 225.3451, -3.051758e-05, 246.2679, 0, 0, 315.4871, 24.33728, -7.629395e-06, -3.051758e-05, 61.91333, 225.1302, 511.1379, 293.1736, 65.46936, 242.48, 0, 61.39087
0.4, 0, 184.3547, 109.6455, 0, 103.4604, 342.394, 29.00636, 116.2917, 0, 0, -3.051758e-05, 0, 79.5527, 0, 83.34369, 418.1437, 136.1822, 98.16205, 95.46228, 0, 117.3124, 116.5505, 30.18594, 23.33847, 154.5048, 96.11478, 162.5135, 0, 63.84697, 0, 361.5543, 327.5051, 302.1335, 321.1569, -3.051758e-05, 235.2704, 0, 0, 387.2957, 23.26892, 0, 0, 122.9965, 269.932, 725.9269, 489.8541, 62.12592, 230.5305, 0, 81.17578
0.5, 0, 176.6143, 104.4227, 73.4505, 98.41788, 327.2171, 27.72613, 211.0714, 0, 0, -3.051758e-05, 0, 75.97769, -3.051758e-05, 90.65494, 572.4865, 197.8144, 93.68631, 146.9674, -7.629395e-06, 112.1676, 111.0086, 159.0486, 22.29886, 253.3402, 91.88858, 155.0179, 0, 60.79985, 0, 464.4949, 313.3707, 309.8163, 342.6478, -3.051758e-05, 268.3535, 0, 0, 444.1936, 72.1283, -7.629395e-06, -3.051758e-05, 161.4435, 254.3052, 933.9175, 581.3804, 58.95325, 307.0629, 0, 77.69238
0.6, 0, 282.7225, 99.44872, 115.5438, 93.62117, 580.7181, 26.50241, 201.6284, 30.39893, 0, 52.01181, 0, 72.56335, -3.051758e-05, 205.7184, 780.3539, 189.1792, 89.41461, 291.6187, 169.7703, 107.2484, 105.7302, 151.3656, 271.3352, 242.0878, 181.301, 147.8681, 0, 57.89816, 0, 564.287, 299.8463, 405.0072, 466.2412, -3.051758e-05, 256.3697, -1.525879e-05, 0, 545.444, 109.4047, 0, -3.051758e-05, 154.5551, 239.5829, 1021.514, 556.7593, 55.94263, 291.9308, 115.3475, 74.3584
0.7, 0, 377.7701, 199.7552, 175.167, 208.0884, 597.8481, 25.33269, 412.2922, 29.11386, 14.34788, 105.1688, 0, 69.30246, 0, 196.7714, 1004.896, 261.113, 229.1621, 515.8478, 160.7422, 102.545, 224.0396, 144.0537, 281.8874, 231.3352, 224.4339, 141.048, 152.9378, 100.3794, 71.95048, 711.4028, 286.9055, 665.696, 446.5174, -4.577637e-05, 608.4172, -1.525879e-05, 72.85906, 583.3461, 383.4845, -7.629395e-06, -3.051758e-05, 147.9606, 225.713, 1318.391, 650.2635, 95.77637, 358.3127, 386.5741, 196.9872
0.8, 1.525879e-05, 495.5194, 211.8211, 166.9445, 212.5727, 676.4737, 24.21461, 510.71, 48.24664, 13.73724, 158.2861, 0, 181.7867, 0, 257.1352, 1160.469, 249.7147, 224.4062, 574.3949, 384.5432, 98.04779, 266.7549, 211.7148, 358.4219, 221.0601, 260.1037, 329.4295, 272.3713, 259.2805, 68.90996, 782.6484, 505.453, 707.6711, 589.2435, -3.051758e-05, 650.6815, -1.525879e-05, 228.0177, 556.9336, 406.0042, 0, -6.103516e-05, 264.7792, 462.3089, 1586.928, 622.7252, 174.8364, 674.5667, 568.7568, 188.534
