 , C002, C003, C004, C005, C006, C007, C011, C012, C013, C014, C015, C017, C018, C019, C020, C021, C022, C025, C026, C027, C029, C030, C031, C033, C035, C038, C040, C045, C050, C051, C055, C056, C059, C065, C066, C067, C069, C076, C079, C081, C087, C088, C089, C094, C095, C096, C097, C099, C107, C108, C111, C112, C123, C124, C129, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 51.1969, 0, 119.9217, 21.37122, 0, 0, 149.0505, 0, 0, 0, 0, 45.87122, 37.68912, 28.44434, 167.5099, 105.9558, 59.9552, 0, 152.4212, 141.2091, 0, 0, 14.93329, 0, 0, 0, 31.52444, 0, 75.35278, 82.56604, 0, 58.9375, 138.1489, 87.75439, 87.40649, 70.77997, 46.65601, 0, 0, 0, 113.2772, 35.48645, 63.8194, 31.85066, 0, 24.92285, 58.67947, 0, 115.33, 0, 0, 67.33917, 103.1226, 51.80762
0.2, 71.86957, 0, 67.70483, 3.051758e-05, 114.066, 20.30078, 0, -1.525879e-05, 250.351, 126.8545, 0, -7.629395e-06, 0, 43.76675, 35.93973, 87.59021, 159.8582, 101.4347, 146.9797, 0, 198.3741, 134.3434, -6.103516e-05, 0, 14.26761, 0, 0, 57.73499, 212.9532, 0, 103.196, 78.83861, 43.98151, 56.35736, 287.0923, 162.7843, 83.43195, 150.5191, 44.57947, 0, -6.103516e-05, 83.79675, 118.8017, 114.2328, 60.76917, 98.00514, 0, 125.1686, 56.16843, 0, 187.2457, 0, 98.07947, 64.47815, 225.2764, 186.8636
0.3, 231.3185, 0, 98.04108, 3.051758e-05, 108.4962, 114.3303, 56.98779, -1.525879e-05, 238.6835, 121.546, 57.24539, -7.629395e-06, 0, 114.5816, 34.27151, 148.3623, 152.556, 138.0731, 189.5219, 0, 239.101, 151.744, -6.103516e-05, 60.47037, 37.44064, 0, -1.525879e-05, 155.9451, 255.7358, 0, 249.192, 75.27945, 42.07776, 142.5709, 332.6915, 338.0524, 149.2248, 144.2176, 42.59546, 60.48164, 103.2078, 80.3031, 202.3815, 108.4785, 119.3254, 173.9959, 0, 119.3326, 86.84717, 0, 235.4611, 0, 178.5564, 61.73871, 433.5785, 273.8933
0.4, 220.8476, 0, 179.9168, 6.103516e-05, 103.1984, 153.0372, 109.252, -1.525879e-05, 227.5598, 116.4598, 54.85983, 92.16534, 0, 197.9739, 32.68076, 141.4575, 145.5873, 192.8949, 181.2621, 0, 306.1728, 249.8835, -6.103516e-05, 57.89375, 126.833, -0.0001220703, -1.525879e-05, 149.264, 379.5457, 0, 355.1036, 71.88097, 179.4807, 136.3295, 317.9664, 323.3544, 193.6285, 138.1798, 40.69971, 57.90816, 98.55188, 76.95514, 266.1926, 165.6833, 113.6223, 166.6181, 133.8963, 158.2041, 284.575, 60.96472, 225.265, 0, 227.0026, 135.855, 525.2224, 314.975
0.5, 210.8506, 0, 181.7866, 3.051758e-05, 98.15924, 145.372, 104.0651, -1.525879e-05, 293.119, 201.6475, 119.0247, 88.32252, 0, 188.8914, 31.16382, 215.838, 138.937, 184.6642, 206.7461, 0, 355.5556, 237.7339, -6.103516e-05, 55.42691, 121.1791, 73.67896, 0, 142.869, 385.6046, 0, 386.4148, 68.63591, 171.7119, 130.3613, 303.893, 309.2953, 249.1154, 132.3948, 38.88831, 55.4442, 94.10596, 73.74677, 254.8688, 166.1119, 108.1918, 159.5531, 128.2077, 204.8495, 272.3972, 58.23193, 215.5106, 0, 326.3036, 130.0832, 519.7828, 399.8737
0.6, 201.3061, 0, 173.0659, 3.051758e-05, 141.4794, 188.6462, 99.12451, -1.525879e-05, 299.4329, 224.847, 114.0646, 84.63992, 0, 180.2255, 29.71732, 205.7928, 132.5905, 176.7847, 258.1793, 0, 416.9182, 226.175, -3.051758e-05, 53.06517, 251.3482, 94.5531, 0, 232.5018, 431.7368, 0, 369.1216, 65.53735, 164.2794, 124.6545, 330.2943, 419.4188, 255.0163, 126.8521, 37.15753, 181.3197, 89.86066, 70.67218, 244.0267, 252.9617, 149.7244, 152.7877, 175.6842, 227.7123, 260.7406, 128.7286, 270.2795, 0, 394.0341, 124.5565, 597.5798, 406.1151
0.7, 192.1937, 0, 164.7636, 0, 196.3049, 179.1974, 106.1312, 9.003006, 505.0974, 251.0263, 109.3113, 81.11088, 0, 171.9572, 132.8343, 308.9344, 126.5338, 257.4474, 259.6396, 0, 399.5433, 215.1782, 0, 112.6288, 240.1436, 202.5682, -1.525879e-05, 232.7881, 412.5585, 0, 396.4803, 62.57868, 157.1686, 119.1975, 473.8275, 401.183, 243.4201, 121.5413, 191.9082, 173.6047, 85.80688, 67.72577, 299.5347, 325.9204, 157.5366, 181.7436, 168.2203, 285.5649, 249.5827, 122.9583, 303.8067, 0, 540.8763, 119.2646, 763.4094, 389.252
0.8, 183.4938, 0, 254.291, 59.17715, 186.7195, 170.2219, 101.0925, 37.63248, 481.5576, 240.5219, 132.8662, 77.72897, 0, 203.3736, 126.6685, 294.5565, 120.7539, 388.9744, 355.9651, 0, 382.8925, 260.8381, -3.051758e-05, 222.7599, 229.4386, 238.7365, 0, 297.8571, 460.0876, 0, 670.3944, 59.75357, 150.3655, 293.6964, 452.8557, 446.2312, 268.8819, 141.4875, 183.367, 166.2178, 81.93604, 64.90216, 286.7925, 410.4053, 150.0072, 174.0373, 210.3152, 390.4105, 238.9024, 216.5334, 360.043, 0, 558.1702, 114.1975, 730.9197, 396.7208
0.9, 244.1557, 0, 250.0452, 71.3822, 261.9133, 294.8013, 196.5157, 35.92204, 459.115, 305.0162, 151.1671, 74.48808, 0, 194.0432, 235.5715, 345.2015, 115.2379, 372.3771, 423.9915, 0, 423.4845, 248.1558, 0, 224.8112, 219.2107, 367.4375, 0, 285.096, 509.892, 0, 950.7776, 57.056, 143.8571, 280.8392, 550.0956, 426.8296, 256.6552, 199.3725, 175.2059, 159.1454, 152.2065, 62.19629, 274.5923, 413.1663, 170.389, 166.6577, 201.3801, 372.2078, 228.679, 206.8271, 344.4524, 0, 615.9709, 205.804, 699.8126, 443.7856
1, 233.1036, -1.525879e-05, 281.2606, 67.60196, 249.1241, 369.798, 187.186, 57.25833, 437.7182, 323.5184, 161.0876, 71.38231, 0, 185.141, 224.6371, 329.1356, 109.9739, 356.4879, 405.5131, 0, 430.2663, 324.6999, -3.051758e-05, 259.7546, 209.4387, 385.3966, 0, 385.4332, 487.242, 0, 1083.462, 54.48022, 137.6302, 268.5449, 525.7482, 408.2716, 244.9845, 191.0256, 167.408, 152.3738, 188.9127, 59.60324, 262.9112, 443.7627, 162.2453, 159.591, 192.8245, 354.8539, 218.8932, 197.556, 352.4327, 0, 588.5289, 259.4782, 719.6073, 425.3584
1.1, 222.5518, 0, 361.4255, 84.80814, 236.9596, 351.2759, 178.2991, 157.6561, 448.3761, 386.61, 243.5473, 68.40604, 0, 261.3122, 297.6309, 365.1505, 104.9504, 363.4675, 505.2865, 0, 446.0192, 308.9127, -6.103516e-05, 248.6864, 252.5401, 368.0861, 0, 403.778, 465.5981, 0, 1034.974, 52.02072, 240.3361, 256.7887, 527.593, 497.4332, 303.1539, 223.1657, 159.9573, 145.8904, 226.015, 206.1392, 251.7271, 510.0549, 154.4909, 259.4163, 242.4088, 338.3091, 209.5262, 242.6562, 402.178, -7.629395e-06, 630.4794, 248.454, 772.9369, 471.1273
1.2, 212.4777, 67.2829, 344.0872, 80.31689, 225.389, 333.6814, 226.0901, 305.0782, 559.0734, 537.594, 233.3981, 65.55386, 0, 362.2474, 298.6033, 348.1561, 100.1563, 347.9584, 483.2651, 0, 463.9083, 348.9936, -3.051758e-05, 327.8196, 285.7657, 378.1033, 0, 386.479, 444.9157, 0, 1120.116, 49.67226, 310.8869, 245.5471, 504.2415, 529.3322, 289.3687, 213.8227, 273.4698, 139.6828, 254.2686, 197.5449, 285.5385, 484.3615, 147.1071, 348.7817, 232.1102, 402.4391, 200.56, 231.7791, 459.8394, -1.525879e-05, 602.391, 332.8107, 783.3934, 599.0812
1.3, 320.3754, 64.47795, 436.3067, 132.9525, 245.5249, 406.3876, 215.3563, 291.2122, 533.0182, 782.8135, 236.4459, 62.8206, 0, 345.6284, 321.4617, 331.9526, 95.58124, 333.1112, 487.2024, 0, 503.5879, 332.0251, -6.103516e-05, 313.8512, 273.0269, 389.6859, -7.629395e-06, 425.9623, 425.152, 0, 1114.711, 47.42981, 335.5692, 234.7978, 502.2428, 546.651, 367.0898, 204.8709, 261.2986, 133.7393, 336.1409, 189.3089, 273.3917, 512.8475, 171.1873, 333.9926, 342.5209, 383.6756, 191.9774, 269.1146, 477.5187, -1.525879e-05, 575.5541, 318.6709, 899.7695, 598.8188
1.4, 341.1298, 61.78992, 475.0064, 145.4501, 251.1081, 386.0328, 205.132, 277.9764, 508.1773, 1091.017, 235.0852, 60.20131, 0, 329.7718, 306.5406, 445.2231, 91.21515, 318.8975, 629.9446, 0, 482.6011, 315.8817, 92.49597, 300.478, 324.176, 441.855, -7.629395e-06, 407.7129, 406.2663, 0, 1064.824, 45.2886, 321.0441, 224.519, 544.9899, 522.8832, 411.0315, 223.1534, 328.4681, 128.0488, 320.9769, 312.7589, 305.8855, 537.7859, 185.8411, 319.8306, 361.2575, 365.7869, 183.7621, 257.0513, 535.4281, -7.629395e-06, 590.551, 305.1319, 917.5331, 625.247
1.5, 325.6881, 59.21397, 576.8721, 225.8396, 402.7748, 412.8114, 307.7727, 324.7685, 484.494, 1318.321, 302.4345, 57.69122, 0, 314.6426, 328.1899, 424.5021, 87.04851, 363.347, 678.0914, 0, 500.3582, 423.7324, 170.264, 287.6747, 309.7249, 486.8794, -7.629395e-06, 448.0736, 444.7538, 0, 1129.818, 95.80372, 378.3623, 214.6901, 520.8684, 575.2817, 392.341, 213.8109, 313.8491, 122.6003, 306.497, 299.7194, 340.6214, 597.7984, 189.4593, 306.269, 345.9096, 348.7324, 175.8984, 348.2587, 597.754, -1.525879e-05, 677.6699, 384.407, 967.8823, 599.285
1.6, 310.9454, 110.3392, 549.1982, 213.8797, 383.1076, 392.1348, 293.1609, 354.4924, 461.9145, 1379.028, 289.8313, 55.28579, 0, 300.2076, 312.9565, 492.1906, 83.07218, 347.8432, 726.8069, 0, 566.6263, 403.13, 283.0484, 334.7109, 295.918, 465.0106, -7.629395e-06, 428.8768, 481.5331, 0, 1150.694, 110.2355, 361.9849, 205.2916, 710.288, 642.6577, 374.5003, 204.8596, 299.8806, 117.3837, 389.2652, 287.2236, 375.9354, 567.6852, 213.2909, 400.4166, 331.2137, 398.7748, 168.3712, 405.109, 602.9418, -1.525879e-05, 731.0082, 477.4624, 979.8499, 655.1043
1.7, 357.0827, 105.7393, 522.8521, 202.5531, 364.4006, 433.5247, 279.2428, 368.2841, 499.8092, 1356.825, 277.7534, 52.98065, 0, 286.4348, 298.4301, 554.0532, 79.2775, 363.7119, 744.2496, 0, 543.0123, 463.838, 270.0648, 337.0398, 282.7267, 444.1241, -7.629395e-06, 504.0465, 460.1429, 0, 1133.25, 143.1696, 395.0793, 196.3045, 678.8503, 689.7351, 357.4709, 225.3758, 286.5339, 112.3891, 401.3293, 275.2488, 412.5994, 605.1923, 269.6714, 383.438, 413.503, 450.7584, 161.1661, 386.9498, 644.6356, -1.525879e-05, 876.2791, 457.1771, 1109.354, 794.0936
1.8, 350.1225, 101.3311, 497.7698, 191.8263, 346.6071, 411.8107, 398.0646, 351.5453, 476.5159, 1395.004, 266.1787, 215.3152, 0, 273.2938, 284.5779, 763.6859, 75.65616, 434.8156, 711.8138, 0, 600.2253, 441.2857, 271.8105, 390.163, 270.1233, 535.9578, -7.629395e-06, 503.2251, 439.7028, 0, 1168.196, 136.7062, 377.9784, 187.7108, 723.72, 659.7463, 341.2159, 215.9403, 273.7811, 107.607, 383.2245, 263.7732, 446.1385, 695.1071, 291.8564, 367.1794, 395.9354, 429.7421, 154.2693, 369.6046, 717.8154, -7.629395e-06, 956.2527, 437.7535, 1094.699, 829.3102
1.9, 435.7424, 97.1067, 473.8908, 181.6676, 329.6825, 391.1843, 397.7762, 414.4335, 454.3082, 1336.629, 255.0864, 206.3376, 0, 260.7557, 271.3688, 813.868, 72.20023, 489.6364, 680.7916, 0, 575.2112, 419.8299, 282.5536, 400.2068, 258.0818, 527.3774, -7.629395e-06, 557.0156, 420.1707, 0, 1227.366, 244.9077, 361.6176, 179.4934, 691.6879, 631.0613, 325.7, 246.4746, 261.596, 103.0284, 425.828, 252.7761, 427.1599, 683.9741, 303.3229, 351.6102, 379.1142, 409.7057, 147.6677, 353.0368, 686.7325, 0, 999.696, 419.1551, 1048.11, 820.6252
2, 416.0179, 93.05841, 451.1572, 172.0469, 357.5445, 458.3431, 440.4806, 395.5973, 433.1355, 1368.441, 244.4563, 197.7344, 0, 248.7929, 258.7728, 803.5587, 68.90217, 484.4779, 681.875, 0, 601.9249, 462.9324, 269.5928, 383.154, 276.7372, 503.6896, 0, 533.1514, 401.5063, 0, 1228.587, 233.8514, 405.3752, 171.6357, 729.9348, 661.9404, 310.8897, 286.3796, 307.4124, 98.64455, 406.6181, 242.2375, 468.13, 658.4243, 288.8257, 336.7011, 363.0076, 468.4519, 141.3485, 368.8201, 656.9955, -7.629395e-06, 955.1589, 401.3469, 1073.13, 878.6497
2.1, 397.1863, 89.17891, 533.1866, 162.9357, 387.9988, 484.7916, 419.5683, 377.6171, 497.242, 1369.214, 234.2692, 189.4899, 0, 237.3789, 246.7614, 766.1605, 65.75477, 504.5876, 679.713, 0, 682.3467, 488.2205, 257.2264, 366.8278, 322.9703, 581.4485, 0, 510.3096, 383.6709, 0, 1479.611, 223.2942, 387.8286, 164.1219, 697.6275, 683.9532, 364.5189, 274.3902, 293.7305, 94.44725, 388.2747, 232.1382, 514.379, 657.5843, 318.0695, 322.4243, 399.4678, 446.6107, 135.2998, 384.0848, 709.2809, -7.629395e-06, 999.635, 384.2953, 1066.938, 842.1657
2.2, 429.7635, 85.46111, 518.3826, 154.307, 369.053, 460.5098, 399.6488, 360.4542, 474.0684, 1349.295, 224.5067, 181.5891, 0, 226.4885, 302.6357, 730.5029, 62.75113, 606.1695, 712.0029, 0, 653.9103, 464.4827, 304.8433, 396.1522, 308.5729, 618.4412, 0, 488.4465, 502.1581, 0, 1602.791, 213.2136, 444.1419, 156.9371, 773.4046, 715.5677, 347.9434, 262.9027, 346.8584, 90.42857, 435.4342, 222.46, 596.154, 717.9178, 302.8675, 308.7527, 382.4965, 486.8383, 129.5099, 366.868, 695.138, -7.629395e-06, 1151.945, 367.9682, 1021.531, 807.1966
2.3, 410.3097, 81.89831, 545.9493, 146.1353, 351.0324, 529.0015, 409.7548, 344.0713, 451.9747, 1453.376, 215.1509, 174.0178, 0, 216.0977, 288.5884, 772.0934, 59.8847, 580.3044, 680.9725, 0, 657.4148, 441.899, 290.86, 475.4106, 294.8174, 666.8926, -7.629395e-06, 515.8584, 521.9048, 0, 1561.184, 203.5881, 424.9173, 150.0668, 739.1734, 684.4557, 332.1217, 251.8961, 396.3242, 86.58087, 415.7909, 213.1853, 599.0657, 760.172, 288.3921, 385.2118, 366.2462, 464.1397, 123.9678, 350.423, 698.8851, -7.629395e-06, 1100.625, 484.4296, 1099.909, 887.4778
2.4, 391.7364, 78.48404, 578.9893, 180.5884, 377.4398, 502.5052, 441.6258, 328.433, 498.726, 1457.568, 206.1851, 166.7621, 0, 274.4308, 275.1931, 736.1597, 57.14921, 555.5431, 695.5406, 0, 630.0173, 506.7776, 288.3775, 455.1534, 281.6751, 686.8546, -7.629395e-06, 493.7575, 498.7212, 0, 1622.747, 194.3971, 578.9199, 143.4973, 706.4573, 720.1435, 317.0193, 241.3503, 406.4858, 82.89689, 397.0337, 204.2972, 616.6326, 786.6818, 274.6085, 368.878, 436.3864, 524.2827, 118.6629, 334.7151, 693.1489, -7.629395e-06, 1051.592, 463.8481, 1086.143, 850.6271
2.5, 460.5631, 75.21211, 660.5596, 171.0248, 401.1234, 529.9711, 420.6591, 356.0038, 475.4832, 1482.18, 197.5929, 159.809, 0, 299.7006, 346.0357, 826.7682, 54.53867, 602.5425, 679.8132, 0, 642.9474, 511.5956, 298.8411, 479.3111, 269.1186, 656.0037, 0, 472.6035, 476.5674, 0, 1652.943, 185.6211, 592.5128, 137.2154, 675.1891, 836.688, 385.62, 231.2461, 422.3698, 79.36965, 436.3762, 195.7797, 626.4508, 777.1329, 261.4837, 353.2367, 437.8754, 576.113, 113.585, 375.2202, 702.1696, -3.814697e-06, 1066.543, 444.1412, 1039.918, 893.3738
2.6, 479.1287, 72.07659, 628.8712, 279.0383, 381.5368, 503.4264, 400.6879, 339.8232, 522.8661, 1499.369, 189.3587, 153.1458, 0, 343.8525, 329.9739, 911.689, 52.04738, 603.2175, 668.0383, 0, 740.9388, 630.8593, 365.6139, 458.8877, 257.1219, 651.9606, 0, 478.6031, 480.5045, 0, 1578.969, 177.2413, 566.866, 313.1091, 645.305, 834.9969, 447.4708, 221.5648, 403.5715, 75.99251, 416.6904, 187.6174, 599.8017, 823.8947, 248.9863, 338.2587, 507.1565, 549.2522, 108.7243, 358.4007, 671.7642, -3.814697e-06, 1161.42, 468.4569, 1106.551, 890.6583
