 , C000, C001, C003, C004, C005, C007, C008, C009, C010, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C025, C026, C028, C031, C032, C033, C035, C036, C037, C038, C039, C040, C041, C043, C044, C048, C049, C051, C054, C055, C056, C059, C060, C062, C067, C072, C079, C085, C090, C097, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 117.6912, 88.133, 200.9969, 0, 80.51917, 79.95325, 10.36328, 0, 0, 72.61029, 0, 136.7503, 45.22203, 112.2967, 0, 182.5603, 0, 0, 84.05096, 0, 0, 0, 0, 0, 89.97559, 53.86591, 0, 0, 0, 43.88449, 26.41895, 70.10962, 0, 259.2891, 104.3046, 55.69879, 0, 0, 54.22827, 84.073, 107.2859, 348.3687, 0, 18.97974, 0, 104.6222, 140.8804, 106.0049, 0, 0, 32.13812
0.2, 0, 142.2352, 130.794, 192.5306, 0, 491.2762, 75.67297, 9.801453, 0, 115.5747, 68.45508, 0, 132.7579, 50.81425, 107.6104, 0, 369.8411, 95.27776, 0, 157.4301, -3.051758e-05, 89.35474, 0, 0, 0, 235.4697, 105.2313, 0, 142.0133, 38.83325, 86.7485, 159.5184, 67.0144, 237.4126, 486.8727, 99.89276, 227.1312, 0, 0, 146.1027, 126.4222, 138.2515, 546.3286, 74.9895, 43.86694, 0, 100.1667, 235.0114, 269.5574, 0, 0, 77.94543
0.3, 0, 136.1743, 183.4461, 207.3999, 0, 833.5943, 71.62192, 124.7596, 0, 439.044, 64.53766, 0, 231.201, 136.4828, 148.8002, 0, 420.1677, 101.0998, 0, 306.9449, 0, 84.87268, 0, 0, 0, 806.1073, 100.5563, 0, 135.1579, 156.7425, 82.57224, 168.5387, 222.332, 252.089, 667.4862, 95.66751, 239.4731, 0, 0, 139.6863, 278.0831, 191.6397, 673.3005, 99.56238, 103.0408, 0, 95.901, 224.9921, 441.1326, 90.23853, 0, 143.4489
0.4, 0, 130.3717, 217.6996, 325.2721, 0, 1202.156, 67.78769, 246.1193, 0, 471.7842, 60.84448, 0, 356.9971, 165.6896, 142.5905, 0, 712.7744, 140.5658, 0, 487.9283, 0, 80.61536, 0, 0, 3.051758e-05, 1273.943, 142.2906, 0, 128.6335, 161.7371, 150.352, 235.7614, 482.6062, 296.2822, 673.8265, 91.62098, 228.2871, 0, 3.051758e-05, 264.695, 318.3612, 233.0305, 704.0427, 142.7927, 154.1828, 0, 296.0204, 249.238, 638.386, 101.8101, 0, 404.7151
0.5, -1.525879e-05, 124.8163, 278.9087, 443.3458, 0, 1347.952, 64.15869, 263.6818, 0, 592.247, 57.36261, 0, 527.4594, 158.2669, 136.64, 0, 859.817, 171.1345, 0, 752.6465, -3.051758e-05, 76.57166, 201.8975, 32.11252, 0, 1300.183, 135.9691, 0, 122.4239, 401.231, 538.6062, 268.649, 808.3684, 283.8886, 963.1912, 118.2872, 296.7131, 0, 0, 253.0704, 360.2423, 234.6331, 673.5806, 136.6157, 229.4493, 0, 411.5267, 354.0773, 711.2324, 115.6532, 0, 387.156
0.6, 0, 119.4977, 402.3288, 538.412, 0, 1528.34, 60.724, 325.8832, 0, 641.7118, 54.07996, 118.5845, 515.4882, 151.1767, 145.7443, 0, 910.3204, 163.8803, 0, 837.2155, 0, 72.73077, 285.4105, 239.8928, 3.051758e-05, 1241.645, 129.9285, 0, 116.5141, 500.2017, 705.9265, 399.8597, 966.856, 272.0134, 1206.741, 167.3222, 282.8533, 0, 3.051758e-05, 261.4656, 395.1223, 297.2627, 768.2761, 130.7061, 354.2709, 0, 632.6531, 419.0801, 873.8723, 110.2199, 0, 370.3586
0.7, 0, 114.4056, 462.957, 518.2181, 0, 1461.242, 124.5537, 562.7656, 0, 612.6275, 99.2713, 197.832, 716.7031, 398.3543, 227.888, 3.051758e-05, 1006.243, 156.9336, 0, 984.2797, 3.051758e-05, 69.08258, 489.2356, 287.2524, 3.051758e-05, 1349.322, 124.1562, 0, 110.8897, 477.5364, 671.9418, 383.1682, 924.1714, 260.6349, 1180.801, 301.1885, 326.2787, 0, 1.525879e-05, 374.0616, 548.1241, 425.3376, 937.3359, 125.052, 337.4819, 0, 605.7111, 401.2133, 1068.862, 233.7964, 0, 354.2901
0.8, -7.629395e-06, 109.5306, 440.4003, 592.6827, 0, 1453.984, 134.0512, 532.2513, 0, 584.8614, 153.0186, 345.1046, 721.7179, 380.5084, 302.869, 0, 1296.763, 150.2813, 0, 1114.714, 3.051758e-05, 65.61731, 464.8321, 275.5001, 4.577637e-05, 1363.328, 118.6404, 0, 105.5367, 455.8981, 733.5138, 509.5529, 883.3712, 249.7325, 1235.273, 288.4489, 532.1433, 0, 1.525879e-05, 396.9741, 525.1011, 531.0771, 1049.674, 250.5264, 357.6275, 0, 645.7155, 384.1081, 1118.448, 222.813, 0, 338.9187
0.9, -7.629395e-06, 122.8981, 492.9154, 567.7179, 0, 1435.883, 126.8749, 564.7758, 0, 726.1498, 202.275, 457.7585, 722.9301, 434.4704, 290.2299, 0, 1615.203, 143.911, 0, 1175.455, 22.92184, 390.7235, 665.6065, 264.2286, 3.051758e-05, 1358.642, 182.068, 0, 100.4421, 435.2403, 870.9484, 488.2822, 844.3721, 397.3991, 1353.417, 276.2481, 507.2864, 0, 1.525879e-05, 379.5403, 503.045, 529.0894, 1096.96, 258.7048, 606.2897, 0, 806.6057, 367.7322, 1120.397, 274.9267, 0, 324.2142
