 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C017, C018, C022, C023, C025, C026, C027, C029, C030, C031, C032, C035, C037, C038, C039, C040, C045, C047, C048, C052, C053, C054, C056, C057, C058, C061, C063, C065, C066, C078, C081, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 87.32593, 0, 0, 138.6594, 0, 52.99426, 34.6944, 0, 28.94092, 0, 0, 0, 0, 0, 116.2792, 9.165405, 0, 0, 0, 59.78848, 0, 0, 0, 14.05856, 0, 0, 0, 110.2091, 0, 0, 171.0801, 0, 0, 0, 0, 100.79, 0, 0, 0, 132.5847, 0, 224.3679, 0, 0, 0, 273.1621, 0, 86.91089
0.2, 0, 83.5282, 21.4035, 38.50891, 131.9685, 0, 89.72925, 33.09003, 0, 72.10779, 0, 0, -3.051758e-05, 0, 0, 110.854, 224.347, 0, 0, 0, 135.6346, -6.103516e-05, 88.00305, 0, 238.5703, 0, 0, 20.23163, 289.2339, 120.2572, 6.103516e-05, 245.6094, 0, -3.051758e-05, 43.41782, 36.64983, 96.46094, 0, 180.9419, 241.3548, 127.0012, 0, 250.1995, 6.103516e-05, 0, 0, 261.6954, 0, 114.9309
0.3, 1.525879e-05, 217.9738, 20.37384, 36.67371, 211.953, 0, 85.33502, 31.55981, 49.29278, 301.3909, 0, 0, -3.051758e-05, 0, 6.103516e-05, 105.6819, 271.5173, 0, 0, 26.40845, 210.5282, 70.49048, 83.71729, 0, 451.9621, 0, 0, 62.42145, 359.9547, 216.0022, 6.103516e-05, 260.176, 52.32458, -3.051758e-05, 41.50104, 34.97767, 92.31787, 0, 242.3923, 230.5574, 121.6528, 84.62378, 344.965, 89.90387, 0, 0, 250.7102, 6.103516e-05, 228.6047
0.4, 0, 208.4944, 34.90601, 34.9259, 261.9742, 0, 81.15588, 30.10034, 46.53817, 446.467, 107.3664, 0, 45.18106, 0, 0, 100.7513, 303.2812, 101.2705, 1.525879e-05, 64.35101, 237.36, 66.9516, 79.64026, 70.79309, 770.4954, 0, 0, 59.76245, 368.0102, 405.2417, 6.103516e-05, 311.801, 90.56287, -3.051758e-05, 39.66895, 128.0518, 88.35278, 0, 520.6356, 299.1579, 116.5295, 80.83154, 431.7731, 108.988, 0, 0, 240.186, 0, 219.0469
0.5, 0, 251.8571, 33.22668, 91.05811, 249.3329, -7.629395e-06, 196.0573, 28.70837, 72.41029, 578.0048, 102.6892, 0, 79.21954, 0, 3.051758e-05, 96.0506, 308.2317, 128.634, 64.13185, 200.8862, 253.0409, 63.59039, 187.1425, 67.90491, 843.694, 3.051758e-05, 0, 57.21667, 550.0853, 384.9504, 6.103516e-05, 411.7297, 161.1453, -3.051758e-05, 56.36827, 152.7504, 84.55798, 6.103516e-05, 602.0255, 306.6008, 223.2847, 77.20898, 595.9827, 339.7661, 0, 0, 230.1038, 6.103516e-05, 351.8423
0.6, 0, 323.2461, 97.45316, 86.71857, 237.3017, -7.629395e-06, 186.4557, 143.9455, 68.36381, 1034.451, 98.21574, 0, 280.1351, 0, 3.051758e-05, 184.5479, 295.4123, 172.3515, 371.4717, 191.9436, 242.5599, 60.39795, 200.2643, 65.13446, 1048.056, 3.051758e-05, 0, 124.2969, 640.4128, 445.9083, 6.103516e-05, 442.5815, 154.0783, 0, 53.87981, 221.5205, 80.92603, 0, 717.7433, 292.8845, 213.8815, 118.8647, 567.5972, 337.6238, 0, 0, 220.4446, 0, 528.165
0.7, 0, 309.1885, 92.76486, 82.58588, 225.8509, 0, 177.3243, 137.2889, 64.54346, 1322.933, 164.1752, -1.525879e-05, 267.6364, 0, 3.051758e-05, 204.4591, 449.2371, 165.0205, 450.7473, 214.6365, 271.7491, 57.36578, 306.8699, 62.47711, 1123.006, 3.051758e-05, 6.103516e-05, 119.0021, 748.6059, 454.5963, 6.103516e-05, 593.5156, 147.3212, 0, 196.0938, 486.0051, 77.4502, 0, 726.8771, 345.4614, 204.8743, 213.0094, 540.5636, 321.5829, 0, 0, 211.1909, 0, 609.3481
0.8, 0, 354.9923, 88.30209, 160.7791, 226.2424, -7.629395e-06, 168.6403, 194.943, 60.9366, 1780.233, 230.903, -1.525879e-05, 255.6954, 0, 6.103516e-05, 194.9198, 466.8908, 158.0013, 430.1501, 266.4525, 318.3927, 54.48578, 446.9818, 59.92813, 1431.419, 0, 0, 113.9328, 808.4614, 537.2524, 6.103516e-05, 583.6616, 175.9906, 0, 187.437, 463.8309, 74.12366, 0, 858.174, 452.7789, 230.8593, 203.4633, 514.8176, 322.5601, 0, 0, 202.3258, 0, 796.7034
