 , C001, C002, C003, C004, C005, C007, C010, C011, C012, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C027, C028, C029, C031, C032, C033, C034, C035, C036, C037, C038, C039, C043, C045, C046, C047, C051, C052, C053, C054, C055, C056, C063, C064, C068, C070, C077, C082, C089, C092, C099, C106
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 58.04175, 0, 138.1853, 0, 100.432, 0, 67.21838, 210.7422, 0, 0, 124.3822, 0, 0, 44.91687, 26.36922, 67.11694, 74.44916, 0, 119.3401, 0, 51.34128, 0, 0, 0, 282.2798, 64.16553, 0, 0, 0, 0, 100.5542, 0, 53.47144, 0, 0, 37.7782, 0, 0, 0, 151.343, 0, 0, 326.4336, 151.5392, 0, 0, 86.40863, 0, 0, 168.6217, 0
0.2, 55.14297, 0, 214.1694, 0, 96.16455, 70.25903, 120.6621, 290.0542, 229.1433, 7.629395e-06, 118.9004, 71.50024, 0, 42.83386, 150.4552, 63.96997, 138.5176, 0, 414.5066, 0, 48.95428, 0, 36.79218, 0, 403.7778, 189.9836, 228.3906, 0, 96.42706, 0, 96.31421, 24.32478, 122.7256, 216.556, -3.051758e-05, 58.81738, 0, -0.0001220703, 0, 235.2964, 0, 0, 313.0547, 225.6469, 0, 1.525879e-05, 82.42432, 7.629395e-06, 1.525879e-05, 161.571, 0.0001220703
0.3, 52.38895, 6.103516e-05, 385.3069, 0, 153.2759, 140.0255, 164.8908, 392.2563, 372.5867, 7.629395e-06, 210.7701, 163.3342, 41.84302, 68.70068, 143.4181, 60.97058, 132.6754, 0, 415.3408, 0, 46.67825, 0, 35.05945, 0, 534.0542, 181.5674, 221.6377, 0, 209.7743, 0, 92.25302, 23.25963, 304.3423, 207.194, -3.051758e-05, 239.8831, 0, 48.10229, 0, 301.364, 0, 0, 300.2242, 318.6716, 0, 0, 209.7311, 0, 0, 154.8153, 0.0001220703
0.4, 49.77246, 0, 367.8887, 0, 146.7631, 183.1704, 157.3539, 624.9587, 355.7766, 7.629395e-06, 283.4529, 279.2988, 62.43445, 65.51468, 153.3239, 58.11194, 127.0795, 0, 487.6499, 0, 44.50806, 0, 63.70837, 0, 743.9561, 258.6091, 211.4675, 0, 200.9029, 0, 88.36307, 22.24112, 289.7627, 198.2368, 0, 228.9268, 0, 46.06836, 0, 467.5527, 0, 0, 287.9195, 415.6573, 0, 0, 200.0605, 0, 188.3828, 148.342, 0.0001220703
0.5, 47.28665, -6.103516e-05, 359.3308, 0, 140.527, 204.061, 150.1616, 597.5176, 339.725, 1.525879e-05, 331.5793, 317.0901, 79.18579, 152.8264, 302.1289, 55.38708, 121.7195, 0, 584.6724, 0, 42.43875, 0, 85.20905, 0, 853.395, 247.1526, 334.1381, 0, 192.4067, 0, 84.63715, 51.25264, 380.4812, 189.6667, -3.051758e-05, 268.7371, 0, 44.12036, 0, 628.9136, 0, 0, 276.1191, 395.926, -3.051758e-05, -1.525879e-05, 245.2928, -7.629395e-06, 180.3317, 142.1393, 0.0001220703
0.6, 74.74777, -6.103516e-05, 516.548, 0, 134.5559, 193.5193, 143.2979, 732.4644, 349.8969, 1.525879e-05, 412.8003, 436.5027, 133.2252, 145.739, 332.1204, 52.79016, 116.5858, 0, 703.0804, 0, 40.46564, 0, 139.8613, 0, 987.8706, 236.2034, 318.8059, 0, 184.2698, 68.42944, 81.06833, 95.0103, 453.6445, 181.4672, -3.051758e-05, 297.817, 0, 42.25464, 0, 742.7468, 0, 0, 264.8024, 377.1313, 0, -1.525879e-05, 290.4807, 0, 358.9093, 136.196, 0.0001220703
0.7, 97.25781, -6.103516e-05, 570.7592, -3.051758e-05, 179.8347, 255.799, 136.7479, 875.6316, 353.0298, 7.629395e-06, 524.899, 416.9746, 215.3113, 176.8408, 316.5863, 50.315, 111.6685, 0, 796.9866, 0, 91.30615, 0, 188.1765, 0, 1178.926, 286.1281, 420.2095, 0, 176.477, 140.5862, 77.64996, 90.84991, 561.6611, 173.6221, -3.051758e-05, 342.1462, 0, 40.4679, -3.814697e-06, 941.6982, 0, 0, 253.9494, 523.0004, 0, -1.525879e-05, 289.5861, -7.629395e-06, 343.5702, 130.5012, 6.103516e-05
0.8, 92.40042, -6.103516e-05, 674.55, -3.051758e-05, 213.8358, 242.5847, 206.4688, 837.1831, 468.2439, 7.629395e-06, 543.1942, 482.1111, 330.8378, 168.6398, 301.7789, 231.8978, 106.9586, 0, 760.4094, 0, 129.3289, 0, 179.3142, 0, 1274.691, 448.6616, 445.4011, 0, 169.0137, 134.8827, 74.37578, 119.401, 672.489, 166.1163, -3.051758e-05, 406.5745, 0, 38.75671, -3.814697e-06, 968.7812, 0, 0, 243.5412, 498.1736, 3.051758e-05, -1.525879e-05, 357.6489, -7.629395e-06, 328.8867, 125.0445, 0.0001220703
