 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C015, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C028, C029, C036, C037, C038, C040, C044, C046, C047, C048, C049, C050, C052, C053, C055, C057, C060, C061, C062, C063, C067, C068, C069, C070, C071, C072, C073, C075, C076, C079, C080, C083, C093, C095, C096, C097, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 73.74872, 0, 0, 0, 0, 22.97502, 0, 0, 0, 53.71503, 0, 0, 32.29462, 0, 0, 0, 160.2506, 141.9556, 0, 34.53964, 0, 21.13562, 48.44739, 17.3396, 0, 0, 111.1924, 0, 24.28513, 0, 0, 60.28198, 0, 0, 24.67285, 0, 113.8882, 31.2793, 0, 0, 0, 0, 88.09094, 0, 0, 55.65405, 0, 49.63232, 236.7431, 0, 0, 0, 0, 29.75189, 0, 0, 0, 159.1836, 0, 0, 118.2791
0.2, 41.59946, 70.27448, -1.525879e-05, 130.5382, 14.90829, 0, 54.41983, 0, 0, 0, 105.5201, 0, 6.103516e-05, 30.81677, -0.0001220703, 0, -6.103516e-05, 152.8876, 206.3197, 0, 42.03278, 63.09985, 80.80847, 46.29102, 33.83191, 91.10245, 0, 106.6744, 0, 23.16254, 0, 0, 57.73584, 0, 43.31598, 127.6804, 0, 142.3204, 84.48584, 132.5569, 0, 0, 91.49098, 84.21716, 0, 64.27539, 184.0292, -6.103516e-05, 79.18848, 227.0513, 0, 0.0001220703, 0, 6.103516e-05, 218.1693, 0, 19.87888, 36.25439, 213.7719, 103.8719, 42.27466, 113.246
0.3, 39.77435, 79.38785, -1.525879e-05, 124.0173, 108.0678, 0, 51.64491, 3.051758e-05, 31.73773, -1.525879e-05, 100.9545, -3.051758e-05, 0.0001220703, 29.40656, -0.0001220703, -6.103516e-05, -6.103516e-05, 179.8173, 303.2519, 0, 65.95975, 60.28101, 91.80908, 139.7268, 65.79077, 87.04044, 0, 102.34, -6.103516e-05, 22.09186, 0, 0, 193.8693, 118.2252, 87.85876, 122.1235, 0, 347.8711, 158.4897, 126.042, 147.0407, 0, 87.53465, 158.4204, -1.525879e-05, 61.12927, 303.0288, -6.103516e-05, 198.1264, 217.7563, 0, 81.37073, 0, 6.103516e-05, 208.4751, 0, 66.18405, 127.0403, 204.5431, 141.9741, 40.47076, 140.0034
0.4, 38.02933, 162.7308, -1.525879e-05, 117.8223, 125.1185, 6.103516e-05, 49.01149, 47.43164, 30.34039, -1.525879e-05, 96.5863, 0, 0.0001831055, 28.06085, -0.0001220703, -6.103516e-05, -6.103516e-05, 256.5049, 289.2038, 0, 62.9252, 57.58801, 140.2457, 133.5077, 114.2861, 83.15955, -7.629395e-06, 175.7261, 27.65863, 21.07065, 7.629395e-06, 0, 225.913, 326.5792, 83.59625, 116.8085, 0, 332.9236, 217.3204, 119.8472, 140.7921, 0, 83.74941, 151.4539, -1.525879e-05, 58.13733, 356.6034, -0.0001220703, 189.8889, 375.2865, 0, 77.75317, 0, 6.103516e-05, 244.7644, 3.051758e-05, 63.12521, 121.428, 195.7129, 197.6063, 216.9642, 267.5981
0.5, 36.36084, 155.0647, 13.50787, 111.9366, 119.0887, 6.103516e-05, 46.51235, 45.43744, 29.00458, 36.94653, 92.40723, 0, 0.0001220703, 26.77679, -0.0001831055, -6.103516e-05, 42.8808, 244.7191, 275.8065, 0, 98.23264, 55.01532, 251.4028, 127.5654, 109.5043, 157.2867, -7.629395e-06, 244.4603, 26.33124, 88.05676, 7.629395e-06, 0, 216.3707, 313.1576, 170.5591, 111.7247, 0, 318.6182, 282.1661, 113.9568, 134.809, -6.103516e-05, 80.12785, 227.7975, -3.051758e-05, 55.29175, 422.4329, -0.0001220703, 181.994, 460.7725, 0, 156.3069, 0, 6.103516e-05, 354.4659, 3.051758e-05, 86.08688, 222.4487, 388.4244, 265.3912, 207.7067, 325.9075
0.6, 34.76559, 177.7852, 42.80054, 106.345, 361.7661, 3.051758e-05, 132.9303, 43.52707, 27.7276, 73.51981, 140.7145, 0, 0.0001831055, 82.26257, -0.0001831055, 0, 52.45184, 292.1454, 423.6193, 0, 93.71329, 110.6585, 273.5231, 152.723, 104.9226, 150.2737, -7.629395e-06, 282.3998, 25.06763, 83.98633, 0, 0, 207.2316, 300.2874, 162.2843, 106.8622, 0, 416.9031, 358.1666, 108.3561, 129.0801, -3.051758e-05, 145.0504, 248.9329, -1.525879e-05, 137.3953, 523.5367, -0.0001220703, 246.416, 441.9093, 0, 203.8477, 192.0493, 9.155273e-05, 456.6595, 3.051758e-05, 189.2654, 263.5756, 601.4786, 289.6617, 280.9395, 361.9601
0.7, 33.2403, 191.8893, 75.60593, 217.2852, 344.3314, 3.051758e-05, 126.152, 76.39944, 141.4924, 70.14072, 134.6261, 0, 0.0001831055, 78.49811, -0.0001831055, 0, 49.88196, 344.2078, 494.5456, 0, 204.2646, 105.715, 261.3019, 145.9254, 236.0903, 143.5735, -7.629395e-06, 417.6384, 46.59546, 80.10403, 7.629395e-06, 0, 198.4784, 510.377, 206.3699, 102.2113, 0, 541.1629, 419.8481, 148.8702, 123.5948, -3.051758e-05, 138.778, 378.9225, -1.525879e-05, 229.7891, 606.6069, 136.8946, 319.6267, 640.324, 0, 295.4712, 387.1224, 9.155273e-05, 466.0049, 3.051758e-05, 180.5182, 366.4963, 720.3176, 388.9316, 337.251, 502.7195
0.8, 31.78195, 213.6184, 97.96329, 282.0878, 327.7369, 3.051758e-05, 119.7194, 108.0398, 135.2631, 102.2702, 204.0027, 0, 173.3702, 176.682, -0.0001220703, 0, 139.0206, 384.7244, 562.6011, -3.051758e-05, 209.8299, 141.9142, 314.3451, 139.4304, 305.1044, 190.6397, -7.629395e-06, 454.4583, 58.41528, 76.4012, 7.629395e-06, 0, 242.6698, 595.7704, 196.3577, 97.763, 0, 623.0353, 495.0924, 274.2911, 118.3426, -6.103516e-05, 132.7769, 392.955, 0, 373.0775, 738.2084, 130.8824, 414.8112, 689.3297, 0, 282.3353, 588.8849, 9.155273e-05, 671.5872, 3.051758e-05, 172.1753, 350.3056, 899.7095, 372.8684, 322.8611, 600.1079
