 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C014, C015, C016, C020, C021, C024, C025, C026, C027, C028, C029, C034, C035, C036, C038, C040, C042, C044, C045, C047, C048, C049, C054, C057, C059, C060, C062, C067, C079, C080, C082, C083, C088, C091, C093, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 13.06171, 102.5558, 0, 68.53955, 0, 0, 96.83136, 0, 0, 68.94733, 0, 0, 44.50519, 74.62427, 0, 0, 0, 31.67142, 0, 0, 0, 172.4568, 109.3081, 0, 0, 0, 141.2049, 132.0175, 0, 0, 161.5669, 319.8482, 93.5293, 0, 79.64868, 101.6188, 134.1862, 0, 0, 0, 0, 0, 0, 0, 0
0.2, -6.103516e-05, 84.63867, 26.08423, 136.9284, 0, 427.192, 0, 0, 92.67429, 0, 0, 65.93375, 2.980232e-08, -1.525879e-05, 42.05707, 71.4245, 107.9345, 53.21497, 103.8343, 66.39548, 0, 0, 55.32257, 165.2682, 148.156, 0, 0, 0, 135.4317, 125.849, 0, 63.56288, 173.4041, 587.8157, 173.493, 0, 182.5752, 97.36841, 174.9823, 0, 0, 0, 0, 102.4496, 0, 0, 0
0.3, 0, 80.98157, 174.2818, 202.6445, 36.51385, 1017.682, -0.0001220703, 54.26028, 88.69574, 0, 0, 63.05188, 0, -1.525879e-05, 39.74362, 68.36182, 103.1438, 142.4926, 123.6515, 129.7336, 101.2455, 0, 72.26965, 158.3793, 318.1224, 0, 7.629395e-06, 0, 129.8945, 195.5632, 242.9205, 71.57948, 354.3831, 918.2269, 232.1799, 0, 174.1206, 141.91, 216.3005, 0, 0, 0, 0, 98.18042, 0, 0, 0
0.4, 117.22, 125.8684, 166.3807, 296.1355, 48.86334, 1244.01, 0, 81.07529, 84.88797, 0, 0, 179.1108, 0, -1.525879e-05, 37.55743, 65.43054, 98.56573, 136.4388, 118.0997, 224.3349, 96.88184, 0, 76.88507, 151.7775, 302.488, 0, 1.525879e-05, 0, 124.5838, 255.7798, 231.2081, 229.8431, 405.6487, 1395.239, 402.5358, 0, 246.3684, 135.9743, 390.3362, 0, 0, 0, 0, 94.08923, 0, 0, 0
0.5, 111.4391, 136.0723, 158.8378, 415.508, 90.22263, 1282.665, 0, 85.35297, 112.0911, 0, 0, 171.2821, 2.980232e-08, -1.525879e-05, 35.49149, 152.9459, 201.8671, 130.6423, 112.7972, 214.8642, 167.6379, 0, 92.47968, 145.4509, 287.6222, 0, 7.629395e-06, 0, 119.4902, 270.2247, 272.213, 260.4946, 547.978, 1561.159, 386.124, 0, 288.7086, 130.2869, 371.7992, 0, 0, 6.103516e-05, -3.051758e-05, 90.16833, 0, 0, 0
0.6, 105.9434, 211.5374, 182.7457, 487.0807, 136.7529, 1348.871, 0, 139.1215, 107.279, 0, 3.814697e-06, 163.7956, 0, -1.525879e-05, 33.53918, 146.3876, 234.6881, 125.092, 165.571, 205.7934, 160.4127, 0, 88.59119, 139.388, 340.9427, 0, 7.629395e-06, 0, 114.6049, 257.5988, 259.0884, 283.185, 623.0564, 1882.585, 460.5214, 0, 356.896, 243.2589, 460.2939, 0, 0, 0, -3.051758e-05, 86.41101, 0, 0, 0
0.7, 161.0195, 202.3972, 174.4608, 465.5089, 129.6832, 1289.393, 0, 151.956, 102.6734, -3.051758e-05, 3.814697e-06, 156.6363, 0, -1.525879e-05, 133.3901, 140.1107, 288.8115, 119.7776, 191.4356, 214.0389, 153.499, 0, 84.8663, 133.5778, 385.422, 3.051758e-05, 7.629395e-06, 0, 109.9192, 287.771, 275.8675, 360.1163, 754.161, 2324.899, 441.7456, -6.103516e-05, 340.369, 233.0841, 515.5481, 0, 0, 0, 0, 133.7955, 0, -6.103516e-05, 0
0.8, 236.2067, 227.708, 166.5516, 501.2524, 122.979, 1243.905, 6.103516e-05, 193.9564, 98.26562, -3.051758e-05, 0, 149.7899, 2.980232e-08, -1.525879e-05, 126.0527, 165.8882, 398.4421, 114.689, 238.1154, 225.8085, 146.8832, 11.73337, 81.29797, 128.0099, 422.1375, 3.051758e-05, 0, 0, 181.6515, 274.3251, 318.1821, 344.0288, 867.8326, 2556.06, 505.1274, -6.103516e-05, 324.6075, 255.9849, 639.0734, 0, 0, 0, 0, 182.3904, 0, -6.103516e-05, 0
0.9, 224.5578, 313.8685, 206.323, 531.9638, 116.6214, 1234.631, 6.103516e-05, 196.9889, 94.047, -3.051758e-05, 0, 143.2428, 0, -1.525879e-05, 231.2478, 158.775, 454.8273, 109.8165, 265.5647, 216.2756, 167.2863, 11.23763, 108.6549, 122.674, 462.1675, 3.051758e-05, 0, 0, 174.2247, 261.5075, 302.841, 421.7588, 901.5715, 2670.455, 525.5386, -6.103516e-05, 360.0306, 305.5099, 660.6403, 0, 162.7744, 0, -3.051758e-05, 174.79, 0, 110.3234, 0
1, 213.4835, 348.3398, 196.9693, 553.3853, 110.5925, 1301.364, 6.103516e-05, 214.3385, 110.0051, -3.051758e-05, 0, 136.9819, 0, -2.288818e-05, 266.1627, 173.3416, 486.9509, 105.151, 253.6412, 225.8582, 160.0764, 26.46567, 127.475, 117.5605, 455.6711, 0, 0, 0, 167.1015, 399.9646, 350.1761, 402.9175, 978.6921, 2998.312, 659.5983, -6.103516e-05, 343.3586, 312.4056, 655.1873, 0, 155.8198, 0, -3.051758e-05, 167.5063, 0, 105.7918, 32.20721
1.1, 202.9553, 333.2888, 188.0396, 617.1044, 104.8752, 1265.641, 0, 215.313, 135.4376, -4.577637e-05, -3.814697e-06, 130.9946, 0, -1.525879e-05, 251.5217, 165.9089, 613.7089, 248.329, 285.9944, 388.0083, 183.2505, 79.68665, 122.1152, 112.6602, 433.2769, 3.051758e-05, -7.629395e-06, 0, 263.6861, 381.2766, 370.8085, 455.0609, 1049.261, 3238.102, 632.706, -6.103516e-05, 327.4586, 442.0111, 679.3083, 0, 209.7628, -6.103516e-05, -6.103516e-05, 239.5388, 0, 182.531, 181.3061
1.2, 192.9463, 359.4198, 179.5148, 692.6995, 154.9071, 1329.974, 0, 265.7935, 129.6232, -3.051758e-05, -1.907349e-06, 221.088, 1.490116e-08, -1.525879e-05, 237.6861, 158.7948, 670.0562, 237.7789, 334.8463, 371.6279, 243.6009, 76.31988, 178.2805, 107.9641, 535.931, 0, -7.629395e-06, 0, 252.9053, 406.7999, 352.93, 571.7454, 1058.416, 3370.702, 678.3806, -6.103516e-05, 412.0375, 457.3207, 702.9236, 0, 342.0455, -6.103516e-05, -6.103516e-05, 229.557, 0, 175.0334, 224.6513
1.3, 299.5529, 343.8899, 171.3765, 662.0212, 251.4925, 1311.24, 0, 252.7317, 124.0584, -3.051758e-05, -1.907349e-06, 211.4245, 1.490116e-08, -1.525879e-05, 279.6233, 193.5925, 728.8082, 227.6771, 319.8121, 416.2123, 233.1018, 73.09534, 170.7845, 103.4638, 557.1202, 0, -7.629395e-06, 0, 290.5576, 460.1777, 376.2074, 546.2038, 1125.277, 3618.054, 786.1337, -6.103516e-05, 431.6722, 438.1923, 778.8258, 0, 327.4315, -6.103516e-05, -6.103516e-05, 219.9911, 0, 253.1578, 396.5187
1.4, 284.7801, 329.0311, 163.6071, 807.2441, 238.4912, 1306.678, 0, 240.3117, 118.7325, -4.577637e-05, -1.907349e-06, 261.84, 1.490116e-08, -7.629395e-06, 264.2419, 185.2914, 733.1163, 218.0043, 305.453, 440.9845, 255.378, 85.90519, 163.6036, 99.15109, 529.7401, 0, -7.629395e-06, 0, 288.9519, 438.6763, 358.0687, 689.5688, 1108.634, 3681.072, 799.4738, 0, 411.6826, 448.0704, 825.6578, 0, 340.4326, 0, -4.577637e-05, 336.0897, 0, 242.7591, 436.2082
1.5, 270.7358, 314.8143, 156.19, 881.9041, 226.162, 1282.076, 0, 228.5022, 152.5859, -4.577637e-05, -1.907349e-06, 250.3953, 1.490116e-08, -1.525879e-05, 249.7066, 196.9296, 768.9875, 208.7426, 291.7386, 422.3676, 244.3713, 82.27567, 222.861, 95.01816, 503.7057, -1.525879e-05, -3.814697e-06, 0, 343.1344, 551.4116, 444.8354, 658.7637, 1303.431, 3883.758, 839.1773, 0, 392.6186, 461.4038, 1053.437, 0, 370.5494, 0, -4.577637e-05, 322.0844, 0, 232.7875, 575.2594
1.6, 257.3842, 301.2118, 234.4665, 842.8464, 214.4702, 1992.548, 0, 217.2729, 167.0435, -4.577637e-05, -1.907349e-06, 239.4509, 1.490116e-08, -1.525879e-05, 285.6998, 245.8571, 778.6985, 199.8744, 278.6399, 404.5367, 233.8391, 78.79951, 213.4905, 91.05746, 532.9131, -1.525879e-05, -3.814697e-06, 0, 409.8036, 525.6475, 504.8953, 629.3348, 1250.251, 4045.622, 922.245, 0, 440.4366, 442.1046, 1077.231, 0, 441.413, 0, -3.051758e-05, 308.6628, 0, 314.4055, 652.5001
1.7, 244.6909, 288.197, 311.2074, 915.7798, 203.3828, 2190.704, -6.103516e-05, 206.5955, 180.9062, -3.051758e-05, 0, 228.9848, 1.490116e-08, -1.525879e-05, 269.9841, 235.3149, 744.1354, 286.1532, 364.1956, 387.4586, 261.5782, 75.47021, 204.5141, 87.26187, 604.967, -1.525879e-05, -3.814697e-06, 0, 393.0488, 554.9686, 496.7404, 601.2205, 1281.96, 4169.836, 964.3096, 3.051758e-05, 580.4214, 458.9188, 1257.273, 0, 422.5535, -6.103516e-05, -4.577637e-05, 376.9243, 0, 332.2509, 771.3085
1.8, 346.1832, 313.2606, 297.0988, 970.665, 192.8686, 2164.51, 0, 243.3088, 209.836, -3.051758e-05, 0, 218.9762, 2.980232e-08, -1.525879e-05, 255.1329, 283.9084, 810.8612, 273.9962, 347.8437, 371.1014, 324.47, 84.56911, 195.915, 83.62448, 575.2356, -1.525879e-05, -3.814697e-06, 0, 450.8209, 555.6496, 472.7902, 574.3621, 1371.779, 4317.939, 924.9941, 3.051758e-05, 553.5437, 439.7235, 1482.884, 0, 489.9452, -6.103516e-05, -4.577637e-05, 406.5305, 0, 318.6033, 834.0931
