figure 2A,figure 2B,figure 2C
0.975326,0.492134,4.624042
4.787994,5.452477,3.77231
3.957364,2.872216,6.622922
1.178865,0.580434,3.744928
3.761072,0.31776,2.812597
1.157787,5.056916,6.278881
0.952682,4.893376,3.731274
3.660843,2.838279,2.346986
1.18567,0.323589,3.77231
5.299797,0.553486,5.137456
0.934709,4.472764,3.502899
4.241721,2.654063,2.1562
3.660843,1.367008,4.932037
2.526191,0.337091,3.205194
0.979856,3.4694,1.677361
1.157787,0.552594,3.307273
1.148037,0.434741,6.314151
0.794381,4.812285,3.896738
0.998113,4.492504,3.191131
0.89911,3.272071,5.710933
0.863978,0.439857,4.369912
0.697069,0.315029,3.104687
0.729031,4.512274,3.622922
0.918972,4.180184,6.314151
