 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C029, C030, C033, C040, C047, C074, C081, C083, C093, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 80.43591, 9.459, 125.5318, 85.87433, 0, 323.2637, 68.30237, 37.48343, 344.2065, 0, 83.75882, 101.8672, 8.514465, 60.61069, 36.40991, 0, 153.2017, 0, 0, 0, 0, 0, 142.5161, 0, 0, 0, 0, 0, 0, 104.416, 88.92578, 31.28162, 26.74365, 0, 144.7891, 177.6902, 0, 82.88354
0.2, 109.3052, 145.3464, 120.1818, 82.07794, 184.0454, 396.0801, 64.88257, 120.4405, 363.6142, 187.6211, 79.1954, 97.0166, 7.993214, 57.61285, 220.75, 10.68579, 146.1062, 109.6859, 90.69884, 59.09045, 94.30646, 0, 133.748, -6.103516e-05, 0, 0, 0, 0, 0, 121.8947, 85.2876, 103.0709, 96.05811, 0, 223.5156, 398.2231, 287.8043, 186.9426
0.3, 104.3643, 136.3045, 115.0599, 274.5869, 388.533, 572.9048, 267.0686, 114.8504, 428.0145, 177.9913, 74.8806, 92.39697, 7.503872, 54.76331, 341.0581, 267.1915, 325.0959, 224.2547, 86.09618, 104.7317, 155.2266, 68.66705, 156.8425, 17.75476, 6.103516e-05, 0, 0, 0, 0, 116.4834, 81.79834, 98.77844, 316.2081, 0, 361.436, 379.1888, 602.4885, 268.5387
0.4, 99.64667, 127.8251, 110.1562, 262.4476, 500.6968, 710.0405, 253.6972, 109.5197, 401.266, 358.1185, 70.80089, 238.3345, 7.044491, 113.5377, 361.8353, 303.6249, 474.0388, 214.856, 81.72707, 318.927, 197.0122, 64.4845, 187.9905, 16.70578, 3.051758e-05, 0, 0, 0, 31.53027, 186.7639, 270.1022, 94.66479, 300.9353, 0, 344.114, 461.2988, 702.4193, 353.2037
0.5, 95.14236, 119.8733, 128.6171, 370.2933, 561.8364, 865.4092, 240.9954, 104.4365, 376.1891, 370.0203, 66.94345, 343.0579, 6.613228, 232.1525, 555.4407, 288.4852, 595.3635, 205.8511, 77.57968, 300.3838, 298.3023, 60.55673, 195.5911, 181.7362, 3.051758e-05, 0, 0, 0, 81.22266, 361.4067, 350.2917, 90.72247, 532.8413, 0, 593.5815, 702.4495, 716.3054, 379.6638
0.6, 223.0794, 112.4161, 123.1357, 353.9229, 606.3857, 1143.91, 228.9293, 159.6764, 352.6794, 349.4613, 63.29617, 326.7227, 6.20837, 220.6702, 677.2981, 326.2218, 567.7893, 197.2236, 73.64276, 407.0028, 276.8772, 56.86826, 298.8358, 170.9991, 6.103516e-05, 0, 0, 0, 216.7129, 345.3628, 335.9602, 167.4922, 588.2389, 0, 573.3748, 680.6611, 701.7751, 476.6764
0.7, 212.9956, 150.2851, 117.8878, 350.0179, 804.1584, 1270.36, 392.5261, 156.6821, 330.6388, 413.1791, 59.84761, 333.9839, 5.828297, 209.7557, 642.6886, 534.3022, 578.7456, 188.9578, 69.90564, 383.3389, 256.9909, 53.40439, 280.4503, 160.8964, 6.103516e-05, 0, 0, 0, 266.2429, 330.0312, 322.2151, 265.5781, 559.8268, 0, 685.1226, 921.1622, 769.542, 672.3724
0.8, 203.3676, 146.5964, 112.8636, 334.5439, 932.356, 1426.878, 433.229, 149.4099, 309.9758, 464.788, 56.58693, 375.8663, 5.471493, 199.3811, 853.2253, 507.6604, 842.0281, 181.0383, 66.35814, 361.0507, 238.5329, 94.39581, 301.5046, 229.3799, 3.051758e-05, 0, 0, 0, 255.3303, 452.6166, 399.3115, 254.518, 733.4456, 0, 773.6177, 935.8624, 794.7968, 645.012
0.9, 209.8995, 137.4768, 108.0535, 319.754, 970.824, 1643.89, 411.5384, 142.4752, 441.2071, 438.9634, 53.50391, 396.1395, 5.13653, 189.5197, 846.6443, 482.3472, 803.3927, 173.4508, 62.99068, 340.0585, 221.4006, 88.64615, 466.3312, 374.3542, 126.7465, 0, 1.525879e-05, 0, 336.1066, 473.5287, 471.0978, 243.9186, 758.6017, 0, 821.6592, 891.1299, 772.4362, 807.5341
