 , C000, C001, C002, C003, C005, C006, C007, C008, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C023, C025, C028, C029, C030, C031, C033, C039, C045, C046, C051, C054, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 1061.372, 238.0176, 609.6254, 0, 1168.568, 100.3657, 209.4548, 381.1716, 427.7285, 92.57666, 0, 506.1116, 119.2524, 117.3843, 180.0634, 139.4062, 336.5239, 778.1729, 161.0679, 0, 0, 0, 727.9199, 161.1768, 8.632996, 179.0098, 0, 389, 571.416, 253.4047, 0, 112.1685
0.2, 32.52448, 1774.208, 227.0505, 749.4613, -0.0001220703, 1722.369, 95.59656, 198.5442, 359.7645, 402.9783, 181.9536, 177.7391, 794.3745, 488.3794, 620.3774, 500.3607, 523.4741, 381.8069, 1023.65, 280.6628, 0, 0, 90.78687, 776.4536, 251.8838, 215.0205, 268.2463, -3.051758e-05, 800.8857, 727.448, 240.6237, 156.2714, 106.6888
0.3, 30.92545, 2033.264, 513.8564, 716.4312, 94.31702, 2608.439, 365.922, 585.4231, 423.6415, 696.8503, 414.0693, 673.3306, 900.7197, 598.0295, 808.9771, 476.3514, 891.345, 598.2217, 1294.664, 730.6531, 0, 0, 306.8418, 1005.172, 524.594, 219.4388, 293.9487, -3.051758e-05, 1084.064, 1119.099, 228.4873, 238.1251, 101.4769
0.4, 66.526, 2475.555, 680.4109, 815.7452, 89.37744, 2854.08, 377.4073, 550.1787, 497.551, 698.0754, 687.668, 1398.384, 1123.192, 781.0642, 800.8032, 664.2234, 1081.233, 570.603, 1279.171, 1059.712, 0, 0, 598.6523, 1225.986, 551.7434, 208.354, 493.6245, -3.051758e-05, 1111.287, 1304.542, 216.963, 493.7288, 96.51953
0.5, 63.25534, 2695.443, 728.5955, 923.5712, 154.2998, 3032.466, 462.5586, 588.0889, 617.5633, 657.6819, 736.217, 1346.852, 1134.766, 1004.055, 761.834, 661.5306, 1018.081, 560.5421, 1265.382, 1128.268, 0, 0, 582.7094, 1165.831, 649.5271, 197.829, 470.0769, 0, 1407.347, 1233.922, 206.02, 471.2323, 91.80444
0.6, 60.14545, 2687.252, 756.8577, 882.8677, 193.7761, 3205.555, 606.6385, 707.8564, 670.9557, 637.6687, 1050.556, 1342.941, 1252.922, 960.6702, 951.147, 624.8878, 1180.187, 534.6632, 1203.381, 1127.104, 0, 0, 578.958, 1176.998, 722.4834, 284.8206, 487.6426, 101.7079, 1338.701, 1224.283, 195.6289, 647.4274, 87.31958
0.7, 57.18849, 2786.831, 942.0244, 870.9906, 291.4746, 3240.572, 577.8115, 893.798, 633.2738, 780.1956, 1039.222, 1264.002, 1187.755, 919.1599, 1035.161, 669.358, 1111.255, 509.9791, 1190.123, 1434.382, 0, 0, 550.8558, 1163.377, 791.1516, 270.4329, 551.0818, 96.20352, 1307.829, 1415.125, 185.762, 617.9277, 83.05383
0.8, 138.1185, 3187.021, 1004.772, 838.8817, 602.9407, 3328.164, 550.3542, 839.9886, 597.7082, 906.106, 1167.328, 1189.702, 1378.62, 1051.137, 984.7871, 673.9102, 1046.35, 663.8813, 1131.81, 1386.757, 0, 0, 709.9886, 1360.685, 753.3607, 256.7721, 561.0916, 90.99704, 1306.31, 1338.519, 361.4467, 589.7723, 78.99652
0.9, 144.9029, 3139.067, 958.4763, 1057.125, 571.3634, 3347.835, 524.2018, 797.0317, 564.14, 910.1647, 1112.833, 1119.771, 1415.062, 1232.515, 1016.886, 708.7808, 1019.631, 705.1023, 1076.354, 1500.055, 0, 0, 675.5264, 1293.921, 717.3749, 427.5504, 666.7217, 86.0723, 1283.524, 1266.059, 343.2163, 721.8405, 75.13739
1, 232.0491, 3372.752, 914.314, 1113.084, 541.4399, 3351.318, 533.2374, 802.4823, 532.457, 857.4988, 1352.702, 1073.991, 1341.462, 1386.364, 1305.575, 836.5891, 960.0768, 672.5492, 1023.616, 1717.526, 0, 0, 711.5829, 1509.275, 755.4829, 405.9528, 729.1248, 81.41409, 1448.11, 1197.522, 325.9054, 800.3811, 71.4668
1.1, 220.6407, 3516.785, 1149.217, 1118.668, 711.2858, 3512.314, 507.8984, 922.2643, 502.5535, 924.1647, 1348.271, 1031.612, 1356.855, 1401.725, 1323.436, 790.2495, 1091.813, 641.4993, 1106.167, 1771.859, 0, 0, 677.0431, 1435.221, 729.0575, 498.4285, 866.9048, 77.00801, 1639.222, 1239.06, 309.4677, 763.9122, 67.97546
1.2, 250.3913, 3339.235, 1127.199, 1069.366, 772.4128, 3487.608, 624.8514, 1020.464, 474.3293, 1097.045, 1359.923, 1000.595, 1640.578, 1487.201, 1259.033, 746.4767, 1028.043, 795.4755, 1131.718, 1705.285, 0, 0, 686.1351, 1364.8, 781.3534, 473.2505, 832.7115, 72.84035, 1588.351, 1197.684, 564.5305, 789.8096, 64.65472
1.3, 284.8885, 3412.333, 1260.102, 1302.663, 771.5984, 3636.813, 595.1589, 1075.797, 470.1859, 1033.566, 1422.797, 941.7786, 1584.478, 1535.819, 1305.053, 844.4959, 967.9978, 785.6805, 1076.267, 1795.352, 0, 0, 743.9275, 1386.612, 744.0306, 449.3443, 823.3495, 68.89827, 1698.661, 1258.472, 536.0571, 885.9243, 61.49625
1.4, 439.5233, 3481.879, 1202.042, 1278.615, 988.0276, 3611.762, 633.4481, 1045.882, 443.7795, 1110.891, 1666.017, 966.124, 1510.729, 1515.072, 1474.979, 847.8898, 911.4596, 928.0925, 1023.533, 1952.713, 0, 0, 798.5261, 1362.039, 835.2601, 426.6458, 920.3706, 251.4066, 1841.708, 1268.318, 553.4527, 940.5917, 175.9574
1.5, 417.9147, 3621.933, 1146.657, 1222.264, 936.2824, 3763.691, 680.5331, 1017.302, 515.9996, 1302.416, 1731.598, 961.9975, 1468.733, 1788.839, 1567.488, 854.8481, 1123.471, 1034.665, 973.3823, 1981.179, 0, 0, 876.7329, 1370.878, 795.3623, 405.0938, 951.2311, 237.8006, 1889.559, 1326.514, 651.1132, 897.7343, 204.8084
1.6, 426.6187, 3728.702, 1207.986, 1248.931, 1134.636, 3870.821, 648.1946, 1375.179, 487.0203, 1227.052, 1713.495, 905.4503, 1601.658, 1807.459, 1549.31, 975.1356, 1057.852, 998.8315, 1194.921, 1963.389, 0, 0, 844.4844, 1484.927, 839.2225, 384.6306, 905.854, 224.9309, 1958.455, 1254.705, 618.2729, 995.9446, 194.8031
1.7, 405.6444, 3869.987, 1481.585, 1292.992, 1075.213, 3934.799, 783.3745, 1292.389, 521.9259, 1264.032, 1708.42, 852.227, 1714.335, 1766.548, 1620.05, 921.1217, 1104.667, 1157.892, 1136.373, 1936.039, 0, 0, 930.4662, 1441.758, 916.0182, 365.2011, 862.6416, 212.7577, 2026.941, 1218.646, 587.089, 1096.455, 185.2866
1.8, 385.7014, 3840.017, 1440.972, 1236.007, 1199.286, 3895.465, 746.1491, 1243.073, 521.8387, 1270.495, 1920.995, 802.1322, 1711.048, 1872.741, 1755.74, 925.1102, 1040.146, 1152.378, 1080.694, 2006.811, 0, 0, 950.9632, 1604.797, 886.9935, 346.753, 831.2306, 201.2433, 1987.577, 1208.248, 832.5758, 1222.449, 237.3225
1.9, 410.5419, 3997.72, 1505.476, 1246.288, 1295.098, 3953.894, 814.407, 1168.237, 492.5315, 1282.905, 2056.307, 754.9821, 1717.04, 1980.449, 1670.301, 945.8033, 1001.863, 1325.619, 1027.743, 2049.541, 0, 0, 904.8042, 1604.542, 997.8826, 329.2368, 872.5973, 287.0327, 2000.325, 1402.474, 858.5731, 1166.749, 225.7289
2, 477.2267, 4068.255, 1539.958, 1283.691, 1358.221, 4008.151, 959.9819, 1097.906, 537.3164, 1367.429, 1960.312, 725.0442, 1643.631, 1894.875, 1764.453, 961.8368, 1044.791, 1264.418, 977.386, 2122.602, 0, 0, 922.6623, 1599.258, 1037.136, 312.6054, 907.314, 418.9872, 2348.777, 1388.894, 872.4593, 1113.587, 571.9321
2.1, 453.7644, 4210.877, 1581.103, 1227.116, 1452.432, 3988.75, 914.3643, 1304.457, 551.9139, 1288.304, 1924.631, 766.9944, 1715.93, 1812.998, 1772.487, 908.5596, 1081.631, 1206.043, 929.4966, 2049.365, 0, 0, 945.6105, 1737.805, 1038.971, 296.8142, 1033.199, 396.3118, 2234.211, 1313.708, 828.4549, 1108.955, 960.4935
2.2, 431.4556, 4133.188, 1544.642, 1287.822, 1464.574, 3951.512, 881.4421, 1268.043, 547.6354, 1379.643, 1992.062, 721.9097, 1717.633, 1910.835, 1686.233, 858.2336, 1018.456, 1199.687, 901.554, 2137.835, 0, 0, 993.7368, 1792.27, 1087.635, 281.8207, 983.9121, 374.8635, 2219.99, 1287.807, 786.6699, 1277.603, 1070.862
2.3, 410.2436, 4138.071, 1532.432, 1315.268, 1387.871, 3887.898, 896.2961, 1219.032, 516.8794, 1377.39, 1950.053, 748.478, 1866.758, 1845.021, 1604.175, 1040.801, 958.9708, 1144.3, 1062.286, 2144.051, 0, 0, 945.5015, 1764.48, 1035.682, 267.5846, 1015.169, 354.576, 2111.707, 1313.117, 746.9924, 1219.39, 1091.855
2.4, 390.0744, 4319.643, 1573.163, 1257.302, 1315.185, 3938.595, 925.777, 1216.558, 604.3318, 1423.421, 2192.818, 704.4817, 1832.717, 1851.127, 1526.111, 1000.426, 902.9598, 1179.517, 1010.237, 2171.74, 0, 0, 935.5963, 1713.345, 1094.126, 254.0676, 986.8474, 335.3864, 2031.114, 1242.032, 709.3162, 1258.629, 1038.516
2.5, 370.8968, 4124.516, 1558.202, 1418.041, 1479.293, 3980.186, 1010.646, 1254.6, 599.4048, 1391.785, 2207.032, 739.5919, 1847.69, 1771.141, 1531.652, 958.9323, 850.2203, 1188.288, 1015.559, 2182.857, 0, 0, 980.9318, 1629.278, 1074.621, 303.6868, 939.7713, 317.2354, 1989.131, 1251.077, 778.3498, 1334.198, 1040.79
2.6, 352.6621, 4130.123, 1497.244, 1431.049, 1645.396, 3993.81, 1022.992, 1179.069, 565.7413, 1369.062, 2240.587, 856.3001, 1852.726, 1893.213, 1457.117, 905.816, 800.5612, 1275.872, 1073.045, 2276.704, 0, 0, 933.318, 1684.034, 1240.723, 288.3461, 975.2773, 300.0667, 2095.721, 1281.059, 739.092, 1411.173, 989.9453
2.7, 335.3239, 4292.253, 1627.967, 1460.595, 1559.223, 4039.533, 1156.763, 1311.334, 533.9684, 1483.22, 2247.489, 897.9377, 1839.101, 1918.766, 1420.439, 865.036, 954.2932, 1269.941, 1100.61, 2161.15, 0, 0, 956.3881, 1640.529, 1235.996, 273.7803, 972.496, 388.4528, 2105.132, 1372.563, 814.0779, 1346.873, 1010.857
2.8, 460.176, 4315.871, 1623.663, 1396.224, 1849.15, 3890.324, 1101.794, 1312.988, 579.1975, 1503.738, 2259.855, 845.156, 1743.445, 1835.857, 1765.706, 998.2037, 940.0315, 1263.999, 1081.679, 2197.719, 0, 0, 909.9657, 1631.316, 1545.811, 307.7182, 1208.707, 464.1552, 2116.243, 1298.26, 819.6667, 1335.215, 1016.583
2.9, 455.6326, 4203.685, 1578.414, 1334.69, 1806.411, 4024.918, 1073.334, 1291.281, 546.6689, 1433.394, 2386.721, 795.4769, 1799.341, 1979.806, 1768.237, 989.4038, 998.663, 1276.722, 1028.68, 2214.548, 0, 0, 989.8282, 1623.974, 1791.78, 292.1739, 1367.3, 439.0352, 2108.279, 1409.371, 778.3251, 1274.377, 966.9214
3, 433.2319, 4319.402, 1606.179, 1397.953, 1711.805, 3901.781, 1022.33, 1365.128, 515.9672, 1443.298, 2275.301, 748.7179, 1783.122, 1999.948, 1862.553, 934.5997, 940.3337, 1217.779, 978.2771, 2257.775, 0, 0, 941.7827, 1639.216, 1706.192, 277.4148, 1310.147, 415.2747, 2067.863, 1404.569, 934.6329, 1216.311, 1014.078
3.1, 567.3737, 4467.569, 1580.656, 1395.618, 1788.301, 3954.081, 986.1663, 1282.943, 523.9742, 1359.783, 2317.708, 704.7075, 1780.148, 1913.531, 1800.831, 882.8312, 885.4113, 1176.647, 930.3441, 2226.624, 0, 0, 896.0692, 1558.785, 1624.692, 263.4012, 1344.941, 532.1259, 2044.588, 1328.533, 928.4984, 1320.29, 964.5378
3.2, 539.4794, 4299.27, 1520.681, 1345.001, 1875.755, 3978.299, 994.1004, 1304.714, 494.547, 1386.582, 2254.859, 663.2841, 1913.76, 1952.477, 1713.197, 833.9302, 909.552, 1344.728, 884.7596, 2163.365, 45.21417, 0, 987.6084, 1633.85, 1680.032, 250.0956, 1289.553, 503.3274, 2040.17, 1256.615, 881.6676, 1260.132, 917.4182
3.3, 512.9565, 4287.247, 1644.66, 1370.198, 1894.303, 3995.236, 946.8615, 1226.166, 476.9631, 1378.198, 2288.874, 634.5165, 1845.534, 2005.238, 1718.358, 787.7379, 856.4275, 1467.517, 841.4087, 2240.7, 43.35865, 0, 959.759, 1553.683, 1648.608, 237.462, 1304.796, 476.0874, 2028.31, 1188.589, 837.1987, 1334.856, 872.6005
