 , C000, C001, C002, C003, C004, C005, C006, C007, C011, C013, C016, C017, C018, C021, C022, C025, C029, C031, C033, C035, C037, C039, C040, C041, C042, C043, C044, C046, C047, C050, C054, C055, C058, C059, C062, C068, C071, C075, C076, C080, C081, C088, C094, C096, C103, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 20.28735, 65.62242, 0, 165.3948, 0, 0, 0, 411.3524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.559, 0, 28.07073, 0, 0, 0, 0, 320.0628, 0, 131.2964, 0, 0, 224.1439, 0, 0, 89.70361, 0, 0, 7.956299, 0, 0, 643.9747, 51.0127, 200.9243, 0
0.2, -1.525879e-05, 93.13733, 61.62028, 3.051758e-05, 257.3037, 0, 0, 6.103516e-05, 436.0144, 42.9079, 2.384186e-07, 0, 0, 0, 0, -1.525879e-05, 0, 54.40482, 0, 70.45486, 0, 0, 100.5637, 28.76044, 80.93726, 0, 0, 227.693, 0, 304.1506, 3.051758e-05, 125.475, 0, 0, 213.863, -7.629395e-06, 0, 85.5509, 0, 0, 7.571503, 0, 6.103516e-05, 1173.457, 178.9229, 191.496, 20.12329
0.3, -1.525879e-05, 117.1924, 57.86222, 3.051758e-05, 244.4195, 210.2269, 3.814697e-06, 6.103516e-05, 410.532, 40.70642, 2.384186e-07, 0, 115.038, 0, 0, 109.3532, 0, 51.80948, 0, 67.22751, 0, 0, 95.80487, 46.79745, 77.07326, 0, 0, 230.8912, 0, 289.0295, 3.051758e-05, 119.9117, 0, 0, 204.0538, 0, 0, 81.59033, 57.20836, 0, 77.84201, 76.50677, 0, 1472.662, 170.0222, 182.5101, 116.3702
0.4, 50.85266, 196.0933, 54.33336, 3.051758e-05, 232.1804, 200.5651, 3.814697e-06, 3.051758e-05, 386.539, 38.61792, 2.384186e-07, -3.814697e-06, 141.4135, 0, 0, 102.5021, 0, 101.9644, 0, 64.14801, 0, 0, 181.2471, 80.49997, 73.39374, 0, 0, 219.3831, 0, 369.6866, 135.1117, 114.595, 0, 0, 194.6945, 0, 0, 77.81323, 154.5754, 0, 74.07742, 73.03059, 6.103516e-05, 1574.646, 287.7782, 173.9458, 110.9654
0.5, 48.19971, 184.5882, 51.01971, 3.051758e-05, 220.5542, 191.3474, 3.814697e-06, 0, 363.9482, 114.4343, 1.192093e-07, -3.814697e-06, 134.2433, 0, 0, 96.08023, 3.814697e-06, 97.10028, 0, 101.0791, 0, 0, 257.5674, 76.10672, 69.88988, 0, 0, 208.4487, 0, 395.8492, 302.5268, 109.5141, 0, 0, 185.7645, 0, 0, 141.6017, 146.7816, 0, 79.85428, 69.71234, 6.103516e-05, 1541.89, 586.1436, 165.7835, 105.8116
0.6, 45.68517, 173.7582, 47.90816, 3.051758e-05, 294.4122, 182.5534, 3.814697e-06, 0, 342.6776, 162.266, 1.192093e-07, 0, 162.4137, 0, 0, 184.6084, 0, 92.46817, 0, 208.1006, 0, 0, 245.3786, 71.95325, 66.55331, 7.629395e-06, 95.47087, 198.0592, 0, 376.1693, 286.6847, 114.0795, -1.525879e-05, 0, 177.244, 7.629395e-06, 0, 172.0782, 139.3809, 0, 115.1086, 66.54487, 6.103516e-05, 1470.428, 556.9858, 158.0041, 100.8972
0.7, 43.3018, 163.5636, 44.98637, 163.7443, 374.8064, 174.1635, 0, 0, 498.1653, 153.9406, 2.384186e-07, 42.80342, 154.1787, 0, 0, 173.0425, 0, 88.05707, 0, 198.5681, 0, 0, 262.5621, 87.61105, 63.37602, 0, 90.59282, 319.3777, -1.525879e-05, 357.4677, 271.6721, 109.0215, -1.525879e-05, 0, 169.1144, 0, 0, 220.1481, 281.2658, 0, 222.6855, 63.52131, 6.103516e-05, 1431.547, 529.2788, 150.5898, 96.21104
0.8, 41.04277, 256.4046, 42.24277, 155.8147, 356.0383, 166.1591, 0, -3.051758e-05, 522.3741, 193.1202, 1.192093e-07, 162.981, 146.3613, 0, 0, 162.2012, 0, 183.2208, 0, 240.753, 210.754, 7.629395e-06, 365.2599, 125.6169, 278.2368, 0, 114.5608, 338.177, -1.525879e-05, 651.1937, 257.4458, 104.1877, 0, 0, 161.3576, -7.629395e-06, 0, 209.9565, 267.0843, 0, 211.916, 139.8829, 6.103516e-05, 1488.959, 556.7461, 143.5234, 91.74251
0.9, 38.9016, 241.361, 118.9744, 248.9489, 390.1472, 158.5227, 29.71416, -3.051758e-05, 491.8446, 220.0635, 2.384186e-07, 293.7356, 138.9402, 0, 0, 391.1298, 271.2641, 174.4804, 0, 229.7248, 201.0399, 7.629395e-06, 457.4747, 118.7613, 292.9088, 7.629395e-06, 108.7074, 321.3217, 70.10114, 618.819, 424.8485, 99.56816, 0, 0, 153.9566, -7.629395e-06, 49.46852, 200.2368, 253.6178, 0, 287.4871, 311.6069, 6.103516e-05, 1416.802, 581.2056, 136.7886, 87.48152
1, 36.87213, 227.2, 111.7185, 275.3213, 370.6109, 151.2372, 28.23939, -6.103516e-05, 463.0994, 208.7725, 2.384186e-07, 279.6954, 184.298, 0, 0, 366.625, 253.7951, 166.157, 0, 326.5423, 191.7734, 7.629395e-06, 435.8259, 112.28, 409.2969, 0, 103.153, 305.3065, 65.80905, 588.0538, 402.6009, 95.1535, 0, 0, 146.8951, 0, 46.71523, 190.9669, 262.5107, 0, 273.5837, 297.4487, 6.103516e-05, 1506.145, 602.0654, 130.3699, 83.41843
1.1, 34.94855, 328.8785, 189.6583, 315.9922, 352.053, 144.2865, 26.83781, -6.103516e-05, 436.0341, 214.8775, 1.192093e-07, 266.3264, 260.3679, 0, 80.80682, 387.1904, 349.2263, 158.2306, 0, 311.5844, 182.9341, 7.629395e-06, 539.994, 106.1523, 389.7569, 0, 97.88239, 290.0894, 85.8842, 558.8182, 381.5183, 90.93459, 0, 0, 140.1575, 0, 87.21985, 182.1263, 249.2749, 0, 314.6164, 369.4549, 6.103516e-05, 1433.155, 572.1158, 124.2523, 79.54405
1.2, 33.1253, 309.5828, 208.8659, 370.1896, 334.4243, 137.6553, 25.5058, -3.051758e-05, 478.0142, 242.7834, 1.192093e-07, 253.5964, 247.1663, 0, 76.30322, 362.9324, 326.7367, 150.6823, 0, 297.3116, 174.5022, 7.629395e-06, 514.4401, 100.3591, 410.6732, -7.629395e-06, 92.88109, 275.6309, 101.5511, 531.0361, 361.5397, 86.90272, 0, 0, 133.7289, -7.629395e-06, 82.3654, 173.695, 305.4244, 0, 299.4009, 352.6682, 6.103516e-05, 1363.702, 700.2454, 224.4499, 75.84962
1.3, 31.39717, 291.4191, 196.1278, 438.3233, 317.6783, 131.3289, 24.2399, -3.051758e-05, 511.5387, 230.3268, 1.192093e-07, 241.4749, 234.634, 0, 106.3887, 340.1942, 305.6953, 143.4941, 0, 283.6926, 166.459, 1.525879e-05, 490.0956, 94.88205, 391.0674, -7.629395e-06, 88.13535, 261.8929, 95.33339, 504.6351, 442.9079, 83.04962, 0, 0, 127.5951, -7.629395e-06, 77.78114, 472.9697, 467.5748, 0, 284.9213, 336.6443, 320.8705, 1323.246, 842.5763, 213.9176, 72.32679
1.4, 29.7592, 274.3212, 184.1665, 597.8652, 301.7709, 125.2932, 23.03683, 0, 481.6425, 218.5093, 1.192093e-07, 229.9327, 328.9072, 0, 100.4593, 318.8806, 286.009, 136.6488, 0, 270.6974, 158.7864, 1.144409e-05, 564.9873, 89.70392, 372.3976, -7.629395e-06, 158.0977, 248.8397, 89.49638, 479.5467, 419.7145, 79.36736, 0, 0, 121.7427, -7.629395e-06, 73.45203, 513.6597, 443.9996, 0, 379.6744, 321.3484, 303.0343, 1366.097, 800.6626, 203.8796, 68.96757
1.5, 28.20669, 258.2264, 172.9346, 904.5701, 359.5831, 119.5349, 21.89347, 0, 469.016, 316.4225, 73.4363, 271.8303, 331.1283, 0, 94.86043, 298.9023, 267.5905, 130.1301, 0, 433.0533, 151.4676, 7.629395e-06, 577.1345, 84.80838, 483.5111, -7.629395e-06, 150.0197, 236.4371, 84.01677, 455.7056, 493.3459, 75.84837, 0, 0, 116.1587, -7.629395e-06, 69.36388, 517.8906, 421.613, 0, 361.3126, 368.5524, 286.1896, 1299.894, 856.2709, 194.3126, 65.76437
1.6, 91.76365, 243.0759, 162.3878, 987.6489, 341.5773, 114.0412, 20.80685, -3.051758e-05, 441.6049, 300.1877, 69.72152, 258.8372, 314.3389, 0, 89.57358, 280.1758, 314.7191, 123.9223, 0, 413.2164, 144.4861, 7.629395e-06, 549.8231, 80.17999, 566.1075, -1.525879e-05, 142.3545, 224.6527, 78.87263, 433.0497, 618.334, 72.4854, 0, 0, 110.8309, -3.814697e-06, 65.50325, 553.399, 400.3552, 0, 343.8387, 351.8067, 270.2812, 1236.899, 910.8875, 185.1945, 62.70993
1.7, 86.9764, 228.8143, 169.4009, 966.1801, 324.4731, 108.8, 19.77417, -3.051758e-05, 442.7784, 350.9865, 66.19465, 246.4652, 318.4995, 0, 84.58138, 289.2574, 423.261, 118.0107, 0, 394.2881, 137.8264, 7.629395e-06, 658.7201, 388.5302, 646.2603, -1.525879e-05, 135.0809, 213.4556, 74.04349, 411.5203, 664.2638, 69.27155, 0, 0, 105.7474, -3.814697e-06, 61.8575, 527.7798, 380.1692, 0, 327.21, 446.0864, 255.2572, 1317.07, 865.5757, 176.5043, 59.79736
1.8, 208.8064, 215.3894, 159.0696, 1025.325, 394.2078, 103.7997, 18.79274, 76.94453, 416.9008, 332.9782, 184.3031, 234.6845, 314.7767, 0, 79.8674, 315.3773, 571.2819, 112.3811, 0, 376.227, 131.4736, 7.629395e-06, 773.1885, 367.3263, 615.4075, -1.525879e-05, 152.0654, 202.8166, 126.1847, 391.0612, 629.479, 97.68816, 0, 0, 100.8971, 0, 58.41466, 697.0401, 361.001, 0, 331.8676, 425.8179, 338.61, 1268.262, 1089.235, 168.2219, 57.02007
