 , C000, C003, C005, C006, C007, C012, C013, C014, C015, C016, C018, C019, C020, C021, C022, C023, C024, C027, C028, C029, C030, C034, C035, C036, C039, C040, C042, C043, C053, C057, C058
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 41.73898, 0, 0, 0, 0, 0, 0, 39.92639, 143.2573, 0, 0, 24.86874, 0, 0, 0, 0, 0, 410.51, 0, 0, 74.29187, 0, 75.62207, 0, 235.4176, 94.96259, 178.4505, 0, 0, 0
0.2, 0, 39.68633, 6.103516e-05, 1.525879e-05, 0, 0, -6.103516e-05, 0, 186.1542, 135.5853, 0, 0, 141.3741, 1.525879e-05, 0, 0, 102.8599, 0, 393.4407, 41.26978, 6.103516e-05, 316.3264, 0, 360.9718, 3.279205, 337.9661, 89.98018, 167.8533, 0, 0, 0
0.3, 43.71048, 37.73462, 6.103516e-05, 1.525879e-05, 0, 0, 0, -3.051758e-05, 177.2306, 128.3241, 0, 0, 129.7819, 0, 0, 0, 97.66772, 6.103516e-05, 377.0811, 39.16833, 6.103516e-05, 297.6755, 0, 341.1119, 3.115906, 321.1953, 138.2872, 157.8855, 1.525879e-05, 0, 0
0.4, 41.86942, 35.87889, 4.616394, 1.525879e-05, 0, 0, 0, -3.051758e-05, 279.7166, 121.4518, -6.103516e-05, 0, 119.1402, 1.525879e-05, -7.629395e-06, 0, 92.73761, 0, 430.2987, 37.17395, 6.103516e-05, 280.1243, 249.4187, 322.3447, 2.960754, 468.3365, 131.0317, 148.5096, 6.738983, 0, 0
0.5, 144.139, 34.11442, 35.599, 1.525879e-05, 1.525879e-05, 0, 6.851135, 0, 339.5978, 114.9476, -6.103516e-05, 1.525879e-05, 109.3711, 7.629395e-06, -7.629395e-06, 0, 245.6033, 6.103516e-05, 412.4065, 35.28107, 6.103516e-05, 263.6079, 234.6877, 304.61, 2.813339, 559.0501, 124.1568, 139.6904, 89.09993, 28.97565, 0
0.6, 167.0301, 32.43673, 55.73486, 98.28439, 1.525879e-05, 0, 33.07465, -3.051758e-05, 323.319, 108.7917, -6.103516e-05, 203.837, 100.403, 0, -7.629395e-06, 0, 299.8234, 6.103516e-05, 395.2582, 33.48456, 6.103516e-05, 279.5992, 220.8268, 287.851, 2.673279, 585.3416, 117.6427, 131.3951, 83.85887, 27.63007, 0
0.7, 209.9725, 30.84154, 117.4067, 93.6927, 1.525879e-05, 0, 177.7729, -1.525879e-05, 307.8204, 102.9655, 0, 194.9594, 92.17023, 0, -7.629395e-06, 0, 284.6888, 6.103516e-05, 378.823, 31.77954, 0.0001220703, 263.1137, 207.7845, 272.014, 104.1075, 693.7853, 111.4703, 123.5923, 78.9261, 85.77582, 0
0.8, 228.9919, 29.3248, 150.3561, 228.9663, 1.525879e-05, 0, 366.2236, -3.051758e-05, 293.0648, 97.45126, 0, 442.9004, 84.61256, -7.629395e-06, -7.629395e-06, 0, 270.3183, 6.103516e-05, 363.0713, 30.16138, 6.103516e-05, 247.6003, 195.5125, 257.0483, 98.92401, 659.3576, 105.6218, 116.2529, 74.28349, 278.6146, 0
0.9, 275.3886, 27.88266, 143.7332, 218.2693, 34.06443, 0, 350.1376, -3.051758e-05, 346.5651, 92.23236, 0, 423.6109, 77.67459, -7.629395e-06, 0, 3.051758e-05, 256.6731, 6.103516e-05, 347.9744, 28.62555, 6.103516e-05, 476.6583, 183.9653, 242.906, 93.99861, 697.3621, 100.0801, 109.3493, 69.91398, 306.0758, 0
1, 263.7895, 26.51143, 148.2909, 208.0722, 101.854, 0, 334.7581, -3.051758e-05, 329.9522, 87.29294, -3.051758e-05, 553.656, 71.30551, 0, 0, 3.051758e-05, 243.7167, 6.103516e-05, 333.5054, 27.16794, 12.91428, 476.0834, 173.1001, 229.5419, 103.8171, 740.4138, 94.82922, 102.8557, 65.80148, 333.5109, 0
1.1, 254.4, 25.20764, 324.3437, 198.3514, 97.16498, 0, 402.1606, -4.577637e-05, 314.1356, 82.6181, 88.40881, 770.3339, 65.45868, 7.629395e-06, 7.629395e-06, 3.051758e-05, 231.4143, 9.155273e-05, 319.6379, 25.78458, 12.21078, 448.013, 162.8766, 216.913, 218.59, 703.6721, 89.8538, 96.74771, 61.93089, 318.0228, 0
1.2, 401.6288, 23.96797, 467.9272, 189.0847, 92.69184, 0, 384.4961, -4.577637e-05, 376.2393, 78.19357, 124.5286, 736.7838, 60.09128, 7.629395e-06, 3.814697e-06, 3.051758e-05, 219.7329, 3.051758e-05, 420.964, 24.47165, 35.31656, 421.5977, 153.2569, 204.9789, 207.7064, 668.7537, 85.13943, 91.00244, 58.28798, 516.8382, 0
1.3, 384.7126, 22.78926, 447.3158, 180.251, 88.42463, 0, 367.6075, 11.90553, 544.8334, 74.00598, 118.0215, 704.6949, 90.90358, 0, 3.814697e-06, 3.051758e-05, 208.6412, 46.39517, 403.46, 23.22556, 33.39279, 520.9547, 144.2054, 193.7014, 273.6407, 635.568, 130.0059, 85.59836, 54.85935, 517.869, 0
1.4, 368.5089, 28.95739, 427.6124, 171.83, 84.35387, 0, 532.7007, 11.31395, 518.7164, 70.04266, 111.8545, 674.0037, 104.9865, 7.629395e-06, 3.814697e-06, 6.103516e-05, 198.1094, 81.25711, 386.6838, 22.04291, 36.61728, 490.2387, 135.6884, 183.0444, 260.0162, 682.3337, 123.1849, 117.3797, 51.63241, 716.7556, 0
1.5, 401.0864, 27.53331, 419.9567, 356.7317, 80.4705, 0, 569.5792, 10.75174, 493.8513, 66.29161, 106.0096, 700.4498, 96.37798, 7.629395e-06, 254.0269, 6.103516e-05, 605.9521, 295.9761, 497.3926, 20.9205, 34.62268, 512.6909, 127.6745, 172.9736, 300.9739, 788.7758, 160.2015, 110.4092, 48.59527, 683.4698, 0
1.6, 571.945, 26.17927, 487.993, 432.456, 76.76591, 0, 619.6034, 10.21748, 702.612, 62.74142, 337.3802, 806.1402, 88.47529, 7.629395e-06, 242.6035, 3.051758e-05, 595.4282, 364.5465, 529.0224, 19.85522, 32.73669, 546.0189, 120.1339, 163.457, 395.8633, 877.0072, 248.0794, 103.8527, 45.73679, 975.576, 0
1.7, 547.8553, 24.89181, 552.0662, 616.288, 73.23187, 0, 822.8896, 79.85385, 668.9316, 59.38136, 349.1573, 771.0307, 185.2979, 7.629395e-06, 300.4353, 6.103516e-05, 975.0133, 348.9425, 572.5519, 22.14706, 99.96338, 513.8251, 113.0387, 154.464, 376.1534, 939.8136, 235.0634, 97.68542, 43.04645, 1119.285, 0
1.8, 630.1517, 23.66767, 655.1606, 605.7363, 92.5501, 0, 786.7449, 188.0892, 636.8658, 56.20125, 330.9124, 851.0373, 170.1041, 3.814697e-06, 286.925, 6.103516e-05, 1061.16, 429.9967, 548.7447, 175.8576, 94.51816, 530.5384, 106.3625, 145.9656, 465.0745, 893.1771, 222.7303, 184.4268, 40.51436, 1123.37, 0
1.9, 722.4526, 22.50373, 737.6869, 740.2888, 88.28941, 0, 1525.867, 178.743, 702.9089, 53.19145, 400.8334, 1122.461, 156.1561, 3.814697e-06, 361.5482, 4.577637e-05, 1211.393, 440.7563, 525.9274, 213.0913, 185.2657, 499.2574, 100.0806, 137.9349, 441.9185, 848.8549, 211.0443, 394.3594, 38.13122, 1428.039, 0
2, 1053.257, 28.01536, 705.1931, 705.7037, 84.22488, 0, 1458.845, 189.9871, 851.8625, 50.34285, 379.8883, 1073.575, 165.7736, 3.814697e-06, 345.2896, 4.577637e-05, 1290.163, 421.8902, 549.0903, 202.2408, 175.174, 594.4377, 94.16971, 130.3461, 487.0677, 871.295, 199.9714, 370.9407, 35.88825, 1493.747, 0
2.1, 1008.895, 72.33916, 674.1307, 744.1329, 80.34747, 0, 1394.766, 220.6144, 811.0276, 47.64677, 360.0377, 1026.818, 334.3355, 3.814697e-06, 329.7622, 3.051758e-05, 1225.038, 403.8315, 640.5949, 191.9427, 165.6319, 616.2087, 88.60796, 123.1747, 471.386, 828.0587, 189.4795, 486.452, 33.77722, 1452.346, 0
2.2, 988.9308, 68.78163, 835.126, 709.3683, 76.64855, 0, 1522.92, 243.0582, 772.1503, 45.09511, 341.2243, 982.0972, 348.9562, 3.814697e-06, 348.7648, 4.577637e-05, 1163.2, 386.5459, 613.9585, 182.1691, 156.6096, 579.8765, 83.37466, 116.3979, 447.9158, 786.9679, 179.538, 761.8827, 31.79037, 1510.505, 0
2.3, 947.2781, 65.39906, 798.3402, 676.2278, 73.11992, 0, 1479.089, 230.9805, 771.1212, 42.68008, 415.3026, 939.3243, 320.3429, 3.814697e-06, 333.0812, 4.577637e-05, 1124.737, 449.4228, 655.2759, 172.8931, 148.0787, 545.6864, 78.45045, 109.994, 425.6141, 747.9161, 170.1182, 748.1703, 29.9204, 1461.59, 0
2.4, 907.3798, 62.18284, 847.1855, 644.6355, 75.7719, 0, 1414.122, 299.571, 951.6987, 40.39438, 393.6014, 898.4142, 294.0757, 3.814697e-06, 573.8618, 4.577637e-05, 1206.229, 627.7998, 766.6802, 237.5383, 140.0126, 513.5122, 73.81709, 103.9423, 404.4229, 710.8022, 161.1926, 867.0303, 28.16041, 1393.714, 0
2.5, 932.4159, 59.12479, 809.8685, 614.5192, 72.28362, 0, 1352.008, 284.6852, 906.0781, 38.23109, 373.0342, 859.2859, 269.9624, 3.814697e-06, 548.0557, 3.051758e-05, 1346.459, 600.9274, 877.6349, 395.7546, 132.3858, 483.235, 69.45738, 98.22363, 406.0573, 675.53, 152.7353, 815.5424, 26.50396, 1370.803, 0
2.6, 893.1436, 56.21712, 774.1953, 585.8099, 134.5478, 0, 1292.622, 270.5391, 862.6444, 36.18365, 411.5768, 821.8617, 247.8264, 0, 523.41, 3.051758e-05, 1278.492, 740.9447, 841.1422, 375.603, 125.1745, 454.743, 65.35513, 403.5689, 408.2571, 642.0081, 144.7217, 829.1765, 24.94493, 1451.734, 0
2.7, 873.4731, 53.45245, 740.0934, 558.4418, 188.2736, 0, 1235.845, 304.4918, 821.2927, 34.24586, 390.0703, 786.0674, 227.5054, 1.907349e-06, 499.8727, 3.051758e-05, 1213.956, 722.7032, 1005.853, 356.4774, 118.356, 607.932, 61.49519, 634.2342, 387.93, 668.3245, 137.1286, 779.9365, 134.1917, 1418.332, 0
2.8, 883.387, 50.82375, 707.4937, 532.3524, 179.6062, 0, 1309.629, 289.3614, 933.3129, 32.41187, 406.6184, 751.8322, 208.8506, 0, 477.3938, 1.525879e-05, 1152.677, 691.7685, 964.0286, 338.3257, 111.9089, 572.0877, 57.8632, 752.7413, 418.1963, 665.0087, 129.9338, 733.6206, 172.8936, 1418.948, 0
2.9, 907.9832, 48.32431, 764.6141, 507.4817, 171.3377, 0, 1252.105, 274.9829, 888.5737, 30.67609, 385.371, 719.0878, 256.571, 0, 455.9258, 1.525879e-05, 1176.607, 662.158, 996.6833, 345.7613, 105.813, 538.3569, 54.44575, 711.327, 397.3743, 632.0088, 123.1166, 690.0552, 191.1079, 1397.62, 0
3, 909.2438, 45.9478, 730.9342, 483.773, 163.4499, 0, 1197.107, 338.8826, 941.2562, 29.03325, 365.2339, 687.7697, 235.533, 1.907349e-06, 435.4232, 3.051758e-05, 1117.214, 633.8149, 1180.404, 328.1552, 100.0491, 506.6148, 51.23012, 672.1913, 377.5891, 602.5205, 116.657, 718.5594, 179.8665, 1364.727, 0
3.1, 870.9474, 43.68816, 821.2369, 461.172, 155.9252, 0, 1144.525, 322.0434, 896.1364, 27.47839, 346.149, 657.8155, 216.2201, 0, 415.8426, 1.525879e-05, 1060.819, 606.6851, 1312.712, 311.4457, 94.59926, 731.9714, 48.2044, 635.2087, 358.789, 741.1936, 110.5363, 675.8884, 375.7429, 1301.35, 0
3.2, 858.4761, 41.53965, 785.0629, 439.6268, 148.747, 0, 1094.253, 332.9374, 853.1792, 26.00681, 328.0614, 629.1658, 198.4907, 0, 397.1425, 3.051758e-05, 1007.271, 580.7165, 1341.527, 295.587, 89.44624, 713.8153, 45.35739, 600.2609, 412.7532, 742.7316, 104.7368, 635.7513, 374.9328, 1301.077, 0
3.3, 822.3179, 39.49679, 750.4823, 425.1718, 141.8992, 0, 1046.189, 317.7045, 812.2813, 24.61404, 310.9189, 601.764, 182.2151, -1.907349e-06, 379.2833, 36.31131, 1022.011, 699.5818, 1285.745, 280.5358, 195.2747, 671.728, 42.67854, 567.2358, 392.2023, 705.8749, 99.24158, 706.8099, 352.8784, 1381.636, 0
