 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 131.6387, 0, 0, 36.0368, 0, 126.0059, 61.66504, 17.36917, 0, 3.092133, 52.2821, 0, 142.2804, 0, 0, 98.29456, 0, 0, 20.84167, 49.26233, 83.70898, 155.5845, 0, 110.5891, 21.45526, 178.9642, 0, 0, 0, 0, 0, 198.8422, 88.88843, 0, 92.20459, 39.31116, 28.32056
0.2, 0, 0, 0, 125.9158, -1.525879e-05, 0, 34.55078, 22.12354, 203.8529, 166.3488, 16.61603, 3.051758e-05, 2.963623, 50.17194, 36.24011, 158.2822, 0, 48.38971, 94.10345, -1.525879e-05, 0, 19.85895, 47.18576, 256.5278, 147.9448, 90.99011, 134.9133, 20.47763, 171.0588, 103.9763, -6.103516e-05, 57.80652, 0, 136.2383, 189.6414, 218.2755, 160.5424, 304.2247, 37.66528, 126.4736
0.3, 0, 0, 0, 120.4417, 0, 11.89557, 33.12607, 21.16376, 195.0153, 229.7345, 115.3044, 40.681, 22.51746, 48.14694, 56.12158, 257.6018, 7.629395e-06, 64.96619, 90.091, 0, 0, 92.80811, 90.05627, 331.0216, 140.6802, 86.85895, 128.7327, 89.02527, 364.0635, 114.7621, 184.2545, 108.4568, 0, 198.9309, 281.1103, 207.8563, 331.3671, 291.7351, 142.819, 277.9463
0.4, 0, 0, 0, 128.6143, 0, 24.58954, 31.7601, 20.2457, 186.5607, 220.0529, 110.3047, 39.02777, 43.95541, 46.20366, 174.4377, 367.0247, 7.629395e-06, 62.01984, 193.3057, -1.525879e-05, 0, 88.43207, 154.7006, 389.0518, 258.0491, 169.423, 122.8352, 172.637, 347.9821, 109.7971, 175.4562, 103.5433, 0, 207.2899, 301.5821, 224.3749, 317.6638, 322.2717, 136.8392, 347.5298
0.5, 0, 0, 0, 123.0228, 0, 23.53094, 302.1531, 19.36743, 178.4727, 374.7952, 105.5217, 37.44171, 42.12827, 44.33882, 239.0497, 351.0537, 7.629395e-06, 161.6785, 260.2963, -1.525879e-05, 0, 174.9225, 148.1794, 440.5961, 272.9979, 161.7309, 199.7793, 164.7706, 351.2319, 222.461, 273.9073, 98.85242, 1.525879e-05, 243.2676, 287.6273, 308.577, 473.9299, 474.4813, 131.11, 332.4783
0.6, 0, 0, 0, 155.0872, 0, 163.5766, 289.6936, 18.52725, 268.3063, 359.0002, 100.9462, 35.9201, 40.37708, 133.961, 228.3599, 335.7777, 7.629395e-06, 209.7056, 249.1976, -1.525879e-05, 0, 166.6746, 141.933, 517.2151, 276.4466, 154.3881, 190.6271, 157.2626, 355.8801, 360.3049, 260.8281, 254.0601, 1.525879e-05, 309.9945, 274.3182, 311.0446, 454.3311, 521.574, 125.6206, 318.0786
0.7, 0, 0, 0, 179.5713, 7.629395e-06, 156.5349, 277.7479, 17.72351, 288.4672, 376.3916, 159.3056, 77.30792, 38.69868, 128.5541, 218.1483, 461.3022, 7.629395e-06, 200.1951, 238.5722, -1.525879e-05, 0, 158.8157, 135.95, 543.3461, 281.4512, 147.3787, 181.8942, 150.0967, 409.7727, 403.4612, 248.3735, 242.5502, 1.525879e-05, 376.1192, 279.4466, 363.9402, 467.2169, 663.9663, 314.5582, 488.5121
0.8, 0, 0, 0, 197.2295, 7.629395e-06, 149.7963, 266.2948, 16.95465, 311.5439, 360.5293, 232.6194, 74.1662, 78.36198, 123.3655, 303.424, 441.2288, 0, 191.116, 274.3209, -1.525879e-05, 0, 151.3273, 130.2192, 604.1467, 267.631, 205.0468, 173.5614, 143.2574, 391.672, 386.0059, 267.4626, 231.5616, 1.525879e-05, 359.8881, 307.8698, 377.764, 507.4149, 636.7079, 301.388, 467.3547
