 , C000, C005, C006, C007, C008, C010, C015, C016, C018, C019, C020, C021, C027, C028, C030, C031, C032, C033, C036, C044, C048, C049, C053, C057, C059, C063, C064, C066, C069, C070, C075, C076, C077, C078, C083, C102, C103, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 111.6272, 0, 0, 0, 0, 0, 31.24237, 19.43909, 0.4499207, 20.08267, 0, 0, 0, 0, 142.7983, 113.6821, 0, 0, 0, 0, 81.57336, 0, 107.7867, 238.6783, 86.3717, 0, 47.05322, 96.89282, 115.4323, 0, 76.46387, 28.43958, 73.08701, 60.97833, 0, 72.6748
0.2, 38.47095, 55.82028, 106.7012, 0, 32.12842, 0, 0, -3.051758e-05, 118.9991, 18.60498, 51.35638, 43.02374, 0, 49.15086, 0, 0, 171.9591, 213.9939, 0, 0, 6.103516e-05, 156.876, 77.46375, 61.70264, 162.8496, 227.6692, 82.82336, 0, 44.97894, 126.9935, 172.4675, 0, 72.78461, 27.27356, 113.3272, 110.4122, 79.38171, 69.4967
0.3, 51.4281, 53.4472, 241.7777, 0, 78.21289, 47.22986, 0, -3.051758e-05, 114.1919, 17.80664, 49.21912, 41.09509, 52.32385, 47.02454, 7.629395e-06, 0, 290.0355, 205.2975, 83.96135, 106.0707, 81.91498, 150.3336, 73.56122, 125.2145, 234.3525, 217.1678, 213.5918, 0, 42.99609, 121.4923, 185.9142, 53.83124, 69.28235, 63.27954, 107.8658, 153.6678, 117.5002, 137.9034
0.4, 71.22171, 51.17502, 231.1084, 0, 128.769, 45.27957, 6.103516e-05, -4.577637e-05, 109.5789, 123.6296, 47.17078, 39.25287, 53.89099, 44.99022, 7.629395e-06, 0, 378.0649, 196.9547, 79.27402, 100.5603, 77.77722, 144.064, 69.85522, 119.701, 367.7781, 207.1509, 204.817, 0, 84.03717, 226.1825, 177.6714, 60.60657, 65.94861, 60.6853, 205.134, 145.6996, 111.7569, 131.8728
0.5, 68.12482, 48.99944, 350.3275, 0, 149.57, 43.40982, 0, -4.577637e-05, 147.4179, 183.2412, 45.20767, 37.49326, 51.49045, 43.04389, 7.629395e-06, -3.814697e-06, 400.7731, 188.9507, 74.84836, 95.33614, 73.84839, 233.8629, 66.33594, 157.6568, 384.4849, 197.596, 245.5323, 0, 80.33252, 331.8041, 291.5644, 103.4144, 135.3091, 158.787, 195.2484, 138.1445, 232.0915, 154.2427
0.6, 102.6586, 96.20541, 388.5243, 102.6088, 183.8325, 41.61728, 86.22626, -3.051758e-05, 141.4627, 212.5952, 231.8981, 35.81248, 49.19682, 121.3057, 7.629395e-06, -3.814697e-06, 384.2766, 181.2721, 70.66978, 260.7899, 70.11804, 240.3846, 62.99402, 223.7878, 409.156, 188.4818, 325.9789, 0, 138.2322, 317.4307, 309.2741, 98.79327, 182.498, 152.2772, 237.8221, 130.9812, 250.2711, 214.5676
0.7, 98.19476, 92.11547, 433.7905, 97.34667, 175.462, 39.89875, 182.9672, -3.051758e-05, 200.3907, 277.6534, 222.2473, 104.2769, 212.6981, 130.1381, 7.629395e-06, 0, 657.8099, 282.6859, 66.72448, 247.2417, 185.0966, 292.2697, 203.267, 310.5734, 404.0041, 179.7881, 472.832, 0, 151.4547, 332.3127, 325.5132, 246.868, 173.7167, 270.9461, 226.3612, 124.1894, 274.9518, 205.1844
0.8, 93.92505, 88.19939, 438.0773, 92.35444, 167.4727, 38.25119, 175.4271, -3.051758e-05, 192.2956, 265.7405, 212.9981, 124.3022, 203.2236, 124.5082, 7.629395e-06, -3.814697e-06, 630.7335, 271.198, 93.42139, 234.3974, 199.0682, 280.0806, 193.0266, 296.898, 449.6127, 171.4953, 453.4071, 0, 209.628, 508.8396, 430.0069, 292.4352, 165.3578, 259.8383, 294.3058, 168.6938, 312.851, 196.2115
0.9, 89.84097, 84.44982, 516.5173, 97.40027, 335.8635, 36.67167, 168.1978, -3.051758e-05, 184.5275, 375.6296, 204.1339, 118.73, 194.1711, 119.1218, 7.629395e-06, -3.814697e-06, 604.7716, 260.177, 233.4503, 222.2204, 189.0125, 289.5621, 183.302, 283.8248, 603.2789, 163.585, 434.7804, 0, 320.8652, 550.7639, 410.942, 293.2401, 176.7146, 249.1857, 280.1229, 268.7073, 297.5589, 254.3718
