 , C000, C001, C002, C004, C005, C007, C009, C010, C011, C012, C015, C016, C017, C018, C019, C021, C022, C024, C025, C030, C040, C042, C045, C047, C049, C050, C053, C060, C062, C065, C067, C068, C074, C092, C094, C100, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 62.48296, 0, 92.27151, 49.95874, 40.48537, 122.6304, 0, 0, 79.72286, 136.2012, 49.42932, 40.92615, 101.9153, 309.3794, 103.03, 0, 29.17749, 81.27399, 0, 206.2007, 0, 98.22803, 262.2363, 58.1355, 99.22363, 135.5269, 0, 0, 80.13074, 0, 0, 442.7268, 0, 75.41431, 130.3409
0.2, 0, 0, 91.93526, 0, 87.08746, 47.49292, 38.45444, 117.0521, -1.525879e-05, 0, 166.3567, 139.4202, 71.50452, 72.72986, 203.1008, 348.9407, 98.50659, 33.14832, 70.93237, 77.31012, 89.14319, 214.0437, 0, 118.4126, 251.0913, 341.123, 136.9304, 128.8065, 121.7834, 24.89209, 75.96777, 181.3089, 137.1079, 526.748, 0, 110.976, 124.5663
0.3, 225.1533, 0, 87.11034, 0, 82.19466, 162.4591, 36.52539, 111.7276, -1.525879e-05, 0, 211.7021, 132.1759, 93.15686, 92.16541, 281.2665, 382.8896, 252.9449, 77.52612, 223.7113, 253.2906, 157.8947, 285.2634, 0, 176.1035, 240.42, 465.8132, 130.4866, 122.4193, 115.7403, 156.3701, 163.8567, 287.1474, 195.9441, 649.9753, 0, 105.8965, 176.8335
0.4, 215.457, 0, 131.9482, 19.38409, 88.23311, 154.4406, 34.6931, 106.6453, 0, 0, 269.0193, 125.308, 89.24933, 88.3316, 299.5912, 367.1729, 267.9739, 74.34998, 214.6506, 240.9373, 252.1466, 371.9885, 0, 399.5383, 385.5479, 766.816, 124.3461, 116.3488, 109.9971, 201.2898, 290.0972, 272.9465, 205.7882, 813.9883, 0, 101.0496, 304.6456
0.5, 206.1783, 0, 125.0233, 18.45312, 83.27596, 208.1321, 32.95274, 101.7941, 1.525879e-05, 0, 257.1083, 275.2129, 85.5058, 84.65729, 293.402, 380.2988, 338.8137, 130.4529, 205.957, 229.1864, 403.5299, 576.0446, 21.52859, 548.9071, 369.1621, 733.4989, 118.4946, 110.5793, 104.5388, 270.3694, 275.0261, 385.5089, 267.2236, 895.5737, 0, 132.5324, 291.1488
0.6, 197.2991, 0, 186.6242, 17.56688, 78.59727, 197.8591, 31.29968, 97.16367, 0, 0, 257.3123, 370.8013, 156.1032, 98.36926, 444.9268, 446.6117, 323.9387, 192.6477, 197.6155, 218.0086, 386.9025, 552.4907, 20.61902, 630.5669, 422.2936, 776.7075, 112.9184, 105.0959, 99.35147, 341.998, 260.7382, 366.4435, 353.6561, 857.7383, 0, 185.7971, 520.3219
0.7, 188.8024, -3.051758e-05, 274.7857, 16.72319, 74.18147, 271.948, 29.72954, 92.74384, 0, 0, 258.8558, 441.0246, 149.5554, 126.0585, 458.5862, 656.34, 387.6079, 184.7551, 280.8618, 207.376, 450.0443, 832.8276, 19.74789, 603.4028, 492.5909, 847.1921, 307.8751, 99.88452, 94.42148, 391.4119, 349.007, 348.321, 407.1072, 1168.979, 0, 177.293, 497.2697
0.8, 271.7069, -3.051758e-05, 352.831, 15.92002, 109.6403, 286.0157, 28.23817, 88.52509, 0, 0, 256.1331, 507.9605, 281.4341, 120.8149, 525.5876, 677.4625, 370.5906, 177.1859, 269.4865, 197.262, 696.0736, 798.7743, 18.91355, 803.7987, 471.6559, 869.6124, 293.387, 94.93152, 89.73613, 482.1028, 368.9626, 349.0498, 411.985, 1378.611, 0, 270.3436, 500.718
0.9, 261.9565, -3.051758e-05, 334.3138, 15.15542, 139.6682, 466.3167, 90.07758, 84.4982, 0, 0, 244.7926, 481.5667, 269.6293, 115.7893, 663.2565, 649.6544, 521.6271, 169.9267, 365.3817, 187.6412, 667.3918, 808.7877, 18.11447, 826.0186, 451.6106, 961.7369, 442.9851, 180.7788, 85.28328, 592.6201, 349.7944, 346.5083, 494.733, 1413.285, 0, 257.9698, 559.1625
1, 360.2908, 0, 433.6093, 14.42755, 131.8213, 443.3004, 85.55887, 80.65448, -1.525879e-05, 0, 307.2217, 456.5444, 343.9723, 110.9728, 688.8309, 782.4095, 555.1646, 205.6765, 350.5833, 255.7973, 639.8918, 962.7764, 17.34915, 1030.962, 432.4172, 1040.605, 422.1389, 171.8144, 159.7578, 713.5504, 421.3244, 335.8553, 470.7348, 1353.578, 0, 246.1622, 613.5635
1.1, 424.5209, -3.051758e-05, 410.8528, 38.03259, 178.0012, 438.6006, 227.6828, 76.98563, -1.525879e-05, 0, 293.6192, 432.8222, 354.7463, 106.3566, 800.156, 750.2937, 530.7911, 197.2502, 501.2983, 243.3217, 649.4705, 1086.438, 16.61616, 1032.307, 519.932, 995.3925, 402.2738, 163.2946, 251.5015, 682.1202, 601.5863, 319.2455, 527.5432, 1386.556, 0, 336.0524, 586.3804
1.2, 406.2388, -3.051758e-05, 488.8613, 70.3248, 168.0006, 463.9877, 216.2612, 73.48367, -1.525879e-05, 0, 407.6157, 410.3326, 392.2633, 101.9325, 765.8956, 778.4724, 706.1434, 196.2722, 480.995, 284.0738, 798.9824, 1042.015, 15.91414, 1011.087, 540.1047, 1021.428, 383.3434, 155.1972, 327.2271, 885.78, 570.333, 303.4572, 501.9535, 1686.214, 0, 406.52, 596.2645
1.3, 388.7441, -3.051758e-05, 651.5453, 66.94727, 158.5619, 441.0864, 205.4126, 70.14098, -1.525879e-05, 0, 418.0142, 389.0116, 375.8098, 135.6034, 1037.332, 746.5184, 681.2357, 313.0655, 461.514, 356.5398, 963.3905, 999.408, 15.24178, 1193.763, 517.1503, 1102.757, 365.304, 220.4522, 379.3984, 961.165, 540.7034, 303.0987, 558.5538, 1891.164, 0, 387.9131, 778.5984
1.4, 372.0027, -3.051758e-05, 617.3512, 63.73197, 149.6534, 419.3156, 195.1081, 66.95036, -1.525879e-05, 0, 399.5063, 368.7985, 360.0463, 243.4241, 1020.105, 870.7393, 651.3273, 309.746, 508.5394, 395.6888, 937.1024, 1053.558, 14.59783, 1210.971, 495.1715, 1098.797, 348.1134, 223.4238, 444.0371, 918.828, 576.1575, 288.1089, 531.4599, 1811.268, 0, 370.158, 1073.198
1.5, 522.5353, -4.577637e-05, 584.9517, 116.1364, 141.2455, 398.6192, 185.3206, 63.90488, -1.525879e-05, 0, 484.6264, 471.3618, 344.944, 279.1408, 1086.435, 950.7469, 832.2553, 297.056, 646.3533, 390.5504, 993.4924, 1092.743, 13.98108, 1199.506, 577.5628, 1092.305, 331.7317, 233.189, 589.0182, 1168.732, 781.7462, 273.8605, 505.6801, 1734.746, 0, 388.1458, 1025.651
1.6, 532.2112, -4.577637e-05, 735.8334, 110.5587, 133.31, 516.4735, 263.4777, 60.99796, -3.051758e-05, 0, 558.3436, 446.8697, 390.1597, 267.5293, 1117.053, 978.7914, 795.7167, 284.8858, 707.5961, 422.2597, 1119.9, 1145.214, 13.39039, 1147.832, 553.0165, 1044.846, 316.121, 334.2363, 705.9688, 1301.55, 741.1333, 260.3167, 731.2197, 1903.566, 0, 575.61, 980.2112
1.7, 509.2914, -3.051758e-05, 814.2987, 105.2488, 125.8203, 511.0561, 289.658, 58.22324, -3.051758e-05, 0, 684.9909, 475.9063, 373.7944, 278.9358, 1096.26, 1041.05, 809.5045, 357.4383, 721.7679, 401.6654, 1073.755, 1407.67, 12.82466, 1354.513, 529.5133, 1094.525, 301.2449, 317.6624, 670.9375, 1304.897, 702.6304, 247.4427, 695.7501, 1823.146, 0, 549.2637, 1066.229
1.8, 636.2137, -3.051758e-05, 832.3032, 100.194, 118.7514, 485.8317, 286.7134, 55.57475, -2.288818e-05, 0, 654.6625, 451.178, 358.1155, 340.2437, 1094.328, 998.3173, 940.0099, 342.7944, 748.7947, 474.8161, 1029.51, 1350.111, 12.28283, 1514.373, 507.009, 1152.834, 287.0688, 301.9103, 637.6445, 1247.419, 810.668, 235.2054, 662.0012, 2080.86, 0, 524.1234, 1143.723
1.9, 608.8149, -3.051758e-05, 788.6226, 95.38199, 112.0796, 500.481, 272.3305, 53.04674, -1.525879e-05, 0, 625.6768, 427.7347, 343.0942, 326.0905, 1047.472, 1013.344, 947.7729, 406.6176, 718.4673, 479.1057, 987.0894, 1294.907, 11.76389, 1449.135, 485.4612, 1157.925, 273.5598, 427.4641, 767.3102, 1278.768, 1027.894, 259.1418, 629.8893, 2096.04, 0, 500.1336, 1183.491
2, 582.596, -3.051758e-05, 747.2344, 90.80105, 105.7827, 544.7644, 258.6692, 50.63371, -2.288818e-05, 0, 597.9745, 405.5095, 395.7554, 312.526, 1237.552, 1132.636, 933.0239, 444.6438, 689.3683, 455.739, 946.4163, 1241.959, 11.26687, 1386.708, 464.8292, 1256.419, 260.6866, 420.0356, 729.235, 1339.975, 1040.827, 299.4182, 599.3351, 2007.487, 0, 477.242, 1207.206
2.1, 572.3678, -3.051758e-05, 708.0184, 86.44011, 99.83952, 640.8202, 527.5102, 48.33046, -2.288818e-05, 0, 571.4988, 384.4391, 379.1554, 299.5258, 1184.564, 1192.796, 892.0612, 426.4272, 736.0878, 433.5119, 907.4192, 1311.433, 10.79086, 1326.97, 445.0739, 1201.83, 248.4191, 420.2865, 693.0492, 1465.254, 1058.981, 284.6104, 815.5296, 1922.677, 0, 455.3981, 1291.061
2.2, 692.9075, -3.051758e-05, 670.8605, 82.28862, 94.23027, 656.1951, 760.4525, 46.13199, -1.525879e-05, 0, 546.1953, 364.4636, 363.2516, 287.0663, 1249.506, 1143.835, 991.8294, 408.9568, 792.0124, 463.0021, 1056.748, 1257.81, 10.33495, 1315.598, 426.1583, 1237.763, 236.7289, 417.8107, 658.659, 1400.713, 1003.965, 270.535, 812.7478, 1841.449, 0, 545.7055, 1233.862
2.3, 709.1741, -3.051758e-05, 635.6526, 78.33652, 88.93616, 710.6219, 769.0997, 44.03351, -2.288818e-05, 0, 648.2271, 345.5259, 381.6, 275.1252, 1206.54, 1096.884, 948.285, 392.2023, 824.1973, 440.4208, 1172.01, 1206.379, 9.898308, 1258.923, 408.0467, 1242.931, 225.5888, 517.067, 625.9753, 1456.422, 1064.656, 257.1557, 831.4957, 2029.028, 0, 520.7279, 1179.198
2.4, 678.6333, -3.051758e-05, 602.2926, 74.57422, 83.93949, 675.5475, 832.2752, 42.03049, -2.288818e-05, 0, 862.2291, 327.5723, 365.5937, 263.6807, 1286.61, 1140.517, 1004.849, 475.1719, 886.9403, 418.9408, 1154.427, 1317.12, 9.480112, 1349.873, 585.4569, 1308.573, 214.973, 491.427, 753.0845, 1441.647, 1113.437, 244.4381, 791.162, 1943.307, 0, 613.0497, 1209.174
2.5, 723.5142, -1.525879e-05, 570.6833, 70.99262, 79.22354, 720.5467, 790.5245, 40.11859, -2.288818e-05, 0, 867.2242, 310.5516, 350.2587, 350.9394, 1269.361, 1173.148, 1044.311, 455.7046, 851.0179, 398.5084, 1106.859, 1263.264, 9.079585, 1424.312, 560.5751, 1296.967, 204.8567, 467.0583, 715.7152, 1378.146, 1106.548, 232.3493, 752.7848, 2070.457, 0, 634.0981, 1155.604
2.6, 758.9496, -1.525879e-05, 540.7329, 67.58304, 98.20621, 684.9824, 777.4522, 38.29366, -2.288818e-05, 0, 828.8273, 294.4152, 335.567, 336.3412, 1215.011, 1193.251, 998.4626, 559.3114, 860.6877, 379.0725, 1061.25, 1211.611, 8.69598, 1383.928, 643.8958, 1299.247, 195.2165, 443.8981, 680.2002, 1433.78, 1281.274, 220.8585, 716.2692, 2072.444, 0, 605.0747, 1260.089
2.7, 758.6124, -3.051758e-05, 512.3544, 64.3372, 92.68872, 651.1733, 738.4517, 36.55173, -2.288818e-05, 0, 792.1304, 302.5885, 349.0202, 322.3503, 1242.257, 1324.068, 954.627, 536.397, 930.2477, 463.32, 1114.646, 1262.454, 8.328582, 1324.31, 616.5303, 1242.796, 186.03, 495.5577, 646.4476, 1540.958, 1274.351, 209.9359, 878.8169, 1984.889, 0, 577.3799, 1204.262
2.8, 780.4836, -1.525879e-05, 485.4652, 61.24726, 87.48123, 763.4497, 1238.953, 198.2175, -2.288818e-05, 0, 757.0582, 405.8884, 409.773, 308.9414, 1262.751, 1269.719, 1037.37, 514.4213, 892.5713, 481.642, 1082.862, 1280.582, 7.976706, 1367.293, 590.3278, 1354.15, 177.2757, 695.1333, 614.3698, 1563.651, 1208.147, 199.5535, 977.7628, 1901.033, 0, 550.9525, 1297.05
2.9, 746.8718, 0, 459.9873, 58.30572, 82.56631, 725.7678, 1397.123, 189.2009, -1.525879e-05, 0, 738.7336, 384.7983, 392.585, 296.0903, 1276.185, 1381.006, 991.826, 570.882, 951.5482, 520.326, 1185.823, 1228.221, 7.639697, 1308.391, 565.239, 1295.314, 168.9334, 660.6634, 744.457, 1615.661, 1145.382, 189.6846, 1006.21, 1820.72, 0, 525.7349, 1239.586
3, 714.7076, 1.525879e-05, 435.8464, 55.50545, 77.92752, 738.8292, 1463.092, 180.5944, -7.629395e-06, 0, 780.659, 364.8041, 376.1179, 283.7737, 1361.207, 1324.32, 948.2817, 598.7245, 913.0092, 494.9489, 1136.961, 1307.501, 7.316926, 1252.027, 618.7148, 1442.269, 160.9837, 627.9028, 707.5159, 1650.134, 1205.555, 180.3037, 957.4017, 1893.175, 0, 560.4481, 1246.29
3.1, 919.8412, 1.525879e-05, 412.9725, 52.83967, 73.54935, 702.3625, 1514.943, 172.3794, -7.629395e-06, 0, 746.0948, 430.6112, 360.3416, 271.9695, 1365.88, 1310.955, 935.8826, 726.7219, 876.031, 470.8094, 1293.38, 1290.534, 7.007791, 1344.489, 663.093, 1429.071, 153.408, 596.7667, 763.498, 1684.759, 1142.924, 171.3868, 910.9607, 2035.056, 0, 534.7958, 1298.585
3.2, 880.2279, 7.629395e-06, 391.299, 50.30192, 132.9323, 777.4871, 1438.947, 164.5381, -7.629395e-06, 0, 713.0609, 408.2365, 345.227, 260.6564, 1326.589, 1257.143, 1027.043, 738.0078, 978.1248, 447.8474, 1372.048, 1237.766, 6.711718, 1307.062, 634.9116, 1483.659, 146.1889, 567.1746, 725.6121, 1644.007, 1280.714, 162.9108, 866.7724, 1993.101, 0, 576.4071, 1376.6
3.3, 842.3206, 0, 370.7631, 47.88605, 125.4638, 739.1123, 1387.748, 157.0536, -7.629395e-06, 0, 681.4896, 387.0244, 330.7464, 249.8138, 1354.915, 1304.899, 1012.91, 707.7723, 938.5093, 448.7637, 1315.512, 1254.106, 6.428153, 1339.94, 607.928, 1419.196, 139.3095, 539.0499, 844.0223, 1773.761, 1214.179, 154.8541, 824.7277, 1908.898, 0, 550.0244, 1385.115
3.4, 809.8007, 0, 351.3048, 45.58621, 118.4149, 702.6317, 1365.458, 149.9094, -7.629395e-06, 0, 714.0955, 366.9146, 316.8732, 239.4222, 1368.133, 1425.796, 1149.371, 678.7755, 900.4983, 512.6525, 1310.163, 1202.827, 6.156569, 1320.967, 582.0911, 1418.426, 132.7538, 512.3198, 802.1405, 1695.631, 1190.386, 147.1958, 881.985, 2054.615, 0, 524.8491, 1323.749
3.5, 774.9264, 0, 432.402, 43.39682, 111.7621, 667.9515, 1296.96, 143.0903, -7.629395e-06, 0, 682.4783, 347.8495, 303.5818, 229.4629, 1377.315, 1367.271, 1098.91, 740.5572, 954.2589, 513.4066, 1256.178, 1208.729, 5.896459, 1264.061, 557.3523, 1474.051, 126.5066, 486.9151, 792.1237, 1650.927, 1128.544, 139.9162, 839.2023, 2120.548, 0, 500.8262, 1348.259
3.6, 810.2382, 0, 409.7088, 41.31259, 105.483, 634.9832, 1398.91, 136.5813, -1.144409e-05, 0, 795.6379, 348.0347, 290.848, 219.9179, 1389.344, 1344.941, 1050.664, 799.2552, 915.61, 488.3669, 1230.757, 1208.308, 5.647338, 1209.607, 533.6648, 1410.005, 120.5534, 462.7702, 752.8173, 1592.527, 1126.13, 132.9967, 877.4504, 2256.187, 0, 477.9029, 1363.339
3.7, 832.7283, 0, 625.9214, 39.32846, 99.55666, 718.4844, 1344.882, 130.3684, -1.144409e-05, 0, 760.4105, 439.1935, 278.6483, 210.7699, 1445.688, 1303.108, 1079.043, 829.3295, 965.2836, 464.5485, 1180.044, 1362.992, 5.408742, 1250.992, 510.9841, 1462.054, 114.8804, 609.4131, 871.6315, 1538.752, 1194.689, 126.4193, 834.8876, 2160.87, 0, 516.7134, 1409.081
3.8, 838.572, 0, 593.0721, 37.43962, 93.9633, 683.0219, 1500.285, 124.4381, -1.144409e-05, 0, 726.7428, 416.3729, 314.0341, 202.0024, 1383.788, 1466.708, 1031.67, 805.2202, 926.1882, 523.7148, 1230.43, 1364.455, 5.180227, 1273.494, 489.2673, 1458.063, 109.4743, 579.1938, 828.3798, 1538.239, 1159.92, 120.1673, 794.3894, 2145.527, 0, 493.0629, 1346.653
3.9, 842.1909, 0, 561.9467, 35.64149, 88.6842, 690.0529, 1425.024, 118.7776, -1.525879e-05, 0, 694.5658, 394.7381, 378.3947, 193.5996, 1395.644, 1406.503, 1115.563, 846.024, 888.6763, 541.2427, 1303.726, 1462.193, 4.961367, 1281.084, 674.7047, 1528.568, 343.9377, 550.4731, 787.2742, 1564.987, 1341.131, 114.2244, 755.8557, 2273.032, 0, 547.0171, 1286.992
4, 805.9216, 0, 532.4549, 33.92973, 83.70169, 680.9315, 1420.186, 113.3746, -1.525879e-05, 0, 663.8134, 374.2274, 422.6096, 185.5464, 1465.26, 1404.062, 1102.899, 811.3632, 937.683, 514.8455, 1250.006, 1402.405, 4.751753, 1277.955, 646.0298, 1589.384, 327.7525, 523.1766, 748.2084, 1663.315, 1336.316, 108.5754, 719.1912, 2291.396, 0, 521.9796, 1287.139
4.1, 788.6306, 0, 504.5108, 32.30017, 78.99911, 711.2975, 1348.943, 108.2174, -1.144409e-05, 0, 634.4226, 354.7824, 470.5761, 328.1026, 1533.985, 1602.521, 1083.887, 821.14, 1070.7, 489.7357, 1309.667, 1401.129, 4.550995, 1291.544, 618.5735, 1585.483, 422.3433, 545.7037, 838.4261, 1670.313, 1266.892, 103.2058, 873.0737, 2194.591, 0, 617.6717, 1230.114
4.2, 829.4606, 25.19884, 478.0333, 30.74888, 74.56073, 676.1897, 1281.273, 103.2947, -1.144409e-05, 0, 606.3331, 336.3478, 458.0895, 314.4544, 1494.031, 1580.857, 1066.866, 802.8677, 1027.335, 499.459, 1336.63, 1343.839, 4.358719, 1316.532, 592.2842, 1516.595, 457.4232, 518.6437, 796.822, 1596.74, 1234.367, 98.10176, 830.7233, 2334.452, 0, 660.973, 1231.89
4.3, 972.1567, 56.59969, 452.9453, 29.27209, 70.37171, 642.8148, 1261.929, 176.0618, -7.629395e-06, 0, 579.4873, 318.8711, 619.8206, 301.374, 1506.529, 1603.122, 1070.227, 789.7036, 1067.945, 562.3837, 1494.532, 1445.317, 4.174566, 1259.817, 567.1122, 1640.232, 501.6902, 641.7853, 757.2824, 1655.426, 1237.208, 159.0121, 790.4271, 2331.777, 0, 732.3662, 1277.84
4.4, 930.2905, 109.316, 510.846, 27.86623, 66.41805, 676.2584, 1198.625, 294.9769, -3.814697e-06, 0, 553.8301, 302.3025, 799.7635, 342.8914, 1442.024, 1970.231, 1023.241, 956.8316, 1101.745, 534.9553, 1432.95, 1613.544, 3.998194, 1402.238, 543.01, 1668.725, 597.2856, 836.2395, 844.9146, 1708.684, 1297.941, 151.1482, 918.5088, 2263.934, 0, 733.1882, 1353.552
4.5, 911.9589, 119.3093, 494.2932, 26.52789, 62.6865, 660.1655, 1138.496, 325.183, -3.814697e-06, 0, 529.3088, 286.5947, 775.5215, 523.5004, 1597.391, 1975.202, 1040.489, 1197.929, 1303.704, 527.5462, 1461.922, 1746.864, 3.829274, 1341.831, 519.9321, 1951.954, 569.1783, 827.6627, 802.9885, 1633.42, 1230.511, 143.6732, 924.9403, 2407.184, 0, 767.772, 1422.858
4.6, 914.3018, 114.0444, 548.0746, 25.25383, 59.16461, 627.5814, 1127.095, 428.2045, -7.629395e-06, 0, 505.8733, 311.9837, 833.0079, 565.6741, 1528.996, 2226.403, 1059.556, 1244.149, 1462.858, 604.76, 1763.212, 1962.462, 109.0788, 1284.026, 497.8351, 2112.207, 621.9385, 1034.948, 820.6684, 1772.923, 1166.584, 136.5678, 1016.738, 2338.732, 0, 732.6302, 1487.602
