 , C000, C001, C003, C004, C005, C006, C007, C008, C010, C012, C013, C015, C016, C018, C021, C026, C029, C032, C033, C034, C037, C038, C040, C041, C042, C043, C044, C047, C050, C051, C053, C054, C061, C062, C065, C066, C068, C070, C071, C074, C076, C084, C086, C093, C100, C108, C111, C122
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 70.60614, 0, 0, 127.5587, 0, 91.62207, 0, 87.92175, 0, 0, 0, 0, 0, 0, 16.69727, 0, 0, 73.86693, 0, 276.3469, 60.76685, 0, 0, 45.55774, 0, 0, 100.5812, 0, 0, 0, 0, 0, 221.7113, 23.05121, 0, 0, 0, 0, 0, 0, 208.487, 0, 0, 0, 0, 0, 85.5592
0.2, 48.17273, 72.66956, 46.92651, 22.34253, 136.8501, 136.4061, 175.0801, 3.051758e-05, 175.4669, 0, 91.61357, 0, 100.4433, 0, 195.8571, 125.7209, 199.3224, 0, 174.1004, 127.9208, 331.5547, 186.6064, 0, 0, 43.39133, 93.70322, 0, 95.79968, 0, 90.4967, 0, 108.8019, 0, 211.826, 22.0885, 0, 6.103516e-05, 101.7559, 84.10251, 0, 0, 199.5825, 3.051758e-05, 0, 0, 36.84827, 0, 81.73804
0.3, 167.8469, 69.31064, 284.3851, 120.2627, 178.2435, 240.6398, 266.5906, 0, 167.4198, 139.0371, 229.0123, 0, 299.9703, 0, 313.5156, 296.3914, 379.106, 0, 188.3489, 148.9306, 433.7046, 345.2815, 0, 127.1974, 41.32797, 99.60535, 151.6016, 184.3381, 0, 429.201, 0, 151.8021, 0, 314.4685, 93.71008, 244.1631, 207.8265, 299.7658, 97.43323, 113.3174, 0, 191.0584, 3.051758e-05, 0, 0, 215.371, 176.0128, 78.08752
0.4, 160.0803, 77.11201, 272.106, 261.538, 226.3563, 344.9371, 254.598, -3.051758e-05, 214.1561, 132.5558, 343.454, 25.68604, 300.4128, 0, 298.4151, 318.7222, 427.1042, 32.49809, 180.4787, 392.4218, 570.783, 449.5229, 192.2077, 206.7502, 39.3627, 183.8581, 202.7248, 175.575, 21.9255, 570.0406, 73.33481, 159.6132, 0, 474.1537, 237.3339, 232.9492, 198.4894, 463.1706, 143.5691, 123.0782, 0, 248.5677, 238.8905, 0, 0, 205.5386, 271.8375, 74.60004
0.5, 273.8698, 86.30266, 357.3148, 325.4104, 214.3876, 340.6452, 298.3636, 117.8932, 204.3347, 126.3766, 334.9716, 82.18781, 286.9636, 0, 284.0421, 372.9052, 408.599, 39.68535, 245.7835, 500.839, 711.433, 708.6197, 184.0103, 198.2737, 245.9952, 263.0234, 340.3686, 319.7607, 145.3231, 684.4958, 70.10065, 300.0529, 0, 555.7111, 227.4214, 222.2503, 189.572, 502.7539, 170.5023, 220.2572, -6.103516e-05, 295.4453, 336.1433, 0, 0, 343.2906, 259.7441, 71.26837
0.6, 261.1973, 84.32799, 352.1516, 353.1898, 203.0519, 471.5823, 434.8112, 151.5571, 249.4192, 292.985, 318.9961, 110.1405, 520.5063, 0, 634.8395, 523.2838, 622.8384, 399.3342, 534.9136, 558.881, 801.9189, 891.2214, 176.1624, 190.1448, 234.2975, 545.2751, 514.7006, 442.354, 228.4694, 730.7799, 67.00916, 444.0648, 0, 530.9341, 390.1612, 488.2157, 331.5261, 746.5981, 286.2044, 265.4028, -6.103516e-05, 349.4416, 390.4174, 6.103516e-05, 0, 327.6183, 421.3934, 345.1511
0.7, 361.9114, 117.6553, 336.9465, 513.5909, 192.3155, 518.8021, 454.2621, 462.788, 367.8423, 279.3272, 467.452, 182.5433, 497.2037, 0, 919.0309, 602.1818, 721.1684, 470.1737, 574.0039, 715.2584, 971.8014, 1384.629, 168.6493, 471.773, 354.8651, 922.3429, 492.7131, 486.6492, 259.0148, 735.1533, 282.6641, 617.3815, 0, 597.3862, 560.0126, 825.8226, 316.6316, 714.5425, 432.6061, 281.0156, -3.051758e-05, 401.9796, 612.9853, 6.103516e-05, 0, 379.0806, 554.4445, 329.7363
0.8, 416.7985, 144.3789, 322.398, 491.2416, 182.1468, 495.2589, 592.8818, 440.3278, 350.9727, 266.3062, 449.3491, 173.431, 474.9444, 0, 1116.606, 807.925, 801.4512, 450.2783, 888.8841, 792.7474, 1147.28, 1588.119, 161.4566, 690.7057, 428.3234, 881.4438, 471.6648, 463.5146, 248.2877, 937.0286, 270.1982, 834.6339, 0, 570.7512, 536.623, 967.2444, 302.4063, 683.8631, 414.1582, 269.2045, -3.051758e-05, 441.1808, 892.4259, 0, 28.96015, 361.7743, 673.8376, 315.0101
0.9, 397.5125, 137.7054, 308.4776, 640.8895, 297.5667, 472.7842, 628.4505, 418.9576, 334.8767, 253.8922, 495.1613, 297.0446, 453.6815, 0, 1361.272, 905.8299, 766.7262, 431.2247, 1162.985, 830.9768, 1477.322, 1708.247, 154.5706, 780.5937, 407.9554, 842.3583, 451.5157, 538.9628, 320.5384, 920.39, 258.2821, 799.0601, 0, 664.0733, 514.2102, 1201.481, 346.2646, 654.501, 396.4971, 274.4888, -3.051758e-05, 627.6096, 927.3513, -6.103516e-05, 27.63353, 370.8505, 721.4464, 443.6193
1, 379.119, 131.3404, 499.9821, 613.0006, 281.8329, 491.2951, 600.1794, 398.6245, 319.5189, 242.0568, 471.546, 282.2167, 433.3707, 0, 1295.707, 865.978, 733.5059, 412.9774, 1201.913, 786.6084, 1660.76, 1637.6, 249.3499, 748.5903, 388.5561, 805.0059, 432.2274, 513.3413, 395.0675, 968.7761, 246.8915, 788.4058, 0, 634.4649, 492.7336, 1146.3, 330.708, 626.3995, 379.5891, 262.952, -6.103516e-05, 751.8973, 887.2335, 0, 26.36767, 442.2512, 689.3513, 480.847
1.1, 447.4845, 125.2696, 478.3941, 621.2542, 266.9309, 580.8871, 573.1802, 379.2782, 304.8654, 230.7731, 492.5621, 313.4471, 413.9691, 0, 1233.3, 831.6249, 762.0374, 395.5023, 1307.828, 744.6089, 1750.013, 1791.651, 352.3684, 717.8992, 370.0792, 769.3098, 413.763, 562.6561, 378.7057, 927.9471, 236.0033, 1012.979, 0, 606.1766, 472.154, 1093.652, 349.2696, 599.5047, 363.4021, 251.9001, -3.051758e-05, 719.7839, 936.308, 0, 25.1598, 504.5659, 713.7166, 487.2076
1.2, 434.1802, 124.7643, 457.7382, 594.2197, 270.4037, 554.5265, 547.3956, 360.8709, 290.884, 220.0155, 597.1015, 297.8004, 494.2645, 0, 1424.101, 830.9061, 729.0202, 378.7666, 1253.179, 704.8519, 1760.094, 1717.555, 507.7163, 688.4663, 432.8845, 735.1965, 396.0874, 535.9083, 363.0215, 1037.741, 225.5952, 969.8041, 0, 579.1497, 452.4339, 1111.185, 333.578, 573.7646, 347.9054, 241.3128, -3.051758e-05, 689.0422, 895.8027, 6.103516e-05, 24.00727, 481.5308, 802.1894, 541.8701
1.3, 488.2471, 118.9975, 437.9741, 674.9863, 256.1061, 529.3622, 522.7709, 343.3569, 345.7281, 209.7593, 699.5172, 316.2965, 472.1368, 0, 1355.509, 794.3505, 777.452, 362.7391, 1200.815, 667.2178, 1910.908, 1795.2, 688.0925, 660.2401, 412.2997, 702.5961, 379.1669, 510.4321, 347.9869, 1119.314, 215.6461, 928.4689, 0, 553.3276, 433.5374, 1060.151, 318.5914, 549.1296, 333.0695, 231.1704, -3.051758e-05, 723.0533, 857.0498, 6.103516e-05, 22.90753, 459.5474, 766.5022, 517.6697
1.4, 561.2031, 113.4972, 419.0634, 808.4745, 242.5645, 576.9794, 656.7932, 326.6929, 329.8727, 261.3748, 733.9133, 323.0266, 450.9996, 0, 1330.747, 759.4031, 743.7668, 347.3898, 1246.325, 631.5929, 1861.007, 1832.444, 658.7462, 648.6744, 433.1213, 671.441, 362.9692, 486.1669, 333.575, 1284.337, 206.1359, 888.8956, 0, 528.657, 415.4302, 1239.675, 438.3716, 525.5524, 318.8662, 221.4544, -3.051758e-05, 692.172, 819.9732, 0, 21.85816, 520.1023, 778.7029, 494.5502
1.5, 535.2354, 108.2511, 400.9692, 847.3303, 253.2663, 588.5671, 652.1818, 310.8377, 314.7444, 249.1906, 816.0182, 344.457, 518.5247, 0, 1427.077, 725.9932, 750.3655, 332.69, 1194.247, 655.4923, 1866.166, 1756.66, 668.186, 640.5294, 412.5252, 641.6676, 347.4634, 621.7729, 319.7599, 1509.837, 197.045, 851.009, 0, 553.8031, 398.0793, 1182.74, 418.677, 583.8836, 305.2687, 391.2945, -3.051758e-05, 662.6096, 886.3992, 6.103516e-05, 20.85687, 496.3578, 832.4006, 598.4595
1.6, 510.4691, 103.2475, 383.6563, 810.4579, 286.5028, 782.788, 773.9085, 295.752, 300.3099, 237.5744, 835.663, 327.2623, 495.3108, 0, 1358.343, 694.0532, 717.8539, 318.6122, 1147.374, 620.4935, 2003.273, 1722.885, 651.9279, 712.8743, 392.9086, 613.2144, 332.6201, 592.2147, 306.517, 1462.963, 188.3551, 814.7372, 0, 568.1155, 381.453, 1156.846, 516.8987, 646.7676, 292.251, 384.7368, -3.051758e-05, 634.3098, 865.5176, 0.0001220703, 19.90144, 473.6975, 893.2588, 657.895
1.7, 501.4509, 98.47525, 367.0909, 952.5935, 271.3539, 747.2651, 739.0941, 281.3984, 328.7455, 226.4997, 799.0965, 310.9259, 473.1362, 0, 1292.918, 663.5184, 759.5168, 305.1301, 1099.431, 627.1431, 1974.856, 1723.304, 694.9632, 683.6474, 465.0833, 586.0228, 318.4109, 669.1616, 293.8226, 1541.096, 180.0483, 780.0115, 0, 542.7855, 365.5211, 1158.635, 493.6761, 618.9982, 279.7884, 368.5663, -3.051758e-05, 650.3406, 869.7164, 0.0001220703, 18.98978, 452.0716, 853.5202, 628.5129
