 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C014, C015, C017, C018, C019, C020, C022, C023, C024, C025, C029, C030, C031, C035, C036, C037, C038, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C055, C056, C057, C059, C060, C062, C063, C066, C068, C069, C071, C073, C074, C075, C079, C080, C086, C088, C091, C092, C106, C107, C111, C137, C148
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 23.20386, 0, 0, 0, 55.75543, 0, 0, 80.55428, 0, 141.9785, 0, 0, 0, 0, 0, 21.97534, 15.09033, 65.6803, 0, 0, 0, 0, 27.85693, 0, 61.97662, 0, 0, 0, 0, 113.7571, 0, 120.2788, 72.69318, 0, 0, 0, 0, 0, 0, 105.9237, 51.57666, 0, 52.56201, 67.41248, 34.44751, 0, 0, 151.674, 0, 163.4152, 0, 120.4208, 71.63757, 22.23596, 127.0221, 203.752, 0, 0, 122.9248, 0, 266.0259
0.2, 1.525879e-05, -7.629395e-06, 46.80542, 0, 108.6584, 1.525879e-05, 133.5999, 0, 53.25525, 7.629395e-06, -6.103516e-05, 76.89334, 96.92285, 135.5422, 0, 23.57703, 0, 17.02179, 0, 21.01544, 55.73694, 198.215, -3.051758e-05, 122.3861, -6.103516e-05, 0, 26.39069, 0, 59.02655, 0, 0, 0, 0, 135.6234, 0, 114.9191, 69.75623, 0, 0, 0.0001220703, 0, 0, 0, 152.0521, 49.24048, 0, 162.5149, 64.42377, 127.7431, 57.49066, 0, 145.3002, 0, 210.2445, -3.051758e-05, 129.5473, 191.3469, 21.19043, 120.5588, 194.7764, 0, 0, 141.7134, 0, 391.7279
0.3, 0, -7.629395e-06, 44.85947, 0, 158.3487, 0, 269.5311, 0, 138.8708, 0, 39.66095, 73.39879, 211.3811, 129.3978, 0, 22.34544, 0, 60.03192, 0, 20.09747, 112.9752, 189.9524, -3.051758e-05, 137.8416, 0.8981323, 25.32764, 25.00165, 124.6144, 56.21692, 0, 0, 0, 7.629395e-06, 129.7104, 114.861, 144.7578, 96.37457, 0, 7.629395e-06, 0.0001220703, 7.629395e-06, 7.629395e-06, 0, 245.606, 106.8881, 0, 154.625, 61.5675, 148.9189, 133.7377, 0, 139.1942, 0, 201.1133, 0, 211.2016, 182.405, 20.19397, 114.4244, 186.1963, -6.103516e-05, 0, 195.5049, 227.3604, 373.2457
0.4, 1.525879e-05, -7.629395e-06, 42.99442, 41.48975, 151.2514, 0, 283.3656, 38.44296, 132.6437, 0, 37.95404, 70.06306, 202.0958, 123.5318, 0, 36.23444, 0, 110.2554, 0, 72.44495, 117.4318, 263.407, -3.051758e-05, 213.9775, 0.8613281, 24.16101, 23.68567, 211.2307, 228.6161, -7.629395e-06, 0, 0, 94.25768, 124.0551, 109.8711, 159.2889, 92.48074, 0, 1.525879e-05, 137.1455, 7.629395e-06, 0, 0, 235.207, 231.3225, -3.051758e-05, 147.1183, 163.8413, 218.6461, 205.5781, 0, 224.5757, 0, 226.2729, -3.051758e-05, 201.5219, 215.1904, 114.7122, 188.5702, 177.9941, -6.103516e-05, 0, 471.9404, 217.6655, 426.4705
0.5, 0, -7.629395e-06, 46.73434, 144.1007, 144.4722, 0, 271.6532, 36.69708, 126.6957, 7.629395e-06, 36.32062, 151.5168, 193.2185, 117.9318, 0, 149.7024, 0, 180.7865, 0, 69.2807, 191.9039, 407.5817, -3.051758e-05, 239.8425, 76.31842, 81.99658, 94.48041, 200.8748, 217.734, -7.629395e-06, 0, 0, 134.1538, 118.6464, 135.6316, 164.4514, 88.74429, 0, 7.629395e-06, 221.6154, 7.629395e-06, 0, 170.8218, 275.6954, 220.8447, -3.051758e-05, 271.1956, 238.9814, 209.4697, 195.3305, 0, 215.1384, 0, 305.821, 21.94473, 218.9677, 362.1165, 231.5804, 178.9752, 170.1532, 0, 0.0001220703, 465.5994, 287.4922, 406.3492
0.6, 0, -7.629395e-06, 44.79138, 137.9937, 212.0964, 120.5788, 306.9661, 35.03049, 158.2974, 0, 146.1337, 144.6309, 184.7312, 112.5856, 39.71643, 141.8825, 0, 173.1299, 1.907349e-06, 66.25464, 184.0292, 406.4187, 206.5367, 229.0584, 73.19067, 246.2811, 89.50745, 191.0267, 207.3699, -7.629395e-06, 0, 0, 128.6322, 224.4502, 154.2749, 239.5936, 85.15878, 0, 7.629395e-06, 390.3309, 7.629395e-06, 0, 163.8634, 264.0225, 210.8416, -3.051758e-05, 348.2645, 347.461, 200.6785, 294.1382, 0, 206.0978, 0, 363.0623, 48.65111, 374.0583, 345.1945, 261.2249, 169.8684, 162.6577, -3.051758e-05, 104.5327, 514.8047, 324.4028, 599.305
0.7, 1.525879e-05, -7.629395e-06, 48.93234, 132.1454, 225.299, 114.4524, 303.4008, 121.3486, 151.1991, 0, 139.8445, 174.4502, 253.9309, 107.4818, 90.48047, 202.8327, 0, 165.7976, 0, 63.36078, 176.4778, 496.5867, 197.0879, 300.6559, 70.19107, 234.9373, 114.5378, 181.6614, 197.4991, 0, 0, 5.332511, 261.5336, 214.6644, 229.1939, 228.9169, 81.71814, 0, 7.629395e-06, 494.0857, 7.629395e-06, 7.629395e-06, 157.1885, 401.3794, 268.7117, -3.051758e-05, 374.043, 332.0562, 192.2563, 352.6416, 0, 312.6514, 0, 347.2941, 46.47913, 393.8818, 329.0632, 419.1083, 161.2249, 155.4924, -6.103516e-05, 259.3583, 493.3562, 384.9535, 730.0741
0.8, 0, -7.629395e-06, 46.89798, 192.4731, 215.201, 108.6373, 316.6232, 115.8376, 226.8733, -7.629395e-06, 133.826, 214.9482, 242.7766, 102.6093, 86.49445, 212.7726, 0, 158.7759, 0, 60.59326, 263.0923, 527.9261, 188.0714, 287.1373, 111.2271, 224.116, 108.5092, 172.7553, 188.0982, -7.629395e-06, 0, 51.94268, 250.7693, 205.3051, 233.7509, 218.7161, 78.4165, 0, 1.525879e-05, 473.7183, 0, 0, 206.955, 384.385, 360.4435, 22.53366, 461.5782, 363.3246, 209.3534, 335.0632, 0, 317.3212, -1.907349e-06, 475.9347, 64.15114, 502.6246, 313.6857, 399.4007, 153.0213, 148.6428, -3.051758e-05, 305.6394, 652.8513, 641.6982, 695.6284
