 , C000, C003, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C029, C031, C034, C035, C036, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C058, C059, C060, C062, C063, C064, C065, C066, C068, C072, C074, C075, C080, C081, C083, C085, C088, C089, C090, C093, C095, C096, C099, C100, C101, C103, C105, C106, C109, C111, C114, C115, C121, C122, C130, C132, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 153.0147, 138.1524, 157.2523, 0, 0, 0, 0, 61.80981, 99.5459, 136.8496, 28.15045, 0, 0, 0, 37.68243, 0, 62.29822, 0, 0, 0, 27.8501, 255.3137, 45.41321, 41.12219, 0, 73.70636, 86.25037, 27.41235, 29.45679, 34.21048, 0, 0, 31.1165, 42.75812, 108.44, 62.20099, 25.13654, 0, 141.4285, 98.98364, 0, 0, 14.25424, 0, 7.167282, 0, 44.54791, 37.35513, 0, 0, 27.91232, 0, 0, 0, 72.00073, 0, 91.11728, 0, 0, 0, 55.37146, 29.28979, 97.55566, 28.09668, 42.6077, 0, 53.3313, 0, 60.64616, 85.53589, 0, 82.19287, 27.45374, 0, 0, 84.67236
0.2, 146.327, 268.6138, 232.4522, 0, 0, 88.96411, 60.0813, 59.09753, 94.22803, 131.2021, 26.9718, 1.525879e-05, 6.103516e-05, 0, 36.09253, 0, 59.50476, 6.103516e-05, -6.103516e-05, 0, 26.61206, 340.8613, 211.1074, 51.66858, 0, 120.7204, 82.53406, 26.16895, 28.17664, 109.9356, 0, 0, 29.81445, 79.52487, 103.5698, 59.36926, 23.92975, 0, 189.2414, 185.7677, 0, -6.103516e-05, 196.8913, -6.103516e-05, 57.62975, 43.22562, 65.74222, 35.60156, 0, 0, 131.8095, 85.90045, 6.103516e-05, 0, 230.797, 0, 87.03732, 0, 95.38821, 37.13416, 137.9246, 67.26843, 189.7494, 117.2941, 40.53439, -1.525879e-05, 145.0174, -3.051758e-05, 148.9137, 81.34021, 0, 86.22217, 55.20142, 120.7031, 1.525879e-05, 121.476
0.3, 139.9315, 270.6236, 220.0163, -1.525879e-05, 0, 143.5227, 189.8164, 104.4467, 214.8924, 125.7877, 25.8425, 1.525879e-05, 43.71979, -6.103516e-05, 34.56964, -9.536743e-07, 155.167, 55.737, 0, 10.00914, 25.42883, 323.4915, 218.8805, 49.34753, 57.64005, 144.2567, 78.97791, 158.5908, 139.3748, 104.8325, 0, 0, 87.96447, 161.5927, 98.91833, 80.5437, 85.03949, 0, 208.3047, 178.2095, 0, 101.2277, 196.3154, -6.103516e-05, 71.90045, 41.311, 107.5327, 33.93033, 34.28336, 0, 126.0264, 109.8095, 49.82031, 0, 220.8022, 53.40436, 145.4364, 0, 136.0444, 35.48242, 156.7328, 63.78912, 181.6235, 112.0212, 67.39102, 0, 138.5198, -3.051758e-05, 211.9012, 77.35034, 0, 144.4216, 52.73486, 115.6064, 0, 308.8193
0.4, 133.8155, 257.2939, 208.2457, -1.525879e-05, 38.52759, 249.1794, 317.8752, 218.1846, 213.3768, 120.5967, 84.44562, 1.525879e-05, 62.01801, 0, 77.7807, 0, 224.7202, 112.7162, 150.1837, 9.563904, 151.6685, 307.0069, 324.1263, 172.3318, 55.05368, 180.3619, 75.57495, 272.0391, 139.0994, 114.8587, 0, -6.103516e-05, 84.28363, 153.1985, 94.4758, 97.76086, 134.2441, 0, 198.7189, 170.9589, 0, 96.68542, 217.1521, 98.98315, 68.61803, 73.44406, 243.0533, 32.33752, 32.59586, 0, 204.4897, 104.5685, 47.37848, 0, 211.2404, 50.98364, 155.7719, 0, 129.6302, 33.90405, 347.8158, 131.55, 173.8457, 304.7874, 64.11176, 0, 132.3134, -3.051758e-05, 201.8835, 170.4297, 0, 177.7853, 156.2072, 134.2342, 1.525879e-05, 357.5463
0.5, 127.9669, 244.6208, 197.1048, -1.525879e-05, 111.7319, 293.8802, 412.8708, 259.0162, 250.2773, 115.62, 80.91, 84.40919, 59.10828, 89.97601, 137.9785, 0, 291.5776, 107.4963, 143.6508, 9.138458, 236.3472, 382.5984, 309.736, 251.0321, 52.58337, 179.784, 233.3375, 277.0569, 261.1519, 141.2786, -7.629395e-06, 0, 80.75681, 145.2405, 90.23276, 172.0859, 155.7655, 0, 229.4606, 164.0032, -6.103516e-05, 92.34692, 237.9463, 128.6753, 88.60503, 70.19095, 231.2316, 30.81952, 257.7311, 0, 195.5178, 99.5777, 158.9446, 0, 237.2134, 125.0536, 164.8504, 0, 123.5184, 62.4704, 332.0271, 149.9578, 234.6901, 291.0862, 60.99207, 0, 224.3871, -6.103516e-05, 192.3394, 162.0699, 0, 170.3079, 149.2275, 220.3997, 1.525879e-05, 342.9039
0.6, 122.3739, 308.1953, 186.5599, -1.525879e-05, 106.5251, 379.2784, 394.2778, 247.6504, 236.9072, 110.8486, 77.5224, 80.64218, 56.33502, 85.64062, 132.1567, 0, 339.7684, 102.5182, 159.5561, 8.731964, 408.9117, 363.1018, 319.4113, 254.4425, 99.83871, 192.4928, 236.9868, 361.3629, 289.4887, 145.3089, -7.629395e-06, -6.103516e-05, 103.5267, 137.6958, 86.1803, 164.2516, 148.2874, 0, 218.9012, 247.0472, 0, 171.397, 228.1115, 122.9144, 84.56, 98.92694, 384.4085, 29.37277, 245.0451, 0, 186.9395, 166.5652, 151.1544, 0, 297.1874, 146.3979, 182.9226, 0, 117.6948, 109.9014, 360.2294, 142.2015, 224.6398, 439.9114, 84.09976, 0, 276.1981, -6.103516e-05, 183.2464, 154.1201, 0, 237.0251, 205.8661, 227.0862, 1.525879e-05, 406.4172
0.7, 117.0253, 293.015, 176.5792, -1.525879e-05, 101.5609, 406.3622, 569.623, 316.9653, 224.2513, 106.2741, 74.27661, 138.1096, 168.6689, 81.5141, 176.9137, 9.536743e-07, 511.0497, 97.77063, 242.6, 23.71964, 407.6683, 413.8201, 316.868, 424.2329, 95.35886, 182.1436, 226.7757, 489.3921, 276.9079, 153.8547, 0, 0, 99.19465, 130.543, 82.30981, 185.2423, 168.8046, 0, 326.1602, 236.9958, 0, 163.7061, 218.6832, 145.9868, 80.69965, 94.54507, 365.7115, 27.99391, 232.9835, -7.629395e-06, 252.0408, 158.6154, 143.746, 0, 297.3842, 267.0806, 235.4032, 0, 112.1458, 172.5206, 463.7321, 151.818, 215.0198, 420.136, 80.00743, 0, 292.1725, -6.103516e-05, 174.5833, 146.5602, -2.384186e-07, 227.0559, 196.6675, 217.4975, 1.525879e-05, 475.0878
0.8, 111.9105, 278.5824, 167.1324, -3.051758e-05, 96.82797, 419.3738, 736.0781, 303.0567, 254.3378, 101.8884, 71.16675, 131.946, 160.7554, 77.58649, 194.1633, 1.907349e-06, 536.938, 134.1891, 232.0471, 22.66451, 448.4771, 392.7325, 379.9321, 415.29, 91.08005, 254.37, 274.31, 645.4984, 264.8738, 146.713, 0, -6.103516e-05, 95.04388, 123.7618, 78.61313, 176.809, 264.7576, 0, 311.1508, 227.3534, 0, 245.3303, 255.3534, 139.4508, 77.01552, 116.8821, 347.924, 26.67979, 221.5156, 0, 240.9826, 151.045, 136.7007, 0, 387.3412, 306.8896, 224.8626, 1.525879e-05, 106.8583, 191.5526, 457.6974, 143.9656, 205.8118, 515.5173, 95.33554, -1.525879e-05, 463.6041, -6.103516e-05, 166.3298, 139.3713, 0, 307.2067, 265.0895, 221.8654, 1.525879e-05, 455.6317
