 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C016, C018, C020, C021, C022, C023, C026, C027, C030, C031, C032, C034, C035, C036, C037, C038, C039, C040, C044, C045, C046, C049, C050, C060, C062, C063, C064, C072, C081, C082, C083, C086, C093
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 187.966, 0, 45.72998, 241.9213, 59.88989, 0, 0, 159.5092, 0, 0, 136.5315, 0, 0, 0, 40.89685, 0, 85.616, 0, 0, 0, 0, 53.27283, 0, 0, 68.00058, 0, 0, 223.2349, 82.87439, 0, 0, 0, 178.4207, 0, 118.431, 0, 241.9792, 0, 0, 164.2947, 0, 0, 71.09351, 0, 0
0.2, 0, 177.7663, -6.103516e-05, 43.70508, 296.936, 370.478, 0, 0, 152.8342, 52.38725, 176.6602, 130.12, 57.96533, 39.78564, 0, 210.7694, 0, 190.9716, 0, 0, 169.2838, 0, 137.8089, 0, -0.0001220703, 72.50914, 0, 0, 212.5206, 166.9762, 0, 0, 0, 567.2816, 0, 112.5319, 261.9618, 342.7166, 0, 0, 268.7168, 57.58392, 0, 132.4657, 0, 0
0.3, -3.051758e-05, 168.1201, 169.8465, 41.7699, 284.02, 354.359, 0, 0, 231.0619, 49.91982, 163.1255, 124.0096, 172.8588, 102.4236, 0, 286.3336, 1.525879e-05, 353.0131, 0, 0, 452.7888, 0, 204.5508, -0.0001220703, 179.6807, 69.4395, 0, 0, 202.3207, 158.9646, 0, 0, 0, 800.8407, 0, 106.9266, 325.6229, 396.8608, 0, 0, 464.3774, 54.91159, 0, 161.6501, 0, -6.103516e-05
0.4, -3.051758e-05, 206.8664, 161.6006, 39.92029, 271.6658, 338.9413, 73.73679, 0, 350.2825, 47.5686, 150.6278, 152.3212, 164.2911, 225.223, 0, 322.8693, 3.051758e-05, 335.2972, 54.82092, -7.629395e-06, 502.4384, 0, 196.0076, -0.0001220703, 172.3311, 126.5246, 80.52965, 55.05022, 192.6102, 151.3373, 0, 218.0006, 128.7312, 876.9165, 3.814697e-06, 234.7101, 565.6798, 457.3486, 0, 0, 509.3075, 202.5009, 0, 154.5734, 0, -6.103516e-05
0.5, -3.051758e-05, 291.6474, 153.755, 38.15271, 259.8489, 324.1945, 96.59723, 39.12506, 374.4918, 70.39688, 139.0876, 281.5704, 156.148, 214.0342, 0, 309.0918, 3.051758e-05, 365.0399, 129.1917, 53.9507, 595.6628, 0, 358.9495, -0.0001220703, 165.2823, 121.1683, 77.01662, 52.80725, 183.3658, 144.076, 0, 208.9974, 138.6159, 898.3334, 3.814697e-06, 357.2552, 672.6284, 659.7339, 0, 36.40714, 541.0238, 374.6138, 0, 250.3638, 0, -6.103516e-05
0.6, -3.051758e-05, 275.8215, 219.4952, 138.9855, 248.5459, 310.0892, 294.068, 106.0782, 358.8204, 150.3244, 128.4315, 279.4138, 148.4085, 259.0893, 0, 374.2881, 3.051758e-05, 426.2366, 123.6219, 51.42568, 650.9661, 25.31302, 414.9868, -0.0001220703, 158.5217, 116.0387, 134.732, 91.77431, 441.5227, 137.1631, 0, 200.366, 132.0722, 981.092, 3.814697e-06, 448.4882, 705.0058, 843.5081, 0, 137.0537, 586.6466, 465.8961, 0, 389.7433, 0, -6.103516e-05
0.7, 62.63922, 260.8543, 208.8389, 132.8314, 437.6306, 296.5976, 277.3741, 169.8195, 439.1271, 143.2441, 312.674, 316.2891, 141.0527, 621.4532, 0, 409.155, 3.051758e-05, 404.846, 118.2922, 49.01883, 733.811, 70.1785, 397.6545, -6.103516e-05, 372.4794, 111.1263, 128.8545, 88.03504, 420.3318, 130.582, 0, 192.0911, 293.8069, 1070.64, 3.814697e-06, 426.1487, 670.5569, 1091.094, 3.051758e-05, 234.0721, 577.9888, 657.855, 0, 406.5751, 0, 0
0.8, 60.02728, 320.787, 198.6999, 126.9498, 418.5946, 283.6931, 346.5106, 235.3224, 483.6469, 149.0371, 288.7187, 999.6454, 134.0614, 1058.663, 0, 391.6956, 3.051758e-05, 423.2519, 113.1923, 46.72463, 859.1561, 247.4412, 620.4858, -0.0001220703, 429.6116, 106.4218, 176.8674, 107.9076, 400.1578, 124.3165, 0, 218.9399, 279.9372, 1175.268, 0, 588.6092, 789.3751, 1101.095, 0, 235.7177, 705.5602, 921.6817, 0, 388.7755, 0, 0
