 , C000, C001, C002, C003, C004, C006, C008, C009, C010, C011, C012, C013, C014, C022, C024, C025, C029, C030, C031, C033, C034, C035, C038, C039, C040, C043, C050, C051, C053, C054, C055, C057, C059, C062, C068, C070, C074, C076, C080, C090, C095, C096, C100, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 149.8725, 0, 0, 0, 177.7259, 0, 156.4265, 0, 0, 0, 0, 0, 0, 0, 71.03125, 74.81763, 0, 225.4642, 0, 0, 0, 0, 19.70605, 72.78169, 0, 0, 0, 47.77417, 0, 56.59094, 0, 0, 0, 52.12726, 0, 65.5744, 307.8628, 0, 0, 0, 0, 0, 116.2915, 0
0.2, 142.7515, 0, 43.93146, 0, 236.3259, 0, 230.877, 6.103516e-05, 0, 0, 0, 40.54608, 0, 0, 67.86243, 71.48511, 0, 212.4639, 57.3446, 0, 166.4471, 81.34424, 95.34253, 240.0933, 0, 0, 0, 45.7052, 0, 76.18274, 0, 36.95001, 0, 205.8853, 0, 62.45593, 565.1348, 147.5723, 0, 115.9812, 0, 97.38617, 199.5367, 0
0.3, 135.9688, 0, 195.3285, 0, 302.3066, -3.051758e-05, 220.1614, 37.88495, -6.103516e-05, -3.051758e-05, 36.1525, 38.65277, 0, 0, 177.3136, 149.3607, 0, 241.5892, 54.89539, 0, 197.5964, 263.0139, 113.1069, 288.3032, 0, 0, 0, 43.72577, 6.103516e-05, 179.8704, 0, 35.30408, 0, 278.4569, 0, 254.2424, 697.3271, 210.9213, 0, 213.1266, 0, 148.9814, 281.5231, 0
0.4, 223.7552, 0, 185.3146, 0, 365.4622, 0, 362.3661, 36.07129, 0, -3.051758e-05, 34.31876, 40.51355, 3.051758e-05, 0, 284.8096, 142.708, 0, 227.6591, 255.4896, 0, 292.2898, 249.2837, 151.6912, 275.9749, 0, 0, 0, 123.8629, 6.103516e-05, 171.2521, 0, 33.73148, -3.051758e-05, 282.5501, 0, 242.1519, 1081.211, 216.1129, 0, 202.3354, 0, 141.7082, 267.5917, 159.0648
0.5, 213.1238, 0, 203.7627, 0, 403.8688, 0, 417.3929, 214.8675, -6.103516e-05, 0, 158.6099, 38.62177, 3.051758e-05, 0, 272.1039, 136.3517, 0, 308.0753, 244.5774, 0, 277.3364, 236.2703, 145.3629, 303.6022, 0, 0, 0, 118.4987, 0.0001220703, 163.0466, 0, 97.55185, -3.051758e-05, 350.0716, 0, 230.6362, 1169.08, 333.2931, 0, 192.0906, 0, 233.123, 254.3496, 151.6448
0.6, 227.0485, 0, 218.2561, 0, 384.7659, 0, 398.0208, 204.5812, 40.16156, 0, 150.5648, 36.8183, 3.051758e-05, 0, 259.9651, 315.218, 0, 449.9537, 293.9517, 0, 291.7509, 223.9362, 162.9131, 309.6652, 0, 0, 3.051758e-05, 113.3666, 0.0001220703, 155.2343, 0, 114.3144, -6.103516e-05, 452.6083, 0, 219.6682, 1365.243, 349.2765, 0, 182.3646, 48.35542, 221.7419, 328.6144, 207.5437
0.7, 287.3189, 1.525879e-05, 207.0668, 0, 544.6777, 3.051758e-05, 454.2429, 194.7872, 38.25854, 0, 142.9279, 35.099, 3.051758e-05, -6.103516e-05, 248.3678, 344.6365, 0, 424.0094, 356.7275, 0, 401.1538, 212.2459, 346.1704, 407.4009, 0, 0, 3.051758e-05, 108.457, 0.0001220703, 147.7964, 0, 138.913, -3.051758e-05, 525.579, 39.63349, 446.6947, 1642.662, 461.2013, 0, 173.131, 122.2383, 379.2249, 419.3212, 226.0447
0.8, 338.9827, 0, 342.523, 0, 518.9145, 3.051758e-05, 433.1604, 287.1311, 36.44574, 0, 135.6783, 33.46002, 3.051758e-05, -6.103516e-05, 237.2878, 361.9532, 0, 399.561, 341.4913, -1.525879e-05, 411.5063, 201.166, 349.5266, 410.6361, 0, 0, 0, 103.7599, 6.103516e-05, 167.478, 0, 132.7252, -6.103516e-05, 535.6777, 226.2615, 683.2456, 1764.459, 667.3744, 6.103516e-05, 164.3649, 296.1024, 360.7109, 583.6697, 313.5184
0.9, 322.8763, 1.525879e-05, 324.963, 0, 590.0822, 3.051758e-05, 487.7395, 273.3853, 76.07825, 0, 171.0185, 31.89764, 48.77045, -0.0001220703, 366.668, 373.2924, 13.94169, 376.5223, 374.996, 0, 475.4637, 190.6645, 452.6351, 425.3349, 0, 0, 0, 99.2662, 6.103516e-05, 159.4534, 0, 163.3482, -4.577637e-05, 613.6809, 265.5343, 837.7509, 2003.445, 636.9297, 6.103516e-05, 156.0425, 423.4414, 343.101, 554.7862, 298.8934
1, 307.5352, 0, 308.3031, 0, 562.1713, 1.525879e-05, 650.0903, 260.2975, 81.13202, 0, 162.3441, 30.4082, 46.47961, -0.0001220703, 350.3104, 374.1093, 13.28854, 354.812, 403.8573, 0, 451.1394, 180.7111, 433.752, 407.147, 0, 0, 0, 94.96719, 6.103516e-05, 213.3983, 0, 246.1181, -4.577637e-05, 754.1023, 424.0531, 797.9112, 2137.641, 678.6477, 6.103516e-05, 148.1417, 474.073, 326.3507, 527.332, 425.9254
1.1, 292.923, 1.525879e-05, 292.4973, 0, 562.909, 1.525879e-05, 746.0435, 247.8364, 89.48175, 0, 154.1097, 91.4292, 44.29636, -0.0001220703, 405.7284, 371.9413, 12.66598, 334.3535, 386.6082, 0, 428.0593, 171.2774, 415.6565, 466.9443, 0, 0, 0, 90.85431, 6.103516e-05, 306.0924, 0, 345.1771, -6.103516e-05, 760.0952, 685.3868, 820.9282, 2358.798, 767.4496, 0, 140.6408, 475.7036, 310.4182, 501.2364, 460.8826
1.2, 279.0051, 1.525879e-05, 337.5088, 0, 596.2244, 1.525879e-05, 730.94, 235.9716, 140.9625, 0, 146.2929, 89.51355, 130.1079, -0.0001220703, 387.6285, 450.6864, 75.93517, 315.0747, 370.0957, 0, 406.1602, 162.3362, 534.2761, 490.8649, 0, 0, 0, 86.91953, 9.155273e-05, 291.4261, 0, 329.8013, -4.577637e-05, 825.7578, 801.9858, 781.8885, 2399.907, 836.9065, 0, 133.5198, 477.0937, 295.2635, 476.4323, 519.9484
1.3, 265.7485, 7.629395e-06, 320.2058, 0, 568.0229, 0, 736.8794, 224.6749, 215.001, 0, 201.5246, 133.0466, 123.9964, -0.0001220703, 370.336, 430.6122, 117.8391, 296.9075, 354.2886, -1.525879e-05, 508.1809, 153.8616, 599.8136, 469.8748, 0, 0, 0, 83.15521, 6.103516e-05, 277.4626, 0, 315.1105, -4.577637e-05, 791.1741, 897.1162, 802.0314, 2734.06, 856.6278, 0, 126.7593, 681.5369, 280.8487, 452.8555, 511.6089
1.4, 294.3907, 7.629395e-06, 303.7898, 0, 541.1555, 0, 702.6791, 213.9191, 204.8138, 0, 191.3028, 126.834, 118.172, -0.0001220703, 473.6578, 458.0095, 112.3184, 279.7878, 339.1566, -1.525879e-05, 649.1343, 145.8296, 574.7903, 449.7823, 0, 0, 0, 79.55389, 3.051758e-05, 452.7714, 0, 301.074, -4.577637e-05, 879.7624, 1062.832, 791.4329, 2709.801, 817.5494, 0, 120.3411, 651.8356, 423.7974, 430.4455, 613.3153
1.5, 280.403, 1.525879e-05, 288.2155, 0, 515.5588, 0, 853.2296, 203.6782, 195.1093, 0, 257.5306, 141.2694, 112.6212, -0.0001220703, 486.6337, 437.6092, 107.0564, 263.6552, 452.1185, -1.525879e-05, 615.925, 138.2168, 567.6821, 578.1414, 0, 0, 1.525879e-05, 76.10855, 3.051758e-05, 475.656, 0, 347.7604, -4.577637e-05, 881.7776, 1182.241, 796.2886, 2963.688, 1008.308, 0, 114.248, 701.7378, 403.1075, 707.3845, 584.7053
1.6, 267.08, 1.525879e-05, 273.4396, 0, 616.792, 0, 838.8387, 193.9275, 214.2656, 0, 244.4682, 150.4266, 107.3312, -0.0001220703, 464.9245, 470.0583, 102.0409, 248.4528, 499.8056, 0, 677.8738, 131.0014, 661.7179, 626.9966, 0, 0, 3.051758e-05, 234.0229, 3.051758e-05, 497.4753, 0, 332.2696, -3.051758e-05, 929.7852, 1322.82, 880.7896, 2965.011, 962.3097, -6.103516e-05, 108.4633, 729.3856, 531.8087, 672.3788, 617.8867
