 , C000, C001, C002, C003, C004, C007, C008, C009, C010, C011, C013, C017, C018, C019, C020, C021, C022, C023, C026, C028, C029, C033, C034, C036, C039, C040, C044, C045, C046, C054, C055, C057, C060, C061, C063, C066, C069, C075, C080, C087, C093, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 54.31021, 0, 16.39221, 95.21582, 0, 0, 0, 290.0534, 0, 401.0327, 0, 167.9172, 0, 0, 395.6758, 0, 101.7339, 225.6526, 103.0966, 180.3739, 320.2104, 4.216492, 460.668, 153.7844, 145.6326, 0, 250.4215, 0, 0, 240.6517, 0, 0, 41.87793, 231.5809, 0, 28.32437, 99.55457, 374.3718, 0, 174.9617, 514.7661, 305.4564
0.2, 51.93198, -6.103516e-05, 87.01495, 89.26657, 58.94104, 0, 0, 276.9749, 0, 459.8, 0, 159.8322, 35.65982, 0, 556.0459, 0, 97.33652, 216.121, 98.68638, 172.2128, 304.408, 4.04541, 770.2646, 146.5891, 139.5803, 0, 302.7562, 0, 0, 285.3365, 28.39044, 0.0002441406, 40.10742, 246.0006, 0, 27.12106, 283.3782, 475.5785, 0, 167.7843, 712.2378, 537.3789
0.3, 49.65793, -6.103516e-05, 83.24664, 83.68906, 212.4762, 0, 3.814697e-06, 264.4861, 0, 439.1978, 6.103516e-05, 152.1365, 120.1731, 333.345, 726.2031, 0, 93.12921, 226.3446, 94.46484, 237.2911, 289.3853, 3.881256, 736.6816, 139.7303, 133.7798, 0, 287.4354, 0, 0, 272.4097, 230.637, 188.9578, 38.41174, 235.7348, 80.47559, 25.96887, 271.3304, 454.9604, 0, 160.9014, 682.6274, 603.3809
0.4, 47.4834, -6.103516e-05, 193.0405, 202.7519, 202.0873, 0, 0, 364.0265, 27.72589, 793.0574, 6.103516e-05, 287.123, 134.4723, 317.2268, 1095.519, 0, 89.10379, 541.9042, 90.4239, 440.87, 536.2518, 3.723785, 1290.417, 232.0098, 289.7534, 0, 493.6003, 0, 0, 533.2025, 454.6285, 180.8276, 36.78772, 275.2411, 76.88782, 24.86563, 466.079, 633.0319, 0, 317.1088, 1022.513, 751.4569
0.5, 45.40411, 0, 249.1565, 270.3817, 192.2064, 0, 0, 380.7105, 26.34564, 757.5225, 0, 321.5446, 128.4984, 301.8879, 1418.594, 0, 85.25235, 825.9069, 86.55581, 579.0177, 783.2856, 3.572708, 1351.529, 352.0258, 441.8296, 0, 498.5096, 0, 0, 598.6813, 741.9366, 276.7073, 35.23236, 263.7551, 105.6338, 79.8685, 446.2636, 702.2563, 0, 304.1001, 1172.632, 879.0322
0.6, 63.1116, -6.103516e-05, 355.7174, 253.4878, 182.8086, 0, 3.814697e-06, 363.5443, 25.03411, 880.2056, 0, 306.0628, 215.1446, 287.2907, 1449.228, -6.103516e-05, 81.56735, 1053.734, 82.85319, 665.759, 744.6302, 3.427765, 1587.334, 335.5551, 474.5835, 3.051758e-05, 659.6245, 0, 0, 626.2303, 767.5128, 264.8013, 145.2807, 459.8106, 159.5928, 76.4754, 427.2907, 778.866, 0, 596.7844, 1387.383, 1011.272
0.7, 60.34796, 0, 402.7458, 313.7989, 173.8704, 0, 3.814697e-06, 372.273, 23.78786, 1025.018, 0, 411.8809, 205.5868, 273.3994, 1872.787, -6.103516e-05, 135.2751, 1317.363, 79.30896, 826.3217, 925.9473, 3.288696, 1748.088, 398.3868, 520.2589, 6.103516e-05, 747.9959, 0, 0, 695.194, 735.7845, 339.7288, 139.1385, 547.0312, 152.4777, 161.2056, 409.1245, 842.816, 0, 600.8779, 1383.958, 1144.689
0.8, 57.70534, 0, 385.3044, 294.1922, 165.369, 0, 0, 355.4872, 22.60366, 1138.878, 0, 392.0496, 196.4536, 260.1797, 2063.451, -3.051758e-05, 184.0744, 1465.573, 75.91634, 824.3562, 1068.337, 3.155258, 1982.117, 488.2539, 693.4415, 3.051758e-05, 754.9784, 0, 0, 663.6992, 826.1155, 639.1982, 133.2558, 708.528, 309.7016, 250.3603, 476.2124, 823.7953, 0, 608.1571, 1576.885, 1211.489
0.9, 55.17845, 6.103516e-05, 368.6182, 275.8107, 157.2834, 0, 1.907349e-06, 466.2549, 21.47841, 1111.894, 0, 373.1732, 187.7261, 476.4523, 2521.036, -3.051758e-05, 176.1179, 1403.667, 72.66885, 943.6515, 1186.015, 3.027252, 2150.68, 465.4093, 664.6238, 0, 792.7402, 0, 0, 633.6313, 1147.017, 639.0571, 127.6219, 736.5012, 295.8943, 239.7241, 455.9662, 882.428, 0, 590.4801, 1754.109, 1371.34
1, 52.76219, 6.103516e-05, 415.162, 360.3225, 149.5932, 0, 1.907349e-06, 445.2314, 20.40917, 1091.107, 0, 355.2055, 257.4857, 453.4145, 2799.402, -3.051758e-05, 168.5053, 1616.15, 69.56028, 1124.231, 1164.703, 2.904434, 2244.098, 626.9325, 637.0035, 0, 957.5444, 0, 0, 604.9255, 1419.63, 635.9333, 122.2262, 718.1715, 282.7027, 229.5398, 436.5808, 960.3404, 0, 566.257, 1990.319, 1537.317
1.1, 50.45174, 0.0001220703, 397.1829, 383.7827, 142.2789, 0, 0, 425.1559, 19.39317, 1058.14, 0, 338.103, 246.0468, 431.4905, 3025.857, -3.051758e-05, 219.0255, 1847.659, 66.58469, 1088.308, 1127.258, 2.786606, 2322.686, 597.5994, 693.3632, 3.051758e-05, 909.0886, 0, 0, 639.9181, 1630.559, 639.2014, 117.0586, 824.0507, 270.0991, 219.7881, 418.0196, 918.706, 0, 543.0275, 2115.336, 1666.654
1.2, 48.24245, 0.0001220703, 379.9823, 359.8033, 135.3223, 0, 0, 405.9856, 18.42774, 1010.727, -3.051758e-05, 450.8999, 235.1162, 488.3795, 3024.412, 3.051758e-05, 301.3115, 2027.277, 63.73638, 1118.731, 1071.627, 2.673538, 2221.419, 607.6561, 664.5485, 0, 863.0848, 0, 3.051758e-05, 715.4131, 1665.116, 850.6018, 112.1094, 789.6624, 304.0215, 210.4508, 400.2475, 878.8765, 0, 520.751, 2199.275, 1820.991
1.3, 51.05026, 6.103516e-05, 363.5266, 337.3223, 186.8206, 0, 0, 387.6797, 17.51037, 965.4392, -3.051758e-05, 580.9866, 224.6711, 555.0056, 3155.078, 0, 288.2875, 2110.048, 61.00991, 1068.113, 1078.971, 2.565063, 2261.814, 579.225, 664.2274, 0, 819.4091, 0, 3.051758e-05, 754.856, 1659.795, 1153.518, 107.3696, 756.7092, 290.4675, 201.5101, 383.231, 840.7738, 0, 499.3882, 2107.844, 1744.862
1.4, 101.5698, 6.103516e-05, 347.7836, 378.8705, 177.6861, 0, 1.907349e-06, 370.1992, 16.63867, 922.1807, -3.051758e-05, 553.0132, 214.6901, 528.1694, 3022.697, 3.051758e-05, 582.3424, 2224.417, 58.40007, 1019.786, 1088.494, 2.460999, 2364.463, 552.1241, 807.9639, -3.051758e-05, 777.9435, 0, 3.051758e-05, 1064.531, 1833.648, 1270.443, 102.8301, 725.1311, 494.0934, 192.9492, 366.938, 804.3231, 0, 478.9019, 2020.215, 1697.041
1.5, 151.5763, 6.103516e-05, 467.6298, 355.1981, 190.3414, 0, 0, 353.5068, 15.81037, 1277.327, -3.051758e-05, 589.5406, 329.8069, 502.6309, 3701.863, 3.051758e-05, 557.1711, 2207.377, 55.90188, 1326.363, 1070.019, 2.36113, 2593.468, 663.9189, 774.3868, -1.525879e-05, 1041.973, 0, 0, 1016.303, 2164.744, 1215.78, 98.4826, 943.7778, 533.321, 184.7521, 499.5838, 1040.311, 497.5719, 793.3638, 2348.521, 1822.941
