 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C016, C017, C018, C019, C022, C023, C024, C026, C027, C028, C030, C032, C037, C038, C041, C043, C044, C047, C048, C052, C053, C054, C056, C060, C061, C063, C064, C067, C068, C072, C074, C076, C080, C085, C089, C091, C094, C095, C100, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 61.70621, 0, 0, 0, 0, 61.13586, 26.633, 128.5103, 65.2193, 0, 0, 0, 0, 0, 0, 0, 45.25897, 22.65503, 0, 0, 0, 0, 0, 47.30505, 0, 0, 117.7979, 0, 0, 0, 0, 0, 0, 79.96106, 0, 0, 70.98834, 28.81886, 0, 0, 0, 47.90942, 105.8227, 0, 35.68604, 110.9911, 0, 0, 0, 229.7402, 0, 0, 0
0.2, 57.952, 40.53534, 0, 0, 126.3679, 101.8337, 25.10596, 228.0688, 61.9877, 51.0651, 109.7554, 3.814697e-06, 0, 0, 0, 0, 43.12811, 21.50742, 0, 0, 0, 80.87024, 0, 135.5624, 0, 101.5402, 112.0367, -7.629395e-06, 0, 0, 0, 194.5846, -3.051758e-05, 76.00806, 1.907349e-06, 0, 67.55472, 27.6381, -0.0001220703, 0, 0, 178.3792, 100.4222, -9.536743e-07, 349.532, 165.2761, 0, 0, 0, 219.2172, 0, 0, 0
0.3, 54.42618, 172.1691, 0, 0, 119.7531, 132.4189, 74.17358, 217.3652, 58.91623, 48.47306, 103.0896, 3.814697e-06, 0, 0, 83.7361, 0, 106.1212, 20.41794, 3.051758e-05, -6.103516e-05, 0, 248.0594, 0, 128.6848, 0, 97.27502, 106.5575, -1.525879e-05, 0, -1.525879e-05, 0, 184.4325, -6.103516e-05, 153.7059, 0, 0, 64.28717, 26.50572, 49.04431, 0, 0, 171.0001, 95.29736, 0, 467.2097, 334.3859, 0, 0, 0, 295.6569, 0, 0, 0
0.4, 51.1149, 162.3983, 0, 0, 113.4847, 254.739, 111.1865, 207.1639, 55.99695, 46.01258, 96.82864, 3.814697e-06, 0, 0, 79.59018, 0, 101.1249, 19.38364, 3.051758e-05, 0, 0, 235.1432, 0, 177.8683, 0, 93.18909, 246.1338, -1.525879e-05, 0, -1.525879e-05, -7.629395e-06, 174.8101, -3.051758e-05, 169.2542, 1.907349e-06, 0, 61.17764, 25.41974, 46.30212, 0, 0, 163.9262, 90.43408, 0, 743.989, 359.7404, 3.051758e-05, 0, 0, 282.1145, 0, 0, 0
0.5, 48.00504, 287.1982, 0, 1.907349e-06, 107.5443, 241.8901, 204.3218, 197.4413, 53.22232, 43.677, 90.94791, 3.814697e-06, -3.814697e-06, 0, 75.64954, 0, 203.7902, 18.40175, 3.051758e-05, 143.442, 0, 258.9994, 0, 350.6777, 0, 89.27472, 234.0961, -7.629395e-06, 0, -1.525879e-05, 0, 322.4957, -3.051758e-05, 242.1222, 1.907349e-06, 0, 58.21857, 24.37825, 174.6212, 0, 0, 157.1451, 85.81891, 47.98994, 859.3535, 386.2784, 0, -7.629395e-06, 0, 269.1924, 0, 0, 0
0.6, 45.08441, 270.8994, 0, 1.907349e-06, 101.9148, 320.0726, 328.8019, 188.1751, 89.63318, 41.45998, 85.42433, 0, 0, 0, 71.904, 0, 194.1957, 70.54434, 3.051758e-05, 136.0726, 0, 370.9597, 0, 332.8867, 0, 144.4128, 268.5462, -7.629395e-06, 0, -1.525879e-05, 0, 531.0538, -3.051758e-05, 351.7259, 0, 0, 55.40259, 23.37943, 205.9253, 0, 0, 288.1584, 81.43933, 45.6585, 1008.246, 649.5922, 0, 0, 0, 464.5393, 0, 0, 0
0.7, 42.34146, 436.5976, 0, 1.907349e-06, 96.58002, 303.9283, 309.9503, 276.7541, 85.19189, 39.35548, 154.634, 0, 0, 1.525879e-05, 68.34392, 0, 207.4174, 66.97083, 3.051758e-05, 129.0817, 0, 420.8042, 0, 380.2379, 0, 138.3469, 371.0997, -7.629395e-06, 0, -1.525879e-05, 0, 768.7687, -6.103516e-05, 334.3378, 0, 0, 299.9287, 22.42154, 194.4111, 0, 0, 276.238, 243.797, 43.44033, 1043.502, 617.1605, 0, 0, 0, 579.8888, 0, 0, 0
0.8, 80.51755, 411.8201, 0, 1.907349e-06, 135.9267, 288.5982, 345.2049, 263.7657, 80.97064, 37.35781, 145.2426, 0, 0, 1.525879e-05, 64.9601, 0, 274.7054, 63.57834, 77.74323, 227.3024, 0, 419.5085, 0, 431.3264, 0, 132.5357, 363.9736, 0, 0, -1.525879e-05, 0, 826.8355, -6.103516e-05, 342.923, 0, 0, 285.4214, 21.50289, 390.0795, 0, 0, 351.0366, 275.7327, 58.3582, 1094.989, 676.808, 0, 0, 0, 553.3275, 0, 0, 0
0.9, 127.5344, 388.4488, 0, 1.907349e-06, 253.8602, 274.0413, 325.4128, 328.9041, 76.95856, 35.46154, 136.4215, 0, 0, 7.629395e-06, 61.74381, 0, 261.7722, 60.3577, 115.1526, 215.6246, 0, 483.6165, 0, 443.8959, 0, 245.6514, 474.1851, -7.629395e-06, 0, 0, 0, 783.6968, -3.051758e-05, 357.1788, 0, 0, 271.6159, 58.66016, 474.8152, 0, 0, 356.2566, 661.3955, 55.52305, 1443.713, 727.5709, 3.051758e-05, 0, 0, 606.9795, 0, 0, 0
1, 212.472, 366.4038, 0, 0, 240.5718, 260.2188, 465.1899, 313.468, 73.14529, 183.7737, 128.1362, 0, 0, 1.525879e-05, 58.68678, 0, 249.4478, 57.3002, 110.1685, 305.3339, 0, 521.567, 0, 421.3757, 0, 235.333, 583.1446, -7.629395e-06, 0, 0, 7.629395e-06, 791.5, -3.051758e-05, 474.0637, 0, 0, 258.4781, 56.25676, 524.2194, 0, 0, 364.5156, 813.1616, 52.82564, 1495.252, 817.3252, 0, 0, 0, 658.7089, 0, 0, 0
1.1, 248.8518, 345.6099, 0, 33.51558, 242.9847, 330.4169, 438.5186, 415.3422, 69.52097, 174.4455, 120.354, 0, 0, 1.525879e-05, 55.78111, 0, 262.3056, 108.1912, 105.4002, 289.6471, 0, 562.8208, 0, 540.1189, 0, 225.448, 554.6246, -7.629395e-06, 0, 0, 7.629395e-06, 909.5693, -3.051758e-05, 450.6276, -1.907349e-06, 0, 245.9758, 53.95183, 582.4761, 0, 0, 402.5268, 889.0383, 50.25927, 1536.24, 776.5193, -3.051758e-05, 0, 0, 628.5373, 0, 0, 0
1.2, 255.0186, 325.9961, 0, 125.3686, 444.0009, 477.9514, 413.3764, 395.8495, 66.07622, 165.5907, 113.0445, 1.907349e-06, 0, 2.288818e-05, 53.01929, 0, 249.9562, 122.965, 100.8382, 274.7662, 0, 533.5152, 0, 512.717, 0, 215.9782, 527.4996, -7.629395e-06, 0, 7.629395e-06, 0, 862.1138, 0, 428.3502, -9.536743e-07, 0, 234.0782, 51.74133, 549.9075, 0, 0, 419.8027, 843.6679, 47.81759, 1602.432, 775.429, 0, 0, 0, 599.7477, 0, 0, 0
1.3, 339.6459, 307.4954, 0, 119.6212, 420.7596, 549.1844, 389.6757, 393.5268, 111.3165, 157.1854, 106.179, 1.907349e-06, -3.814697e-06, 2.288818e-05, 50.39422, 0, 381.9276, 116.7361, 96.47365, 260.6499, 0, 603.2003, 0, 614.547, 0, 236.7624, 693.9942, -7.629395e-06, 0, 7.629395e-06, 7.629395e-06, 1216.039, -3.051758e-05, 472.7068, -1.907349e-06, 0, 222.7561, 49.62141, 519.16, 0, 0, 402.4365, 917.6569, 86.92175, 1647.74, 988.2365, 0, 7.629395e-06, 0, 660.0028, 0, 0, 0
1.4, 318.9818, 290.0446, 0, 114.1373, 518.5359, 665.7419, 367.3339, 375.058, 105.8008, 149.2067, 99.73035, 1.907349e-06, -1.907349e-06, 2.288818e-05, 47.89912, 0, 363.9463, 110.8226, 92.29803, 509.433, 0, 704.5164, 0, 633.5516, 0, 251.7259, 813.7597, 0, 0, 188.5638, 3.814697e-06, 1152.594, 0, 473.0753, -1.907349e-06, 0, 211.9816, 47.58834, 704.897, 0, 0, 385.7888, 936.8225, 82.69893, 1748.878, 938.8976, 1.525879e-05, 7.629395e-06, 0, 652.8588, 0, 0, 0
1.5, 299.5748, 273.5842, 0, 108.9047, 491.3929, 682.7176, 346.273, 357.4559, 100.5584, 141.633, 93.67339, 1.907349e-06, -1.907349e-06, 2.288818e-05, 45.52756, 0, 416.6652, 207.1943, 88.30316, 551.1027, 0, 707.0565, 0, 601.4096, 0, 241.1523, 773.9611, -7.629395e-06, 0, 429.4057, 3.814697e-06, 1389.453, 133.083, 461.8638, -1.907349e-06, 0, 201.7283, 45.63857, 694.4921, 0, 0, 369.8297, 983.546, 117.3181, 1754.843, 892.0219, 1.525879e-05, 7.629395e-06, 0, 810.6239, 0, 0, 0
