 , C002, C003, C005, C007, C009, C013, C014, C016, C017, C021, C022, C024, C026, C028, C030, C034, C035, C040, C049, C050, C058, C060, C061, C062, C064, C078, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 21.27585, 99.13586, 0, 0, 119.4515, 0, 0, 0, 0, 265.4918, 0, 0, 0, 86.612, 58.61572, 20.29333, 0, 0, 0, 0, 96.36359, 0, 0, 212.3329, 0, 0, 0, 0
0.2, 20.24637, 94.78375, 0, 0, 114.2371, 0, 52.572, 97.78482, 0, 249.4541, 178.4893, 0, 0, 118.9887, 56.16061, 19.34576, -6.103516e-05, 0, 454.1736, 0, 91.72131, 0, 0, 201.8551, 0, 6.103516e-05, 0, 0
0.3, 185.0539, 137.2811, 0, 0, 109.2503, 0, 50.18577, 92.48691, 52.91837, 234.3851, 170.6283, 0, 0, 151.4817, 53.80835, 145.7961, 152.3287, 0, 430.5321, 0, 87.30268, 0, 0, 287.6011, 0, 0, -3.051758e-05, 0
0.4, 176.0998, 286.8075, 0, 0, 104.4812, 0, 47.90785, 87.47601, 75.01074, 250.4052, 163.1136, 0, 0, 144.6688, 51.55463, 138.9884, 143.838, 0, 408.1213, 0, 83.09691, 0, -3.814697e-06, 314.451, 0, 6.103516e-05, 155.8639, 0
0.5, 167.579, 288.9157, 0, 0, 102.1518, 0, 45.73333, 82.73663, 71.61749, 235.2788, 264.3768, 0, 0, 138.1622, 49.39526, 160.2718, 135.8205, 0, 386.877, 3.051758e-05, 79.09374, 0, -3.814697e-06, 298.9341, 3.051758e-05, 6.103516e-05, 149.0648, 0
0.6, 159.4705, 368.8508, 0, 0, 97.69262, 0, 43.6575, 78.254, 68.37775, 221.0662, 306.5678, 102.4634, 0, 148.8084, 47.32635, 152.7882, 128.25, 0, 366.7385, 3.051758e-05, 75.28343, 0, -3.814697e-06, 327.6068, 0, 6.103516e-05, 142.5623, 0
0.7, 151.7542, 352.6582, 0, 0, 93.42805, 0, 91.23178, 74.01425, 77.146, 207.7121, 293.066, 97.91982, 0, 163.3049, 45.34412, 145.654, 121.1014, 0, 347.6483, 0, 143.0688, 0, -7.629395e-06, 326.949, 0, 0.0001220703, 136.3434, 0
0.8, 144.4114, 337.1764, 0, 0, 89.34966, 0, 87.09079, 70.00424, 73.65616, 195.1647, 423.816, 130.8158, 0, 183.4565, 43.4449, 246.9923, 114.3513, -3.051758e-05, 329.5519, 3.051758e-05, 136.1765, 0, -3.814697e-06, 310.8153, 0, 0.0001220703, 130.3958, 0
