 , C000, C003, C005, C009, C010, C012, C014, C015, C023, C024, C027, C030, C033, C035, C037, C041, C043, C044, C047, C049, C050, C055, C057, C058, C059, C063, C068, C069, C074, C075, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 17.79956, 250.0145, 0, 37.63647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.80719, 0, 0, 53.84637, 0, 0, 180.3755, 0, 77.62387, 0, 0
0.2, 0, 0, 0, 0, 0, 3.814697e-06, 17.02539, 281.7811, 0, 96.07239, 0, 1.525879e-05, 0, 0, 0, 0, 0, 0, 0, 0, 54.43916, -1.525879e-05, -3.051758e-05, 51.37434, 0, -3.051758e-05, 172.8267, -3.051758e-05, 72.68465, 1.907349e-06, 0
0.3, 7.629395e-06, 0, 0, 0, 0, 0, 171.2355, 266.6933, 0, 91.05786, 0, 1.525879e-05, 0, 6.103516e-05, 0, 0, 0, 0, 0, 0, 52.16985, 56.47566, -3.051758e-05, 49.01579, 0, 35.3913, 307.116, -3.051758e-05, 68.05971, 0, 0
0.4, 7.629395e-06, 0, 0, 0, 0, 0, 184.0305, 252.4134, 0, 148.5316, 0, 25.72237, 0, 6.103516e-05, 0, 0, 0, 0, 240.6486, 0, 49.99513, 53.47313, -3.051758e-05, 46.76552, 0, 33.49396, 294.2631, -3.051758e-05, 63.72905, 0, 0
0.5, 7.629395e-06, 0, 0, 0, 0, -1.907349e-06, 234.0245, 238.8982, -1.525879e-05, 223.6807, 0, 87.91223, 0, 6.103516e-05, 0, 0, 0, 0, 230.8082, 0, 47.91106, 50.6302, -3.051758e-05, 56.20737, 0, 86.43878, 281.948, -1.525879e-05, 85.12863, -1.907349e-06, 0
0.6, 7.629395e-06, 45.02817, 0, 0, 0, -1.907349e-06, 223.8456, 226.1066, -1.525879e-05, 252.2065, 0, 83.5311, 0, 118.0491, 0, 0, 0, 0, 234.6111, 0, 45.91388, 47.93843, -6.103516e-05, 53.62694, 0, 105.6362, 333.3105, -1.525879e-05, 79.71187, -1.907349e-06, 0
0.7, 28.3383, 43.13342, 80.42412, 138.22, 0, -1.907349e-06, 370.0396, 213.9998, -1.525879e-05, 487.2563, 0, 79.36829, 0, 374.5174, 0, 0, 0, 0, 225.0177, 0, 43.99994, 96.84372, -6.103516e-05, 57.82287, 0, 99.97296, 319.3612, 51.77332, 121.1986, -1.907349e-06, 0
0.8, 105.707, 41.31842, 76.06786, 131.7333, 0, -3.814697e-06, 353.9448, 202.5414, -7.629395e-06, 573.0312, 0, 75.41292, 0, 356.7896, 0, 0, 0, 0, 228.2188, 0, 42.16579, 91.69498, -4.577637e-05, 55.16828, 0, 296.0163, 443.4598, 133.3712, 255.6233, -1.907349e-06, 0
0.9, 100.9259, 53.25632, 115.7862, 160.8608, 0, 93.14092, 338.55, 191.6965, -7.629395e-06, 543.1215, 0, 71.65469, 0, 339.901, 0, 0, 0, 0, 494.8638, 0, 42.97994, 86.81998, -4.577637e-05, 52.63556, 0, 314.3051, 424.9008, 126.69, 239.3579, 0, 0
1, 151.3344, 51.01535, 109.5145, 153.3116, 0, 88.49088, 323.8248, 181.4322, -7.629395e-06, 579.1813, 0, 77.15337, 0, 323.8118, 0, 0, 0, 0, 474.6285, 0, 41.18831, 136.2802, -3.051758e-05, 61.75534, 0, 491.4238, 554.95, 187.6208, 224.1275, 0, 0
1.1, 165.9119, 147.8224, 103.5825, 314.1438, 0, 84.073, 370.9265, 171.7176, -7.629395e-06, 614.51, 0, 73.3084, 0, 308.4842, 0, 0, 0, 0, 455.2208, 0, 39.47136, 129.0348, -1.525879e-05, 107.1734, 0, 588.7437, 588.734, 178.222, 209.8661, 0, 0
1.2, 178.0627, 141.6022, 97.97187, 299.4009, 85.04678, 79.87568, 354.7931, 162.5231, -1.525879e-05, 582.4354, 0, 69.65505, 0, 293.8821, 0, 0, 0, 0, 503.9123, 0, 66.83719, 172.7698, -1.525879e-05, 102.2532, 0, 557.181, 564.0953, 169.2941, 196.5123, -1.907349e-06, 0
1.3, 170.009, 135.6437, 92.66512, 285.3499, 81.14238, 75.8879, 339.3614, 272.0157, -7.629395e-06, 622.2845, 0, 66.18377, 0, 279.9712, 0, 0, 0, 0, 521.4963, 0, 74.38345, 163.5844, -1.525879e-05, 137.1674, 0, 570.1711, 621.7445, 171.0817, 184.0082, -1.907349e-06, 0
1.4, 162.3195, 129.936, 87.64581, 350.2756, 77.41723, 102.7466, 469.3856, 257.4509, -7.629395e-06, 636.6436, 0, 62.88547, 0, 266.7188, 0, 0, 0, 0, 500.1721, 0, 81.0607, 154.8874, -3.051758e-05, 130.8701, 0, 539.6041, 926.8677, 162.5114, 185.9644, -1.907349e-06, 0
1.5, 154.9779, 124.4685, 117.5391, 333.837, 73.8631, 97.61698, 448.9698, 243.6659, 0, 737.0216, 0, 149.7865, 0, 254.0937, 0, 0, 0, 0, 576.9119, 0, 107.5161, 146.6527, -3.051758e-05, 124.862, 0, 559.4448, 888.0778, 179.9987, 174.1314, -1.907349e-06, 0
1.6, 147.9684, 170.3306, 111.1725, 318.1699, 70.47213, 92.74348, 429.4419, 230.619, -7.629395e-06, 698.5524, 0, 142.3218, 0, 242.0662, 0, 0, 0, 0, 553.3217, 0, 103.0342, 138.8559, -3.051758e-05, 119.1297, 0, 529.4529, 850.9113, 212.7716, 177.5239, -9.536743e-07, 0
1.7, 141.2758, 163.1633, 105.1507, 303.238, 67.23684, 88.11328, 410.7633, 218.2706, -7.629395e-06, 662.0911, 0, 135.2291, 0, 230.6081, 0, 0, 0, 0, 597.9763, 0, 98.73923, 131.4736, -3.051758e-05, 113.6606, 0, 501.0687, 997.4214, 202.1129, 166.228, -9.536743e-07, 0
1.8, 134.886, 156.2976, 99.45512, 413.4867, 64.15008, 83.71425, 438.9914, 415.2117, -7.629395e-06, 627.5328, 0, 128.4899, 0, 219.6923, 0, 0, 0, 0, 573.5248, 0, 94.62325, 390.9333, -3.051758e-05, 108.4425, 0, 642.8419, 955.6788, 191.9881, 155.6509, -1.907349e-06, 0
1.9, 128.7852, 186.4593, 138.7028, 394.0816, 61.20502, 79.53484, 607.5093, 392.9796, -7.629395e-06, 644.218, 0, 122.0866, 0, 209.2932, 0, 0, 0, 0, 585.8315, 0, 90.67884, 370.1492, -4.577637e-05, 103.4641, 0, 608.379, 1061.554, 182.3706, 145.7468, -9.536743e-07, 0
2, 122.9603, 201.7946, 131.1898, 375.5872, 58.39518, 75.56408, 586.7792, 371.9378, -3.814697e-06, 664.0803, 0, 116.0023, 0, 199.3863, 0, 0, 0, 0, 617.5294, 0, 86.89886, 350.4701, -4.577637e-05, 98.71411, 0, 575.7635, 1017.128, 173.2348, 136.4729, -1.907349e-06, 0
2.1, 117.3989, 193.3033, 124.0837, 399.8759, 55.71432, 71.79156, 569.3729, 352.0226, 0, 629.4183, 0, 110.2213, 0, 189.9483, 0, 0, 0, 0, 720.6249, 0, 83.27646, 331.8372, -3.814697e-05, 94.18224, 0, 739.858, 1024.202, 164.5567, 127.789, -9.536743e-07, 0
2.2, 112.089, 185.1694, 117.3626, 381.1095, 53.15654, 68.20739, 544.6082, 333.1739, -3.814697e-06, 621.1469, 0, 104.7284, 0, 180.9571, 0, 0, 0, 0, 691.1581, 0, 79.80505, 314.1949, -3.814697e-05, 89.85843, 0, 700.194, 1095.798, 156.3133, 119.6578, -9.536743e-07, 0
2.3, 136.0813, 194.8618, 111.0055, 363.2239, 50.71619, 64.80215, 590.0497, 315.3343, -3.814697e-06, 588.7257, 0, 99.50917, 0, 172.3916, 0, 0, 0, 0, 818.3473, 0, 76.47836, 297.4906, -3.814697e-05, 85.73312, 0, 662.6564, 1144.747, 148.4828, 219.5958, -1.907349e-06, 0
2.4, 129.9264, 186.6622, 104.9928, 346.1777, 48.38787, 61.56692, 564.3856, 298.45, 0, 715.2256, 0, 102.2784, 0, 164.2314, 0, 0, 0, 0, 892.4435, 0, 73.29033, 281.6744, -3.814697e-05, 81.79719, 0, 627.1312, 1163.85, 141.0447, 205.6229, -9.536743e-07, 0
2.5, 124.0499, 258.0129, 99.30576, 437.1673, 46.16644, 58.49321, 614.6771, 282.4697, 0, 677.8941, 0, 97.18127, 0, 199.5833, 0, 0, 0, 0, 855.951, 0, 70.2352, 266.699, -3.814697e-05, 78.04195, 0, 633.1511, 1192.587, 133.9791, 202.1763, -9.536743e-07, 0
2.6, 118.4392, 247.156, 93.92675, 416.6508, 65.4681, 55.57295, 587.9418, 327.1234, 0, 642.511, 0, 92.33821, 0, 190.136, 0, 0, 0, 0, 820.9508, 0, 67.30742, 252.5199, -3.051758e-05, 74.45912, 0, 599.2077, 1198.928, 127.2675, 297.7218, -9.536743e-07, 0
2.7, 113.0822, 282.7281, 88.8391, 397.0973, 62.46254, 52.79848, 562.3694, 309.6078, 0, 705.7654, 0, 87.7365, 0, 181.1359, 0, 0, 0, 0, 971.3236, 0, 64.50169, 239.0945, -3.051758e-05, 71.04077, 0, 567.084, 1148.753, 120.8921, 278.7777, -9.536743e-07, 0
2.8, 107.9676, 270.8313, 84.02704, 484.7465, 59.59496, 50.16254, 588.387, 293.0301, 0, 772.6226, 0, 83.36412, 0, 172.5619, 0, 0, 0, 0, 963.3741, 0, 61.81291, 226.383, -3.051758e-05, 67.77936, 0, 584.0345, 1203.375, 153.1178, 401.033, -9.536743e-07, 0
2.9, 103.0843, 259.435, 93.14009, 461.9971, 56.85902, 47.65818, 670.223, 312.834, 0, 838.4675, 0, 85.50818, 0, 164.3937, 0, 0, 0, 0, 923.9812, 0, 59.23622, 214.3473, -2.288818e-05, 78.43176, 0, 688.8969, 1246.652, 145.4474, 375.5151, -9.536743e-07, 0
3, 98.42183, 248.5183, 88.09505, 440.3154, 54.2487, 45.27886, 707.7705, 560.0592, 0, 794.7032, 0, 81.24684, 0, 156.6121, 0, 0, 0, 0, 953.1436, 0, 56.76694, 202.9514, -3.051758e-05, 74.83102, 0, 651.9649, 1249.196, 246.2437, 351.6209, 17.21889, 0
3.1, 125.6658, 238.061, 156.561, 496.3738, 51.7582, 134.9288, 713.3679, 530.0713, 1.907349e-06, 753.2233, 0, 77.19786, 0, 149.1989, 0, 0, 0, 0, 925.0212, 0, 54.40059, 192.1614, -3.051758e-05, 71.3956, 3.27458, 617.0128, 1196.916, 233.9082, 474.7702, 100.241, 0
3.2, 119.982, 228.0437, 169.7499, 510.4141, 49.38205, 128.1925, 682.3401, 651.2016, 1.907349e-06, 713.9084, 0, 73.35068, 0, 142.1366, 0, 0, 0, 0, 1012.97, 0, 52.13288, 295.7067, -3.051758e-05, 68.1179, 3.101985, 583.9346, 1271.234, 222.1907, 444.5604, 95.34589, 0
3.3, 143.7002, 218.4479, 160.5553, 486.4601, 47.11497, 121.7925, 765.5377, 616.3335, 1.907349e-06, 771.0359, 0, 69.69521, 0, 135.4085, 0, 0, 0, 0, 971.5492, 0, 121.6661, 345.7903, -3.051758e-05, 64.99067, 2.938487, 552.6297, 1359.701, 265.6999, 438.7611, 90.6898, 0
3.4, 156.1387, 209.2559, 151.8586, 463.6303, 44.95198, 115.7121, 732.2407, 733.376, 1.907349e-06, 730.7913, 0, 66.22192, 0, 128.999, 6.302925, 0, 0, 0, 1054.641, 0, 143.8974, 327.4062, -3.051758e-05, 62.00701, 2.783606, 523.0031, 1302.796, 252.3898, 410.8426, 86.26108, 0
3.5, 149.0766, 200.4506, 143.633, 441.8719, 42.88829, 109.9352, 700.392, 694.108, 1.907349e-06, 801.6812, 0, 62.92172, 0, 122.8928, 5.980946, 0, 0, 0, 1148.324, 0, 137.899, 309.9995, -2.670288e-05, 59.16033, 2.636889, 584.4342, 1289.844, 239.7464, 384.7006, 82.04863, 0
3.6, 142.334, 256.0628, 135.853, 473.4082, 40.91934, 104.4467, 669.9285, 656.9425, 1.907349e-06, 770.6174, 0, 59.78599, 0, 117.0757, 39.50804, 0, 0, 0, 1189.916, 0, 132.1506, 293.5182, -2.670288e-05, 56.44433, 25.73922, 675.6646, 1416.485, 227.7364, 360.2219, 78.04189, 0
3.7, 135.8963, 245.288, 128.4943, 451.191, 39.04078, 99.23223, 733.0142, 1014.317, 1.907349e-06, 841.925, 0, 56.80653, 0, 111.5339, 37.48981, 0, 0, 0, 1166.933, 0, 126.6419, 433.6742, -2.670288e-05, 53.85303, 24.38257, 639.442, 1429.775, 216.3281, 337.3009, 74.23081, 0
