 , C000, C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C014, C016, C017, C018, C019, C020, C022, C024, C025, C032, C036, C038, C040, C042, C043, C044, C045, C048, C051, C055, C062, C063
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 90.47018, 0, 46.39011, 65.4068, 0, 0, 0, 0, 0, 0, 0, 198.0742, 0, 0, 0, 28.55361, 1.757343, 210.6677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.07559, 0, 0
0.2, 0, 0, 85.99335, 0, 136.5445, 62.24902, 0, 0, 0, 0, 200.5755, 0, 0, 229.6913, 0, 0, 0, 27.32257, 102.9192, 201.1143, 110.1432, 0, 48.05682, 0, 0, 0, 0, 0, 0, -3.051758e-05, 111.7302, 0.0001220703, 52.35989
0.3, 0, 24.07005, 81.73805, 0, 166.264, 141.1071, -3.051758e-05, 77.1759, 0, 117.971, 190.2144, 0, 0, 319.5771, 0, 0, 0, 182.2289, 98.28749, 191.9942, 105.5504, 0, 46.04962, 72.67618, 0, 0, 0, 0, 0, -3.051758e-05, 106.9219, 48.45728, 49.93274
0.4, 0, 22.89152, 77.69332, 0, 158.0873, 213.8003, -3.051758e-05, 151.0433, 0, 177.0005, 182.4509, 0, 0, 304.493, 0, -3.051758e-05, 0, 174.3724, 93.86427, 300.7715, 101.149, 0, 257.1751, 68.73749, 0, 0, 0, 0, 0, -3.051758e-05, 102.3205, 199.7169, 47.6181
0.5, 0, 21.7707, 85.01872, 0, 244.7667, 220.1397, -3.051758e-05, 256.7572, 0, 223.5916, 173.0261, 0, 0, 290.121, 0, -1.525879e-05, 0, 166.8547, 89.6401, 287.1322, 114.0418, 0, 246.4335, 65.0123, 0, 0, 0, 0, 0, 0, 134.8792, 199.9286, 45.41071
0.6, 0, 20.70476, 80.81165, 0, 337.0687, 209.5117, -3.051758e-05, 242.3927, 0, 224.7832, 257.2018, 0, 0, 276.4273, 0, -1.525879e-05, 0, 159.661, 85.60603, 274.1113, 109.2864, 0, 277.2848, 61.48898, 0, 0, 0, 3.051758e-05, 0, 70.27234, 228.0917, 191.4048, 247.3947
0.7, 0, 19.69101, 86.96709, 0, 342.9944, 302.5079, -3.051758e-05, 228.8318, 0, 345.5906, 243.9155, 0, 0, 263.3799, 0, 0, 0, 152.7775, 81.75351, 407.0912, 104.7293, 0, 283.1327, 58.15662, 0, 0, 0, 3.051758e-05, 0, 67.05946, 218.2758, 183.2445, 273.7163
0.8, 0, 18.72689, 82.6636, 0, 326.1263, 287.9032, -1.525879e-05, 216.0296, 0, 373.9597, 231.3156, 0, 0, 250.9485, 0, -1.525879e-05, 0, 146.1908, 78.07436, 388.6304, 100.3622, 0, 554.5333, 55.00482, 0, 0, 0, 3.051758e-05, 0, 63.99352, 208.8822, 197.6771, 276.8081
0.9, 0, 17.80998, 78.57307, 0, 310.0876, 274.0035, -1.525879e-05, 203.9436, 0, 355.6902, 223.1677, 0, 0, 239.1037, 0, -1.525879e-05, 0, 160.428, 74.56079, 400.1294, 166.6437, 0, 531.3717, 52.0239, 0, 0, 0, 6.103516e-05, 0, 61.06772, 199.893, 189.2494, 263.9765
1, 0, 16.93797, 74.68496, 0, 294.8378, 260.775, 0, 192.5339, 0, 338.3133, 211.6396, 0, 0, 227.818, 0, -1.525879e-05, 0, 153.5114, 71.20534, 566.3806, 160.0527, 0, 509.1776, 49.20447, 0, 0, 0, 3.051758e-05, 0, 58.2757, 191.2905, 292.7581, 251.7398
1.1, 0, 16.10864, 70.98924, 0, 280.3379, 248.1852, -1.525879e-05, 181.7624, 0, 321.7853, 200.7069, 0, 0, 217.0651, 0, -1.525879e-05, 0, 146.893, 68.00089, 540.6964, 153.3787, 0, 527.8159, 46.53784, 0, 0, 0, 3.051758e-05, 0, 55.61131, 183.0583, 496.5651, 240.0703
1.2, 0, 15.31993, 67.4764, 0, 349.156, 236.2031, -1.525879e-05, 232.3781, 0, 306.0648, 192.851, 0, 0, 206.8196, 0, -1.525879e-05, 0, 140.56, 64.94064, 516.1769, 146.9829, 0, 505.7703, 44.01575, 0, 0, 0, 3.051758e-05, 0, 161.4728, 175.1804, 484.1725, 228.9417
1.3, 0, 14.56983, 64.1374, 0, 331.9848, 224.7995, -1.525879e-05, 219.3775, 0, 291.1122, 312.1282, 0, 0, 197.0577, 0, 0, 0, 134.5, 62.01812, 492.7693, 140.8539, 0, 516.919, 41.63034, 0, 0, 0, 6.103516e-05, 0, 154.0902, 167.6415, 562.8028, 218.329
1.4, 0, 56.97794, 60.96362, 0, 368.0804, 213.9464, 0, 207.1042, 0, 404.8073, 296.0046, 0, 0, 187.7567, 0, 0, 0, 128.7013, 59.22713, 504.9607, 134.9805, 0, 557.5488, 39.37418, 0, 0, 0, 94.88301, 0, 147.0452, 160.427, 584.3199, 208.2083
1.5, 0, 54.18817, 96.02904, 0, 362.6096, 203.6173, 0, 195.5176, 0, 385.0308, 378.3202, 0, 0, 178.8946, 0, 0, 0, 123.1526, 56.56173, 489.45, 129.3519, 0, 571.5279, 95.83893, 0, 0, 0, 90.98247, 0, 140.3222, 153.523, 559.408, 221.7398
1.6, 0, 65.99389, 91.27713, 0, 349.6806, 284.7268, 0, 184.5792, 0, 397.4167, 358.7774, 0, 0, 170.4508, 0, 58.83272, 0, 117.8431, 54.01629, 467.2545, 313.3184, 0, 558.2816, 90.64496, 0, 0, 0, 87.24226, 0, 216.8229, 146.9161, 535.5583, 225.982
1.7, 0, 62.76268, 86.76037, 0, 332.4836, 270.9806, 0, 174.2528, 0, 378.0013, 340.2441, 0, 0, 162.4055, 0, 241.1989, 0, 112.7625, 51.5854, 446.0654, 300.2534, 0, 640.0661, 106.3412, 0, 0, 0, 83.65582, 0, 206.9097, 140.5935, 771.5739, 222.4277
1.8, 0, 59.68968, 82.46711, 0, 327.0341, 351.4978, 0, 198.873, 0, 426.7055, 322.6681, 0, 0, 154.74, 0, 230.1691, 0, 127.8093, 49.2639, 511.5462, 287.7332, 0, 624.8617, 259.9496, 0, 0, 0, 187.9668, 0, 197.4498, 134.5431, 738.6787, 212.117
1.9, 0, 56.76714, 78.3863, 0, 370.1803, 334.5279, 0, 223.509, 0, 405.8592, 306.0001, 0, 0, 147.4363, 0, 219.6437, 0, 178.2067, 47.04688, 488.3487, 275.735, 0, 694.1356, 286.0578, 0, 0, 0, 277.7458, 0, 233.5815, 128.753, 712.2654, 202.2842
2, 0, 53.98769, 74.50742, 0, 351.9752, 318.3773, 0, 223.655, 0, 553.6794, 290.193, 0, 0, 140.4773, 0, 209.5997, 0, 170.5236, 44.92963, 613.6804, 264.2371, 0, 665.1432, 270.555, 0, 0, 0, 266.3279, 0, 222.9021, 123.2121, 681.8988, 305.2069
2.1, 0, 51.34434, 70.8205, 0, 334.6653, 303.0065, 0, 211.1424, 0, 573.3869, 275.2025, 0, 0, 175.6613, 0, 200.0149, 0, 163.1718, 42.90767, 585.8513, 253.2188, 0, 669.8893, 255.8923, 0, 0, 0, 306.8332, 0, 275.5135, 117.9097, 787.0471, 319.7129
2.2, 0, 90.01115, 67.31601, 0, 392.7502, 340.4482, 0, 199.3299, 0, 545.3746, 260.9865, 0, 0, 289.0131, 0, 190.8684, 0, 156.1369, 40.9767, 559.2842, 242.6598, 0, 675.5978, 242.0243, 0, 14.31023, 0, 297.3687, 0, 262.917, 112.8354, 754.0577, 340.7096
2.3, 0, 85.604, 63.98494, 0, 373.4351, 324.0118, 260.0719, 356.7227, 0, 643.3695, 247.5047, 0, 0, 275.3718, 0, 182.1402, 0, 267.3521, 39.13263, 533.9218, 249.7301, 0, 816.4653, 228.9079, 0, 44.22314, 0, 285.1442, 0, 331.9823, 107.9795, 856.9817, 324.9158
2.4, 0, 81.41264, 60.8187, 0, 355.0698, 486.4382, 248.4875, 336.7655, 0, 676.8024, 234.7194, 0, 0, 262.3742, 0, 173.8111, 0, 255.8257, 37.37154, 678.0965, 382.7397, 0, 871.7651, 309.8878, 0, 42.18108, 0, 273.4221, 0, 316.804, 103.3326, 871.9641, 352.0291
2.5, 0, 77.42649, 57.80915, 0, 381.3324, 462.9536, 237.4191, 317.9249, 0, 766.2172, 222.5945, 0, 0, 249.9902, 0, 165.8629, 0, 329.1113, 35.68972, 647.3463, 366.7798, 0, 835.3535, 304.5416, 0, 40.2333, 0, 346.7412, 0, 398.1965, 98.88566, 834.7888, 335.7106
2.6, 0, 73.63551, 126.4969, 0, 362.5788, 521.1114, 281.6384, 363.5659, 0, 728.7843, 211.0959, 0, 0, 238.1907, 0, 158.2782, 0, 314.9223, 34.08357, 689.2035, 354.0024, 0, 858.9957, 288.037, 0, 38.37547, 0, 332.487, 0, 405.6791, 94.6301, 830.9174, 320.1486
2.7, 0, 70.03015, 120.2373, 0, 344.7474, 495.9528, 269.0933, 343.226, 0, 747.4144, 200.1914, 0, 0, 251.9028, 0, 151.0403, 0, 301.345, 32.54971, 657.9495, 339.2409, 0, 843.2786, 272.427, 0, 36.60342, 0, 318.8188, 0, 387.1314, 90.55769, 961.0552, 382.551
2.8, 0, 66.60132, 114.2875, 0, 390.2354, 472.0088, 257.1071, 324.0239, 0, 710.9002, 189.8501, 0, 0, 240.013, 0, 144.1334, 0, 297.7954, 31.08488, 632.0906, 325.095, 0, 808.0569, 274.8568, 0, 39.88212, 0, 305.7125, 0, 410.8436, 86.66051, 920.0817, 364.8177
2.9, 0, 113.062, 108.6321, 0, 401.8748, 449.2208, 245.6547, 380.1279, 0, 676.1699, 180.043, 0, 0, 228.6844, 0, 137.5423, 0, 366.9646, 29.68597, 675.6036, 317.4913, 0, 916.0681, 259.961, 0, 38.0405, 0, 293.1449, 0, 392.0598, 82.93106, 880.855, 347.9064
3, 0, 107.5263, 103.2565, 0, 382.1109, 427.533, 234.7124, 358.8613, 0, 698.3884, 170.7426, 0, 0, 217.8905, 0, 131.2527, 0, 351.1436, 28.35001, 654.9142, 304.2523, 0, 877.806, 266.1273, 0, 81.47266, 0, 281.094, 0, 374.1348, 79.36211, 843.3007, 337.2808
3.1, 1.425896, 102.2616, 98.14699, 0, 439.3943, 658.222, 224.2576, 338.7845, 39.16251, 664.2693, 163.4416, 0, 0, 207.6061, 0, 125.2506, 0, 503.2216, 27.07418, 770.9346, 308.462, 0, 958.8297, 298.4039, 0, 77.71053, 0, 269.5385, 0, 357.0293, 75.94675, 891.1953, 476.4296
3.2, 1.357745, 256.6098, 93.29028, 0, 417.7852, 626.4439, 303.0682, 319.8309, 103.2066, 702.3406, 154.9987, 0, 0, 269.5217, 0, 119.5231, 0, 484.9094, 25.85576, 770.7371, 295.5995, 0, 1017.35, 282.232, 0, 127.5808, 0, 286.2082, 0, 428.4145, 72.67837, 853.2002, 454.3445
3.3, 1.29285, 291.6351, 88.67389, 0, 397.2389, 596.2, 334.2965, 351.8944, 97.77117, 668.0284, 146.992, 0, 0, 264.3366, 0, 114.0574, 0, 464.0034, 24.69218, 875.3138, 283.2734, 0, 974.8574, 266.9365, 0, 121.6896, 0, 274.4424, 0, 420.4651, 69.55064, 896.7802, 496.4715
3.4, 1.231057, 277.356, 84.28594, 0, 377.703, 567.4162, 319.4059, 448.5259, 92.62201, 635.3926, 139.3989, 0, 0, 296.8372, 0, 108.8417, 0, 453.9819, 23.58096, 835.6201, 336.5179, 0, 934.1399, 252.47, 0, 192.8156, 0, 263.1604, 0, 444.4913, 66.55752, 1094.167, 473.4574
3.5, 1.172218, 267.8301, 80.11513, 0, 359.1279, 540.0221, 344.2256, 423.4327, 87.74403, 670.1375, 132.1979, 0, 0, 282.8265, 0, 103.8645, 0, 499.8174, 22.51974, 842.1713, 341.8019, 0, 998.8378, 238.7874, 0, 183.912, 0, 262.4371, 0, 424.1691, 63.69321, 1146.129, 451.5101
3.6, 1.116191, 254.7165, 76.1507, 0, 341.4662, 513.9505, 328.8927, 506.0237, 83.12295, 690.4051, 125.369, 0, 0, 269.4771, 0, 99.11484, 0, 478.2686, 21.50629, 803.9805, 388.9885, 0, 1053.594, 225.8465, 0, 175.4196, 0, 251.6486, 0, 404.776, 60.95216, 1097.265, 430.5802
3.7, 1.062842, 242.245, 72.38245, 0, 324.6732, 489.1376, 343.0067, 477.7138, 115.6152, 752.3543, 213.3605, 26.07374, 0, 256.7578, 0, 94.58243, 0, 457.649, 20.53844, 871.9057, 540.8969, 0, 1082.238, 289.9957, 0, 167.3193, 0, 295.2122, 0, 389.6476, 58.32908, 1242.747, 410.6205
3.8, 1.012042, 315.7424, 68.80067, 0, 308.706, 465.5226, 432.8102, 566.7386, 109.5263, 715.5988, 202.339, 24.82333, 0, 244.6389, 0, 90.25728, 0, 437.9182, 19.61415, 941.8322, 518.3421, 0, 1037.035, 274.2795, 0, 159.5931, 0, 283.0763, 0, 678.7294, 55.81888, 1280.519, 391.586
3.9, 0.963671, 300.283, 65.39613, 0.6639269, 293.5241, 443.0479, 413.5314, 555.1404, 103.758, 680.6389, 191.8868, 23.63288, 0, 233.0919, 0, 86.12991, 0, 524.1558, 18.73146, 899.1221, 496.7278, 0, 1023.253, 326.1981, 0, 152.2236, 0, 369.1615, 0, 647.6978, 53.41671, 1225.925, 493.2217
