 , C000, C001, C003, C005, C006, C007, C009, C015, C016, C017, C019, C023, C024, C026, C027, C028, C030, C032, C034, C036, C039, C042, C043, C045, C048, C051, C055, C058, C059, C060, C063, C066, C067, C068, C069, C075, C079, C088, C089, C101, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 69.39902, 72.90619, 0, 68.78381, 27.38234, 0, 71.6286, 0, 6.974182, 0, 0, 0, 0, 17.06555, 0, 0, 0, 0, 0, 16.98047, 0, 0, 85.07672, 0, 0, 0, 44.06647, 67.16187, 0, 0, 44.71226, 119.5596, 110.9765, 0, 0, 0, 0, 25.24265, 45.57776, 91.42029
0.2, 32.66806, 66.39148, 69.55121, 0, 65.88855, 60.97702, 88.78192, 79.53754, 3.814697e-06, 6.66922, 0, 0, 0, 0, 119.8973, 0, 60.39508, 74.18361, 0, 0, 116.3833, 0, 0, 166.7076, 3.814697e-06, 103.7778, 0, 42.17471, 140.1971, 65.73726, 0, 42.73637, 114.4586, 154.8149, 45.92114, 0, 37.58514, 0, 24.19812, 43.6311, 202.0895
0.3, 31.1926, 63.51428, 157.2458, 1.525879e-05, 63.11517, 58.16249, 84.69745, 93.77075, 3.814697e-06, 6.377594, 142.0397, 0, 0, 0, 114.9789, 0, 57.89145, 71.04005, 0, 0, 111.6227, 0, 0, 159.8376, 3.814697e-06, 98.67636, 0, 40.36415, 257.8339, 62.96159, 0, 70.58691, 319.9618, 182.3189, 130.2205, 0, 72.55585, 0, 80.36366, 234.9995, 302.7773
0.4, 29.78378, 105.7891, 150.0099, 31.39908, 60.4585, 55.47784, 151.6073, 167.2974, 3.814697e-06, 20.32297, 141.463, 0, 0, 0, 110.2621, 0, 81.50922, 68.02968, 0, 0, 107.0569, 29.35043, 0, 153.2508, 3.814697e-06, 93.82571, 0, 38.63133, 246.9768, 60.3031, 0, 67.46761, 306.3107, 228.4526, 202.6195, 0, 97.99011, 0, 77.03827, 325.0353, 335.6534
0.5, 28.43857, 101.2046, 143.1069, 30.04721, 103.3236, 95.06865, 194.1486, 261.2003, 7.629395e-06, 45.29269, 154.0593, 1.525879e-05, 0, 0, 162.0737, 0, 78.13028, 65.1469, 51.66331, 0, 102.6779, 39.15649, 0, 202.2314, 3.814697e-06, 89.21353, -1.525879e-05, 36.97289, 236.5769, 57.75685, 0, 67.49976, 293.2419, 287.7988, 193.8252, 0, 177.5259, 3.051758e-05, 112.2896, 350.9196, 321.2002
0.6, 56.67816, 149.057, 179.7526, 28.75354, 98.97449, 115.193, 185.2167, 329.0231, 3.814697e-06, 43.31207, 147.799, 1.525879e-05, 0, 0, 155.425, 0, 152.4828, 98.86444, 49.38777, 0, 135.8022, 37.4584, 0, 211.0991, 3.814697e-06, 205.2711, -1.525879e-05, 35.38565, 346.1919, 55.31812, 0, 64.51686, 415.7557, 309.0692, 244.7981, 0, 235.2097, 3.051758e-05, 107.6431, 418.3126, 382.9548
0.7, 90.80884, 187.2551, 171.4809, 96.22224, 94.80835, 109.876, 251.2577, 350.7772, 3.814697e-06, 53.97266, 196.774, 1.436386, 0, 0, 187.6763, 0, 199.5276, 99.30347, 58.52408, 0, 243.2133, 65.17172, 0, 291.4196, 3.814697e-06, 195.1805, 0, 33.86655, 382.277, 164.3253, 0, 61.66579, 532.5939, 295.8809, 385.8727, 51.63823, 279.1417, 3.051758e-05, 147.1518, 400.4464, 435.5081
0.8, 86.70743, 191.4705, 348.7186, 105.5802, 110.0238, 172.3207, 239.6985, 456.7533, 3.814697e-06, 51.61243, 188.7778, 1.378006, 0, 0, 279.3975, 0, 247.3943, 95.09543, 63.50223, 0, 233.2649, 62.34549, 0, 314.704, 0, 185.586, 1.525879e-05, 32.41267, 427.5043, 182.6668, 0, 62.74495, 509.8707, 329.3624, 422.324, 49.43471, 350.9554, 3.051758e-05, 141.0627, 437.8616, 509.5779
