 , C001, C002, C003, C004, C009, C010, C014, C016, C017, C021, C023, C025, C028, C032, C033, C034, C035, C036, C040, C041, C044, C045, C047, C048, C050, C056, C061, C066, C067, C068, C071, C075, C078, C082, C084, C085, C086, C087, C089, C091, C096
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 61.81632, 83.12936, 28.93781, 0, 0, 0, 0, 85.25461, 0, 0, 91.95322, 46.37491, 15.92401, 0, 0, 0, 0, 0, 0, 17.55106, 0, 32.308, 0, 87.67761, 15.18089, 133.1934, 0, 42.69519, 7.273254, 0, 113.7236, 47.30615, 0, 135.6477, 54.83875, 16.85077, 33.84573, 64.97583, 6.176147, 0, 137.9617
0.2, 59.04955, 86.23553, 59.65872, 0, 75.45593, 0, 0, 170.9355, 0, 5.097229, 88.07523, 44.40073, 15.20056, -7.629395e-06, 0, 0, 0, 0, 0, 16.84012, 0, 108.2942, 0, 83.9606, 42.84068, 127.548, 44.08289, 40.65051, 32.38245, 0, 255.9979, 79.62659, 0, 165.3042, 154.6414, 16.16333, 32.43916, 106.274, 5.924194, 44.32764, 132.0236
0.3, 56.40662, 82.27506, 145.8629, 0, 72.2879, 1.232722, 0, 163.5666, 0, 4.886368, 84.36079, 66.31998, 167.2866, 0, -1.525879e-05, 42.95407, 0, 0, 0, 16.15799, 0, 130.9054, 0, 117.4783, 41.11132, 122.1418, 42.28564, 78.78436, 95.30109, 0, 252.7372, 194.7577, 3.051758e-05, 158.3812, 223.9799, 95.51379, 31.09104, 205.7253, 37.599, 85.77954, 126.341
0.4, 62.93448, 129.7602, 139.0693, 0, 118.2162, 73.17195, 0, 179.5693, 0, 4.684204, 80.80299, 98.09372, 159.6868, 0, -1.525879e-05, 49.80841, 0, 0, 0, 20.51672, -3.814697e-06, 142.0073, 0, 112.4979, 39.45176, 116.9649, 40.56171, 75.01135, 91.29889, 0, 311.4411, 186.4602, 66.63873, 353.5277, 222.2454, 91.61713, 77.98076, 223.1967, 90.68335, 217.3199, 120.903
0.5, 60.11766, 123.8008, 173.9673, 0, 119.5591, 69.96219, 0, 284.4523, 0, 4.490425, 77.39525, 93.91791, 293.9868, 0, -2.288818e-05, 47.77304, 0, 0, 0, 19.68567, -3.814697e-06, 244.4479, 0, 111.1641, 37.8592, 116.9481, 95.09839, 179.1331, 87.46475, 0, 325.7469, 266.2716, 83.93472, 338.7218, 248.8931, 87.87946, 74.73999, 298.3337, 122.8114, 284.4377, 115.6991
0.6, 57.42691, 118.1151, 180.1242, 0, 114.5393, 66.89323, 0, 272.1897, 0, 4.304657, 74.13121, 89.91986, 280.6309, 0, -2.288818e-05, 45.82083, 0, 0, 2.384186e-07, 66.69107, -3.814697e-06, 233.762, 0, 106.4514, 36.33092, 156.1726, 158.1413, 170.5544, 100.3481, 0, 310.57, 268.8347, 80.32834, 340.6111, 293.4703, 84.29434, 71.63392, 361.4579, 150.4263, 315.2676, 110.7192
0.7, 54.8566, 163.0934, 171.7348, 0, 133.4254, 94.10563, 0, 260.4558, 0, 87.72095, 71.00483, 86.09198, 267.8817, 0, -2.288818e-05, 43.94839, 0, 0, 0, 77.80368, 0, 251.4889, 0, 135.9973, 34.86433, 149.5532, 151.694, 162.3865, 96.13394, 0, 360.6918, 465.389, 76.87689, 326.3461, 299.2227, 80.85544, 68.65693, 423.96, 172.8131, 438.506, 105.9536
0.8, 98.62247, 155.6032, 297.2884, 0, 180.7952, 89.97759, 0, 249.2278, 0, 84.09195, 68.01031, 82.42708, 346.0971, 0, -2.288818e-05, 124.0241, 0, 0, 0, 74.65213, -1.907349e-06, 240.4952, 0, 130.2319, 33.45695, 143.2144, 173.3229, 154.6097, 92.09674, 0, 421.6336, 477.9402, 78.5509, 338.0857, 286.9088, 89.79852, 65.80366, 451.7746, 182.4869, 482.6716, 101.3932
